trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230801,20.998,20.958,20.998,20.798,139424,3458192.0,0.95,-0.19,-0.04,0.0
20230802,20.998,20.908,20.998,20.848,96861,2405519.0,0.72,-0.24,-0.05,0.0
20230803,20.948,20.918,20.948,20.848,43727,1083776.0,0.48,0.05,0.01,0.0
20230804,20.998,20.928,20.998,20.868,25527,633748.0,0.62,0.05,0.01,0.0
20230807,20.948,21.008,21.148,20.938,27349,682176.0,1.0,0.38,0.08,0.0
20230808,20.968,20.993,21.008,20.868,22483,558780.0,0.67,-0.07,-0.015,0.0
20230809,20.998,20.988,20.998,20.948,6544,162861.0,0.24,-0.02,-0.005,0.0
20230810,21.136,21.156,21.186,21.086,6552,163000.0,0.48,0.8,0.168,0.0
20230811,21.186,21.186,21.186,21.156,4036,100461.0,0.14,0.14,0.03,0.0
20230814,21.196,21.196,21.226,21.156,7706,191933.0,0.33,0.05,0.01,0.0
20230815,21.201,21.176,21.206,21.136,3834,95438.0,0.33,-0.09,-0.02,0.0
20230816,21.136,21.176,21.186,21.096,5705,141848.0,0.43,0.0,0.0,0.0
20230817,21.086,21.096,21.126,20.966,10584,262280.0,0.76,-0.38,-0.08,0.0
20230818,21.006,21.086,21.086,20.986,7046,174580.0,0.47,-0.05,-0.01,0.0
20230821,21.086,21.046,21.191,21.046,2941,73030.0,0.69,-0.19,-0.04,0.0
20230822,21.087,21.136,21.136,21.036,4434,109943.0,0.48,0.43,0.09,0.0
20230823,21.136,21.286,21.376,21.077,5689,141522.0,1.41,0.71,0.15,0.0
20230824,21.366,21.236,21.366,21.226,5708,142506.0,0.66,-0.23,-0.05,0.0
20230825,21.207,21.236,21.306,21.206,2174,54263.0,0.47,0.0,0.0,0.0
20230828,21.286,21.286,21.286,21.246,3326,83145.0,0.19,0.24,0.05,0.0
20230829,21.306,21.286,21.306,21.241,2959,73938.0,0.31,0.0,0.0,0.0
20230830,21.246,21.261,21.286,21.246,5182,129403.0,0.19,-0.12,-0.025,0.0
20230831,21.286,21.217,21.286,21.216,4570,114048.0,0.33,-0.21,-0.044,0.0
20230901,21.286,21.231,21.286,21.216,3205,79987.0,0.33,0.07,0.014,0.0
20230905,21.256,21.221,21.276,21.221,2286,57059.0,0.26,-0.05,-0.01,0.0
20230906,21.236,21.266,21.271,21.226,1012,25268.0,0.21,0.21,0.045,0.0
20230907,21.336,21.336,21.336,21.196,1742,43511.0,0.66,0.33,0.07,0.0
20230908,21.408,21.398,21.423,21.398,2484,61994.0,0.12,0.29,0.062,0.0
20230911,21.388,21.438,21.448,21.368,2833,70688.0,0.37,0.19,0.04,0.0
20230912,21.398,21.498,21.498,21.328,1543,38493.0,0.79,0.28,0.06,0.0
20230913,21.41,21.398,21.448,21.398,656,16380.0,0.23,-0.47,-0.1,0.0
20230914,21.419,21.447,21.468,21.369,1540,38492.0,0.46,0.23,0.049,0.0
20230915,21.418,21.378,21.438,21.378,1181,29483.0,0.28,-0.32,-0.069,0.0
20230918,21.348,21.428,21.428,21.288,3005,74807.0,0.65,0.23,0.05,0.0
20230919,21.288,21.368,21.393,21.269,4300,107027.0,0.58,-0.28,-0.06,0.0
20230920,21.398,21.368,21.398,21.368,2630,65568.0,0.14,0.0,0.0,0.0
20230921,21.348,21.368,21.368,21.118,6514,161842.0,1.17,0.0,0.0,0.0
20230922,21.368,21.378,21.448,21.368,1542,38448.0,0.37,0.05,0.01,0.0
20230925,21.368,21.364,21.368,21.325,1147,28564.0,0.2,-0.07,-0.014,0.0
20230926,21.398,21.298,21.398,21.248,2352,58497.0,0.7,-0.31,-0.066,0.0
20230927,21.348,21.348,21.348,21.2,5575,138679.0,0.69,0.23,0.05,0.0
20230928,21.368,21.368,21.368,21.258,1326,32999.0,0.52,0.09,0.02,0.0
20230929,21.398,21.338,21.398,21.338,1897,47292.0,0.28,-0.14,-0.03,0.0
20231002,21.368,21.348,21.368,21.311,6382,158881.0,0.27,0.05,0.01,0.0
20231003,21.248,21.348,21.399,21.038,9206,227443.0,1.69,0.0,0.0,0.0
20231004,21.198,21.298,21.298,21.198,1916,47522.0,0.47,-0.23,-0.05,0.0
20231005,21.298,21.298,21.298,21.298,1066,26490.0,0.0,0.0,0.0,0.0
