trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200102,27.14,27.2,27.25,27.1,298237,8108458.0,0.55,0.22,0.06,0.0
20200103,27.07,27.04,27.13,27.01,227444,6155651.0,0.44,-0.59,-0.16,0.0
20200106,26.95,26.91,27.0,26.91,44688,1205648.0,0.33,-0.48,-0.13,0.0
20200107,27.03,27.03,27.9,26.96,33246,898010.0,3.49,0.45,0.12,0.0
20200108,27.0,27.04,27.12,26.98,20207,546311.0,0.52,0.04,0.01,0.0
20200109,27.16,27.06,27.19,27.03,76549,2078686.0,0.59,0.07,0.02,0.0
20200110,27.2,27.16,27.25,27.1,12045,327648.0,0.55,0.37,0.1,0.0
20200113,27.2,27.39,27.39,27.2,3685,100748.0,0.7,0.85,0.23,0.0
20200114,27.35,27.27,27.35,27.21,34364,938778.0,0.51,-0.44,-0.12,0.0
20200115,27.27,27.21,27.33,27.21,25077,684341.0,0.44,-0.22,-0.06,0.0
20200116,27.37,27.31,27.37,27.21,21704,592777.0,0.59,0.37,0.1,0.0
20200117,27.3,27.34,27.97,27.24,3491,95499.0,2.67,0.11,0.03,0.0
20200121,27.25,27.09,27.25,27.01,36387,986393.0,0.88,-0.91,-0.25,0.0
20200122,27.24,27.15,27.25,27.1,19853,539487.0,0.55,0.22,0.06,0.0
20200123,27.02,27.04,27.05,26.95,17168,463523.0,0.37,-0.41,-0.11,0.0
20200124,27.05,26.94,27.06,26.91,32876,886223.0,0.55,-0.37,-0.1,0.0
20200127,26.66,26.52,26.66,26.44,33158,879109.0,0.82,-1.56,-0.42,0.0
20200128,26.7,26.67,26.7,26.58,28400,755701.0,0.45,0.57,0.15,0.0
20200129,26.65,26.65,26.72,26.56,17193,458615.0,0.6,-0.07,-0.02,0.0
20200130,26.34,26.46,26.5,26.32,12392,327265.0,0.68,-0.71,-0.19,0.0
20200131,26.33,26.18,27.07,26.06,117953,3084960.0,3.82,-1.06,-0.28,0.0
20200203,26.33,26.34,26.41,26.27,72165,1897233.0,0.53,0.61,0.16,0.0
20200204,26.71,26.7,26.73,26.67,3598,96060.0,0.23,1.37,0.36,0.0
