trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20161227,0.89,0.9,0.94,0.88,16565,0.0,0.0,0.0,0.0,0.02
20161228,0.89,0.91,0.94,0.89,37743,0.0,5.56,1.11,0.01,0.05
20161229,0.92,1.05,1.1,0.92,124332,0.0,19.78,15.38,0.14,0.17
20161230,1.05,1.04,1.05,0.92,99659,0.0,12.38,-0.95,-0.01,0.13
20170103,1.0,1.03,1.05,1.0,41470,0.0,4.81,-0.96,-0.01,0.06
20170104,1.0,1.05,1.08,1.0,77060,0.0,7.77,1.94,0.02,0.1
20170105,1.02,1.1,1.13,1.02,96985,0.0,10.48,4.76,0.05,0.13
20170106,1.14,1.07,1.14,1.02,38892,0.0,10.91,-2.73,-0.03,0.05
20170109,1.09,1.08,1.11,1.05,48247,0.0,5.61,0.93,0.01,0.07
20170110,1.11,1.11,1.12,1.03,35999,0.0,8.33,2.78,0.03,0.05
20170111,1.13,1.1,1.14,1.08,38204,0.0,5.41,-0.9,-0.01,0.05
20170112,1.1,1.06,1.14,1.06,22786,0.0,7.27,-3.64,-0.04,0.03
20170113,1.1,1.07,1.12,1.05,27501,0.0,6.6,0.94,0.01,0.04
20170117,1.07,1.08,1.12,1.06,75443,0.0,5.61,0.93,0.01,0.1
20170118,1.07,1.06,1.08,1.06,24769,0.0,1.85,-1.85,-0.02,0.03
20170119,1.05,1.11,1.15,1.03,158824,0.0,11.32,4.72,0.05,0.21
20170120,1.15,1.1,1.15,1.07,44540,0.0,7.21,-0.9,-0.01,0.06
20170123,1.1,1.1,1.14,1.08,60933,0.0,5.45,0.0,0.0,0.08
20170124,1.1,1.05,1.15,1.05,115060,0.0,9.09,-4.55,-0.05,0.16
20170125,1.05,1.1,1.12,1.03,130436,0.0,8.57,4.76,0.05,0.18
20170126,1.06,1.03,1.07,1.0,86736,0.0,6.36,-6.36,-0.07,0.12
20170127,1.03,1.08,1.1,1.01,51267,0.0,8.74,4.85,0.05,0.07
20170130,1.1,1.09,1.16,1.05,147851,0.0,10.19,0.93,0.01,0.2
20170131,1.1,1.12,1.15,1.1,52671,0.0,4.59,2.75,0.03,0.07
20170201,1.14,1.14,1.14,1.06,81645,0.0,7.14,1.79,0.02,0.11
20170202,1.14,1.09,1.14,1.07,122826,0.0,6.14,-4.39,-0.05,0.17
20170203,1.1,1.1,1.12,1.07,44976,0.0,4.59,0.92,0.01,0.06
20170206,1.15,1.15,1.15,1.11,124719,0.0,3.64,4.55,0.05,0.17
20170207,1.15,1.15,1.15,1.13,66189,0.0,1.74,0.0,0.0,0.09
20170208,1.15,1.14,1.24,1.14,218526,0.0,8.7,-0.87,-0.01,0.29
20170209,1.19,1.14,1.19,1.1,71406,0.0,7.89,0.0,0.0,0.1
20170210,1.13,1.16,1.18,1.1,41807,0.0,7.02,1.75,0.02,0.06
20170213,1.15,1.17,1.22,1.15,109713,0.0,6.03,0.86,0.01,0.15
20170214,1.17,1.09,1.17,1.07,62160,0.0,8.55,-6.84,-0.08,0.08
20170215,1.09,1.12,1.15,1.07,83768,0.0,7.34,2.75,0.03,0.11
20170216,1.14,1.12,1.17,1.12,77679,0.0,4.46,0.0,0.0,0.1
20170217,1.13,1.11,1.13,1.07,76759,0.0,5.36,-0.89,-0.01,0.1
20170221,1.1,1.11,1.18,1.05,127144,0.0,11.71,0.0,0.0,0.17
20170222,1.1,1.04,1.17,1.0,189541,0.0,15.32,-6.31,-0.07,0.26
20170223,1.06,1.01,1.11,1.0,201983,0.0,10.58,-2.88,-0.03,0.27
20170224,1.06,1.03,1.07,1.0,186764,0.0,6.93,1.98,0.02,0.25
20170227,1.03,1.0,1.11,0.95,287359,0.0,15.53,-2.91,-0.03,0.39
20170228,1.0,1.0,1.02,0.99,121658,0.0,3.0,0.0,0.0,0.16
20170301,0.97,1.07,1.07,0.97,140718,0.0,10.0,7.0,0.07,0.19
20170302,1.05,1.02,1.06,0.98,237810,0.0,7.48,-4.67,-0.05,0.32
20170303,1.03,1.0,1.03,1.0,46376,0.0,2.94,-1.96,-0.02,0.06
20170306,1.0,1.02,1.02,1.0,98489,0.0,2.0,2.0,0.02,0.13
20170307,1.0,1.0,1.02,1.0,54926,0.0,1.96,-1.96,-0.02,0.07
20170308,1.0,1.02,1.02,1.0,115240,0.0,2.0,2.0,0.02,0.16
20170309,1.01,1.0,1.02,1.0,64423,0.0,1.96,-1.96,-0.02,0.09
20170310,1.0,0.99,1.01,0.98,46585,0.0,3.0,-1.0,-0.01,0.06
20170313,1.01,1.02,1.03,0.99,45938,0.0,4.04,3.03,0.03,0.06
20170314,1.03,0.98,1.03,0.98,32586,0.0,4.9,-3.92,-0.04,0.04
20170315,0.98,1.01,1.01,0.98,94351,0.0,3.06,3.06,0.03,0.13
20170316,1.01,1.02,1.06,0.99,133396,0.0,6.93,0.99,0.01,0.18
20170317,0.99,0.99,1.03,0.99,42420,0.0,3.92,-2.94,-0.03,0.06
20170320,1.01,1.02,1.02,1.0,45378,0.0,2.02,3.03,0.03,0.06
20170321,1.02,1.03,1.05,1.0,92219,0.0,4.9,0.98,0.01,0.12
20170322,1.02,0.99,1.05,0.98,64655,0.0,6.8,-3.88,-0.04,0.09
20170323,1.01,1.01,1.02,0.99,21586,0.0,3.03,2.02,0.02,0.03
20170324,1.0,0.99,1.01,0.98,14586,0.0,2.97,-1.98,-0.02,0.02
