trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180226,34740.0,34740.0,34740.0,34740.0,10000,96500.0,0.0,0.0,0.0,0.04
20180312,34560.0,34560.0,34560.0,34560.0,1,9.0,0.0,-0.52,-180.0,0.0
20180314,34452.0,34380.0,34452.0,34380.0,14999,143340.0,0.21,-0.52,-180.0,0.06
20180320,34380.0,34380.0,34380.0,34380.0,841500,8036325.0,0.0,0.0,0.0,3.37
20180323,34380.0,34488.0,34488.0,34380.0,1212,11592.0,0.31,0.31,108.0,0.0
20180326,34380.0,34560.0,34560.0,34380.0,44000,420396.0,0.52,0.21,72.0,0.18
20180327,34560.0,34560.0,34740.0,34416.0,10300,98880.0,0.94,0.0,0.0,0.04
20180402,34740.0,34740.0,34740.0,34740.0,800,7720.0,0.0,0.52,180.0,0.0
20180419,34740.0,34740.0,34740.0,34740.0,192,0.0,0.0,0.0,0.0,0.0
20180420,34560.0,34560.0,34560.0,34560.0,112000,1075200.0,0.0,-0.52,-180.0,0.45
20180424,34740.0,34380.0,34740.0,34380.0,1226,11769.0,1.04,-0.52,-180.0,0.0
20180427,34380.0,34380.0,34380.0,34380.0,38,0.0,0.0,0.0,0.0,0.0
20180430,34380.0,34380.0,34380.0,34380.0,2,19.0,0.0,0.0,0.0,0.0
20180508,34236.0,34740.0,34740.0,34236.0,2,0.0,1.47,1.05,360.0,0.0
20180511,34596.0,34632.0,34740.0,34596.0,450351,4332377.0,0.41,-0.31,-108.0,1.8
20180517,34596.0,34632.0,34740.0,34596.0,20,0.0,0.42,0.0,0.0,0.0
20180523,34596.0,34632.0,34740.0,34596.0,20,0.0,0.42,0.0,0.0,0.0
20180605,34668.0,34668.0,34668.0,34668.0,100,963.0,0.0,0.1,36.0,0.0
20180611,34668.0,34668.0,34668.0,34668.0,64,0.0,0.0,0.0,0.0,0.0
20180618,34668.0,34668.0,34668.0,34668.0,1,0.0,0.0,0.0,0.0,0.0
20180619,34812.0,34812.0,34812.0,34812.0,199,1924.0,0.0,0.42,144.0,0.0
20180620,34776.0,34776.0,34776.0,34776.0,500000,4830000.0,0.0,-0.1,-36.0,2.0
20180621,34776.0,34776.0,34776.0,34776.0,5078,49053.0,0.0,0.0,0.0,0.02
20180625,34776.0,34776.0,34776.0,34776.0,300,2898.0,0.0,0.0,0.0,0.0
20180626,34776.0,34776.0,34812.0,34776.0,200000,1932001.0,0.1,0.0,0.0,0.8
20180627,34776.0,34776.0,34812.0,34776.0,591500,5713890.0,0.1,0.0,0.0,2.37
20180628,34776.0,34776.0,34776.0,34776.0,155600,1503096.0,0.0,0.0,0.0,0.62
20180629,34776.0,34776.0,34776.0,34776.0,100000,966000.0,0.0,0.0,0.0,0.4
20180702,34776.0,34776.0,34776.0,34776.0,200,1932.0,0.0,0.0,0.0,0.0
20180703,34740.0,34740.0,34740.0,34740.0,266667,2573336.0,0.0,-0.1,-36.0,1.04
20180705,34848.0,34776.0,34848.0,34776.0,200,1934.0,0.21,0.1,36.0,0.0
20180711,34776.0,34776.0,34776.0,34776.0,199000,1922340.0,0.0,0.0,0.0,0.77
20180717,34848.0,35100.0,35100.0,34848.0,276743,2678923.0,0.72,0.93,324.0,1.07
20180719,34884.0,34884.0,34884.0,34884.0,100,969.0,0.0,-0.62,-216.0,0.0
20180720,34884.0,34884.0,34884.0,34884.0,200000,1938000.0,0.0,0.0,0.0,0.78
20180725,34920.0,34920.0,34920.0,34920.0,902,8749.0,0.0,0.1,36.0,0.0
20180727,34920.0,34920.0,34920.0,34920.0,298,2890.0,0.0,0.0,0.0,0.0
20180731,34920.0,34920.0,34920.0,34920.0,50000,484999.0,0.0,0.0,0.0,0.19
20180801,34920.0,34920.0,34920.0,34920.0,5001,48509.0,0.0,0.0,0.0,0.02
20180806,34920.0,34920.0,34920.0,34920.0,100000,969999.0,0.0,0.0,0.0,0.4
20180807,34920.0,34920.0,34920.0,34920.0,1,0.0,0.0,0.0,0.0,0.0
20180808,34920.0,34920.0,34920.0,34920.0,25000,242499.0,0.0,0.0,0.0,0.1
20180810,34848.0,34956.0,34956.0,34848.0,305000,2952549.0,0.31,0.1,36.0,1.22
20180816,34920.0,34920.0,34920.0,34920.0,251000,2434700.0,0.0,-0.1,-36.0,1.0
20180822,34920.0,34920.0,34920.0,34920.0,1,0.0,0.0,0.0,0.0,0.0
20180831,34884.0,34884.0,34884.0,34884.0,116801,1131801.0,0.0,-0.1,-36.0,0.47
20180904,34884.0,34884.0,34920.0,34884.0,850,8238.0,0.1,0.0,0.0,0.0
20180912,34884.0,34884.0,34884.0,34884.0,8664,83954.0,0.0,0.0,0.0,0.03
20180918,35100.0,35100.0,35100.0,35064.0,193624,1887823.0,0.1,0.62,216.0,0.77
20180919,35100.0,35100.0,35100.0,35100.0,150000,1462500.0,0.0,0.0,0.0,0.6
20180921,34920.0,34920.0,34920.0,34920.0,18700,181390.0,0.0,-0.51,-180.0,0.07
20180924,35100.0,35100.0,35100.0,35100.0,100000,975000.0,0.0,0.52,180.0,0.4
20180927,35100.0,35100.0,35100.0,35100.0,64,0.0,0.0,0.0,0.0,0.0
20181001,35064.0,35064.0,35064.0,35064.0,300,2922.0,0.0,-0.1,-36.0,0.0
20181002,35100.0,35064.0,35100.0,35064.0,200,1948.0,0.1,0.0,0.0,0.0
20181008,35100.0,35064.0,35100.0,35064.0,1,0.0,0.1,0.0,0.0,0.0
20181011,34992.0,34992.0,34992.0,34992.0,464,4510.0,0.0,-0.21,-72.0,0.0
20181015,35028.0,35028.0,35028.0,35028.0,1336,12999.0,0.0,0.1,36.0,0.01
20181018,35028.0,35028.0,35028.0,35028.0,938040,0.0,0.0,0.0,0.0,3.75
20181023,35028.0,35028.0,35028.0,35028.0,562000,5468260.0,0.0,0.0,0.0,2.25
20181024,35028.0,35028.0,35064.0,35028.0,45900,446617.0,0.1,0.0,0.0,0.18
20181105,34632.0,34632.0,34632.0,34632.0,1000,9620.0,0.0,-1.13,-396.0,0.0
20181109,34992.0,34992.0,34992.0,34992.0,10030,97491.0,0.0,1.04,360.0,0.04
20181112,34992.0,35064.0,35064.0,34992.0,6100,59311.0,0.21,0.21,72.0,0.02
20181115,35064.0,35100.0,35100.0,35064.0,75469,735078.0,0.1,0.1,36.0,0.3
20181116,35280.0,35280.0,35280.0,35280.0,1000,9800.0,0.0,0.51,180.0,0.0
20181119,35280.0,35280.0,35280.0,35280.0,1000,9800.0,0.0,0.0,0.0,0.0
20181121,35028.0,35064.0,35064.0,35028.0,31940,310777.0,0.1,-0.61,-216.0,0.13
20181127,35136.0,35136.0,35136.0,35136.0,1000,9760.0,0.0,0.21,72.0,0.0
20181128,35136.0,35136.0,35136.0,35136.0,25000,244000.0,0.0,0.0,0.0,0.1
