trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220405,49.14,44.02,53.14,44.02,2234654,110796307.0,18.56,-10.42,-5.12,3.72
20220406,43.87,44.19,46.06,42.1,2231100,100974187.0,9.0,0.39,0.17,3.72
20220407,43.34,44.9,47.54,43.34,1540247,71614852.0,9.5,1.61,0.71,2.57
20220408,45.14,46.05,47.25,44.64,1521508,70549010.0,5.81,2.56,1.15,2.54
20220411,46.18,47.87,48.52,45.21,917698,44051206.0,7.19,3.95,1.82,1.53
20220412,48.64,51.55,53.77,48.375,1374097,72257189.0,11.27,7.69,3.68,2.29
20220413,51.89,54.6,57.22,50.58,1051714,58328058.0,12.88,5.92,3.05,1.75
20220414,54.87,54.04,55.21,50.59,454320,24763778.0,8.46,-1.03,-0.56,0.76
20220418,53.78,53.29,54.28,51.9,419547,22757416.0,4.4,-1.39,-0.75,0.7
20220419,53.15,52.66,54.22,51.64,425494,22827952.0,4.84,-1.18,-0.63,0.71
20220420,54.21,52.86,54.21,51.85,258176,13813150.0,4.48,0.38,0.2,0.43
20220421,52.97,50.82,53.46,49.73,451170,23298662.0,7.06,-3.86,-2.04,0.75
20220422,50.46,50.64,52.24,49.87,378587,19613642.0,4.66,-0.35,-0.18,0.63
20220425,50.19,49.28,50.39,47.68,296697,14847897.0,5.35,-2.69,-1.36,0.49
20220426,48.23,47.91,49.59,47.73,367142,18114718.0,3.77,-2.78,-1.37,0.61
20220427,47.78,46.18,48.78,45.08,392099,18494280.0,7.72,-3.61,-1.73,0.65
20220428,47.21,48.11,48.35,46.5,277777,13533008.0,4.01,4.18,1.93,0.46
20220429,46.82,46.14,49.85,45.99,269783,12997160.0,8.02,-4.09,-1.97,0.45
20220502,47.25,47.35,48.53,45.16,354940,17208781.0,7.3,2.62,1.21,0.59
20220503,47.8,49.26,49.885,47.74,647047,32333413.0,4.53,4.03,1.91,1.08
20220504,49.4,50.09,50.82,47.33,435435,22017652.0,7.08,1.68,0.83,0.73
20220505,50.07,48.01,50.14,47.83,427114,21221009.0,4.61,-4.15,-2.08,0.71
20220506,48.24,47.39,49.415,47.04,307650,15010043.0,4.95,-1.29,-0.62,0.51
20220509,46.42,45.27,46.985,44.72,763582,35509243.0,4.78,-4.47,-2.12,1.27
20220510,47.71,47.14,48.85,42.7,804262,37961938.0,13.59,4.13,1.87,1.34
20220511,47.07,44.6,47.2,43.73,682351,31623620.0,7.36,-5.39,-2.54,1.14
20220512,44.62,46.48,46.8,43.81,306085,14369575.0,6.7,4.22,1.88,0.51
20220513,46.44,49.39,49.8,45.171,446072,21774010.0,9.96,6.26,2.91,0.74
20220516,49.35,49.01,50.74,48.3,275708,13829360.0,4.94,-0.77,-0.38,0.46
20220517,49.82,50.07,50.58,49.43,473094,24084826.0,2.35,2.16,1.06,0.79
20220518,49.44,47.27,49.44,47.21,164625,8042189.0,4.45,-5.59,-2.8,0.27
20220519,46.93,45.93,47.711,45.41,340011,15965737.0,4.87,-2.83,-1.34,0.57
20220520,46.87,46.64,47.52,45.01,371232,17462807.0,5.46,1.55,0.71,0.62
20220523,47.26,48.48,49.35,46.99,521131,25579584.0,5.06,3.95,1.84,0.87
20220524,48.39,48.06,48.74,46.96,437722,21357291.0,3.67,-0.87,-0.42,0.73
20220525,48.13,47.99,48.68,47.85,267160,13119658.0,1.73,-0.15,-0.07,0.45
20220526,48.25,48.59,48.752,47.92,374332,18442803.0,1.73,1.25,0.6,0.62
20220527,49.0,49.21,49.9,48.49,215849,10809562.0,2.9,1.28,0.62,0.36
20220531,49.53,49.14,49.53,47.647,526710,26260550.0,3.83,-0.14,-0.07,0.88
20220601,49.6,48.98,49.715,47.915,317273,15756999.0,3.66,-0.33,-0.16,0.53
20220602,49.02,50.56,51.62,48.741,753047,38531420.0,5.88,3.23,1.58,1.26
20220603,50.59,48.32,50.59,46.9,478119,23503748.0,7.3,-4.43,-2.24,0.8
20220606,49.56,50.38,50.88,48.955,547576,27930489.0,3.98,4.26,2.06,0.91
20220607,48.5,49.35,50.16,47.46,718403,35580120.0,5.36,-2.04,-1.03,1.2
20220608,47.84,48.54,49.825,47.84,416620,20735330.0,4.02,-1.64,-0.81,0.69
20220609,48.64,47.57,49.79,47.15,349622,17094194.0,5.44,-2.0,-0.97,0.58
20220610,47.02,44.78,47.09,44.74,277511,12827357.0,4.94,-5.87,-2.79,0.46
20220613,43.82,43.61,44.65,43.2,730655,32702493.0,3.24,-2.61,-1.17,1.22
20220614,43.55,44.15,44.68,43.55,658503,29630496.0,2.59,1.24,0.54,1.1
20220615,44.36,44.35,45.1,43.6,431444,19483738.0,3.4,0.45,0.2,0.72
20220616,43.62,43.43,44.36,42.74,683238,30222965.0,3.65,-2.07,-0.92,1.14
20220617,43.68,42.57,44.14,42.36,697811,30574799.0,4.1,-1.98,-0.86,1.16
20220621,42.91,42.81,43.56,42.34,478410,20918614.0,2.87,0.56,0.24,0.8
20220622,42.31,42.61,42.905,41.92,536377,23313935.0,2.3,-0.47,-0.2,0.89
20220623,42.79,42.48,43.558,42.06,539924,23383849.0,3.52,-0.31,-0.13,0.9
20220624,42.99,44.78,45.22,42.83,992968,45070270.0,5.63,5.41,2.3,1.66
20220627,44.82,45.51,46.07,43.25,384619,17857338.0,6.3,1.63,0.73,0.64
20220628,45.81,42.81,46.227,42.8,230131,10246441.0,7.53,-5.93,-2.7,0.38
20220629,42.88,42.22,44.12,41.78,289934,12496236.0,5.47,-1.38,-0.59,0.48
20220630,41.75,42.94,43.63,41.28,440622,19202435.0,5.57,1.71,0.72,0.73
20220701,42.78,43.01,43.77,41.775,241793,10492773.0,4.65,0.16,0.07,0.4
20220705,42.77,40.57,42.98,39.16,442118,18259631.0,8.88,-5.67,-2.44,0.74
20220706,40.58,40.45,40.88,39.6,931969,38353783.0,3.16,-0.3,-0.12,1.55
20220707,40.92,41.68,42.18,40.847,275825,11729861.0,3.3,3.04,1.23,0.46
20220708,41.32,40.85,41.92,40.55,221727,9245458.0,3.29,-1.99,-0.83,0.37
20220711,40.68,40.1,40.86,39.9,235703,9658389.0,2.35,-1.84,-0.75,0.39
20220712,40.19,40.04,41.35,39.43,331213,13685225.0,4.79,-0.15,-0.06,0.55
20220713,39.14,39.65,39.81,38.81,197005,7928185.0,2.5,-0.97,-0.39,0.33
20220714,38.97,38.9,39.14,38.308,372089,14716175.0,2.1,-1.89,-0.75,0.62
20220715,39.91,39.19,40.005,39.01,334068,13444193.0,2.56,0.75,0.29,0.56
20220718,39.31,39.76,40.19,39.02,351226,14230822.0,2.99,1.45,0.57,0.58
20220719,40.35,42.55,42.72,40.35,194446,8363793.0,5.96,7.02,2.79,0.32
20220720,42.42,41.69,43.37,41.2,394935,16832195.0,5.1,-2.02,-0.86,0.66
20220721,41.42,42.1,42.64,41.11,174053,7484508.0,3.67,0.98,0.41,0.29
20220722,42.21,41.2,42.62,40.835,183272,7742389.0,4.24,-2.14,-0.9,0.31
20220725,41.2,40.76,41.2,40.14,471599,19509369.0,2.57,-1.07,-0.44,0.79
20220726,40.53,39.7,41.01,39.66,663928,27131327.0,3.31,-2.6,-1.06,1.11
20220727,39.89,40.37,40.75,39.42,534240,21900608.0,3.35,1.69,0.67,0.89
20220728,40.49,40.43,41.42,39.96,391550,16119101.0,3.62,0.15,0.06,0.65
20220729,40.51,40.41,41.53,40.24,530545,21918673.0,3.19,-0.05,-0.02,0.88
20220801,40.18,41.35,41.48,39.53,307160,12886145.0,4.83,2.33,0.94,0.51
20220802,41.14,41.79,42.215,40.99,249747,10627362.0,2.96,1.06,0.44,0.42
20220803,41.8,43.51,43.61,41.61,172742,7581877.0,4.79,4.12,1.72,0.29
20220804,43.63,43.5,43.7,43.29,174582,7725790.0,0.94,-0.02,-0.01,0.29
20220805,43.4,43.79,43.88,43.095,136689,6072624.0,1.8,0.67,0.29,0.23
20220808,43.92,43.35,44.2,42.97,258618,11447292.0,2.81,-1.0,-0.44,0.43
20220809,42.81,41.73,43.79,40.66,387338,16449309.0,7.22,-3.74,-1.62,0.65
20220810,42.87,43.44,44.084,42.29,135134,5994716.0,4.3,4.1,1.71,0.23
20220811,43.83,43.99,44.831,43.46,128962,5788161.0,3.16,1.27,0.55,0.21
20220812,44.02,44.45,44.49,43.28,124805,5604214.0,2.75,1.05,0.46,0.21
20220815,44.19,45.0,45.1,43.96,152482,6951761.0,2.56,1.24,0.55,0.25
20220816,44.74,44.54,45.245,43.77,441680,20041370.0,3.28,-1.02,-0.46,0.74
20220817,44.06,43.23,44.81,43.0,236842,10511712.0,4.06,-2.94,-1.31,0.39
20220818,43.89,43.98,44.15,42.98,279903,12412798.0,2.71,1.73,0.75,0.47
20220819,44.24,44.19,44.56,43.01,275764,12354564.0,3.52,0.48,0.21,0.46
20220822,42.62,42.91,43.01,41.89,351066,15217408.0,2.53,-2.9,-1.28,0.58
20220823,42.89,42.67,43.66,42.28,257079,11231655.0,3.22,-0.56,-0.24,0.43
20220824,42.45,43.02,43.67,41.95,140132,6121046.0,4.03,0.82,0.35,0.23
20220825,43.36,43.83,43.88,42.96,184439,8179047.0,2.14,1.88,0.81,0.31
20220826,43.64,42.35,44.17,42.11,259549,11341448.0,4.7,-3.38,-1.48,0.43
20220829,42.03,41.55,42.03,41.14,143217,6072455.0,2.1,-1.89,-0.8,0.24
