trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190102,53.977,54.506,54.671,53.959,1768,105332.0,0.0,0.0,0.0,0.0
20190103,53.721,53.055,53.977,53.055,5235,307267.0,1.69,-2.66,-1.451,0.0
20190104,54.306,54.963,54.963,54.306,13309,797713.0,1.24,3.6,1.908,0.0
20190107,54.935,55.465,55.538,54.935,1295,78237.0,1.1,0.91,0.502,0.0
20190108,55.848,55.802,55.939,55.346,7234,441948.0,1.07,0.61,0.337,0.0
20190109,56.076,56.058,56.076,55.994,2554,156845.0,0.15,0.46,0.256,0.0
20190110,55.83,56.295,56.295,55.83,3339,205109.0,0.83,0.42,0.237,0.0
20190111,56.131,56.241,56.241,56.003,1451,89188.0,0.42,-0.1,-0.054,0.0
20190114,56.003,55.93,56.003,55.93,151,9265.0,0.13,-0.55,-0.311,0.0
20190115,56.569,56.569,56.569,56.542,1091,67609.0,0.05,1.14,0.639,0.0
20190116,56.569,56.797,56.797,56.797,150,0.0,0.0,0.4,0.228,0.0
20190117,56.806,57.144,57.144,56.806,1281,80045.0,0.6,0.61,0.347,0.0
20190118,57.582,57.82,57.865,57.582,2653,167749.0,0.5,1.18,0.676,0.0
20190122,57.4,57.007,57.4,56.797,17400,1085921.0,1.04,-1.41,-0.813,0.0
20190123,57.491,57.153,57.491,57.117,1588,99500.0,0.66,0.26,0.146,0.0
20190124,57.171,57.153,57.208,56.943,3993,249983.0,0.46,0.0,0.0,0.0
20190125,57.783,57.546,57.783,57.546,1013,64068.0,0.41,0.69,0.393,0.0
20190128,56.834,57.044,57.053,56.834,5181,323468.0,0.38,-0.87,-0.502,0.0
20190129,57.053,56.879,57.153,56.861,5746,358854.0,0.51,-0.29,-0.165,0.0
20190130,57.445,57.838,57.838,57.409,1423,89516.0,0.75,1.69,0.959,0.0
20190131,58.075,58.458,58.458,58.075,2424,154910.0,0.66,1.07,0.62,0.0
20190201,58.668,58.449,58.668,58.449,2300,147665.0,0.37,-0.02,-0.009,0.0
20190205,59.079,59.097,59.097,59.079,372,24079.0,0.03,1.11,0.648,0.0
20190206,59.079,58.979,59.079,58.96,5869,379827.0,0.2,-0.2,-0.118,0.0
20190207,58.559,58.321,58.677,58.057,3640,233213.0,1.05,-1.12,-0.658,0.0
20190208,58.166,58.312,58.34,57.993,20853,1327439.0,0.59,-0.02,-0.009,0.0
20190211,58.449,58.449,58.449,58.449,295,18890.0,0.0,0.23,0.137,0.0
20190212,58.988,59.152,59.262,58.988,2736,177238.0,0.47,1.2,0.703,0.0
20190213,59.453,59.344,59.453,59.344,165,10747.0,0.18,0.32,0.192,0.0
20190214,59.152,59.143,59.189,58.988,11181,724107.0,0.34,-0.34,-0.201,0.0
20190215,59.709,59.773,59.773,59.709,1545,101073.0,0.11,1.07,0.63,0.0
20190219,59.554,59.955,60.037,59.554,8174,534975.0,0.81,0.3,0.182,0.0
20190220,59.964,59.964,60.037,59.873,3963,260380.0,0.27,0.02,0.009,0.0
20190221,59.964,59.818,59.818,59.818,131,0.0,0.0,-0.24,-0.146,0.0
20190222,60.256,60.256,60.256,60.256,264,17429.0,0.0,0.73,0.438,0.0
20190225,60.713,60.384,60.713,60.384,345,22949.0,0.55,0.21,0.128,0.0
20190226,60.466,60.402,60.466,60.402,368,24381.0,0.11,0.03,0.018,0.0
20190227,60.311,60.439,60.439,60.311,2760,182714.0,0.21,0.06,0.037,0.0
20190228,60.393,60.22,60.393,60.22,479,31678.0,0.29,-0.36,-0.219,0.0
20190301,60.731,60.631,60.731,60.612,1086,72206.0,0.2,0.68,0.411,0.0
20190304,60.95,60.393,60.95,60.393,14797,986841.0,0.92,-0.39,-0.238,0.0
20190305,60.293,60.32,60.439,60.293,1662,109871.0,0.24,-0.12,-0.073,0.0
20190306,59.992,59.937,59.992,59.873,416,27320.0,0.2,-0.63,-0.383,0.0
20190308,58.924,59.298,59.298,58.915,5874,379392.0,0.64,-1.07,-0.639,0.0
20190311,59.809,60.193,60.193,59.809,556,36470.0,0.65,1.51,0.895,0.0
20190312,60.576,60.384,60.576,60.384,433,28732.0,0.32,0.32,0.191,0.0
20190313,60.786,60.85,60.85,60.777,17704,1179009.0,0.12,0.77,0.466,0.0
20190314,60.868,60.859,60.868,60.859,721,48083.0,0.01,0.01,0.009,0.0
20190315,61.126,61.199,61.199,61.199,5,0.0,0.0,0.56,0.34,0.0
20190318,61.364,61.447,61.447,61.364,2452,164189.0,0.14,0.41,0.248,0.0
20190319,61.703,61.41,61.703,61.41,12348,830734.0,0.48,-0.06,-0.037,0.0
20190320,61.557,61.282,61.557,61.282,254,17056.0,0.45,-0.21,-0.128,0.0
20190321,61.447,61.942,61.942,61.447,5088,341191.0,0.81,1.08,0.66,0.0
20190322,61.942,60.833,60.833,60.833,389,0.0,0.0,-1.79,-1.109,0.0
20190325,60.833,60.713,60.713,60.713,76,0.0,0.0,-0.2,-0.12,0.0
20190326,60.979,61.08,61.08,60.979,170,11307.0,0.17,0.6,0.367,0.0
20190328,60.897,61.089,61.089,60.869,2789,185267.0,0.36,0.01,0.009,0.0
20190329,61.089,61.483,61.483,61.483,3,0.0,0.0,0.64,0.394,0.0
20190401,61.905,62.235,62.235,61.905,429,28990.0,0.54,1.22,0.752,0.0
20190402,62.171,62.253,62.253,62.171,255,17294.0,0.13,0.03,0.018,0.0
20190403,62.574,62.446,62.574,62.299,2772,188630.0,0.44,0.31,0.193,0.0
20190404,62.446,62.519,62.519,62.519,22,0.0,0.0,0.12,0.073,0.0
20190405,62.794,62.758,62.794,62.73,323,22111.0,0.1,0.38,0.239,0.0
20190408,62.721,62.904,62.904,62.721,307,21004.0,0.29,0.23,0.146,0.0
