trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20090916,-4.4,-3.64,-3.25,-4.51,231174,0.0,-14.02,59.51,5.35,1.89
20090917,-4.4,-3.64,-3.25,-4.51,231174,0.0,-34.62,0.0,0.0,1.89
20090918,-4.4,-3.64,-3.25,-4.51,231174,0.0,-34.62,0.0,0.0,1.89
20090921,-0.14,-0.97,0.41,-1.09,161480,0.0,-41.21,73.35,2.67,1.32
20090922,-0.71,-0.27,-0.17,-1.27,135181,0.0,-113.4,72.16,0.7,1.11
20090923,-0.27,0.28,1.16,-0.27,196153,0.0,-529.63,203.7,0.55,1.61
20090924,0.27,-0.39,0.56,-1.05,128719,0.0,575.0,-239.29,-0.67,1.05
20090925,-0.38,-0.48,0.16,-0.67,43449,0.0,-212.82,-23.08,-0.09,0.36
20090928,-0.38,-0.48,0.16,-0.67,43449,0.0,-172.92,0.0,0.0,0.36
20090929,1.06,-0.24,1.47,-0.28,339192,0.0,-364.58,50.0,0.24,2.78
20090930,-0.08,0.48,0.96,-1.07,136885,0.0,-845.83,300.0,0.72,1.12
20091001,0.26,0.07,0.28,-0.94,263001,0.0,254.17,-85.42,-0.41,2.15
20091002,-0.25,0.11,0.8,-0.81,151280,0.0,2300.0,57.14,0.04,1.24
20091005,0.08,0.49,1.11,-0.15,283253,0.0,1145.45,345.45,0.38,2.32
20091006,0.73,0.34,1.14,-0.06,183645,0.0,244.9,-30.61,-0.15,1.5
20091007,0.36,0.4,0.72,0.09,71202,0.0,185.29,17.65,0.06,0.58
20091008,0.39,-0.26,0.7,-0.28,307869,0.0,245.0,-165.0,-0.66,2.52
20091009,-0.44,1.26,1.26,-0.49,138137,0.0,-673.08,584.62,1.52,1.13
20091012,1.38,1.62,1.94,1.06,138751,0.0,69.84,28.57,0.36,1.14
20091013,1.63,1.56,1.96,1.12,213165,0.0,51.85,-3.7,-0.06,1.75
20091014,2.11,3.76,3.95,1.96,337149,0.0,127.56,141.03,2.2,2.76
20091015,3.63,4.25,4.66,2.76,197700,0.0,50.53,13.03,0.49,1.62
20091016,4.06,4.13,4.28,3.42,153106,0.0,20.24,-2.82,-0.12,1.25
20091019,4.32,4.08,4.32,3.37,111223,0.0,23.0,-1.21,-0.05,0.91
20091020,4.08,3.38,4.17,2.44,107339,0.0,42.4,-17.16,-0.7,0.88
20091021,3.37,2.16,4.08,2.06,217697,0.0,59.76,-36.09,-1.22,1.78
20091022,2.15,2.06,2.52,0.99,286378,0.0,70.83,-4.63,-0.1,2.34
20091023,2.05,1.96,2.45,1.47,57723,0.0,47.57,-4.85,-0.1,0.47
20091026,1.84,2.41,2.88,1.73,225941,0.0,58.67,22.96,0.45,1.85
20091027,2.1,2.61,2.76,2.09,115067,0.0,27.8,8.3,0.2,0.94
20091028,1.52,2.41,4.51,1.52,265782,0.0,114.56,-7.66,-0.2,2.18
20091029,2.83,4.0,4.22,2.83,152298,0.0,57.68,65.98,1.59,1.25
20091030,3.95,3.9,4.82,3.63,281543,0.0,29.75,-2.5,-0.1,2.31
20091102,4.23,3.57,4.32,3.27,117478,0.0,26.92,-8.46,-0.33,0.96
20091103,3.5,3.98,4.33,3.33,143213,0.0,28.01,11.48,0.41,1.17
20091104,4.52,3.76,4.92,3.72,85200,0.0,30.15,-5.53,-0.22,0.7
20091105,4.12,3.77,4.35,3.71,222214,0.0,17.02,0.27,0.01,1.82
20091106,3.74,3.36,4.16,2.88,143152,0.0,33.95,-10.88,-0.41,1.17
20091109,3.66,4.8,4.97,3.66,80162,0.0,38.99,42.86,1.44,0.66
20091110,4.51,5.21,5.24,4.3,143963,0.0,19.58,8.54,0.41,1.18
20091111,5.38,5.46,5.76,5.24,61893,0.0,9.98,4.8,0.25,0.51
20091112,5.2,5.21,5.9,4.94,69894,0.0,17.58,-4.58,-0.25,0.57
20091113,5.09,6.16,6.88,5.02,216039,0.0,35.7,18.23,0.95,1.77
20091116,6.57,5.81,6.66,5.55,127728,0.0,18.02,-5.68,-0.35,1.05
20091117,5.71,6.0,6.26,5.64,145304,0.0,10.67,3.27,0.19,1.19
20091118,5.85,4.26,5.85,3.71,120322,0.0,35.67,-29.0,-1.74,0.99
20091119,3.8,2.87,3.8,2.6,53147,0.0,28.17,-32.63,-1.39,0.44
20091120,2.8,2.72,3.15,2.29,49836,0.0,29.97,-5.23,-0.15,0.41
20091123,3.65,4.35,5.14,3.65,242017,0.0,54.78,59.93,1.63,1.98
20091124,4.16,3.85,4.46,2.36,91811,0.0,48.28,-11.49,-0.5,0.75
20091125,4.6,3.42,4.6,3.11,54815,0.0,38.7,-11.17,-0.43,0.45
20091127,2.32,2.63,3.04,2.32,36137,0.0,21.05,-23.1,-0.79,0.3
20091130,2.49,2.47,2.56,1.32,69687,0.0,47.15,-6.08,-0.16,0.57
20091201,2.74,3.04,3.19,1.74,89960,0.0,58.7,23.08,0.57,0.74
20091202,2.78,2.94,4.05,2.71,62018,0.0,44.08,-3.29,-0.1,0.51
20091203,3.17,2.52,3.49,2.5,75797,0.0,33.67,-14.29,-0.42,0.62
20091204,3.17,2.21,3.2,2.18,139157,0.0,40.48,-12.3,-0.31,1.14
20091207,2.41,0.58,2.5,0.13,176358,0.0,107.24,-73.76,-1.63,1.44
20091208,0.47,0.87,0.87,-1.16,402513,0.0,350.0,50.0,0.29,3.3
20091209,0.69,0.43,0.71,0.25,64510,0.0,52.87,-50.57,-0.44,0.53
20091210,0.36,0.4,0.57,0.25,98543,0.0,74.42,-6.98,-0.03,0.81
20091211,0.65,0.12,0.93,0.11,128154,0.0,205.0,-70.0,-0.28,1.05
20091214,-0.04,0.51,0.59,-0.94,140116,0.0,1275.0,325.0,0.39,1.15
20091215,0.51,1.06,1.47,0.21,141469,0.0,247.06,107.84,0.55,1.16
20091216,1.26,3.03,3.14,1.25,250479,0.0,178.3,185.85,1.97,2.05
20091217,2.9,3.03,3.11,2.28,97660,0.0,27.39,0.0,0.0,0.8
20091218,3.3,4.1,4.75,3.09,343747,0.0,54.79,35.31,1.07,2.81
20091221,4.43,3.58,4.57,3.38,121500,0.0,29.02,-12.68,-0.52,0.99
20091222,3.43,2.87,3.74,2.18,114046,0.0,43.58,-19.83,-0.71,0.93
20091223,2.93,2.32,3.05,2.25,85736,0.0,27.87,-19.16,-0.55,0.7
20091224,2.34,2.01,2.38,1.85,26157,0.0,22.84,-13.36,-0.31,0.21
20091228,2.06,1.62,2.06,1.51,43449,0.0,27.36,-19.4,-0.39,0.36
20091229,1.59,0.73,1.59,0.57,57402,0.0,62.96,-54.94,-0.89,0.47
20091230,0.84,1.06,1.92,0.45,47283,0.0,201.37,45.21,0.33,0.39
20091231,1.3,1.8,1.89,1.3,59994,0.0,55.66,69.81,0.74,0.37
20100104,2.02,2.75,3.14,1.83,113302,0.0,72.78,52.78,0.95,0.69
20100105,2.95,2.79,2.95,2.48,31346,0.0,17.09,1.45,0.04,0.19
20100106,2.43,2.56,3.21,2.42,58576,0.0,28.32,-8.24,-0.23,0.36
20100107,2.75,2.89,2.91,1.97,86435,0.0,36.72,12.89,0.33,0.53
20100108,2.92,2.92,2.96,2.15,48234,0.0,28.03,1.04,0.03,0.3
20100111,3.04,2.82,3.21,2.15,74973,0.0,36.3,-3.42,-0.1,0.46
20100112,2.56,2.37,3.32,2.32,64886,0.0,35.46,-15.96,-0.45,0.4
20100113,2.58,3.76,3.87,2.23,130213,0.0,69.2,58.65,1.39,0.8
20100114,3.81,4.0,4.38,3.67,84870,0.0,18.88,6.38,0.24,0.52
20100115,4.13,4.26,4.34,3.55,81110,0.0,19.75,6.5,0.26,0.5
20100119,4.41,5.18,5.34,4.25,157098,0.0,25.59,21.6,0.92,0.96
20100120,4.99,4.69,5.76,4.55,136364,0.0,23.36,-9.46,-0.49,0.83
20100121,4.49,4.16,4.68,3.54,226730,0.0,24.31,-11.3,-0.53,1.39
20100122,4.31,4.07,4.47,3.85,212399,0.0,14.9,-2.16,-0.09,1.3
20100125,4.3,3.48,4.3,3.3,54772,0.0,24.57,-14.5,-0.59,0.34
20100126,3.26,2.0,3.26,1.87,63949,0.0,39.94,-42.53,-1.48,0.39
20100127,1.54,1.82,2.07,1.43,57934,0.0,32.0,-9.0,-0.18,0.35
20100128,1.86,1.53,2.3,1.48,61797,0.0,45.05,-15.93,-0.29,0.38
20100129,1.67,1.37,2.06,1.21,51597,0.0,55.56,-10.46,-0.16,0.32
20100201,1.28,1.51,1.72,1.2,159174,0.0,37.96,10.22,0.14,0.97
20100204,0.17,-0.8,0.35,-0.83,117125,0.0,78.15,-152.98,-2.31,0.72
20100205,-0.79,0.01,0.08,-1.25,123881,0.0,-166.25,101.25,0.81,0.76
20100208,-0.01,0.19,0.42,-0.01,93571,0.0,4300.0,1800.0,0.18,0.57
20100209,0.61,0.67,0.9,0.1,68682,0.0,421.05,252.63,0.48,0.42
20100210,0.66,1.15,1.39,0.39,103968,0.0,149.25,71.64,0.48,0.64
20100211,1.0,1.5,1.63,0.62,54208,0.0,87.83,30.43,0.35,0.33
20100212,1.35,2.15,2.16,1.05,87023,0.0,74.0,43.33,0.65,0.53
20100216,2.28,3.22,3.27,1.88,71676,0.0,64.65,49.77,1.07,0.44
20100217,3.4,2.62,3.43,2.45,61098,0.0,30.43,-18.63,-0.6,0.37
20100218,2.5,2.91,3.09,1.86,79943,0.0,46.95,11.07,0.29,0.48
20100219,2.74,1.96,2.77,1.85,92850,0.0,31.62,-32.65,-0.95,0.55
20100222,2.07,2.59,2.65,2.02,151008,0.0,32.14,32.14,0.63,0.9
20100223,2.45,1.41,2.45,1.19,105198,0.0,48.65,-45.56,-1.18,0.63
20100224,1.56,1.92,2.28,1.49,167971,0.0,56.03,36.17,0.51,1.0
20100225,1.68,1.92,2.02,1.44,61383,0.0,30.21,0.0,0.0,0.36
20100226,1.92,1.67,2.34,1.56,177286,0.0,40.63,-13.02,-0.25,1.05
20100301,1.72,2.25,2.31,1.72,121413,0.0,35.33,34.73,0.58,0.72
20100302,2.25,2.58,2.61,2.17,71075,0.0,19.56,14.67,0.33,0.42
20100303,2.68,2.61,3.52,2.54,53828,0.0,37.98,1.16,0.03,0.32
20100304,2.61,2.85,3.05,2.61,41861,0.0,16.86,9.2,0.24,0.25
20100305,3.11,3.56,3.75,3.1,125326,0.0,22.81,24.91,0.71,0.74
20100308,3.65,3.5,3.76,3.35,219629,0.0,11.52,-1.69,-0.06,1.31
20100309,3.31,3.88,3.88,3.07,200350,0.0,23.14,10.86,0.38,1.19
20100310,4.46,4.66,5.98,4.41,752981,0.0,40.46,20.1,0.78,4.47
20100311,4.74,4.26,5.01,4.05,345009,0.0,20.6,-8.58,-0.4,2.05
20100312,4.47,4.01,4.58,3.82,261819,0.0,17.84,-5.87,-0.25,1.56
20100315,3.74,3.67,4.06,3.36,204857,0.0,17.46,-8.48,-0.34,1.22
20100316,3.87,4.6,4.6,3.5,224939,0.0,29.97,25.34,0.93,1.34
20100317,4.7,5.44,5.71,4.46,152029,0.0,27.17,18.26,0.84,0.9
20100318,5.57,5.06,5.76,4.93,124272,0.0,15.26,-6.99,-0.38,0.74
20100319,5.24,4.26,5.24,3.57,174238,0.0,33.0,-15.81,-0.8,1.04
20100322,4.06,3.97,4.29,3.92,157659,0.0,8.69,-6.81,-0.29,0.94
20100323,3.88,3.68,4.09,3.41,141315,0.0,17.13,-7.3,-0.29,0.84
20100324,3.47,3.41,3.78,3.2,209558,0.0,15.76,-7.34,-0.27,1.25
20100325,3.68,3.06,3.95,2.98,70410,0.0,28.45,-10.26,-0.35,0.42
20100326,3.25,2.95,3.28,2.46,169682,0.0,26.8,-3.59,-0.11,1.01
20100329,2.94,2.21,3.19,1.92,214953,0.0,43.05,-25.08,-0.74,1.28
20100330,2.28,2.31,2.85,1.91,107835,0.0,42.53,4.52,0.1,0.64
20100331,2.29,1.56,2.34,1.46,85694,0.0,38.1,-32.47,-0.75,0.51
20100401,1.6,1.0,1.77,0.67,150529,0.0,70.51,-35.9,-0.56,0.89
20100405,1.18,1.9,1.92,0.57,91638,0.0,135.0,90.0,0.9,0.54
20100406,1.85,1.85,1.98,1.56,103297,0.0,22.11,-2.63,-0.05,0.61
20100407,1.73,2.24,2.38,1.73,89882,0.0,35.14,21.08,0.39,0.53
20100408,2.25,1.84,2.43,1.75,86726,0.0,30.36,-17.86,-0.4,0.52
20100409,2.59,3.93,4.35,2.59,338346,0.0,95.65,113.59,2.09,2.01
20100412,4.09,4.11,4.57,3.51,209408,0.0,26.97,4.58,0.18,1.24
20100413,4.04,4.3,4.35,3.38,133651,0.0,23.6,4.62,0.19,0.79
20100414,4.55,5.39,5.42,4.14,134145,0.0,29.77,25.35,1.09,0.8
20100419,5.61,5.03,5.76,4.42,162216,0.0,24.86,-6.68,-0.36,0.96
20100420,5.14,3.71,5.23,2.96,387837,0.0,45.13,-26.24,-1.32,2.3
20100421,3.7,5.58,5.89,3.7,311159,0.0,59.03,50.4,1.87,1.85
20100422,5.23,7.07,7.09,4.99,205417,0.0,37.63,26.7,1.49,1.22
20100423,7.15,8.64,8.67,7.15,284523,0.0,21.5,22.21,1.57,1.69
20100426,8.64,8.1,9.23,7.86,306516,0.0,15.86,-6.25,-0.54,1.82
20100427,7.87,7.92,8.41,7.4,209683,0.0,12.47,-2.22,-0.18,1.25
20100428,8.21,8.02,8.72,7.75,237904,0.0,12.25,1.26,0.1,1.41
20100429,8.12,7.89,8.22,7.79,228849,0.0,5.36,-1.62,-0.13,1.36
20100430,7.78,7.4,7.88,6.81,117860,0.0,13.56,-6.21,-0.49,0.7
20100503,7.5,9.79,9.79,7.26,130863,0.0,34.19,32.3,2.39,0.78
20100504,9.39,8.16,9.7,8.08,300959,0.0,16.55,-16.65,-1.63,1.79
20100505,7.59,8.37,8.98,7.1,188457,0.0,23.04,2.57,0.21,1.12
20100506,8.02,7.04,8.48,4.91,210548,0.0,42.65,-15.89,-1.33,1.25
20100507,6.76,5.67,6.76,5.09,206821,0.0,23.72,-19.46,-1.37,1.23
20100510,7.45,7.02,8.21,6.21,244231,0.0,35.27,23.81,1.35,1.45
20100511,6.67,8.02,8.48,6.67,170677,0.0,25.78,14.25,1.0,1.01
20100512,8.01,9.3,9.71,7.98,93180,0.0,21.57,15.96,1.28,0.55
20100513,9.11,9.07,9.56,8.7,110083,0.0,9.25,-2.47,-0.23,0.65
20100514,8.79,8.44,9.05,7.96,101103,0.0,12.02,-6.95,-0.63,0.6
20100517,8.73,6.1,8.73,5.68,219142,0.0,36.14,-27.73,-2.34,1.3
20100518,6.53,5.41,6.73,5.07,143128,0.0,27.21,-11.31,-0.69,0.85
20100519,5.23,4.85,5.36,3.53,144218,0.0,33.83,-10.35,-0.56,0.86
20100520,4.14,2.68,4.14,2.17,174040,0.0,40.62,-44.74,-2.17,1.03
20100521,2.13,3.28,3.66,2.07,140730,0.0,59.33,22.39,0.6,0.84
20100524,2.47,1.52,3.44,1.42,244149,0.0,61.59,-53.66,-1.76,1.45
20100525,0.87,1.54,1.74,-0.17,392254,0.0,125.66,1.32,0.02,2.33
20100526,1.85,2.71,3.44,1.75,246602,0.0,109.74,75.97,1.17,1.47
20100527,3.35,4.29,4.32,2.8,345914,0.0,56.09,58.3,1.58,2.06
20100528,4.31,4.31,5.19,3.42,211520,0.0,41.26,0.47,0.02,1.26
20100601,4.18,3.54,4.95,3.48,258244,0.0,34.11,-17.87,-0.77,1.53
20100602,3.85,2.13,3.85,1.62,318119,0.0,62.99,-39.83,-1.41,1.89
20100603,2.73,1.73,2.73,1.62,132515,0.0,52.11,-18.78,-0.4,0.79
20100604,1.37,0.06,1.42,-0.04,229070,0.0,84.39,-96.53,-1.67,1.36
20100607,0.27,-1.43,0.6,-1.52,251568,0.0,3533.33,-2483.33,-1.49,1.49
20100608,-1.41,-1.48,-1.19,-1.86,251380,0.0,-46.85,-3.5,-0.05,1.49
20100609,-1.46,-2.31,-1.34,-2.83,508171,0.0,-100.68,-56.08,-0.83,3.02
20100610,-2.17,-2.11,-1.83,-2.51,220630,0.0,-29.44,8.66,0.2,1.31
20100611,-2.33,-1.99,-1.13,-2.36,272993,0.0,-58.29,5.69,0.12,1.62
20100614,-1.77,-1.48,-1.19,-1.93,235639,0.0,-37.19,25.63,0.51,1.4
20100615,-1.46,-1.07,-0.89,-1.46,175186,0.0,-38.51,27.7,0.41,1.04
20100616,-1.21,-0.98,-0.84,-1.37,189767,0.0,-49.53,8.41,0.09,1.13
20100617,-0.68,-0.76,-0.4,-0.98,171816,0.0,-59.18,22.45,0.22,1.02
20100618,-0.49,-0.72,-0.46,-0.77,232863,0.0,-40.79,5.26,0.04,1.38
20100621,-0.36,-1.08,-0.13,-1.19,209335,0.0,-147.22,-50.0,-0.36,1.24
20100622,-0.81,-1.35,-0.4,-1.38,127531,0.0,-90.74,-25.0,-0.27,0.76
20100623,-1.44,-1.65,-0.88,-1.74,90080,0.0,-63.7,-22.22,-0.3,0.54
20100624,-1.72,-2.54,-1.72,-2.96,154287,0.0,-75.15,-53.94,-0.89,0.92
20100625,-2.36,-2.87,-2.34,-3.0,438874,0.0,-25.98,-12.99,-0.33,2.61
20100628,-2.85,-2.81,-2.17,-2.98,133912,0.0,-28.22,2.09,0.06,0.8
20100629,-3.43,-4.12,-3.05,-4.72,269775,0.0,-59.43,-46.62,-1.31,1.6
20100630,-4.09,-4.94,-3.67,-5.14,211114,0.0,-35.68,-19.9,-0.82,1.26
20100701,-4.92,-6.42,-4.88,-6.63,417129,0.0,-35.43,-29.96,-1.48,2.49
20100702,-6.3,-5.49,-4.99,-6.74,264318,0.0,-27.26,14.49,0.93,1.58
20100706,-5.04,-5.59,-4.42,-5.76,275205,0.0,-24.41,-1.82,-0.1,1.64
20100707,-5.45,-4.74,-4.67,-5.76,180610,0.0,-19.5,15.21,0.85,1.08
20100708,-4.59,-5.24,-4.55,-5.75,172962,0.0,-25.32,-10.55,-0.5,1.03
20100709,-5.34,-4.31,-4.26,-5.34,75377,0.0,-20.61,17.75,0.93,0.45
20100712,-4.31,-4.59,-4.15,-5.11,98624,0.0,-22.27,-6.5,-0.28,0.59
20100713,-4.28,-4.3,-4.12,-4.48,148527,0.0,-7.84,6.32,0.29,0.89
20100714,-4.42,-4.16,-4.09,-4.48,115863,0.0,-9.07,3.26,0.14,0.69
20100715,-4.2,-4.37,-4.15,-4.89,98764,0.0,-17.79,-5.05,-0.21,0.59
20100716,-4.52,-5.36,-4.46,-5.46,185302,0.0,-22.88,-22.65,-0.99,1.11
20100719,-5.22,-6.18,-5.14,-6.29,197923,0.0,-21.46,-15.3,-0.82,1.18
20100720,-6.47,-5.18,-5.09,-6.6,152312,0.0,-24.43,16.18,1.0,0.91
20100721,-5.0,-5.32,-4.71,-5.35,161081,0.0,-12.36,-2.7,-0.14,0.96
20100722,-4.98,-4.19,-3.71,-5.07,139539,0.0,-25.56,21.24,1.13,0.83
20100723,-4.32,-3.57,-3.38,-4.77,160397,0.0,-33.17,14.8,0.62,0.96
20100726,-3.43,-2.71,-2.47,-3.74,169699,0.0,-35.57,24.09,0.86,1.01
20100727,-2.6,-3.29,-2.6,-3.46,107387,0.0,-31.73,-21.4,-0.58,0.64
20100728,-3.43,-4.18,-3.27,-4.61,154479,0.0,-40.73,-27.05,-0.89,0.92
20100729,-3.97,-4.19,-3.8,-4.72,112527,0.0,-22.01,-0.24,-0.01,0.67
20100730,-4.76,-4.81,-4.5,-4.99,139287,0.0,-11.69,-14.8,-0.62,0.83
