trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110325,9.5,9.29,9.59,9.06,2384133,0.0,5.75,0.87,0.08,0.82
20110328,9.05,9.0,9.24,8.81,2501506,0.0,4.63,-3.12,-0.29,0.86
20110329,8.95,9.25,9.37,8.91,1626675,0.0,5.11,2.78,0.25,0.56
20110330,9.53,9.67,9.67,9.31,2276728,0.0,3.89,4.54,0.42,0.78
20110331,9.78,9.82,10.0,9.76,2178631,0.0,2.48,1.55,0.15,2.65
20110401,9.79,9.75,9.92,9.54,1891193,0.0,3.87,-0.71,-0.07,2.3
20110404,10.0,10.18,10.24,9.96,3037576,0.0,2.87,4.41,0.43,3.69
20110405,10.13,11.16,11.17,10.11,4769939,0.0,10.41,9.63,0.98,5.8
20110406,11.57,11.6,11.85,11.11,7581810,0.0,6.63,3.94,0.44,9.21
20110407,11.6,11.9,11.97,11.51,3678581,0.0,3.97,2.59,0.3,4.47
20110408,12.37,12.37,12.75,12.11,6355288,0.0,5.38,3.95,0.47,7.72
20110411,12.56,11.4,12.69,10.97,8316435,0.0,13.9,-7.84,-0.97,10.11
20110412,11.45,10.9,11.45,10.52,5915648,0.0,8.16,-4.39,-0.5,7.19
20110413,11.45,10.9,11.45,10.52,5915648,0.0,8.53,0.0,0.0,7.19
20110414,11.45,10.9,11.45,10.52,5915648,0.0,8.53,0.0,0.0,7.19
20110415,12.25,11.98,12.37,11.75,5388455,0.0,5.69,9.91,1.08,6.55
20110418,11.74,11.6,11.9,10.92,4793083,0.0,8.18,-3.17,-0.38,5.82
20110419,11.73,11.69,11.83,11.26,3091933,0.0,4.91,0.78,0.09,3.76
20110420,11.97,11.79,12.1,11.72,3893556,0.0,3.25,0.86,0.1,4.73
20110421,11.9,11.79,11.9,11.42,3984898,0.0,4.07,0.0,0.0,4.84
20110425,12.06,11.33,12.06,11.08,4339842,0.0,8.31,-3.9,-0.46,5.27
20110426,11.0,10.66,11.0,10.5,4062561,0.0,4.41,-5.91,-0.67,4.94
20110427,10.79,11.95,11.95,10.55,5215010,0.0,13.13,12.1,1.29,6.34
20110428,11.94,11.71,12.35,11.59,5897281,0.0,6.36,-2.01,-0.24,7.17
20110429,11.63,11.49,11.73,11.31,2459925,0.0,3.59,-1.88,-0.22,2.99
20110502,10.75,10.61,11.3,9.9,4861414,0.0,12.18,-7.66,-0.88,5.91
20110503,10.27,9.92,10.53,9.72,5300111,0.0,7.63,-6.5,-0.69,6.44
20110504,9.93,9.99,10.22,9.45,5960034,0.0,7.76,0.71,0.07,7.24
20110505,9.52,8.62,9.78,8.33,7725566,0.0,14.51,-13.71,-1.37,9.39
20110506,8.86,9.3,9.8,8.81,5614493,0.0,11.48,7.89,0.68,6.82
20110509,10.04,10.11,10.18,9.63,4290266,0.0,5.91,8.71,0.81,5.21
20110510,10.33,10.03,10.34,9.95,3298231,0.0,3.86,-0.79,-0.08,4.01
20110511,9.7,9.01,9.72,8.93,4208035,0.0,7.88,-10.17,-1.02,5.11
20110512,8.57,9.02,9.48,8.5,4328751,0.0,10.88,0.11,0.01,5.26
