trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20241220,24.917,24.839,24.917,24.839,10002,251256.0,0.31,-0.31,-0.078,0.0
20241223,24.936,24.897,25.748,24.848,436331,10998985.0,3.62,0.23,0.058,0.0
20241224,24.897,24.952,24.952,24.887,36454,918823.0,0.26,0.22,0.055,0.0
20241226,25.006,24.996,25.006,24.991,2590,65446.0,0.06,0.18,0.044,0.0
20241227,24.897,24.922,24.947,24.897,18888,475961.0,0.2,-0.3,-0.074,0.0
20241230,24.816,24.861,24.886,24.816,1234,30952.0,0.28,-0.24,-0.061,0.0
20241231,24.807,24.926,24.955,24.807,5566,139421.0,0.6,0.26,0.065,0.0
20250102,25.015,25.01,25.015,25.01,3358,84722.0,0.02,0.34,0.084,0.0
20250103,25.005,25.03,25.045,25.005,47473,1197995.0,0.16,0.08,0.02,0.0
20250106,25.031,25.031,25.031,25.031,306,7725.0,0.0,0.0,0.001,0.0
20250107,25.035,25.049,25.054,25.035,1942,49066.0,0.08,0.07,0.018,0.0
20250108,25.108,25.108,25.108,25.108,250,6331.0,0.0,0.24,0.059,0.0
20250110,25.193,25.219,25.253,25.182,1955,49735.0,0.28,0.44,0.111,0.0
20250113,25.206,25.253,25.253,25.206,1660,42242.0,0.19,0.13,0.034,0.0
20250114,25.223,25.223,25.223,25.203,1072,27265.0,0.08,-0.12,-0.03,0.0
20250115,25.233,25.302,25.302,25.233,626,15965.0,0.27,0.31,0.079,0.0
20250116,25.292,25.288,25.292,25.273,8348,212794.0,0.08,-0.06,-0.014,0.0
20250117,25.353,25.386,25.401,25.353,13810,353657.0,0.19,0.39,0.098,0.0
20250121,25.292,25.317,25.342,25.292,2806,71701.0,0.2,-0.27,-0.069,0.0
20250122,25.372,25.382,25.411,25.372,4162,106576.0,0.15,0.26,0.065,0.0
20250123,25.392,25.397,25.397,25.392,124,3175.0,0.02,0.06,0.015,0.0
20250124,25.372,25.34,25.372,25.34,14242,364313.0,0.13,-0.22,-0.057,0.0
20250127,25.183,25.154,25.183,25.134,536,13597.0,0.19,-0.73,-0.186,0.0
20250128,25.263,25.307,25.312,25.263,812,20705.0,0.19,0.61,0.153,0.0
20250129,25.332,25.327,25.332,25.317,957,24441.0,0.06,0.08,0.02,0.0
20250130,25.392,25.42,25.421,25.392,33042,846831.0,0.11,0.37,0.093,0.0
20250131,25.411,25.397,25.451,25.397,3360,86094.0,0.21,-0.09,-0.023,0.0
20250203,25.302,25.387,25.411,25.302,627,16054.0,0.43,-0.04,-0.01,0.0
20250204,25.332,25.332,25.332,25.312,1697,43348.0,0.08,-0.22,-0.055,0.0
20250205,25.307,25.307,25.307,25.307,171,4364.0,0.0,-0.1,-0.025,0.0
20250206,25.362,25.358,25.372,25.322,646,16517.0,0.2,0.2,0.051,0.0
20250207,25.401,25.332,25.401,25.332,1143,29232.0,0.27,-0.1,-0.026,0.0
20250210,25.52,25.52,25.52,25.506,12323,317190.0,0.06,0.74,0.188,0.0
20250211,25.54,25.536,25.54,25.536,387,9969.0,0.02,0.06,0.016,0.0
20250212,25.56,25.619,25.679,25.56,1023,26413.0,0.47,0.33,0.083,0.0
20250213,25.616,25.625,25.679,25.616,740,19150.0,0.25,0.02,0.006,0.0
20250214,25.58,25.522,25.58,25.522,490,12641.0,0.23,-0.4,-0.103,0.0
20250218,24.251,25.703,25.704,24.251,484,12238.0,5.69,0.71,0.181,0.0
20250219,25.719,25.694,25.719,25.694,759,19688.0,0.1,-0.04,-0.009,0.0
20250220,25.6,25.56,25.6,25.53,1117,28778.0,0.27,-0.52,-0.134,0.0
20250221,25.61,25.364,25.61,25.362,3109,80206.0,0.97,-0.77,-0.196,0.0
20250224,25.282,25.372,25.372,25.282,268,6834.0,0.35,0.03,0.008,0.0
20250225,25.301,25.233,25.301,25.213,1501,38221.0,0.35,-0.55,-0.139,0.0
20250226,25.223,25.223,25.223,25.223,54,1373.0,0.0,-0.04,-0.01,0.0
20250227,25.163,25.153,25.24,25.153,804,20451.0,0.34,-0.28,-0.07,0.0
20250228,25.144,25.169,25.169,25.144,221,5604.0,0.1,0.06,0.016,0.0
20250303,25.215,25.127,25.215,25.127,321,8163.0,0.35,-0.17,-0.042,0.0
20250304,25.045,25.103,25.103,25.045,451,11392.0,0.23,-0.1,-0.024,0.0
20250305,25.213,25.213,25.213,25.213,115,2924.0,0.0,0.44,0.11,0.0
20250306,25.104,25.075,25.104,25.035,802,20264.0,0.27,-0.55,-0.138,0.0
20250307,25.035,25.136,25.172,25.005,2275,57434.0,0.67,0.24,0.061,0.0
20250310,24.916,24.922,24.966,24.847,4520,113454.0,0.47,-0.85,-0.214,0.0
20250311,24.886,24.957,24.957,24.886,2347,58909.0,0.28,0.14,0.035,0.0
20250312,24.965,25.015,25.015,24.965,3499,88104.0,0.2,0.23,0.058,0.0
20250313,25.035,25.015,25.035,24.965,4460,112398.0,0.28,0.0,0.0,0.0
20250314,25.054,25.119,25.119,25.045,2586,65353.0,0.3,0.42,0.104,0.0
20250317,25.084,25.173,25.183,25.084,2882,72926.0,0.39,0.21,0.054,0.0
20250318,25.134,25.193,25.193,25.134,879,22282.0,0.23,0.08,0.02,0.0
20250319,25.263,25.263,25.263,25.263,95,2420.0,0.0,0.28,0.07,0.0
20250320,25.183,25.233,25.238,25.163,2629,66779.0,0.3,-0.12,-0.03,0.0
20250321,25.094,25.196,25.196,25.094,6904,175011.0,0.4,-0.15,-0.037,0.0
20250324,25.183,25.243,25.243,25.183,1259,31983.0,0.24,0.19,0.047,0.0
20250325,25.302,25.302,25.302,25.233,3993,101728.0,0.27,0.23,0.059,0.0
20250326,25.212,25.212,25.212,25.212,337,8569.0,0.0,-0.36,-0.09,0.0
20250327,25.223,25.258,25.258,25.223,489,12440.0,0.14,0.18,0.046,0.0
20250328,25.18,25.18,25.18,25.18,209,5289.0,0.0,-0.31,-0.078,0.0
20250331,25.22,25.234,25.234,25.2,11496,291355.0,0.14,0.21,0.054,0.0
20250401,25.212,25.212,25.212,25.212,87,2204.0,0.0,-0.09,-0.022,0.0
20250402,25.15,25.23,25.23,25.15,1944,49173.0,0.32,0.07,0.018,0.0
20250403,24.842,24.837,24.88,24.837,967,24155.0,0.17,-1.56,-0.393,0.0
20250404,24.379,24.4,24.414,24.379,444,10889.0,0.14,-1.76,-0.437,0.0
20250407,24.422,24.205,24.422,24.205,1666,40603.0,0.89,-0.8,-0.195,0.0
20250408,24.344,24.215,24.344,24.175,25974,632461.0,0.7,0.04,0.01,0.0
20250409,24.647,24.647,24.647,24.647,208,5153.0,0.0,1.78,0.432,0.0
20250410,24.424,24.384,24.464,24.384,3269,80214.0,0.32,-1.07,-0.263,0.0
20250411,24.424,24.523,24.553,24.414,2401,58997.0,0.57,0.57,0.139,0.0
20250414,24.304,24.58,24.58,24.304,7005,172768.0,1.13,0.23,0.057,0.0
20250415,24.623,24.618,24.623,24.583,1279,31646.0,0.16,0.15,0.038,0.0
20250416,24.712,24.705,24.712,24.705,262,6508.0,0.03,0.35,0.087,0.0
20250417,24.742,24.727,24.742,24.727,610,15166.0,0.06,0.09,0.022,0.0
20250421,24.732,24.752,24.752,24.712,675,16776.0,0.16,0.1,0.025,0.0
20250422,24.827,24.827,24.827,24.827,63,1572.0,0.0,0.3,0.075,0.0
20250423,24.772,24.764,24.802,24.712,560,13937.0,0.36,-0.25,-0.063,0.0
20250424,24.852,24.896,24.896,24.852,580,14488.0,0.18,0.53,0.132,0.0
20250425,24.877,24.877,24.877,24.877,127,3175.0,0.0,-0.08,-0.019,0.0
20250428,24.941,24.941,24.941,24.941,265,6643.0,0.0,0.26,0.064,0.0
20250429,24.881,24.908,24.908,24.881,385,9628.0,0.11,-0.13,-0.033,0.0
20250430,24.823,24.839,24.839,24.822,594,14820.0,0.07,-0.28,-0.069,0.0
20250501,24.802,24.771,24.802,24.762,624,15547.0,0.16,-0.27,-0.068,0.0
20250502,24.842,24.772,24.852,24.762,2639,65807.0,0.36,0.0,0.001,0.0
20250505,24.867,24.862,24.867,24.842,810,20236.0,0.1,0.36,0.09,0.0
20250506,24.941,24.973,24.973,24.941,163,4086.0,0.13,0.45,0.111,0.0
20250507,24.921,24.902,24.921,24.902,892,22344.0,0.08,-0.28,-0.071,0.0
20250508,24.927,24.866,24.927,24.866,867,21703.0,0.24,-0.14,-0.036,0.0
20250509,24.891,24.911,24.951,24.891,765,19151.0,0.24,0.18,0.045,0.0
20250512,24.876,24.871,24.876,24.867,791,19776.0,0.04,-0.16,-0.04,0.0
20250513,24.951,24.957,24.971,24.951,2076,52069.0,0.08,0.35,0.086,0.0
20250514,24.9,24.873,24.9,24.873,386,9661.0,0.11,-0.34,-0.084,0.0
20250515,24.931,24.955,24.955,24.931,470,11778.0,0.1,0.33,0.082,0.0
20250516,24.921,24.941,24.941,24.921,14868,372443.0,0.08,-0.06,-0.014,0.0
20250519,24.981,25.003,25.003,24.981,2029,50952.0,0.09,0.25,0.062,0.0
20250520,25.051,25.072,25.072,25.051,477,12010.0,0.08,0.28,0.069,0.0
20250521,25.051,25.02,25.051,25.011,1552,39047.0,0.16,-0.21,-0.052,0.0
20250522,25.0,25.0,25.0,25.0,219,5503.0,0.0,-0.08,-0.02,0.0
20250523,24.971,25.044,25.044,24.971,420,10542.0,0.29,0.18,0.044,0.0
20250527,25.077,25.077,25.077,25.077,299,7536.0,0.0,0.13,0.033,0.0
20250528,25.051,25.014,25.051,25.011,4555,114585.0,0.16,-0.25,-0.063,0.0
20250529,25.041,25.037,25.041,25.037,400,10068.0,0.02,0.09,0.023,0.0
20250530,25.034,25.034,25.034,25.034,292,7347.0,0.0,-0.01,-0.003,0.0
20250602,25.16,25.18,25.18,25.15,1671,42257.0,0.12,0.58,0.146,0.0
20250603,25.15,25.18,25.18,25.15,951,24048.0,0.12,0.0,0.0,0.0
