trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
19950710,-5.729,-5.289,-5.289,-5.729,5438000,0.0,0.0,0.0,0.0,3.82
19950711,-4.979,-5.039,-4.979,-5.164,4907000,0.0,-3.5,4.73,0.25,3.45
19950712,-5.039,-4.479,-4.479,-5.104,1055800,0.0,-12.4,11.11,0.56,0.74
19950713,-4.539,-4.479,-4.414,-4.604,1373600,0.0,-4.24,0.0,0.0,0.96
19950714,-4.539,-4.539,-4.479,-4.604,985600,0.0,-2.79,-1.34,-0.06,0.69
19950717,-4.539,-4.604,-4.539,-4.664,947600,0.0,-2.75,-1.43,-0.065,0.67
19950718,-4.604,-4.914,-4.604,-4.979,727400,0.0,-8.15,-6.73,-0.31,0.51
19950719,-4.979,-5.664,-4.979,-5.854,558200,0.0,-17.81,-15.26,-0.75,0.39
19950720,-5.789,-5.729,-5.729,-5.789,464600,0.0,-1.06,-1.15,-0.065,0.33
19950721,-5.664,-5.479,-5.354,-5.664,721200,0.0,-5.41,4.36,0.25,0.51
19950724,-5.479,-5.479,-5.289,-5.479,509000,0.0,-3.47,0.0,0.0,0.36
19950725,-5.414,-5.414,-5.164,-5.479,847000,0.0,-5.75,1.19,0.065,0.59
19950726,-5.289,-4.979,-4.979,-5.289,1584800,0.0,-5.73,8.03,0.435,1.11
19950727,-5.039,-4.664,-4.664,-5.039,2082600,0.0,-7.53,6.33,0.315,1.46
19950728,-4.664,-3.854,-3.854,-4.854,14640800,0.0,-21.44,17.37,0.81,10.28
19950731,-3.914,-4.039,-3.914,-4.289,2544600,0.0,-9.73,-4.8,-0.185,1.79
19950801,-4.104,-4.229,-4.104,-4.289,1956000,0.0,-4.58,-4.7,-0.19,1.37
19950802,-4.229,-4.854,-4.229,-4.914,2307600,0.0,-16.2,-14.78,-0.625,1.62
19950803,-4.979,-4.539,-4.539,-4.979,1762800,0.0,-9.06,6.49,0.315,1.24
19950804,-4.664,-4.854,-4.604,-5.039,903800,0.0,-9.58,-6.94,-0.315,0.63
19950807,-4.914,-4.979,-4.914,-5.104,837000,0.0,-3.91,-2.58,-0.125,0.59
19950808,-5.039,-5.104,-4.979,-5.104,729000,0.0,-2.51,-2.51,-0.125,0.51
19950809,-5.104,-5.289,-5.104,-5.354,586600,0.0,-4.9,-3.62,-0.185,0.41
19950810,-5.289,-5.164,-4.979,-5.289,1319400,0.0,-5.86,2.36,0.125,0.93
19950811,-5.164,-5.039,-4.914,-5.164,1152000,0.0,-4.84,2.42,0.125,0.81
