trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-6.38,-6.19,-6.13,-6.38,33900,0.0,0.0,0.0,0.0,0.06
20010103,-6.06,-5.44,-5.44,-6.06,57400,0.0,-10.02,12.12,0.75,0.11
20010104,-5.32,-5.56,-5.19,-5.69,59400,0.0,-9.19,-2.21,-0.12,0.11
20010105,-5.69,-5.19,-5.19,-5.82,44100,0.0,-11.33,6.65,0.37,0.08
20010108,-5.25,-5.56,-5.25,-5.56,9700,0.0,-5.97,-7.13,-0.37,0.02
20010109,-5.56,-5.19,-5.06,-5.56,40300,0.0,-8.99,6.65,0.37,0.07
20010110,-5.32,-5.38,-5.19,-5.5,17100,0.0,-5.97,-3.66,-0.19,0.03
20010111,-5.32,-5.38,-5.19,-5.44,8200,0.0,-4.65,0.0,0.0,0.02
20010112,-5.32,-5.19,-5.06,-5.32,10900,0.0,-4.83,3.53,0.19,0.02
20010116,-5.06,-5.25,-5.06,-5.38,13800,0.0,-6.17,-1.16,-0.06,0.03
20010117,-5.25,-4.63,-4.56,-5.25,64300,0.0,-13.14,11.81,0.62,0.12
20010118,-4.44,-4.82,-4.44,-4.82,64500,0.0,-8.21,-4.1,-0.19,0.12
20010119,-4.69,-5.06,-4.63,-5.13,20300,0.0,-10.37,-4.98,-0.24,0.04
20010122,-5.06,-5.0,-4.94,-5.06,13200,0.0,-2.37,1.19,0.06,0.02
20010123,-5.13,-4.69,-4.63,-5.13,14300,0.0,-10.0,6.2,0.31,0.03
20010124,-4.75,-4.82,-4.75,-4.94,14300,0.0,-4.05,-2.77,-0.13,0.03
20010125,-4.94,-5.13,-4.94,-5.13,3800,0.0,-3.94,-6.43,-0.31,0.01
20010126,-5.25,-4.94,-4.88,-5.25,14500,0.0,-7.21,3.7,0.19,0.03
20010129,-4.94,-4.99,-4.94,-5.04,3800,0.0,-2.02,-1.01,-0.05,0.01
20010130,-4.89,-4.92,-4.82,-4.92,9400,0.0,-2.0,1.4,0.07,0.02
20010131,-4.94,-4.81,-4.81,-4.94,12700,0.0,-2.64,2.24,0.11,0.02
20010201,-4.81,-3.74,-3.65,-4.81,237500,0.0,-24.12,22.25,1.07,0.44
20010202,-3.69,-3.49,-3.44,-3.69,115500,0.0,-6.68,6.68,0.25,0.21
20010205,-3.19,-3.14,-2.05,-3.24,353200,0.0,-34.1,10.03,0.35,0.66
20010206,-3.04,-3.47,-2.89,-3.5,92500,0.0,-19.43,-10.51,-0.33,0.17
20010207,-3.37,-3.19,-3.14,-3.44,43800,0.0,-8.65,8.07,0.28,0.08
20010208,-3.19,-3.1,-3.09,-3.19,22700,0.0,-3.13,2.82,0.09,0.04
20010209,-3.0,-3.64,-2.95,-3.64,28600,0.0,-22.26,-17.42,-0.54,0.05
20010212,-3.54,-3.62,-3.49,-3.74,6800,0.0,-6.87,0.55,0.02,0.01
20010213,-3.72,-3.97,-3.72,-4.24,33200,0.0,-14.36,-9.67,-0.35,0.06
20010214,-3.97,-4.05,-3.97,-4.24,54200,0.0,-6.8,-2.02,-0.08,0.1
20010215,-3.74,-3.27,-3.26,-3.74,149800,0.0,-11.85,19.26,0.78,0.28
20010216,-3.27,-3.69,-3.27,-3.78,50900,0.0,-15.6,-12.84,-0.42,0.09
