trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210201,23.61,23.6,23.61,23.6,65474,1637950.0,0.0,0.0,0.0,0.0
20210202,23.893,23.836,23.912,23.751,3950,99988.0,0.68,1.0,0.236,0.0
20210203,23.808,23.893,23.893,23.808,646,16342.0,0.36,0.24,0.057,0.0
20210204,24.006,24.034,24.082,24.006,200,5096.0,0.32,0.59,0.141,0.0
20210205,24.138,24.114,24.157,24.114,19302,493720.0,0.18,0.33,0.08,0.0
20210208,24.223,24.232,24.242,24.214,3166,81275.0,0.12,0.49,0.118,0.0
20210209,24.232,24.23,24.232,24.23,138,3543.0,0.01,-0.01,-0.002,0.0
20210210,24.336,24.213,24.336,24.213,900,23207.0,0.51,-0.07,-0.017,0.0
20210211,24.255,24.255,24.255,24.255,1,25.0,0.0,0.17,0.042,0.0
20210212,24.318,24.35,24.35,24.294,623,16049.0,0.23,0.39,0.095,0.0
20210217,24.335,24.335,24.335,24.335,56,1444.0,0.0,-0.06,-0.015,0.0
20210218,24.157,24.24,24.24,24.157,2829,72422.0,0.34,-0.39,-0.095,0.0
20210219,24.214,24.214,24.214,24.214,292,7492.0,0.0,-0.11,-0.026,0.0
20210223,24.1,24.1,24.1,24.1,20,510.0,0.0,-0.47,-0.114,0.0
20210302,24.072,24.072,24.072,24.072,2,51.0,0.0,-0.12,-0.028,0.0
20210303,23.828,23.828,23.828,23.828,1,25.0,0.0,-1.01,-0.244,0.0
20210304,23.762,23.526,23.762,23.526,4337,109138.0,0.99,-1.27,-0.302,0.0
20210309,24.176,24.1,24.176,24.1,345,8830.0,0.32,2.44,0.574,0.0
20210310,24.205,24.205,24.205,24.205,61,1564.0,0.0,0.44,0.105,0.0
20210323,24.251,24.251,24.251,24.251,120,3083.0,0.0,0.19,0.046,0.0
20210324,24.169,24.169,24.169,24.169,118,3022.0,0.0,-0.34,-0.082,0.0
20210325,24.063,24.266,24.266,24.063,150,3825.0,0.84,0.4,0.097,0.0
20210329,24.546,24.546,24.546,24.546,1,26.0,0.0,1.15,0.28,0.0
20210330,24.457,24.457,24.457,24.457,6,155.0,0.0,-0.36,-0.089,0.0
20210331,24.595,24.595,24.595,24.595,41,1068.0,0.0,0.56,0.138,0.0
20210401,24.704,24.743,24.743,24.686,18406,481867.0,0.23,0.6,0.148,0.0
20210405,25.044,25.044,25.044,25.044,10,265.0,0.0,1.22,0.301,0.0
20210407,25.006,25.052,25.052,25.006,200,5300.0,0.18,0.03,0.008,0.0
20210408,25.138,25.146,25.148,25.129,1796,47842.0,0.08,0.38,0.094,0.0
