trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
19990604,5.125,7.44,7.92,5.06,7386600,0.0,57.2,48.8,2.44,41.32
19990607,7.905,7.75,8.31,7.31,1234600,0.0,13.44,4.17,0.31,6.91
19990608,7.81,9.845,10.19,7.75,1477200,0.0,31.48,27.03,2.095,8.26
19990609,10.0,9.69,10.595,9.31,1332600,0.0,13.05,-1.57,-0.155,7.45
19990610,9.69,8.595,9.845,8.5,545600,0.0,13.88,-11.3,-1.095,3.05
19990611,8.625,8.0,8.69,7.94,446200,0.0,8.73,-6.92,-0.595,2.5
19990614,7.97,7.625,8.0,7.25,503600,0.0,9.38,-4.69,-0.375,2.82
19990615,7.44,7.75,8.06,7.44,384400,0.0,8.13,1.64,0.125,2.15
19990616,7.875,8.345,8.94,7.81,135400,0.0,14.58,7.68,0.595,0.76
19990617,8.44,10.03,10.405,8.375,814000,0.0,24.33,20.19,1.685,4.55
19990618,10.25,9.31,11.06,9.28,428600,0.0,17.75,-7.18,-0.72,2.4
19990621,9.94,9.75,10.875,9.5,410400,0.0,14.77,4.73,0.44,2.3
19990622,10.25,9.875,10.25,9.625,207600,0.0,6.41,1.28,0.125,1.16
19990623,9.75,9.31,9.81,9.125,337800,0.0,6.94,-5.72,-0.565,1.89
19990624,9.22,9.0,9.31,8.56,198200,0.0,8.06,-3.33,-0.31,1.11
19990625,9.0,11.31,11.69,8.845,1423000,0.0,31.61,25.67,2.31,7.96
19990628,12.25,13.94,14.5,11.5,1403200,0.0,26.53,23.25,2.63,7.85
19990629,14.03,15.75,18.25,12.875,2018200,0.0,38.56,12.98,1.81,11.29
19990630,16.97,20.5,22.565,16.0,2313600,0.0,41.68,30.16,4.75,12.94
19990701,21.875,19.25,23.0,19.0,1578400,0.0,19.51,-6.1,-1.25,8.83
19990702,18.94,18.5,19.94,17.0,1060600,0.0,15.27,-3.9,-0.75,5.93
19990706,18.375,20.78,21.31,18.065,736800,0.0,17.54,12.32,2.28,4.12
19990707,21.0,19.75,21.5,18.75,587400,0.0,13.23,-4.96,-1.03,3.29
19990708,20.625,21.97,22.0,20.25,672000,0.0,8.86,11.24,2.22,3.76
19990709,22.405,25.375,25.94,22.0,1105600,0.0,17.93,15.5,3.405,6.18
19990712,27.5,27.47,28.25,26.5,1173600,0.0,6.9,8.26,2.095,6.56
19990713,27.25,25.345,27.31,23.75,697800,0.0,12.96,-7.74,-2.125,3.9
