trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20241028,35.76,36.64,36.64,35.76,1538,60367.0,0.0,0.0,0.0,0.0
20241029,36.3,35.8,36.3,35.8,1143,44534.0,1.36,-2.29,-0.84,0.0
20241030,35.0,37.4,38.256,35.0,14982,597614.0,9.09,4.47,1.6,0.0
20241031,37.41,37.35,37.7,37.2,9745,387189.0,1.34,-0.13,-0.05,0.0
20241101,38.5,38.25,38.5,36.77,12701,504721.0,4.63,2.41,0.9,0.0
20241104,37.78,36.98,37.99,36.843,4187,164831.0,3.0,-3.32,-1.27,0.0
20241105,37.54,37.7,38.15,37.31,8636,344516.0,2.27,1.95,0.72,0.0
20241106,37.7,37.555,37.75,36.37,5891,233086.0,3.66,-0.38,-0.145,0.0
20241107,37.75,37.55,38.22,37.475,6595,264270.0,1.98,-0.01,-0.005,0.0
20241108,37.6,38.05,38.6,37.6,19837,799383.0,2.66,1.33,0.5,0.0
20241111,37.8,37.35,37.85,37.25,4934,196638.0,1.58,-1.84,-0.7,0.0
20241112,36.96,36.72,37.09,36.248,6993,271817.0,2.25,-1.69,-0.63,0.0
20241113,37.22,37.63,38.2,36.35,3231,127851.0,5.04,2.48,0.91,0.0
20241114,37.67,37.68,37.75,37.18,8524,338769.0,1.51,0.13,0.05,0.0
20241115,37.75,36.49,37.75,36.25,7606,297823.0,3.98,-3.16,-1.19,0.0
20241118,37.05,37.45,37.45,36.5,7640,300299.0,2.6,2.63,0.96,0.0
20241119,37.2,37.097,37.2,37.097,3281,129274.0,0.28,-0.94,-0.353,0.0
20241120,36.903,36.95,37.25,36.903,4197,165353.0,0.94,-0.4,-0.147,0.0
20241121,36.25,37.25,37.255,36.25,2441,96009.0,2.72,0.81,0.3,0.0
20241122,37.15,37.13,37.15,36.9,1143,44911.0,0.67,-0.32,-0.12,0.0
20241125,36.77,37.15,37.55,36.75,9117,359123.0,2.15,0.05,0.02,0.0
20241126,36.46,37.03,37.2,36.46,7440,292134.0,1.99,-0.32,-0.12,0.0
20241127,37.23,37.32,37.39,37.04,5052,199362.0,0.95,0.78,0.29,0.0
20241129,36.76,37.0,37.55,36.76,3540,139219.0,2.12,-0.86,-0.32,0.0
20241202,36.99,36.857,37.2,36.73,10014,392424.0,1.27,-0.39,-0.143,0.0
20241203,36.75,36.57,37.05,36.57,4211,164376.0,1.3,-0.78,-0.287,0.0
20241204,37.02,36.98,37.04,36.55,7969,311289.0,1.34,1.12,0.41,0.0
20241205,37.214,36.5,37.23,36.5,5713,224688.0,1.97,-1.3,-0.48,0.0
20241206,36.74,37.14,37.14,36.509,4662,182712.0,1.73,1.75,0.64,0.0
20241209,37.0,37.13,37.3,36.9,3447,135652.0,1.08,-0.03,-0.01,0.0
20241210,36.97,37.1,37.41,36.5,7685,299937.0,2.45,-0.08,-0.03,0.0
20241211,37.0,36.67,37.0,36.62,2741,106804.0,1.02,-1.16,-0.43,0.0
20241212,36.64,36.73,36.86,35.97,6426,248633.0,2.43,0.16,0.06,0.0
20241213,36.05,36.47,36.47,35.75,3735,143646.0,1.96,-0.71,-0.26,0.0
20241216,36.31,35.85,36.31,35.28,5322,203161.0,2.82,-1.7,-0.62,0.0
20241217,35.58,35.74,36.025,35.55,8251,313444.0,1.32,-0.31,-0.11,0.0
20241218,36.01,35.74,36.341,35.74,15668,600022.0,1.68,0.0,0.0,0.0
20241219,35.25,35.35,35.5,34.77,4325,161730.0,2.04,-1.09,-0.39,0.0
20241220,35.04,36.09,36.09,35.04,4485,168676.0,2.97,2.09,0.74,0.0
20241223,35.85,35.93,36.24,34.52,14217,542902.0,4.77,-0.44,-0.16,0.0
20241224,35.25,36.176,36.23,35.25,3733,142609.0,2.73,0.68,0.246,0.0
20241226,35.93,36.25,36.4,35.576,9028,345773.0,2.28,0.2,0.074,0.0
