trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211028,33.5,35.0,35.95,32.0,18628313,630429248.0,14.11,25.0,7.0,11.18
20211029,35.0,35.57,36.64,34.26,2741984,96517776.0,6.8,1.63,0.57,1.65
20211101,35.57,36.95,37.2,34.26,1949357,70889956.0,8.27,3.88,1.38,1.17
20211102,37.14,35.43,37.82,34.86,1837204,67499837.0,8.01,-4.11,-1.52,1.1
20211103,35.16,35.81,36.42,34.625,3567756,127482708.0,5.07,1.07,0.38,2.14
20211104,36.23,34.5,36.82,34.305,953421,33779581.0,7.02,-3.66,-1.31,0.57
20211105,34.8,34.34,35.38,33.5,762903,26308055.0,5.45,-0.46,-0.16,0.46
20211108,35.88,36.06,37.65,35.48,1593957,58289050.0,6.32,5.01,1.72,0.96
20211109,36.2,36.44,37.15,35.25,561580,20393686.0,5.27,1.05,0.38,0.34
20211110,36.69,34.16,36.84,33.58,1159546,39995546.0,8.95,-6.26,-2.28,0.7
20211111,34.61,37.24,37.43,34.18,872361,31763509.0,9.51,9.02,3.08,0.52
20211112,37.24,37.52,39.29,37.01,526833,20009262.0,6.12,0.75,0.28,0.32
20211115,38.13,37.61,39.4,37.38,523976,19875777.0,5.38,0.24,0.09,0.31
20211116,37.6,36.51,37.97,36.29,528364,19521527.0,4.47,-2.92,-1.1,0.32
20211117,36.83,35.82,37.65,35.51,531891,19469975.0,5.86,-1.89,-0.69,0.32
20211118,35.82,35.0,36.99,34.43,644264,22650996.0,7.15,-2.29,-0.82,0.39
20211119,35.0,35.8,36.37,34.65,579548,20794667.0,4.91,2.29,0.8,0.35
20211122,37.71,36.46,38.87,36.21,1546062,57850293.0,7.43,1.84,0.66,0.93
20211123,36.46,36.53,38.0,36.14,2139600,79155907.0,5.1,0.19,0.07,1.28
20211124,37.17,35.97,37.25,35.448,598137,21612139.0,4.93,-1.53,-0.56,0.36
20211126,35.05,34.37,35.255,33.8,431211,14866840.0,4.05,-4.45,-1.6,0.26
20211129,35.0,34.08,35.09,33.091,677810,23081562.0,5.82,-0.84,-0.29,0.41
20211130,35.63,31.69,35.785,31.59,1430956,47450312.0,12.31,-7.01,-2.39,0.86
20211201,32.69,33.19,36.0,32.62,1404570,48049808.0,10.67,4.73,1.5,0.84
20211202,33.3,33.74,35.551,32.75,775076,26537135.0,8.44,1.66,0.55,0.47
20211203,33.76,31.03,34.88,30.245,826665,26103887.0,13.74,-8.03,-2.71,0.5
20211206,31.05,32.57,32.62,27.48,1389237,42990417.0,16.56,4.96,1.54,0.83
20211207,33.57,31.85,34.23,31.02,937330,30618678.0,9.86,-2.21,-0.72,0.56
20211208,31.69,31.62,32.03,31.13,872918,27595958.0,2.83,-0.72,-0.23,0.52
20211209,30.3,31.32,32.24,29.75,1438380,44571239.0,7.87,-0.95,-0.3,0.86
20211210,31.32,32.16,32.84,30.96,861532,27520362.0,6.0,2.68,0.84,0.52
20211213,32.2,32.7,33.472,31.67,778238,25334548.0,5.6,1.68,0.54,0.45
20211214,32.31,30.54,33.62,30.34,661973,20830814.0,10.03,-6.61,-2.16,0.39
20211215,30.57,31.24,31.46,29.55,908901,27988744.0,6.25,2.29,0.7,0.53
20211216,31.51,30.38,34.47,29.8,1139142,36185875.0,14.95,-2.75,-0.86,0.66
20211217,30.01,30.05,30.61,28.25,5110359,153300788.0,7.77,-1.09,-0.33,2.98
20211220,29.43,29.71,29.93,28.4,724468,21124488.0,5.09,-1.13,-0.34,0.42
20211221,30.93,31.92,32.43,30.93,832410,26454308.0,5.05,7.44,2.21,0.49
20211222,31.91,32.9,32.96,31.11,1207260,39094837.0,5.8,3.07,0.98,0.7
20211223,33.21,35.37,35.6,33.04,735198,25719089.0,7.78,7.51,2.47,0.43
20211227,35.17,35.09,35.57,34.19,364911,12713764.0,3.9,-0.79,-0.28,0.21
20211228,34.99,36.02,36.5,34.86,672541,24191989.0,4.67,2.65,0.93,0.39
20211229,35.97,33.5,36.18,33.31,859355,29258128.0,7.97,-7.0,-2.52,0.5
20211230,33.4,34.39,35.58,33.31,1607125,55603428.0,6.78,2.66,0.89,0.94
20211231,34.39,35.56,36.39,34.27,370154,13234826.0,6.16,3.4,1.17,0.22
20220103,35.91,34.87,36.705,34.57,583564,20711840.0,6.0,-1.94,-0.69,0.34
20220104,35.29,34.85,35.81,34.27,589013,20545425.0,4.42,-0.06,-0.02,0.34
20220105,34.76,30.23,35.07,29.575,1343906,41718035.0,15.77,-13.26,-4.62,0.78
20220106,30.17,28.06,30.43,27.65,2183658,62418809.0,9.2,-7.18,-2.17,1.27
20220107,28.0,27.4,28.67,27.2,1057088,29314649.0,5.24,-2.35,-0.66,0.62
20220110,27.28,26.05,27.28,25.06,990564,25562079.0,8.1,-4.93,-1.35,0.58
20220111,26.06,26.92,27.597,25.59,976389,26387066.0,7.7,3.34,0.87,0.57
20220112,27.32,25.82,27.55,25.39,577556,15017269.0,8.02,-4.09,-1.1,0.34
20220113,27.0,24.6,27.47,24.52,740641,18776046.0,11.43,-4.73,-1.22,0.43
20220114,24.18,24.2,24.73,22.13,1200949,28036094.0,10.57,-1.63,-0.4,0.7
20220118,23.51,23.49,24.515,22.89,1077855,25461534.0,6.71,-2.93,-0.71,0.63
20220119,24.16,21.93,24.74,21.82,775282,17907275.0,12.43,-6.64,-1.56,0.45
20220120,22.62,21.37,23.625,21.27,847845,18944249.0,10.74,-2.55,-0.56,0.49
20220121,20.81,20.13,21.355,19.46,1440788,29347964.0,8.87,-5.8,-1.24,0.84
20220124,19.34,20.66,20.75,18.425,1424798,27861520.0,11.55,2.63,0.53,0.83
