trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20001222,4.04,5.635,5.885,4.04,585200,0.0,0.0,0.0,0.0,0.77
20001226,5.57,5.445,5.73,5.35,278600,0.0,6.74,-3.37,-0.19,0.37
20001227,5.51,5.82,5.82,5.51,421000,0.0,5.69,6.89,0.375,0.56
20001228,5.635,5.885,5.915,5.6,316200,0.0,5.41,1.12,0.065,0.42
20001229,5.82,5.82,5.945,5.165,539800,0.0,13.25,-1.1,-0.065,0.71
20010102,-2.46,-2.15,-2.055,-2.46,570400,0.0,6.96,-136.94,-7.97,0.75
20010103,-1.99,-2.02,-1.93,-2.13,824200,0.0,-9.3,6.05,0.13,1.09
20010104,-2.055,-2.055,-2.02,-2.15,525200,0.0,-6.44,-1.73,-0.035,0.69
20010105,-2.1,-2.305,-2.04,-2.335,1357600,0.0,-14.36,-12.17,-0.25,1.79
20010108,-2.21,-2.29,-2.195,-2.335,1843600,0.0,-6.07,0.65,0.015,2.44
20010109,-2.35,-2.32,-2.305,-2.38,422200,0.0,-3.28,-1.31,-0.03,0.56
20010110,-2.38,-2.32,-2.305,-2.4,414200,0.0,-4.09,0.0,0.0,0.55
20010111,-2.32,-2.35,-2.29,-2.415,523400,0.0,-5.39,-1.29,-0.03,0.69
20010112,-2.38,-2.4,-2.35,-2.4,802600,0.0,-2.13,-2.13,-0.05,1.06
20010116,-2.52,-2.46,-2.43,-2.52,541000,0.0,-3.75,-2.5,-0.06,0.71
20010117,-2.46,-2.35,-2.27,-2.49,410600,0.0,-8.94,4.47,0.11,0.54
20010118,-2.4,-2.35,-2.32,-2.445,798200,0.0,-5.32,0.0,0.0,1.05
20010119,-2.415,-2.475,-2.365,-2.505,511200,0.0,-5.96,-5.32,-0.125,0.68
20010122,-2.6,-2.6,-2.49,-2.665,368400,0.0,-7.07,-5.05,-0.125,0.49
20010123,-2.65,-2.555,-2.555,-2.71,583000,0.0,-5.96,1.73,0.045,0.77
20010124,-2.585,-2.57,-2.54,-2.71,479800,0.0,-6.65,-0.59,-0.015,0.63
20010125,-2.585,-2.415,-2.4,-2.585,408200,0.0,-7.2,6.03,0.155,0.54
20010126,-2.415,-2.415,-2.35,-2.445,645400,0.0,-3.93,0.0,0.0,0.85
20010129,-2.455,-2.505,-2.415,-2.52,772400,0.0,-4.35,-3.73,-0.09,1.02
20010130,-2.57,-2.755,-2.57,-2.785,377200,0.0,-8.58,-9.98,-0.25,0.5
20010131,-2.91,-2.6,-2.575,-2.91,633200,0.0,-12.16,5.63,0.155,0.84
20010201,-2.81,-2.08,-1.71,-2.81,1433400,0.0,-42.31,20.0,0.52,1.89
20010202,-2.11,-2.18,-1.9,-2.185,1039600,0.0,-13.7,-4.81,-0.1,1.37
20010205,-2.23,-2.285,-1.87,-2.285,665000,0.0,-19.04,-4.82,-0.105,0.88
20010206,-2.41,-1.96,-1.91,-2.41,726600,0.0,-21.88,14.22,0.325,0.96
20010207,-1.96,-1.655,-1.6,-1.96,829800,0.0,-18.37,15.56,0.305,1.1
20010208,-1.71,-1.21,-1.21,-1.74,1198400,0.0,-32.02,26.89,0.445,1.58
20010209,-1.3,-1.08,-1.08,-1.385,755000,0.0,-25.21,10.74,0.13,1.0
20010212,-1.08,-0.86,-0.84,-1.145,781600,0.0,-28.24,20.37,0.22,1.03
20010213,-1.06,-0.91,-0.735,-1.095,968800,0.0,-41.86,-5.81,-0.05,1.28
20010214,-1.035,-1.035,-0.935,-1.1,559000,0.0,-18.13,-13.74,-0.125,0.74
20010215,-0.985,-0.915,-0.85,-0.995,502200,0.0,-14.01,11.59,0.12,0.66
20010216,-1.21,-1.325,-1.135,-1.4,446000,0.0,-28.96,-44.81,-0.41,0.59
20010220,-1.33,-1.66,-1.24,-1.66,402600,0.0,-31.7,-25.28,-0.335,0.53
20010221,-1.66,-1.685,-1.57,-1.69,363600,0.0,-7.23,-1.51,-0.025,0.48
20010222,-1.685,-1.53,-1.52,-1.79,635600,0.0,-16.02,9.2,0.155,0.84
20010223,-1.53,-1.45,-1.42,-1.535,913000,0.0,-7.52,5.23,0.08,1.21
20010226,-1.335,-0.835,-0.71,-1.335,2160800,0.0,-43.1,42.41,0.615,2.85
20010227,-1.085,-1.09,-0.965,-1.13,835800,0.0,-19.76,-30.54,-0.255,1.1
20010228,-1.21,-1.18,-0.91,-1.22,804800,0.0,-28.44,-8.26,-0.09,1.06
20010301,-1.02,-1.15,-0.96,-1.37,734800,0.0,-34.75,2.54,0.03,0.97
20010302,-1.17,-0.61,-0.585,-1.2,1102600,0.0,-53.48,46.96,0.54,1.46
20010305,-0.46,0.88,1.04,-0.66,2998800,0.0,-278.69,244.26,1.49,3.96
20010306,0.415,0.055,0.735,-0.21,3856400,0.0,107.39,-93.75,-0.825,5.09
20010307,-0.085,0.49,0.615,-0.085,2447200,0.0,1272.73,790.91,0.435,3.23
20010308,0.465,0.98,1.165,0.465,2596400,0.0,142.86,100.0,0.49,3.43
20010309,0.79,1.0,1.04,0.74,2293600,0.0,30.61,2.04,0.02,3.03
20010312,0.85,0.84,1.04,0.8,1365600,0.0,24.0,-16.0,-0.16,1.8
20010313,0.93,0.62,0.98,0.395,1012200,0.0,69.64,-26.19,-0.22,1.34
20010314,0.495,0.11,0.71,-0.005,1622000,0.0,115.32,-82.26,-0.51,2.14
20010315,0.17,0.61,0.64,0.145,1240600,0.0,450.0,454.55,0.5,1.64
20010316,0.37,0.395,0.46,0.265,1990600,0.0,31.97,-35.25,-0.215,2.63
20010319,0.42,0.28,0.58,0.245,776200,0.0,84.81,-29.11,-0.115,1.03
20010320,0.295,0.235,0.395,0.23,533000,0.0,58.93,-16.07,-0.045,0.7
20010321,0.31,-0.035,0.31,-0.09,597000,0.0,170.21,-114.89,-0.27,0.79
20010322,-0.1,-0.55,0.02,-0.78,853000,0.0,-2285.71,-1471.43,-0.515,1.13
20010323,-0.405,-0.28,-0.19,-0.455,881000,0.0,-48.18,49.09,0.27,1.16
20010326,-0.33,-0.245,-0.09,-0.355,558000,0.0,-94.64,12.5,0.035,0.74
20010327,-0.23,-0.16,-0.16,-0.28,676000,0.0,-48.98,34.69,0.085,0.89
20010328,-0.035,-0.11,0.045,-0.12,758400,0.0,-103.13,31.25,0.05,1.0
20010329,-0.11,0.69,0.74,-0.11,3210400,0.0,-772.73,727.27,0.8,4.24
20010330,0.81,0.495,0.87,0.47,3574000,0.0,57.97,-28.26,-0.195,4.72
20010402,0.295,0.18,0.515,0.045,1173400,0.0,94.95,-63.64,-0.315,1.55
20010403,0.195,-0.27,0.245,-0.37,673800,0.0,341.67,-250.0,-0.45,0.89
20010404,-0.27,-0.075,-0.005,-0.28,965400,0.0,-101.85,72.22,0.195,1.28
20010405,0.03,-0.05,0.12,-0.095,302600,0.0,-286.67,33.33,0.025,0.4
20010406,-0.07,-0.39,-0.05,-0.48,361800,0.0,-860.0,-680.0,-0.34,0.48
20010409,-0.38,-0.14,-0.09,-0.38,563600,0.0,-74.36,64.1,0.25,0.74
20010410,-0.1,0.04,0.12,-0.12,798800,0.0,-171.43,128.57,0.18,1.06
