trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210928,25.279,24.873,25.279,24.791,12508,313942.0,1.93,-1.61,-0.406,0.0
20210929,25.02,24.781,25.02,24.781,40573,1017268.0,0.96,-0.37,-0.092,0.0
20210930,24.99,24.979,25.139,24.871,24393,613545.0,1.08,0.8,0.198,0.0
20211001,25.01,25.108,25.189,24.851,21760,545785.0,1.35,0.52,0.129,0.0
20211004,24.801,24.388,24.881,24.364,9254,227674.0,2.06,-2.87,-0.72,0.0
20211005,24.274,24.342,24.502,24.274,9103,223401.0,0.93,-0.19,-0.046,0.0
20211006,23.916,24.232,24.263,23.866,6251,151463.0,1.63,-0.45,-0.11,0.0
20211007,24.751,24.79,24.861,24.751,22296,556398.0,0.45,2.3,0.558,0.0
20211008,24.851,24.599,24.93,24.599,11080,276428.0,1.34,-0.77,-0.191,0.0
20211011,24.513,24.158,24.513,24.158,1324,32502.0,1.44,-1.79,-0.441,0.0
20211012,24.185,24.163,24.284,24.085,7900,192398.0,0.82,0.02,0.005,0.0
20211013,24.563,24.718,24.751,24.484,39438,977165.0,1.1,2.3,0.555,0.0
20211014,25.02,24.999,25.08,24.891,8238,207274.0,0.76,1.14,0.281,0.0
20211015,25.139,25.358,25.428,25.139,17058,434568.0,1.16,1.44,0.359,0.0
20211018,25.318,25.397,25.476,25.229,11890,302927.0,0.97,0.15,0.039,0.0
20211019,25.695,25.726,25.825,25.637,28187,729517.0,0.74,1.3,0.329,0.0
20211020,25.796,25.647,25.796,25.646,17866,462133.0,0.58,-0.31,-0.079,0.0
20211021,25.527,25.338,25.537,25.338,8789,224531.0,0.78,-1.2,-0.309,0.0
20211022,25.277,25.055,25.277,24.921,13176,332459.0,1.41,-1.12,-0.283,0.0
20211025,25.109,25.139,25.164,25.045,10562,266644.0,0.47,0.34,0.084,0.0
20211026,25.298,25.081,25.298,25.055,5338,134999.0,0.97,-0.23,-0.058,0.0
20211027,25.139,25.02,25.164,25.02,3166,79958.0,0.57,-0.24,-0.061,0.0
