trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20221114,3.029,2.509,3.429,1.829,1030107,4608508.0,52.82,-17.17,-0.52,0.52
20221115,2.349,2.329,2.949,2.229,1686388,7716352.0,28.7,-7.17,-0.18,0.86
20221116,2.349,2.249,2.609,2.229,1039684,4547389.0,16.32,-3.43,-0.08,0.53
20221117,2.139,3.119,3.229,2.139,1071912,5090844.0,48.47,38.68,0.87,0.54
20221118,3.079,3.819,3.999,2.929,1022556,5480032.0,34.31,22.44,0.7,0.52
20221121,3.479,3.729,3.929,3.059,811171,4533603.0,22.78,-2.36,-0.09,0.41
20221122,3.929,3.129,3.929,2.979,403802,2159334.0,25.48,-16.09,-0.6,0.2
20221123,3.039,2.989,3.279,2.899,275791,1396065.0,12.14,-4.47,-0.14,0.14
20221125,3.119,3.129,3.279,3.059,91894,471335.0,7.36,4.68,0.14,0.05
20221128,3.212,2.952,3.212,2.892,409784,2023001.0,10.23,-5.66,-0.177,0.21
20221129,2.842,2.922,3.272,2.842,497237,2469021.0,14.57,-1.02,-0.03,0.25
20221130,2.892,3.192,3.292,2.892,492933,2494457.0,13.69,9.24,0.27,0.25
20221201,3.172,3.052,3.272,3.032,480486,2428362.0,7.52,-4.39,-0.14,0.24
20221202,3.012,3.082,3.272,2.922,322498,1625745.0,11.47,0.98,0.03,0.16
20221205,3.072,3.022,3.202,2.902,386432,1912499.0,9.73,-1.95,-0.06,0.2
20221206,3.002,3.012,3.052,2.902,407346,1998174.0,4.96,-0.33,-0.01,0.21
20221207,3.032,2.992,3.132,2.922,443522,2193851.0,6.97,-0.66,-0.02,0.23
20221208,2.972,2.992,3.052,2.932,299538,1474124.0,4.01,0.0,0.0,0.15
20221209,2.932,3.002,3.05,2.932,271617,1335113.0,3.94,0.33,0.01,0.14
20221212,2.972,2.932,3.022,2.912,369900,1804620.0,3.66,-2.33,-0.07,0.19
20221213,3.032,2.872,3.032,2.842,430439,2080476.0,6.48,-2.05,-0.06,0.22
20221214,2.872,2.777,2.92,2.742,364781,1730821.0,6.2,-3.31,-0.095,0.19
20221215,2.702,2.981,2.982,2.622,712840,3414238.0,12.96,7.35,0.204,0.36
20221216,2.862,2.867,3.008,2.772,342868,1649946.0,7.92,-3.82,-0.114,0.17
20221219,2.812,2.802,2.933,2.682,306099,1435592.0,8.75,-2.27,-0.065,0.16
20221220,2.742,2.722,2.912,2.682,244638,1150518.0,8.21,-2.86,-0.08,0.12
20221221,2.732,2.692,2.822,2.642,335935,1560533.0,6.61,-1.1,-0.03,0.17
20221222,2.641,2.631,2.791,2.471,414902,1862352.0,11.89,-2.27,-0.061,0.21
20221223,2.631,2.711,2.801,2.571,247787,1122251.0,8.74,3.04,0.08,0.13
20221227,2.731,2.721,2.861,2.611,548188,2513643.0,9.22,0.37,0.01,0.28
20221228,2.771,2.711,2.851,2.59,375614,1726487.0,9.59,-0.37,-0.01,0.19
20221229,2.781,2.841,2.871,2.681,276021,1290345.0,7.01,4.8,0.13,0.14
20221230,2.831,2.831,3.011,2.661,381976,1780105.0,12.32,-0.35,-0.01,0.19
20230103,2.831,2.781,2.961,2.751,267775,1253664.0,7.42,-1.77,-0.05,0.14
20230104,2.801,2.811,2.871,2.741,349976,1629859.0,4.67,1.08,0.03,0.18
20230105,2.761,2.761,2.811,2.701,201237,930836.0,3.91,-1.78,-0.05,0.1
20230106,2.831,2.831,2.891,2.751,328408,1541323.0,5.07,2.54,0.07,0.17
20230109,2.811,2.841,2.891,2.757,289150,1354635.0,4.73,0.35,0.01,0.15
20230110,2.811,2.821,2.861,2.781,190849,895445.0,2.82,-0.7,-0.02,0.1
20230111,2.811,2.821,3.011,2.791,462132,2176904.0,7.8,0.0,0.0,0.23
20230112,2.841,2.871,2.911,2.791,227321,1075744.0,4.25,1.77,0.05,0.12
20230113,2.991,3.151,3.321,2.921,686883,3440105.0,13.93,9.75,0.28,0.35
20230117,3.181,3.231,3.351,3.161,413144,2115205.0,6.03,2.54,0.08,0.21
20230118,3.261,3.211,3.311,3.161,360106,1842877.0,4.64,-0.62,-0.02,0.18
20230119,3.151,3.151,3.241,3.061,508764,2566786.0,5.61,-1.87,-0.06,0.26
20230120,3.101,3.181,3.221,3.061,2219378,11208944.0,5.08,0.95,0.03,1.13
20230123,3.141,3.151,3.241,3.121,252425,1263216.0,3.77,-0.94,-0.03,0.13
20230124,3.091,3.191,3.271,3.081,384862,1932007.0,6.03,1.27,0.04,0.2
20230125,3.161,3.166,3.201,3.151,195214,976093.0,1.57,-0.78,-0.025,0.1
20230126,3.181,3.171,3.26,3.171,136834,686242.0,2.81,0.16,0.005,0.07
20230127,3.131,3.171,3.271,3.001,317057,1579181.0,8.51,0.0,0.0,0.16
20230130,3.121,3.111,3.231,3.081,222163,1107424.0,4.73,-1.89,-0.06,0.11
20230131,3.141,3.141,3.251,3.111,412252,2059461.0,4.5,0.96,0.03,0.21
20230201,3.341,3.191,3.341,3.141,321054,1619131.0,6.37,1.59,0.05,0.16
20230202,3.191,3.311,3.391,3.151,544310,2769371.0,7.52,3.76,0.12,0.28
20230203,3.181,3.071,3.241,3.031,403127,2001035.0,6.34,-7.25,-0.24,0.2
20230206,3.071,3.001,3.141,2.971,463579,2255078.0,5.54,-2.28,-0.07,0.24
20230207,3.001,3.151,3.171,2.981,231844,1134666.0,6.33,5.0,0.15,0.12
20230208,3.111,3.101,3.151,3.071,147865,729188.0,2.54,-1.59,-0.05,0.08
20230209,3.121,2.991,3.151,2.991,238623,1166344.0,5.16,-3.55,-0.11,0.12
20230210,2.991,3.008,3.041,2.981,192769,930761.0,2.01,0.57,0.017,0.1
20230213,2.961,2.841,3.041,2.781,1000774,4737568.0,8.64,-5.55,-0.167,0.51
20230214,2.741,3.001,3.031,2.671,2618360,12052236.0,12.67,5.63,0.16,1.33
20230215,2.961,2.811,3.018,2.741,1696564,7909145.0,9.23,-6.33,-0.19,0.86
20230216,2.811,2.851,2.931,2.811,667970,3138846.0,4.27,1.42,0.04,0.34
20230217,2.84,2.96,2.97,2.82,935541,4356509.0,5.26,3.82,0.109,0.47
20230221,2.86,2.78,2.886,2.76,734747,3376261.0,4.26,-6.08,-0.18,0.37
20230222,2.73,2.73,2.81,2.66,1212668,5466096.0,5.4,-1.8,-0.05,0.62
20230223,2.75,2.705,2.79,2.69,594971,2679054.0,3.66,-0.92,-0.025,0.3
20230224,2.72,2.89,2.95,2.702,424981,1962025.0,9.17,6.84,0.185,0.22
