trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20130620,71.72,68.48,71.78,68.01,129778,0.0,53.86,878.29,61.48,1.01
20130621,68.77,68.64,69.23,66.75,342834,0.0,3.62,0.23,0.16,2.66
20130624,68.0,66.0,68.0,65.31,268808,0.0,3.92,-3.85,-2.64,2.08
20130625,67.25,67.15,68.03,65.8,145251,0.0,3.38,1.74,1.15,1.12
20130626,67.76,66.8,67.83,66.66,141075,0.0,1.74,-0.52,-0.35,1.09
20130627,66.99,68.34,68.89,66.6,150207,0.0,3.43,2.31,1.54,1.16
20130628,68.49,69.08,69.99,67.49,220632,0.0,3.66,1.08,0.74,1.71
20130701,69.7,68.54,69.82,68.0,115250,0.0,2.63,-0.78,-0.54,0.89
20130702,68.68,72.59,72.85,68.34,243376,0.0,6.58,5.91,4.05,1.88
20130703,71.78,72.19,73.23,70.96,128131,0.0,3.13,-0.55,-0.4,0.99
20130705,73.57,74.19,74.89,72.63,204563,0.0,3.13,2.77,2.0,1.58
20130708,74.25,75.29,75.75,73.81,266600,0.0,2.61,1.48,1.1,2.06
20130709,75.8,75.7,76.0,75.1,130501,0.0,1.2,0.54,0.41,1.01
20130710,76.18,75.0,76.18,74.62,66188,0.0,2.06,-0.92,-0.7,0.51
20130711,76.48,76.06,76.58,74.87,99210,0.0,2.28,1.41,1.06,0.77
20130712,75.58,77.31,77.89,75.44,77612,0.0,3.22,1.64,1.25,0.6
20130715,77.68,77.44,78.0,76.5,62724,0.0,1.94,0.17,0.13,0.49
20130716,77.8,77.61,77.87,76.86,110240,0.0,1.3,0.22,0.17,0.85
20130717,77.61,78.16,78.69,77.18,86213,0.0,1.95,0.71,0.55,0.67
20130718,78.09,77.63,79.91,77.4,96047,0.0,3.21,-0.68,-0.53,0.74
20130719,77.01,77.27,78.1,76.9,79566,0.0,1.55,-0.46,-0.36,0.62
20130722,76.7,76.92,77.1,75.25,76670,0.0,2.39,-0.45,-0.35,0.59
20130723,77.23,79.73,80.29,77.23,154959,0.0,3.98,3.65,2.81,1.2
20130724,79.94,77.23,79.94,76.07,178532,0.0,4.85,-3.14,-2.5,1.38
20130725,76.85,77.84,78.24,76.07,48721,0.0,2.81,0.79,0.61,0.38
20130726,76.93,76.08,77.7,75.78,69253,0.0,2.47,-2.26,-1.76,0.54
20130729,75.59,74.18,76.48,73.84,105208,0.0,3.47,-2.5,-1.9,0.81
20130730,74.69,73.93,75.16,72.91,136569,0.0,3.03,-0.34,-0.25,1.06
20130731,74.17,74.41,75.52,73.64,100173,0.0,2.54,0.65,0.48,0.78
20130801,75.21,77.16,77.83,74.4,222240,0.0,4.61,3.7,2.75,1.72
20130802,77.67,74.41,77.67,73.18,189045,0.0,5.82,-3.56,-2.75,1.46
20130805,73.81,73.36,73.97,71.45,229371,0.0,3.39,-1.41,-1.05,1.78
20130806,73.48,72.14,73.66,71.75,142761,0.0,2.6,-1.66,-1.22,1.11
20130807,77.34,72.35,77.71,70.4,620502,0.0,10.13,0.29,0.21,4.81
20130808,73.04,68.33,73.04,67.3,330112,0.0,7.93,-5.56,-4.02,2.56
20130809,67.85,68.68,69.71,67.5,118583,0.0,3.23,0.51,0.35,0.92
20130812,72.14,68.73,72.14,67.56,191732,0.0,6.67,0.07,0.05,1.48
20130813,69.28,70.29,70.8,68.8,182160,0.0,2.91,2.27,1.56,1.41
20130814,70.21,71.11,71.38,70.03,159015,0.0,1.92,1.17,0.82,1.23
20130815,69.92,69.83,70.12,68.24,157974,0.0,2.64,-1.8,-1.28,1.22
20130816,69.41,69.55,70.49,69.32,89534,0.0,1.68,-0.4,-0.28,0.69
20130819,69.14,69.2,69.78,68.46,168953,0.0,1.9,-0.5,-0.35,1.31
20130820,69.08,69.97,70.3,69.08,222690,0.0,1.76,1.11,0.77,1.72
20130821,69.42,70.0,70.81,68.83,149259,0.0,2.83,0.04,0.03,1.16
20130822,70.15,70.85,72.0,69.53,144200,0.0,3.53,1.21,0.85,1.12
20130823,70.51,70.64,70.92,69.87,226686,0.0,1.48,-0.3,-0.21,1.76
20130826,70.55,70.33,70.95,69.85,153498,0.0,1.56,-0.44,-0.31,1.19
20130827,69.49,67.35,69.92,66.87,145830,0.0,4.34,-4.24,-2.98,1.13
20130828,67.34,70.39,70.79,67.26,89459,0.0,5.24,4.51,3.04,0.69
20130829,69.75,71.15,71.67,69.75,54547,0.0,2.73,1.08,0.76,0.42
20130830,71.6,69.76,71.6,68.92,87674,0.0,3.77,-1.95,-1.39,0.68
20130903,70.86,69.89,71.37,68.24,94541,0.0,4.49,0.19,0.13,0.73
20130904,70.0,71.77,72.0,69.94,69101,0.0,2.95,2.69,1.88,0.54
20130905,71.71,71.58,72.54,70.55,60360,0.0,2.77,-0.26,-0.19,0.47
20130906,71.86,71.65,72.51,70.42,70666,0.0,2.92,0.1,0.07,0.55
20130909,71.7,75.05,75.95,68.04,149359,0.0,11.04,4.75,3.4,1.16
20130910,75.64,75.86,75.98,74.18,102106,0.0,2.4,1.08,0.81,0.79
20130911,75.88,76.36,78.3,75.14,104619,0.0,4.17,0.66,0.5,0.81
20130912,76.5,77.26,77.91,76.06,119757,0.0,2.42,1.18,0.9,0.93
20130913,77.63,77.65,78.25,76.68,94096,0.0,2.03,0.5,0.39,0.73
20130916,78.59,78.09,78.88,77.41,147149,0.0,1.89,0.57,0.44,1.14
20130917,77.98,79.48,79.9,77.38,171224,0.0,3.23,1.78,1.39,1.33
20130918,79.78,78.52,79.98,77.5,104128,0.0,3.12,-1.21,-0.96,0.81
20130919,79.16,79.53,79.99,78.5,59356,0.0,1.9,1.29,1.01,0.46
20130920,79.51,77.29,79.55,76.68,118568,0.0,3.61,-2.82,-2.24,0.92
20130923,77.36,77.83,78.3,75.9,95669,0.0,3.11,0.7,0.54,0.74
20130924,77.8,77.44,77.86,76.07,113376,0.0,2.3,-0.5,-0.39,0.88
20130925,77.93,80.58,80.87,77.02,114984,0.0,4.97,4.05,3.14,0.89
20130926,81.11,82.72,83.12,81.09,170342,0.0,2.52,2.66,2.14,1.32
20130927,82.0,83.87,84.59,82.0,207631,0.0,3.13,1.39,1.15,1.61
20130930,82.35,84.28,84.82,81.9,155662,0.0,3.48,0.49,0.41,1.2
20131001,84.26,83.03,85.45,82.76,117595,0.0,3.19,-1.48,-1.25,0.91
20131002,82.22,86.21,86.6,80.78,216774,0.0,7.01,3.83,3.18,1.67
20131003,86.44,84.52,87.19,83.27,126053,0.0,4.55,-1.96,-1.69,0.97
20131004,84.36,85.51,85.99,83.5,65426,0.0,2.95,1.17,0.99,0.51
20131007,85.04,82.78,85.04,82.25,109480,0.0,3.26,-3.19,-2.73,0.85
20131008,83.03,81.89,83.52,81.07,132831,0.0,2.96,-1.08,-0.89,1.03
20131009,81.91,79.84,82.86,79.67,186759,0.0,3.9,-2.5,-2.05,1.44
20131010,80.86,83.3,83.64,79.6,128953,0.0,5.06,4.33,3.46,1.0
20131011,84.01,88.57,88.75,84.01,154771,0.0,5.69,6.33,5.27,1.2
20131014,87.75,88.16,88.5,86.26,106666,0.0,2.53,-0.46,-0.41,0.82
20131015,87.91,87.01,88.53,85.99,64421,0.0,2.88,-1.3,-1.15,0.5
20131016,88.01,89.32,89.8,86.96,94737,0.0,3.26,2.65,2.31,0.73
20131017,88.75,89.49,91.48,88.02,230715,0.0,3.87,0.19,0.17,1.78
20131018,90.28,89.7,91.11,89.13,129284,0.0,2.21,0.23,0.21,1.0
20131021,89.72,91.09,91.95,89.72,70726,0.0,2.49,1.55,1.39,0.55
20131022,91.44,89.96,91.66,89.69,80163,0.0,2.16,-1.24,-1.13,0.62
20131023,89.06,88.52,89.81,87.3,61759,0.0,2.79,-1.6,-1.44,0.48
20131024,88.98,87.41,88.98,86.4,102660,0.0,2.91,-1.25,-1.11,0.79
20131025,87.95,88.41,88.89,86.63,30361,0.0,2.59,1.14,1.0,0.23
20131028,88.21,87.43,89.11,87.23,49578,0.0,2.13,-1.11,-0.98,0.38
