trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250723,24.63,24.783,24.783,24.63,198,4892.0,0.62,0.0,0.0,0.0
20250724,24.919,24.98,24.98,24.86,633,15782.0,0.48,0.79,0.197,0.0
20250725,24.969,25.025,25.07,24.969,925,23168.0,0.4,0.18,0.045,0.0
20250728,25.14,25.213,25.213,25.08,7954,200092.0,0.53,0.75,0.188,0.0
20250729,25.479,25.157,25.479,25.157,16881,428823.0,1.28,-0.22,-0.056,0.0
20250730,25.29,25.239,25.33,25.14,74977,1893645.0,0.76,0.33,0.082,0.0
20250731,25.581,25.163,25.63,25.155,116368,2962012.0,1.88,-0.3,-0.076,0.0
20250801,24.919,24.658,24.919,24.5,303752,7497094.0,1.67,-2.01,-0.505,0.0
20250804,24.951,25.163,25.19,24.951,87383,2196099.0,0.97,2.05,0.505,0.0
20250805,25.229,24.941,25.23,24.94,49185,1231118.0,1.15,-0.88,-0.222,0.0
20250806,25.04,25.276,25.32,25.04,75364,1903375.0,1.12,1.34,0.335,0.0
20250807,25.64,25.347,25.65,25.25,44543,1129424.0,1.58,0.28,0.071,0.0
20250808,25.53,25.678,25.735,25.38,73724,1888246.0,1.4,1.31,0.331,0.0
20250811,25.69,25.49,25.82,25.48,40631,1042313.0,1.32,-0.73,-0.188,0.0
20250812,25.595,25.888,25.89,25.595,48523,1252192.0,1.16,1.56,0.398,0.0
20250813,26.06,25.847,26.06,25.782,69778,1804011.0,1.07,-0.16,-0.041,0.0
20250814,25.78,25.845,25.92,25.721,38321,989740.0,0.77,-0.01,-0.002,0.0
20250815,25.85,25.647,25.85,25.584,53969,1383640.0,1.03,-0.77,-0.198,0.0
20250818,25.58,25.71,25.71,25.58,62636,1605640.0,0.51,0.25,0.063,0.0
20250819,25.52,25.19,25.58,25.13,288673,7273911.0,1.75,-2.02,-0.52,0.0
20250820,24.81,25.025,25.04,24.601,382857,9516551.0,1.74,-0.66,-0.165,0.0
20250821,24.92,24.904,25.0,24.85,64240,1602196.0,0.6,-0.48,-0.121,0.0
20250822,25.01,25.247,25.38,25.01,29045,735232.0,1.49,1.38,0.343,0.0
20250825,25.22,25.26,25.41,25.22,70004,1774616.0,0.75,0.05,0.013,0.0
20250826,25.27,25.362,25.362,25.18,39746,1006206.0,0.72,0.4,0.102,0.0
20250827,25.26,25.52,25.539,25.26,38430,979875.0,1.1,0.62,0.158,0.0
20250828,25.441,25.729,25.789,25.441,50882,1308871.0,1.36,0.82,0.209,0.0
20250829,25.286,25.323,25.373,25.22,87571,2214279.0,0.59,-1.58,-0.406,0.0
20250902,24.81,25.07,25.07,24.71,268229,6654136.0,1.42,-1.0,-0.253,0.0
20250903,25.25,25.197,25.29,25.068,29362,739338.0,0.89,0.51,0.127,0.0
20250904,25.097,25.36,25.38,25.097,43116,1091255.0,1.12,0.65,0.163,0.0
20250905,25.57,25.28,25.57,25.105,80058,2024436.0,1.83,-0.32,-0.08,0.0
20250908,25.56,25.51,25.57,25.49,58400,1491126.0,0.32,0.91,0.23,0.0
