trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250624,6.75,5.0,7.25,4.5,2899029,15849283.0,55.0,0.0,0.0,15.18
20250625,5.22,5.38,5.85,5.05,495688,2681028.0,16.0,7.6,0.38,2.6
20250626,5.2,5.2,5.38,4.79,486246,2477171.0,10.97,-3.35,-0.18,2.55
20250627,5.25,5.09,5.41,5.02,234703,1208054.0,7.5,-2.12,-0.11,1.23
20250630,5.36,5.13,5.4,4.68,575117,2938628.0,14.15,0.79,0.04,3.01
20250701,5.14,5.598,5.7,4.97,668480,3596972.0,14.23,9.12,0.468,3.5
20250702,5.38,5.38,5.78,5.38,284427,1564287.0,7.15,-3.89,-0.218,1.49
20250703,5.42,5.44,5.66,5.341,263791,1452321.0,5.93,1.12,0.06,1.38
20250707,5.39,5.113,5.51,5.0,167710,874695.0,9.38,-6.01,-0.327,0.88
20250708,5.113,5.125,5.244,4.92,164792,836690.0,6.34,0.23,0.012,0.86
20250709,5.14,5.17,5.38,4.912,107588,553030.0,9.13,0.88,0.045,0.56
20250710,5.25,5.05,5.25,4.85,105507,524051.0,7.74,-2.32,-0.12,0.55
20250711,4.93,4.828,5.06,4.55,281077,1387739.0,10.1,-4.4,-0.222,1.46
20250714,5.0,4.66,5.0,4.56,270389,1297432.0,9.11,-3.48,-0.168,1.41
20250715,4.67,4.6,4.89,4.2,117302,541370.0,14.81,-1.29,-0.06,0.61
20250716,4.46,4.31,4.81,4.08,291544,1250623.0,15.87,-6.3,-0.29,1.52
20250717,4.37,4.475,4.531,4.13,41086,176751.0,9.3,3.83,0.165,0.21
20250718,4.34,4.68,4.78,4.34,32633,151017.0,9.83,4.58,0.205,0.17
20250721,4.655,5.03,5.251,4.51,323962,1601428.0,15.83,7.48,0.35,1.69
20250722,5.03,4.41,5.15,4.355,405407,1890101.0,15.81,-12.33,-0.62,2.11
20250723,4.67,4.67,4.75,4.41,558963,2518073.0,7.71,5.9,0.26,2.91
20250724,4.69,4.5,4.76,4.45,128813,586439.0,6.64,-3.64,-0.17,0.67
20250725,4.8,4.4,4.8,4.0,224997,997888.0,17.78,-2.22,-0.1,1.17
20250728,4.336,4.255,4.53,4.21,48714,212115.0,7.27,-3.3,-0.145,0.25
20250729,4.23,4.24,4.42,4.13,327622,1383641.0,6.82,-0.35,-0.015,1.71
20250730,4.24,4.29,4.4,4.12,65496,279525.0,6.6,1.18,0.05,0.34
20250731,4.2,4.02,4.39,4.02,163373,690005.0,8.62,-6.29,-0.27,0.85
20250801,4.16,2.8,4.37,2.39,711905,2451907.0,49.25,-30.35,-1.22,3.71
20250804,2.9,3.44,3.52,2.87,148106,477268.0,23.21,22.86,0.64,0.77
20250805,3.4,3.51,3.8,3.347,38899,135758.0,13.17,2.03,0.07,0.2
20250806,3.42,3.26,3.51,3.049,47926,164116.0,13.13,-7.12,-0.25,0.25
20250807,3.47,3.31,3.49,3.21,15087,49865.0,8.59,1.53,0.05,0.08
20250808,3.45,3.37,3.5,3.105,186675,610334.0,11.93,1.81,0.06,0.97
20250811,3.46,3.28,3.49,3.12,124868,405648.0,10.98,-2.67,-0.09,0.65
20250812,3.2,3.35,3.499,2.26,164838,514480.0,37.77,2.13,0.07,0.86
20250813,3.44,3.39,3.63,3.31,251981,889263.0,9.55,1.19,0.04,1.31
20250814,3.2,3.05,3.387,3.0,57848,181621.0,11.42,-10.03,-0.34,0.3
20250815,3.26,3.01,3.27,2.88,26122,80563.0,12.79,-1.31,-0.04,0.14
20250818,3.16,2.91,3.16,2.725,50645,149492.0,14.45,-3.32,-0.1,0.26
20250819,2.82,2.93,2.942,2.6,75160,209279.0,11.75,0.69,0.02,0.39
20250820,3.02,3.26,3.49,2.93,276990,891591.0,19.11,11.26,0.33,1.44
20250821,3.45,3.57,3.57,3.05,160706,544873.0,15.95,9.51,0.31,0.84
20250822,3.4,3.39,3.54,3.01,42864,146289.0,14.85,-5.04,-0.18,0.22
20250825,3.13,3.43,3.56,3.13,57462,195608.0,12.68,1.18,0.04,0.3
20250826,3.36,3.48,3.5,3.263,15535,53204.0,6.91,1.46,0.05,0.08
20250827,3.47,3.3,3.48,3.3,6749,22944.0,5.17,-5.17,-0.18,0.04
20250828,3.16,3.24,3.3,3.14,7902,25412.0,4.85,-1.82,-0.06,0.04
20250829,3.2,3.25,3.4,2.95,414053,1258678.0,13.89,0.31,0.01,2.16
