trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150331,16.532,16.579,16.593,16.498,39387,0.0,0.0,0.0,0.0,0.0
20150402,16.64,16.918,16.918,16.64,2285811,0.0,1.68,2.04,0.339,0.0
20150407,17.053,17.019,17.067,16.985,28182,0.0,0.48,0.6,0.101,0.0
20150408,17.365,17.297,17.507,17.161,61499,0.0,2.03,1.63,0.278,0.0
20150410,17.507,17.534,17.595,17.446,4556303,0.0,0.86,1.37,0.237,0.0
20150413,17.602,17.48,17.73,17.473,41464,0.0,1.47,-0.31,-0.054,0.0
20150414,17.5,17.507,17.541,17.365,32029,0.0,1.01,0.15,0.027,0.0
20150415,17.473,17.581,17.629,17.453,111848,0.0,1.01,0.42,0.074,0.0
20150416,17.568,17.663,17.737,17.568,74417,0.0,0.96,0.47,0.082,0.0
20150417,17.371,17.426,17.426,17.25,225700,0.0,1.0,-1.34,-0.237,0.0
20150420,17.419,17.439,17.5,17.385,40459,0.0,0.66,0.07,0.013,0.0
20150421,17.697,17.541,17.697,17.507,40968,0.0,1.09,0.58,0.102,0.0
20150422,17.669,17.649,17.703,17.554,118808,0.0,0.85,0.62,0.108,0.0
20150423,17.676,17.737,17.839,17.676,63928,0.0,0.92,0.5,0.088,0.0
20150424,17.812,17.724,17.846,17.724,117167,0.0,0.69,-0.07,-0.013,0.0
20150427,17.859,17.825,17.859,17.703,36167,0.0,0.88,0.57,0.101,0.0
20150428,17.778,17.73,17.778,17.608,25194,0.0,0.95,-0.53,-0.095,0.0
20150429,17.527,17.548,17.608,17.453,69545,0.0,0.87,-1.03,-0.182,0.0
20150430,17.419,17.399,17.487,17.331,43537,0.0,0.89,-0.85,-0.149,0.0
20150501,17.419,17.548,17.588,17.405,37636,0.0,1.05,0.86,0.149,0.0
20150504,17.615,17.615,17.703,17.575,59644,0.0,0.73,0.38,0.067,0.0
20150505,17.52,17.432,17.581,17.378,26574,0.0,1.15,-1.04,-0.183,0.0
20150506,17.412,17.107,17.412,17.101,163599,0.0,1.78,-1.86,-0.325,0.0
20150507,17.006,17.168,17.175,17.006,98541,0.0,0.99,0.36,0.061,0.0
20150508,17.283,17.371,17.419,17.27,22757,0.0,0.87,1.18,0.203,0.0
20150511,17.399,17.263,17.399,17.222,20490,0.0,1.02,-0.62,-0.108,0.0
20150512,17.25,17.216,17.25,17.128,39560,0.0,0.71,-0.27,-0.047,0.0
20150513,17.243,17.134,17.29,17.114,17165,0.0,1.02,-0.48,-0.082,0.0
20150514,17.283,17.283,17.29,17.134,17500,0.0,0.91,0.87,0.149,0.0
20150515,17.263,17.29,17.297,17.189,18976,0.0,0.62,0.04,0.007,0.0
20150518,17.182,17.209,17.317,17.155,244227,0.0,0.94,-0.47,-0.081,0.0
20150519,17.31,17.27,17.31,17.229,23934,0.0,0.47,0.35,0.061,0.0
20150520,17.256,17.263,17.297,17.195,30457,0.0,0.59,-0.04,-0.007,0.0
20150521,17.148,17.216,17.216,17.114,54733,0.0,0.59,-0.27,-0.047,0.0
20150522,17.256,17.297,17.331,17.209,36176,0.0,0.71,0.47,0.081,0.0
20150526,17.256,17.155,17.256,17.067,34503,0.0,1.09,-0.82,-0.142,0.0
20150527,17.073,17.155,17.202,17.033,40961,0.0,0.99,0.0,0.0,0.0
20150528,16.979,16.938,17.012,16.789,40912,0.0,1.3,-1.26,-0.217,0.0
20150529,16.897,16.877,16.979,16.796,48052,0.0,1.08,-0.36,-0.061,0.0
20150601,16.87,16.843,16.877,16.782,168764,0.0,0.56,-0.2,-0.034,0.0
20150602,16.782,16.836,16.877,16.762,82640,0.0,0.68,-0.04,-0.007,0.0
20150603,16.775,16.715,16.816,16.654,166401,0.0,0.96,-0.72,-0.121,0.0
20150604,16.667,16.579,16.681,16.525,46998,0.0,0.93,-0.81,-0.136,0.0
20150605,16.545,16.593,16.606,16.525,21502,0.0,0.49,0.08,0.014,0.0
20150608,16.62,16.477,16.66,16.471,49609,0.0,1.14,-0.7,-0.116,0.0
20150609,16.437,16.423,16.437,16.322,99119,0.0,0.7,-0.33,-0.054,0.0
20150610,16.484,16.518,16.559,16.457,54938,0.0,0.62,0.58,0.095,0.0
20150611,16.545,16.525,16.579,16.45,210542,0.0,0.78,0.04,0.007,0.0
20150612,16.511,16.505,16.566,16.41,90459,0.0,0.94,-0.12,-0.02,0.0
20150615,16.268,16.281,16.349,16.254,49903,0.0,0.58,-1.36,-0.224,0.0
20150616,16.274,16.342,16.349,16.186,94203,0.0,1.0,0.37,0.061,0.0
20150617,16.254,16.268,16.423,16.2,92833,0.0,1.36,-0.45,-0.074,0.0
20150618,16.376,16.43,16.484,16.301,99615,0.0,1.12,1.0,0.162,0.0
20150619,16.281,16.261,16.41,16.247,88194,0.0,0.99,-1.03,-0.169,0.0
20150622,16.457,16.505,16.566,16.417,40285,0.0,0.92,1.5,0.244,0.0
20150623,16.681,16.735,16.748,16.599,116443,0.0,0.9,1.39,0.23,0.0
20150624,16.728,16.66,16.782,16.593,119238,0.0,1.13,-0.45,-0.075,0.0
20150625,16.572,16.491,16.64,16.491,144621,0.0,0.89,-1.01,-0.169,0.0
20150626,16.545,16.484,16.593,16.423,116663,0.0,1.03,-0.04,-0.007,0.0
20150629,16.288,16.064,16.301,16.037,112492,0.0,1.6,-2.55,-0.42,0.0
20150630,16.335,16.362,16.41,16.227,124939,0.0,1.14,1.86,0.298,0.0
20150701,16.43,16.417,16.484,16.322,235977,0.0,0.99,0.34,0.055,0.0
20150702,16.648,16.538,16.655,16.517,37509,0.0,0.84,0.74,0.121,0.0
20150706,16.208,16.077,16.256,16.029,137002,0.0,1.37,-2.79,-0.461,0.0
20150707,15.94,15.912,15.988,15.679,27430,0.0,1.92,-1.03,-0.165,0.0
20150708,15.59,15.418,15.624,15.397,57476,0.0,1.43,-3.1,-0.494,0.0
