trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150722,14.065,14.086,14.108,14.065,409563,0.0,0.0,0.0,0.0,0.0
20150723,14.15,14.136,14.158,14.122,120896,0.0,0.26,0.35,0.05,0.0
20150724,14.086,13.986,14.1,13.986,35610,0.0,0.81,-1.06,-0.15,0.0
20150727,13.872,13.858,13.893,13.858,53800,0.0,0.25,-0.92,-0.128,0.0
20150728,13.886,14.029,14.029,13.886,27610,0.0,1.03,1.23,0.171,0.0
20150729,14.008,14.108,14.108,14.0,68014,0.0,0.77,0.56,0.079,0.0
20150730,14.222,14.086,14.222,14.036,31358,0.0,1.32,-0.16,-0.022,0.0
20150731,14.143,14.136,14.165,14.136,50802,0.0,0.21,0.35,0.05,0.0
20150803,14.279,14.093,14.279,14.093,17760,0.0,1.32,-0.3,-0.043,0.0
20150804,14.322,14.058,14.322,14.058,18938,0.0,1.87,-0.25,-0.035,0.0
20150805,14.158,14.215,14.215,14.15,2500,0.0,0.46,1.12,0.157,0.0
20150806,14.086,14.15,14.172,14.079,3170,0.0,0.65,-0.46,-0.065,0.0
20150810,14.215,14.25,14.286,14.193,9600,0.0,0.66,0.71,0.1,0.0
20150811,14.058,14.036,14.072,14.015,11000,0.0,0.4,-1.5,-0.214,0.0
20150812,14.029,13.908,14.029,13.772,10450,0.0,1.83,-0.91,-0.128,0.0
20150813,13.879,13.95,13.972,13.879,10200,0.0,0.67,0.3,0.042,0.0
20150814,13.936,13.993,13.993,13.908,10523,0.0,0.61,0.31,0.043,0.0
20150817,13.836,13.95,13.965,13.836,10200,0.0,0.92,-0.31,-0.043,0.0
20150818,13.879,13.872,13.9,13.865,9293,0.0,0.25,-0.56,-0.078,0.0
20150819,13.765,13.758,13.801,13.693,10250,0.0,0.78,-0.82,-0.114,0.0
20150820,13.765,13.401,13.765,13.386,14878,0.0,2.75,-2.59,-0.357,0.0
20150821,13.229,13.101,13.329,13.094,19602,0.0,1.75,-2.24,-0.3,0.0
20150824,12.68,12.665,12.887,12.544,20702,0.0,2.62,-3.33,-0.436,0.0
20150825,13.094,12.865,15.835,12.444,86377,0.0,26.77,1.58,0.2,0.0
20150826,12.837,13.029,13.094,12.808,11242,0.0,2.22,1.27,0.164,0.0
20150827,13.087,13.229,13.272,13.079,444253,0.0,1.48,1.54,0.2,0.0
20150828,13.651,13.222,13.651,13.122,149063,0.0,4.0,-0.05,-0.007,0.0
20150831,13.115,13.151,13.165,13.101,34260,0.0,0.48,-0.54,-0.071,0.0
