trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230329,4.4,3.5,4.6,3.47,252963,999312.0,28.25,-12.5,-0.5,2.1
20230330,3.36,3.57,3.71,3.26,415154,1452530.0,12.86,2.0,0.07,3.44
20230331,3.75,3.47,3.75,3.34,35021,122637.0,11.48,-2.8,-0.1,0.29
20230403,3.42,3.61,3.67,3.253,71520,254141.0,12.02,4.03,0.14,0.59
20230404,3.61,3.59,3.66,3.528,8441,30430.0,3.66,-0.55,-0.02,0.07
20230405,3.32,3.48,3.56,3.32,18595,63943.0,6.69,-3.06,-0.11,0.15
20230406,3.42,3.36,3.57,3.32,36533,124606.0,7.18,-3.45,-0.12,0.3
20230410,3.38,3.39,3.55,3.38,3679,12634.0,5.06,0.89,0.03,0.03
20230411,3.41,3.37,3.59,3.25,37165,125549.0,10.03,-0.59,-0.02,0.31
20230412,3.03,3.54,3.59,3.03,16359,56244.0,16.62,5.04,0.17,0.14
20230413,3.57,3.6,3.6,3.45,7703,27405.0,4.24,1.69,0.06,0.06
20230414,3.6,3.7,4.0,3.06,12984,46726.0,26.11,2.78,0.1,0.11
20230417,3.69,3.69,3.69,3.69,1057,3900.0,0.0,-0.27,-0.01,0.01
20230418,3.5,3.51,3.62,3.4,7246,25027.0,5.96,-4.88,-0.18,0.06
20230419,3.33,3.44,3.5,3.31,26869,91841.0,5.41,-1.99,-0.07,0.22
20230420,3.62,3.88,3.88,3.5,5413,19857.0,11.05,12.79,0.44,0.04
20230421,3.65,3.8,3.89,3.65,10013,38530.0,6.19,-2.06,-0.08,0.08
20230424,3.63,3.7,3.98,3.59,4003,14826.0,10.26,-2.63,-0.1,0.03
20230425,3.6,3.68,3.68,3.59,1571,5673.0,2.43,-0.54,-0.02,0.01
20230426,3.64,3.67,3.7,3.55,3730,13585.0,4.08,-0.27,-0.01,0.03
20230427,3.67,3.7,3.7,3.24,5803,20737.0,12.53,0.82,0.03,0.05
20230428,3.72,4.2,5.0,3.45,215375,928943.0,41.89,13.51,0.5,1.79
20230501,7.9,3.79,8.68,3.7,9127000,47553398.0,118.57,-9.76,-0.41,75.66
20230502,3.3,2.87,3.63,2.62,1145144,3427557.0,26.65,-24.27,-0.92,9.26
20230503,2.66,2.87,3.25,2.66,476668,1415013.0,20.56,0.0,0.0,3.85
