trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,9.34,9.39,9.41,9.2,3269,0.0,2.88,28.63,2.09,0.01
20110127,9.36,9.43,9.43,8.92,8847,0.0,5.43,0.43,0.04,0.03
20110128,9.28,8.74,9.45,8.71,5136,0.0,7.85,-7.32,-0.69,0.02
20110131,8.76,8.87,9.33,8.46,8694,0.0,9.95,1.49,0.13,0.03
20110201,8.8,8.95,9.21,8.76,4920,0.0,5.07,0.9,0.08,0.02
20110202,9.22,8.6,9.22,8.48,2775,0.0,8.27,-3.91,-0.35,0.01
20110203,8.47,8.53,8.76,8.46,6740,0.0,3.49,-0.81,-0.07,0.02
20110204,8.48,8.32,8.48,8.26,4116,0.0,2.58,-2.46,-0.21,0.01
20110207,8.3,8.33,8.33,8.05,1871,0.0,3.37,0.12,0.01,0.01
20110208,8.25,8.44,8.44,8.09,3936,0.0,4.2,1.32,0.11,0.01
20110209,8.38,8.6,8.76,8.33,52313,0.0,5.09,1.9,0.16,0.19
20110210,8.6,8.96,9.14,8.6,3208,0.0,6.28,4.19,0.36,0.01
20110211,9.01,8.68,9.01,7.96,65956,0.0,11.72,-3.13,-0.28,0.24
20110214,8.6,8.22,8.6,7.72,4570,0.0,10.14,-5.3,-0.46,0.02
20110325,9.08,8.96,9.08,8.79,2430,0.0,3.53,9.0,0.74,0.01
20110328,8.96,8.9,9.27,8.68,13883,0.0,6.58,-0.67,-0.06,0.05
20110329,8.76,8.84,8.84,8.76,520,0.0,0.9,-0.67,-0.06,0.0
20110330,8.84,9.36,9.36,8.58,18811,0.0,8.82,5.88,0.52,0.07
20110331,9.28,9.56,9.56,9.28,12066,0.0,2.99,2.14,0.2,0.04
20110401,9.53,9.68,9.75,9.53,7029,0.0,2.3,1.26,0.12,0.03
20110404,9.76,9.8,9.86,9.76,2401,0.0,1.03,1.24,0.12,0.01
20110405,9.96,10.01,10.06,9.78,15650,0.0,2.86,2.14,0.21,0.06
20110406,10.01,9.8,10.01,9.5,3174,0.0,5.09,-2.1,-0.21,0.01
20110407,9.9,9.92,10.05,9.9,3217,0.0,1.53,1.22,0.12,0.01
20110408,9.55,9.6,9.78,9.48,2544,0.0,3.02,-3.23,-0.32,0.01
20110411,9.57,8.75,9.59,8.73,3619,0.0,8.96,-8.85,-0.85,0.01
20110412,8.76,9.4,9.51,8.73,10440,0.0,8.91,7.43,0.65,0.04
20110413,9.46,8.79,9.46,8.53,7336,0.0,9.89,-6.49,-0.61,0.03
20110414,8.81,9.33,9.5,8.81,10636,0.0,7.85,6.14,0.54,0.04
20110415,9.29,9.3,9.3,9.02,3316,0.0,3.0,-0.32,-0.03,0.01
20110418,9.17,9.37,9.44,8.61,12610,0.0,8.92,0.75,0.07,0.04
20110419,9.13,9.32,9.32,9.13,691,0.0,2.03,-0.53,-0.05,0.0
20110420,9.45,9.46,9.51,9.15,5702,0.0,3.86,1.5,0.14,0.02
20110421,9.08,9.26,9.46,9.08,1534,0.0,4.02,-2.11,-0.2,0.01
20110425,9.07,8.86,9.07,8.83,5094,0.0,2.59,-4.32,-0.4,0.02
20110426,8.91,9.23,9.23,8.91,1712,0.0,3.61,4.18,0.37,0.01
20110427,9.12,9.18,9.25,8.99,3930,0.0,2.82,-0.54,-0.05,0.01
20110428,9.08,9.16,9.16,9.0,1262,0.0,1.74,-0.22,-0.02,0.0
20110429,9.18,9.18,9.18,8.97,4435,0.0,2.29,0.22,0.02,0.02
20110502,8.96,8.96,9.18,8.96,5066,0.0,2.4,-2.4,-0.22,0.02
20110503,8.96,8.97,9.13,8.96,8325,0.0,1.9,0.11,0.01,0.03
20110504,8.97,8.96,9.01,8.96,13420,0.0,0.56,-0.11,-0.01,0.05
20110505,8.96,9.1,9.1,8.96,4768,0.0,1.56,1.56,0.14,0.02
20110506,8.96,9.04,9.1,8.96,10477,0.0,1.54,-0.66,-0.06,0.04
20110509,8.99,9.04,9.11,8.98,2691,0.0,1.44,0.0,0.0,0.01
20110510,9.11,9.33,9.33,9.09,8660,0.0,2.65,3.21,0.29,0.03
20110511,9.26,9.31,9.47,9.24,6071,0.0,2.47,-0.21,-0.02,0.02
20110512,9.21,8.86,9.21,8.8,111174,0.0,4.4,-4.83,-0.45,0.4
20110513,8.72,8.55,8.72,8.46,5305,0.0,2.93,-3.5,-0.31,0.02
20110516,8.55,8.41,8.56,8.41,5170,0.0,1.75,-1.64,-0.14,0.02
20110517,8.39,8.15,8.46,8.15,8267,0.0,3.69,-3.09,-0.26,0.03
20110518,8.15,8.12,8.21,8.04,7843,0.0,2.09,-0.37,-0.03,0.03
20110519,8.11,7.91,8.11,7.91,19522,0.0,2.46,-2.59,-0.21,0.07
20110520,7.8,7.87,8.08,7.76,110714,0.0,4.05,-0.51,-0.04,0.39
20110523,8.13,8.85,9.11,7.9,44212,0.0,15.37,12.45,0.98,0.16
20110524,8.9,8.88,8.96,8.46,9368,0.0,5.65,0.34,0.03,0.03
20110525,8.96,8.71,8.96,8.57,32704,0.0,4.39,-1.91,-0.17,0.12
20110526,8.69,8.43,8.7,8.15,9588,0.0,6.31,-3.21,-0.28,0.03
20110527,7.99,8.86,8.86,7.99,14177,0.0,10.32,5.1,0.43,0.05
20110531,8.95,8.96,9.04,8.51,12070,0.0,5.98,1.13,0.1,0.04
20110601,8.99,8.19,8.99,8.19,13748,0.0,8.93,-8.59,-0.77,0.05
20110602,8.08,8.08,8.08,8.08,8550,0.0,0.0,-1.34,-0.11,0.03
20110603,8.27,8.02,8.31,7.98,13887,0.0,4.08,-0.74,-0.06,0.05
20110606,8.07,8.01,8.09,7.99,6938,0.0,1.25,-0.12,-0.01,0.02
20110607,8.01,8.08,8.13,7.98,3504,0.0,1.87,0.87,0.07,0.01
20110608,8.04,7.7,8.06,7.41,16006,0.0,8.04,-4.7,-0.38,0.06
20110609,7.82,7.81,7.82,7.68,1048,0.0,1.82,1.43,0.11,0.0
20110610,7.81,8.12,8.54,7.6,39701,0.0,12.04,3.97,0.31,0.14
20110613,8.09,7.84,8.46,7.83,11845,0.0,7.76,-3.45,-0.28,0.04
20110614,7.95,7.79,8.02,7.5,15080,0.0,6.63,-0.64,-0.05,0.05
20110615,7.71,7.6,7.78,7.58,4269,0.0,2.57,-2.44,-0.19,0.02
20110616,7.62,7.85,7.85,7.58,8775,0.0,3.55,3.29,0.25,0.03
20110617,7.88,7.63,7.98,7.52,26714,0.0,5.86,-2.8,-0.22,0.09
20110620,7.67,7.58,7.7,7.54,28912,0.0,2.1,-0.66,-0.05,0.1
20110621,7.68,7.63,7.7,7.61,4824,0.0,1.19,0.66,0.05,0.02
20110622,7.64,7.5,7.64,7.48,33536,0.0,2.1,-1.7,-0.13,0.12
20110623,7.53,7.64,7.72,7.52,14713,0.0,2.67,1.87,0.14,0.05
20110624,7.7,7.86,7.98,7.59,54530,0.0,5.1,2.88,0.22,0.19
