trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220511,20.04,18.71,20.6,18.71,413706,8834081.0,9.64,-4.54,-0.89,5.82
20220512,19.6,20.13,23.28,19.6,215712,4716091.0,19.67,7.59,1.42,3.04
20220513,19.85,20.13,20.675,19.75,52854,1140848.0,4.6,0.0,0.0,0.74
20220516,20.1,20.2,20.31,20.1,2695,58307.0,1.04,0.35,0.07,0.04
20220517,20.1,20.1,20.2,19.65,29495,630906.0,2.72,-0.5,-0.1,0.42
20220518,19.885,20.1,20.3,19.6,18140,388232.0,3.48,0.0,0.0,0.26
20220519,19.72,20.1,20.11,19.71,14102,301516.0,1.99,0.0,0.0,0.2
20220520,19.76,19.84,19.99,19.76,5879,124997.0,1.14,-1.29,-0.26,0.08
20220523,19.54,19.64,19.84,19.54,13014,274021.0,1.51,-1.01,-0.2,0.18
20220524,19.82,19.2,19.82,19.2,5005,104297.0,3.16,-2.24,-0.44,0.07
20220525,19.29,19.1,19.38,19.1,12233,251490.0,1.46,-0.52,-0.1,0.17
20220526,19.5,19.105,19.5,19.105,1253,26063.0,2.07,0.03,0.005,0.02
20220527,19.1,18.91,19.1,18.91,3158,64593.0,0.99,-1.02,-0.195,0.04
20220531,18.91,19.11,19.469,18.91,3968,81386.0,2.96,1.06,0.2,0.06
20220601,19.11,19.815,20.14,19.11,2579,55033.0,5.39,3.69,0.705,0.04
20220602,19.82,19.17,19.82,19.11,10470,217449.0,3.58,-3.26,-0.645,0.15
20220603,20.515,19.21,20.52,19.21,3561,74448.0,6.83,0.21,0.04,0.05
20220606,20.335,19.89,21.1,19.41,6733,143678.0,8.8,3.54,0.68,0.09
20220607,19.98,19.87,20.06,19.525,4222,89960.0,2.69,-0.1,-0.02,0.06
20220608,19.95,19.73,20.1,19.45,2153,45893.0,3.27,-0.7,-0.14,0.03
20220609,19.37,19.68,19.9,19.37,5185,108831.0,2.69,-0.25,-0.05,0.07
20220610,19.53,19.53,19.53,19.53,995,20825.0,0.0,-0.76,-0.15,0.01
20220613,22.07,19.13,22.07,19.12,6148,131371.0,15.1,-2.05,-0.4,0.08
20220614,20.28,18.92,20.28,18.92,2142,44355.0,7.11,-1.1,-0.21,0.03
20220615,19.11,19.325,20.78,19.11,2949,62393.0,8.83,2.14,0.405,0.04
20220616,19.98,20.29,20.775,19.85,4497,97711.0,4.79,4.99,0.965,0.06
20220617,20.17,18.43,20.88,18.43,36310,727541.0,12.07,-9.17,-1.86,0.5
