trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210407,26.25,26.0,26.25,26.0,991,25793.0,0.97,1.36,0.35,0.0
20210408,25.66,25.707,25.79,25.66,2610,67181.0,0.5,-1.13,-0.293,0.0
20210409,25.66,25.66,25.66,25.66,100,2566.0,0.0,-0.18,-0.047,0.0
20210412,26.1,25.693,26.1,25.67,3240,83427.0,1.68,0.13,0.033,0.0
20210413,25.72,25.71,25.73,25.66,7300,187684.0,0.27,0.07,0.017,0.0
20210414,25.72,25.72,25.72,25.72,1100,28292.0,0.0,0.04,0.01,0.0
20210415,25.65,25.75,25.8,25.58,65100,1673746.0,0.86,0.12,0.03,0.0
20210416,25.75,25.77,25.77,25.73,5473,140996.0,0.16,0.08,0.02,0.0
20210419,25.6,25.673,25.673,25.5,3100,79262.0,0.67,-0.38,-0.097,0.0
20210420,25.67,25.64,25.67,25.599,3434,87982.0,0.28,-0.13,-0.033,0.0
20210421,25.73,25.69,25.73,25.677,651,16730.0,0.21,0.2,0.05,0.0
20210422,25.75,25.74,25.75,25.66,4414,113524.0,0.35,0.19,0.05,0.0
20210423,25.75,25.614,25.75,25.614,4201,108033.0,0.53,-0.49,-0.126,0.0
20210426,25.61,25.785,25.79,25.61,1625,41852.0,0.7,0.67,0.171,0.0
20210427,25.79,25.79,25.79,25.79,800,20632.0,0.0,0.02,0.005,0.0
20210428,25.78,25.75,25.78,25.627,11081,285086.0,0.59,-0.16,-0.04,0.0
20210429,25.75,25.75,25.75,25.75,1600,41200.0,0.0,0.0,0.0,0.0
20210430,25.75,25.68,25.79,25.68,2925,75258.0,0.43,-0.27,-0.07,0.0
20210503,25.692,25.75,25.75,25.675,3242,83417.0,0.29,0.27,0.07,0.0
20210504,25.75,25.75,25.82,25.706,5069,130564.0,0.44,0.0,0.0,0.0
20210505,25.85,26.0,26.395,25.85,6590,171121.0,2.12,0.97,0.25,0.0
20210506,26.0,26.0,26.0,26.0,5,130.0,0.0,0.0,0.0,0.0
20210507,25.65,25.6,25.656,25.51,4305,110141.0,0.56,-1.54,-0.4,0.0
20210510,25.69,25.67,25.69,25.67,252,6470.0,0.08,0.27,0.07,0.0
20210511,25.53,25.62,25.767,25.52,1779,45513.0,0.96,-0.19,-0.05,0.0
20210512,25.5,25.648,25.648,25.5,801,20484.0,0.58,0.11,0.028,0.0
20210513,25.54,25.594,25.63,25.46,1707,43587.0,0.66,-0.21,-0.054,0.0
20210514,25.5,25.54,25.54,25.44,2277,58024.0,0.39,-0.21,-0.054,0.0
20210517,25.55,25.55,25.64,25.514,1758,44979.0,0.49,0.04,0.01,0.0
20210518,25.59,25.66,25.66,25.59,903,23142.0,0.27,0.43,0.11,0.0
20210519,25.51,25.77,25.77,25.479,13399,341835.0,1.13,0.43,0.11,0.0
20210520,25.75,25.748,25.748,25.748,1409,36182.0,0.0,-0.09,-0.022,0.0
20210521,25.68,25.72,25.72,25.72,860,22069.0,0.0,-0.11,-0.028,0.0
20210524,25.7,25.7,25.7,25.7,266,6836.0,0.0,-0.08,-0.02,0.0
20210526,25.59,25.69,25.728,25.59,1658,42593.0,0.54,-0.04,-0.01,0.0
20210527,25.6,25.653,25.653,25.6,1540,39452.0,0.21,-0.14,-0.037,0.0
20210528,25.56,25.72,25.72,25.55,900,23031.0,0.66,0.26,0.067,0.0
20210602,25.674,25.69,25.75,25.674,3085,79306.0,0.3,-0.12,-0.03,0.0
20210603,25.75,25.736,25.75,25.73,528,13590.0,0.08,0.18,0.046,0.0
20210604,25.8,25.75,25.8,25.75,1725,44426.0,0.19,0.05,0.014,0.0
20210608,25.75,25.72,25.75,25.61,4700,120880.0,0.54,-0.12,-0.03,0.0
20210609,25.75,25.709,25.75,25.709,400,10295.0,0.16,-0.04,-0.011,0.0
20210611,25.75,25.72,25.75,25.72,56600,1455782.0,0.12,0.04,0.011,0.0
