trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180111,35.162,35.162,35.19,35.162,2100001,105084050.0,0.08,-0.08,-0.028,0.0
20180112,35.162,35.162,35.162,35.162,0,0.0,0.0,0.0,0.0,0.0
20180116,35.148,35.148,35.148,35.148,220,11004.0,0.0,-0.04,-0.014,0.0
20180117,35.148,35.148,35.148,35.148,60,0.0,0.0,0.0,0.0,0.0
20180119,35.071,35.071,35.071,35.071,75000,3743249.0,0.0,-0.22,-0.077,0.0
20180122,35.12,35.12,35.12,35.12,203,10145.0,0.0,0.14,0.049,0.0
20180123,35.169,35.169,35.169,35.169,263,13163.0,0.0,0.14,0.049,0.0
20180124,35.148,35.148,35.148,35.148,75002,3751600.0,0.0,-0.06,-0.021,0.0
20180129,35.148,35.148,35.148,35.148,18,0.0,0.0,0.0,0.0,0.0
20180131,35.043,35.043,35.043,35.043,400,19948.0,0.0,-0.3,-0.105,0.0
20180201,34.975,34.975,34.975,34.975,75000,3721500.0,0.0,-0.19,-0.068,0.0
20180202,34.975,34.975,34.975,34.975,16,0.0,0.0,0.0,0.0,0.0
20180206,34.742,34.742,34.742,34.742,75000,3696750.0,0.0,-0.67,-0.233,0.0
20180208,34.742,34.742,34.742,34.742,20,0.0,0.0,0.0,0.0,0.0
20180215,34.623,34.623,34.623,34.623,75000,3684000.0,0.0,-0.34,-0.119,0.0
20180221,34.806,34.806,34.806,34.806,100000,4938000.0,0.0,0.53,0.183,0.0
20180222,34.735,34.735,34.735,34.735,25035,1233724.0,0.0,-0.2,-0.071,0.0
20180226,34.735,34.735,34.735,34.735,20,0.0,0.0,0.0,0.0,0.0
20180228,34.742,34.742,34.742,34.742,75035,3698475.0,0.0,0.02,0.007,0.0
20180322,34.631,34.631,34.631,34.631,100,4898.0,0.0,-0.32,-0.111,0.0
20180329,34.73,34.73,34.73,34.73,75000,3684000.0,0.0,0.29,0.099,0.0
20180416,34.85,34.73,34.85,34.73,1,0.0,0.35,0.0,0.0,0.0
20180424,34.73,34.73,34.73,34.73,50,0.0,0.0,0.0,0.0,0.0
20180427,34.772,34.772,34.772,34.772,100,4901.0,0.0,0.12,0.042,0.0
20180514,34.819,34.791,34.819,34.776,3600,175951.0,0.12,0.05,0.019,0.0
20180518,34.712,34.712,34.712,34.712,404,19699.0,0.0,-0.23,-0.079,0.0
20180522,34.712,34.712,34.712,34.712,5,0.0,0.0,0.0,0.0,0.0
20180524,34.712,34.712,34.712,34.712,50,0.0,0.0,0.0,0.0,0.0
20180611,34.834,34.712,34.834,34.712,1,0.0,0.35,0.0,0.0,0.0
20180613,34.941,34.884,34.962,34.884,1400,68449.0,0.22,0.5,0.172,0.0
20180614,34.984,34.948,34.984,34.948,400,19578.0,0.1,0.18,0.064,0.0
20180615,34.948,34.948,34.948,34.948,39,0.0,0.0,0.0,0.0,0.0
20180621,34.984,34.948,34.984,34.948,30,0.0,0.1,0.0,0.0,0.0
20180627,34.848,34.948,34.948,34.848,511,24929.0,0.29,0.0,0.0,0.0
20180703,34.8,34.815,34.815,34.8,700,33986.0,0.04,-0.38,-0.133,0.0
20180711,34.879,34.908,34.908,34.872,750,36505.0,0.1,0.27,0.093,0.0
20180712,34.908,34.908,34.908,34.908,51,0.0,0.0,0.0,0.0,0.0
20180713,34.908,34.908,34.908,34.908,25,0.0,0.0,0.0,0.0,0.0
20180716,34.951,34.951,34.951,34.951,2035,99206.0,0.0,0.12,0.043,0.0
20180717,34.951,34.951,34.951,34.951,25,0.0,0.0,0.0,0.0,0.0
20180719,34.951,34.951,34.951,34.951,1,0.0,0.0,0.0,0.0,0.0
20180726,35.08,35.08,35.08,35.08,150,7339.0,0.0,0.37,0.129,0.0
20180727,35.08,35.08,35.08,35.08,20,0.0,0.0,0.0,0.0,0.0
20180730,35.087,35.087,35.087,35.087,100,4894.0,0.0,0.02,0.007,0.0
20180731,35.109,35.109,35.109,35.109,1300,63661.0,0.0,0.06,0.022,0.0
20180806,35.236,35.107,35.236,35.107,5,0.0,0.37,-0.01,-0.002,0.0
20180807,35.236,35.236,35.236,35.236,100,4896.0,0.0,0.37,0.129,0.0
20180808,35.236,35.236,35.236,35.236,510,24976.0,0.0,0.0,0.0,0.0
20180809,35.236,35.236,35.236,35.236,1,0.0,0.0,0.0,0.0,0.0
20180810,35.236,35.236,35.236,35.236,1,0.0,0.0,0.0,0.0,0.0
20180814,35.251,35.251,35.251,35.251,166,8132.0,0.0,0.04,0.015,0.0
20180816,35.251,35.251,35.251,35.251,46,0.0,0.0,0.0,0.0,0.0
20180822,35.251,35.251,35.251,35.251,1,0.0,0.0,0.0,0.0,0.0
20180911,35.388,35.25,35.388,35.25,1,0.0,0.39,0.0,-0.001,0.0
20180912,35.25,35.25,35.25,35.25,1,0.0,0.0,0.0,0.0,0.0
20180913,35.25,35.25,35.25,35.25,1,0.0,0.0,0.0,0.0,0.0
20180919,35.25,35.25,35.25,35.25,1,0.0,0.0,0.0,0.0,0.0
20181002,35.52,35.252,35.52,35.252,1,0.0,0.76,0.01,0.002,0.0
20181004,35.52,35.252,35.52,35.252,16,0.0,0.76,0.0,0.0,0.0
20181008,35.52,35.52,35.52,35.52,1,0.0,0.0,0.76,0.268,0.0
20181009,35.52,35.52,35.52,35.52,1,0.0,0.0,0.0,0.0,0.0
20181010,35.52,35.252,35.52,35.252,2,0.0,0.75,-0.75,-0.268,0.0
20181011,35.52,35.252,35.52,35.252,2,0.0,0.76,0.0,0.0,0.0
20181019,35.252,35.252,35.252,35.252,1300,63205.0,0.0,0.0,0.0,0.0
20181026,35.078,35.056,35.078,35.056,1600,77379.0,0.06,-0.56,-0.196,0.0
20181029,35.056,35.056,35.056,35.056,3,0.0,0.0,0.0,0.0,0.0
20181030,35.092,35.027,35.092,35.02,18000,870080.0,0.21,-0.08,-0.029,0.0
20181101,35.186,35.208,35.208,35.186,626,30279.0,0.06,0.52,0.181,0.0
20181105,35.223,35.223,35.223,35.223,640,30976.0,0.0,0.04,0.015,0.0
20181108,35.383,35.339,35.383,35.339,289,14039.0,0.12,0.33,0.116,0.0
20181109,35.252,35.252,35.252,35.252,221,10705.0,0.0,-0.25,-0.087,0.0
20181112,35.252,35.165,35.252,35.157,982,47464.0,0.27,-0.25,-0.087,0.0
20181114,35.004,34.99,35.012,34.99,10401,500261.0,0.06,-0.5,-0.175,0.0
20181115,34.99,34.99,34.99,34.99,1,0.0,0.0,0.0,0.0,0.0
20181116,34.968,34.932,34.968,34.932,220,10565.0,0.1,-0.17,-0.058,0.0
20181119,34.932,34.932,34.932,34.932,2,0.0,0.0,0.0,0.0,0.0
20181120,34.932,34.932,34.932,34.932,1,0.0,0.0,0.0,0.0,0.0
20181123,34.932,34.932,34.932,34.932,12,0.0,0.0,0.0,0.0,0.0
20181126,35.026,35.026,35.026,35.026,1041,50103.0,0.0,0.27,0.094,0.0
20181128,35.15,35.15,35.15,35.15,100,4830.0,0.0,0.35,0.124,0.0
20181129,35.165,35.172,35.172,35.157,42095,2033626.0,0.04,0.06,0.022,0.0
20181203,35.225,35.225,35.225,35.225,100,4822.0,0.0,0.15,0.053,0.0
20181204,35.137,35.13,35.137,35.115,6107,293604.0,0.06,-0.27,-0.095,0.0
20181206,34.991,34.991,34.991,34.991,100,4790.0,0.0,-0.4,-0.139,0.0
20181211,35.159,35.101,35.159,35.101,3601,173316.0,0.17,0.31,0.11,0.0
20181212,35.101,35.21,35.21,35.21,1,0.0,0.0,0.31,0.109,0.0
20181213,35.298,35.276,35.298,35.276,1257,60707.0,0.06,0.19,0.066,0.0
20181214,35.262,35.218,35.262,35.218,3019,145672.0,0.12,-0.16,-0.058,0.0
20181217,35.283,35.108,35.283,35.108,1318,63647.0,0.5,-0.31,-0.11,0.0
20181218,35.123,35.057,35.123,35.057,400,19214.0,0.19,-0.15,-0.051,0.0
20181219,34.838,34.823,34.838,34.823,106,5055.0,0.04,-0.67,-0.234,0.0
20181220,34.684,34.641,34.684,34.392,37500,1772529.0,0.84,-0.52,-0.182,0.0
20181221,34.787,34.53,34.53,34.53,108,0.0,0.0,-0.32,-0.111,0.0
20181224,34.471,34.339,34.471,34.339,200,9379.0,0.38,-0.55,-0.191,0.0
20181226,34.53,34.787,34.787,34.53,100,4707.0,0.75,1.3,0.448,0.0
20181228,34.706,34.743,34.743,34.706,120,5677.0,0.11,-0.13,-0.044,0.0
20181231,34.794,34.787,34.816,34.787,389,18455.0,0.08,0.13,0.044,0.0
20190102,34.743,34.758,34.758,34.743,100,4736.0,0.04,-0.08,-0.029,0.0
20190103,34.669,34.677,34.713,34.669,801,37897.0,0.13,-0.23,-0.081,0.0
20190104,34.948,35.066,35.132,34.948,300,14316.0,0.53,1.12,0.389,0.0
20190107,35.286,35.293,35.293,35.286,305,14670.0,0.02,0.65,0.227,0.0
20190108,35.432,35.491,35.491,35.432,100,4830.0,0.17,0.56,0.198,0.0
20190109,35.55,35.55,35.55,35.528,500,24222.0,0.06,0.17,0.059,0.0
20190110,35.55,35.638,35.638,35.638,1,0.0,0.0,0.25,0.088,0.0
20190114,35.542,35.484,35.542,35.484,200,9690.0,0.16,-0.43,-0.154,0.0
20190117,35.645,35.719,35.719,35.719,55,0.0,0.0,0.66,0.235,0.0
20190118,35.719,35.763,35.763,35.763,36,0.0,0.0,0.12,0.044,0.0
20190123,35.674,35.704,35.704,35.674,220,10698.0,0.08,-0.16,-0.059,0.0
20190129,35.77,35.799,35.799,35.77,100,4876.0,0.08,0.27,0.095,0.0
20190130,36.005,35.997,36.005,35.997,101,4957.0,0.02,0.55,0.198,0.0
20190131,36.056,36.071,36.071,36.056,11801,580136.0,0.04,0.21,0.074,0.0
20190205,36.097,36.208,36.208,36.208,2,0.0,0.0,0.38,0.137,0.0
20190206,36.222,36.193,36.222,36.193,700,34424.0,0.08,-0.04,-0.015,0.0
20190207,36.097,36.097,36.097,36.097,300,14705.0,0.0,-0.27,-0.096,0.0
20190208,36.082,36.112,36.156,36.075,26200,1284506.0,0.22,0.04,0.015,0.0
20190211,36.112,36.134,36.134,36.112,401,19664.0,0.06,0.06,0.022,0.0
20190212,36.134,36.274,36.274,36.274,2,0.0,0.0,0.39,0.14,0.0
20190213,36.281,36.274,36.289,36.274,1126,55478.0,0.04,0.0,0.0,0.0
20190214,36.267,36.274,36.274,36.267,20310,1000267.0,0.02,0.0,0.0,0.0
20190219,36.303,36.34,36.34,36.34,75,0.0,0.0,0.18,0.066,0.0
20190220,36.362,36.348,36.362,36.348,413,20389.0,0.04,0.02,0.008,0.0
20190221,36.348,36.325,36.348,36.325,115,5676.0,0.06,-0.06,-0.023,0.0
20190222,36.325,36.37,36.37,36.37,19,0.0,0.0,0.12,0.045,0.0
20190227,36.443,36.421,36.443,36.421,1070,52949.0,0.06,0.14,0.051,0.0
20190301,36.463,36.478,36.478,36.463,150,7399.0,0.04,0.16,0.057,0.0
20190304,36.478,36.449,36.449,36.449,20,0.0,0.0,-0.08,-0.029,0.0
20190305,36.486,36.456,36.486,36.456,1174,57947.0,0.08,0.02,0.007,0.0
20190306,36.456,36.404,36.404,36.404,1,0.0,0.0,-0.14,-0.052,0.0
20190307,36.404,36.382,36.382,36.382,150,0.0,0.0,-0.06,-0.022,0.0
20190311,36.375,36.471,36.471,36.471,1,0.0,0.0,0.24,0.089,0.0
20190318,36.597,36.582,36.582,36.582,4,0.0,0.0,0.3,0.111,0.0
20190325,36.604,36.656,36.656,36.604,105,5199.0,0.14,0.2,0.074,0.0
20190329,36.781,36.804,36.804,36.804,1,0.0,0.0,0.4,0.148,0.0
20190401,36.943,36.846,36.846,36.846,10,0.0,0.0,0.11,0.042,0.0
20190403,36.817,36.802,36.802,36.802,20,0.0,0.0,-0.12,-0.044,0.0
20190408,36.891,36.876,36.891,36.876,1302,64735.0,0.04,0.2,0.074,0.0
20190409,36.876,36.876,36.876,36.876,10,0.0,0.0,0.0,0.0,0.0
20190410,36.876,36.958,36.958,36.958,1,0.0,0.0,0.22,0.082,0.0
20190415,37.025,37.01,37.01,37.01,5,0.0,0.0,0.14,0.052,0.0
20190417,36.987,36.965,36.987,36.958,85551,4261303.0,0.08,-0.12,-0.045,0.0
20190422,36.973,36.943,36.943,36.943,1,0.0,0.0,-0.06,-0.022,0.0
20190423,37.017,37.017,37.017,37.017,100,4989.0,0.0,0.2,0.074,0.0
20190424,36.98,36.995,36.995,36.98,2101,104729.0,0.04,-0.06,-0.022,0.0
20190429,37.025,37.01,37.025,37.01,100,4990.0,0.04,0.04,0.015,0.0
20190430,37.017,37.032,37.032,37.017,100,4989.0,0.04,0.06,0.022,0.0
20190501,37.01,36.965,37.01,36.965,9000,447050.0,0.12,-0.18,-0.067,0.0
20190506,37.01,37.047,37.047,36.995,8101,402436.0,0.14,0.22,0.082,0.0
20190507,36.943,36.898,36.951,36.869,21061,1043337.0,0.22,-0.4,-0.149,0.0
20190509,36.824,36.891,36.891,36.824,102,5042.0,0.18,-0.02,-0.007,0.0
20190510,36.936,36.936,36.936,36.936,50,0.0,0.0,0.12,0.045,0.0
20190513,36.936,36.779,36.779,36.779,6,0.0,0.0,-0.43,-0.157,0.0
20190516,36.943,36.921,36.943,36.921,40960,2031187.0,0.06,0.39,0.142,0.0
20190520,36.943,36.906,36.943,36.906,301,14929.0,0.1,-0.04,-0.015,0.0
20190521,36.906,36.973,36.973,36.973,2,0.0,0.0,0.18,0.067,0.0
20190522,36.973,37.003,37.003,37.003,109,0.0,0.0,0.08,0.03,0.0
20190524,36.906,36.898,36.906,36.898,200,9910.0,0.02,-0.28,-0.105,0.0
20190528,36.995,36.913,36.995,36.884,30820,1527811.0,0.3,0.04,0.015,0.0
20190529,36.824,36.861,36.861,36.824,101,4993.0,0.1,-0.14,-0.052,0.0
20190531,36.809,36.742,36.809,36.742,5201,256825.0,0.18,-0.32,-0.119,0.0
20190605,37.079,37.071,37.079,37.071,1701,84336.0,0.02,0.9,0.329,0.0
20190606,37.071,37.131,37.176,37.041,22403,1112116.0,0.36,0.16,0.06,0.0
20190610,37.213,37.213,37.213,37.213,108,0.0,0.0,0.22,0.082,0.0
20190611,37.213,37.266,37.266,37.266,47,0.0,0.0,0.14,0.053,0.0
20190612,37.236,37.243,37.243,37.236,205,10209.0,0.02,-0.06,-0.023,0.0
20190613,37.348,37.31,37.355,37.31,10096,504361.0,0.12,0.18,0.067,0.0
20190614,37.31,37.318,37.318,37.318,43,0.0,0.0,0.02,0.008,0.0
20190617,37.318,37.288,37.288,37.288,28,0.0,0.0,-0.08,-0.03,0.0
20190618,37.415,37.415,37.438,37.4,2426,121437.0,0.1,0.34,0.127,0.0
20190619,37.423,37.55,37.55,37.423,34000,1701700.0,0.34,0.36,0.135,0.0
20190620,37.677,37.722,37.722,37.647,2910,146560.0,0.2,0.46,0.172,0.0
20190621,37.669,37.639,37.677,37.639,2730,137500.0,0.1,-0.22,-0.083,0.0
20190624,37.632,37.632,37.632,37.632,359,18068.0,0.0,-0.02,-0.007,0.0
20190625,37.55,37.535,37.557,37.535,1055,52991.0,0.06,-0.26,-0.097,0.0
20190626,37.55,37.52,37.557,37.52,1290,64760.0,0.1,-0.04,-0.015,0.0
20190627,37.602,37.617,37.617,37.602,759,38175.0,0.04,0.26,0.097,0.0
20190628,37.587,37.61,37.61,37.587,399,20059.0,0.06,-0.02,-0.007,0.0
