trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20030528,15.05,15.0,15.05,15.0,155600,0.0,0.0,0.0,0.0,0.0
20030529,15.0,15.02,15.02,15.0,32200,0.0,0.13,0.13,0.02,0.0
20030530,15.02,15.02,15.04,15.0,40500,0.0,0.27,0.0,0.0,0.0
20030602,15.02,15.0,15.02,15.0,28500,0.0,0.13,-0.13,-0.02,0.0
20030603,15.0,15.01,15.01,15.0,31000,0.0,0.07,0.07,0.01,0.0
20030604,15.01,15.0,15.02,15.0,43700,0.0,0.13,-0.07,-0.01,0.0
20030605,15.01,15.0,15.01,15.0,35300,0.0,0.07,0.0,0.0,0.0
20030606,15.0,15.09,15.09,15.0,34900,0.0,0.6,0.6,0.09,0.0
20030609,15.03,15.0,15.03,15.0,12100,0.0,0.2,-0.6,-0.09,0.0
20030610,15.0,15.01,15.02,15.0,50800,0.0,0.13,0.07,0.01,0.0
20030611,15.0,15.01,15.01,15.0,15500,0.0,0.07,0.0,0.0,0.0
20030612,15.01,15.02,15.04,15.0,39800,0.0,0.27,0.07,0.01,0.0
20030613,15.0,15.01,15.02,15.0,19400,0.0,0.13,-0.07,-0.01,0.0
20030616,15.03,15.01,15.03,15.0,29700,0.0,0.2,0.0,0.0,0.0
20030617,15.0,15.0,15.01,15.0,42600,0.0,0.07,-0.07,-0.01,0.0
20030618,15.0,15.01,15.01,15.0,42200,0.0,0.07,0.07,0.01,0.0
20030619,15.0,15.01,15.01,15.0,25900,0.0,0.07,0.0,0.0,0.0
20030620,15.0,15.0,15.0,15.0,43300,0.0,0.0,-0.07,-0.01,0.0
20030623,15.0,15.0,15.01,15.0,44300,0.0,0.07,0.0,0.0,0.0
20030624,15.0,15.0,15.01,15.0,100400,0.0,0.07,0.0,0.0,0.0
20030625,15.0,15.0,15.01,15.0,49500,0.0,0.07,0.0,0.0,0.0
20030626,15.0,15.01,15.01,15.0,24000,0.0,0.07,0.07,0.01,0.0
20030627,15.0,15.0,15.0,15.0,17300,0.0,0.0,-0.07,-0.01,0.0
20030630,15.0,15.0,15.04,15.0,268100,0.0,0.27,0.0,0.0,0.0
20030701,15.0,15.0,15.03,15.0,90500,0.0,0.2,0.0,0.0,0.0
20030702,15.0,15.0,15.01,15.0,52300,0.0,0.07,0.0,0.0,0.0
20030703,15.0,15.0,15.01,15.0,20700,0.0,0.07,0.0,0.0,0.0
20030707,15.01,15.0,15.01,14.55,265200,0.0,3.07,0.0,0.0,0.0
20030708,15.0,15.0,15.01,15.0,82800,0.0,0.07,0.0,0.0,0.0
20030709,15.0,15.0,15.03,15.0,59600,0.0,0.2,0.0,0.0,0.0
20030710,15.0,14.92,15.0,14.92,35500,0.0,0.53,-0.53,-0.08,0.0
20030711,14.95,14.91,14.95,14.91,29000,0.0,0.27,-0.07,-0.01,0.0
20030714,14.93,14.93,14.96,14.92,48700,0.0,0.27,0.13,0.02,0.0
20030715,14.85,14.8,14.89,14.75,130500,0.0,0.94,-0.87,-0.13,0.0
20030716,14.7,14.65,14.82,14.65,55900,0.0,1.15,-1.01,-0.15,0.0
20030717,14.61,14.45,14.69,14.45,51100,0.0,1.64,-1.37,-0.2,0.0
20030718,14.4,14.31,14.52,14.29,52400,0.0,1.59,-0.97,-0.14,0.0
20030721,14.21,14.15,14.21,14.1,42700,0.0,0.77,-1.12,-0.16,0.0
20030722,14.16,14.3,14.3,14.02,54200,0.0,1.98,1.06,0.15,0.0
20030723,14.2,14.12,14.27,14.06,87100,0.0,1.47,-1.26,-0.18,0.0
20030724,14.04,14.03,14.1,14.01,55600,0.0,0.64,-0.64,-0.09,0.0
20030725,14.02,13.97,14.02,13.8,151500,0.0,1.57,-0.43,-0.06,0.0
20030728,13.95,13.68,14.0,13.67,116000,0.0,2.36,-2.08,-0.29,0.0
20030729,13.58,13.87,13.91,13.51,88900,0.0,2.92,1.39,0.19,0.0
20030730,13.75,13.8,13.87,13.7,48200,0.0,1.23,-0.5,-0.07,0.0
20030731,13.89,13.51,13.89,13.25,156800,0.0,4.64,-2.1,-0.29,0.0
20030801,13.41,13.58,13.68,13.41,97800,0.0,2.0,0.52,0.07,0.0
20030804,13.48,13.39,13.53,13.15,84600,0.0,2.8,-1.4,-0.19,0.0
20030805,13.29,13.53,13.6,13.26,113100,0.0,2.54,1.05,0.14,0.0
20030806,13.33,13.7,13.82,13.33,59400,0.0,3.62,1.26,0.17,0.0
20030807,13.6,13.65,13.75,13.4,87500,0.0,2.55,-0.36,-0.05,0.0
20030808,13.7,13.59,13.88,13.5,50600,0.0,2.78,-0.44,-0.06,0.0
20030811,13.59,13.58,13.6,13.28,114300,0.0,2.35,-0.07,-0.01,0.0
20030812,13.48,13.59,13.67,13.46,57900,0.0,1.55,0.07,0.01,0.0
20030813,13.57,13.55,13.64,13.46,49500,0.0,1.32,-0.29,-0.04,0.0
20030814,13.48,13.6,13.84,13.47,142300,0.0,2.73,0.37,0.05,0.0
20030815,13.5,13.63,13.78,13.47,72300,0.0,2.28,0.22,0.03,0.0
20030818,13.75,13.68,13.75,13.57,40300,0.0,1.32,0.37,0.05,0.0
20030819,13.67,13.64,13.69,13.48,68900,0.0,1.54,-0.29,-0.04,0.0
20030820,13.69,13.55,13.69,13.43,83500,0.0,1.91,-0.66,-0.09,0.0
20030821,13.64,13.49,13.64,13.45,55800,0.0,1.4,-0.44,-0.06,0.0
20030822,13.52,13.58,13.66,13.5,76200,0.0,1.19,0.67,0.09,0.0
20030825,13.58,13.55,13.64,13.46,61700,0.0,1.33,-0.22,-0.03,0.0
20030826,13.52,13.47,13.61,13.38,151500,0.0,1.7,-0.59,-0.08,0.0
20030827,13.47,13.52,13.52,13.39,86300,0.0,0.97,0.37,0.05,0.0
20030828,13.52,13.64,13.64,13.5,129900,0.0,1.04,0.89,0.12,0.0
20030829,13.64,13.61,13.69,13.55,85200,0.0,1.03,-0.22,-0.03,0.0
20030902,13.6,13.6,13.75,13.52,174100,0.0,1.69,-0.07,-0.01,0.0
20030903,13.67,13.6,13.68,13.53,407700,0.0,1.1,0.0,0.0,0.0
20030904,13.65,13.61,13.78,13.55,299400,0.0,1.69,0.07,0.01,0.0
20030905,13.65,13.7,13.73,13.62,155100,0.0,0.81,0.66,0.09,0.0
20030908,13.74,13.75,13.76,13.65,150200,0.0,0.8,0.36,0.05,0.0
20030909,13.76,13.84,13.88,13.75,109000,0.0,0.95,0.65,0.09,0.0
20030910,13.87,13.83,13.91,13.78,174300,0.0,0.94,-0.07,-0.01,0.0
20030911,13.88,13.82,13.89,13.8,80900,0.0,0.65,-0.07,-0.01,0.0
20030912,13.74,13.84,13.89,13.71,101500,0.0,1.3,0.14,0.02,0.0
20030915,13.8,13.15,13.88,13.15,280900,0.0,5.27,-4.99,-0.69,0.0
20030916,13.58,13.7,13.72,13.57,149900,0.0,1.14,4.18,0.55,0.0
20030917,13.62,13.62,13.7,13.58,190800,0.0,0.88,-0.58,-0.08,0.0
20030918,13.62,13.69,13.69,13.62,127700,0.0,0.51,0.51,0.07,0.0
20030919,13.69,13.7,13.76,13.68,135000,0.0,0.58,0.07,0.01,0.0
20030922,13.7,13.68,13.72,13.63,214600,0.0,0.66,-0.15,-0.02,0.0
20030923,13.61,13.66,13.68,13.6,114900,0.0,0.58,-0.15,-0.02,0.0
20030924,13.65,13.65,13.7,13.64,127300,0.0,0.44,-0.07,-0.01,0.0
20030925,13.7,13.68,13.71,13.66,125600,0.0,0.37,0.22,0.03,0.0
20030926,13.7,13.71,13.72,13.67,82000,0.0,0.37,0.22,0.03,0.0
20030929,13.69,13.79,13.79,13.65,116100,0.0,1.02,0.58,0.08,0.0
20030930,13.75,13.91,13.91,13.75,158500,0.0,1.16,0.87,0.12,0.0
20031001,13.91,13.83,13.91,13.81,116000,0.0,0.72,-0.58,-0.08,0.0
20031002,13.88,13.85,13.91,13.83,59800,0.0,0.58,0.14,0.02,0.0
20031003,13.85,13.92,13.95,13.85,99800,0.0,0.72,0.51,0.07,0.0
20031006,13.9,14.01,14.04,13.86,91700,0.0,1.29,0.65,0.09,0.0
20031007,13.99,14.02,14.02,13.96,86300,0.0,0.43,0.07,0.01,0.0
20031008,14.01,14.03,14.04,13.95,87000,0.0,0.64,0.07,0.01,0.0
20031009,14.01,14.12,14.12,14.0,100900,0.0,0.86,0.64,0.09,0.0
20031010,14.12,14.21,14.23,14.12,79100,0.0,0.78,0.64,0.09,0.0
20031013,14.21,14.2,14.24,14.14,64600,0.0,0.7,-0.07,-0.01,0.0
20031014,14.16,14.15,14.19,14.11,115700,0.0,0.56,-0.35,-0.05,0.0
20031015,14.09,13.98,14.12,13.86,118900,0.0,1.84,-1.2,-0.17,0.0
20031016,13.88,13.95,14.06,13.88,133700,0.0,1.29,-0.21,-0.03,0.0
20031017,13.92,13.99,14.06,13.92,75000,0.0,1.0,0.29,0.04,0.0
20031020,13.99,14.05,14.07,13.96,158000,0.0,0.79,0.43,0.06,0.0
20031021,14.0,14.12,14.18,13.99,153700,0.0,1.35,0.5,0.07,0.0
20031022,14.09,14.14,14.2,14.09,103200,0.0,0.78,0.14,0.02,0.0
20031023,14.13,14.17,14.19,14.11,123500,0.0,0.57,0.21,0.03,0.0
20031024,14.19,14.15,14.19,14.15,68000,0.0,0.28,-0.14,-0.02,0.0
20031027,14.2,14.22,14.22,14.15,143100,0.0,0.49,0.49,0.07,0.0
20031028,14.16,14.22,14.27,14.16,157600,0.0,0.77,0.0,0.0,0.0
20031029,14.21,14.2,14.25,14.12,115000,0.0,0.91,-0.14,-0.02,0.0
20031030,14.22,14.22,14.27,14.17,78200,0.0,0.7,0.14,0.02,0.0
20031031,14.23,14.22,14.26,14.18,62700,0.0,0.56,0.0,0.0,0.0
20031103,14.24,14.27,14.34,14.19,142500,0.0,1.05,0.35,0.05,0.0
20031104,14.27,14.37,14.37,14.26,80600,0.0,0.77,0.7,0.1,0.0
20031105,14.31,14.35,14.38,14.27,66600,0.0,0.77,-0.14,-0.02,0.0
20031106,14.37,14.3,14.39,14.25,151400,0.0,0.98,-0.35,-0.05,0.0
20031107,14.26,14.33,14.35,14.23,104300,0.0,0.84,0.21,0.03,0.0
20031110,14.33,14.38,14.38,14.25,160300,0.0,0.91,0.35,0.05,0.0
20031111,14.31,14.37,14.43,14.31,126900,0.0,0.83,-0.07,-0.01,0.0
20031112,14.33,14.3,14.33,14.25,88700,0.0,0.56,-0.49,-0.07,0.0
20031113,14.33,14.21,14.33,14.21,60700,0.0,0.84,-0.63,-0.09,0.0
20031114,14.24,14.16,14.24,14.15,114900,0.0,0.63,-0.35,-0.05,0.0
20031117,14.22,14.09,14.22,14.09,94800,0.0,0.92,-0.49,-0.07,0.0
20031118,14.1,14.11,14.18,14.09,121400,0.0,0.64,0.14,0.02,0.0
20031119,14.12,14.16,14.2,14.06,198400,0.0,0.99,0.35,0.05,0.0
20031120,14.12,14.12,14.13,14.07,154100,0.0,0.42,-0.28,-0.04,0.0
20031121,14.15,14.16,14.16,14.09,79700,0.0,0.5,0.28,0.04,0.0
20031124,14.14,14.14,14.18,14.08,183200,0.0,0.71,-0.14,-0.02,0.0
20031125,14.17,14.16,14.18,14.1,92700,0.0,0.57,0.14,0.02,0.0
20031126,14.18,14.2,14.2,14.12,102100,0.0,0.56,0.28,0.04,0.0
20031128,14.21,14.23,14.23,14.16,14800,0.0,0.49,0.21,0.03,0.0
20031201,14.25,14.32,14.38,14.21,180500,0.0,1.19,0.63,0.09,0.0
20031202,14.37,14.34,14.38,14.25,83100,0.0,0.91,0.14,0.02,0.0
20031203,14.37,14.35,14.44,14.28,154800,0.0,1.12,0.07,0.01,0.0
20031204,14.35,14.38,14.47,14.28,180400,0.0,1.32,0.21,0.03,0.0
20031205,14.34,14.35,14.36,14.26,132400,0.0,0.7,-0.21,-0.03,0.0
20031208,14.31,14.34,14.45,14.31,192900,0.0,0.98,-0.07,-0.01,0.0
20031209,14.44,14.41,14.44,14.37,159400,0.0,0.49,0.49,0.07,0.0
20031210,14.41,14.37,14.49,14.36,141800,0.0,0.9,-0.28,-0.04,0.0
20031211,14.32,14.42,14.42,14.31,218600,0.0,0.77,0.35,0.05,0.0
20031212,14.44,14.38,14.45,14.32,122200,0.0,0.9,-0.28,-0.04,0.0
