trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190613,23.465,23.712,23.712,23.427,701,17349.0,1.21,1.05,0.247,0.0
20190614,23.712,23.417,23.712,23.417,2312,57365.0,1.24,-1.24,-0.295,0.0
20190617,24.74,25.216,25.235,24.74,3391,89172.0,2.11,7.68,1.799,0.0
20190618,25.615,25.653,25.72,25.425,4075,109837.0,1.17,1.73,0.437,0.0
20190619,25.767,25.682,25.767,25.653,3442,92856.0,0.44,0.11,0.029,0.0
20190620,25.939,25.568,25.939,25.568,10837,293061.0,1.44,-0.44,-0.114,0.0
20190621,25.501,25.492,25.501,25.206,5000,132995.0,1.15,-0.3,-0.076,0.0
20190624,25.644,24.987,25.644,24.987,1361,36019.0,2.58,-1.98,-0.505,0.0
20190625,25.206,24.911,25.206,24.911,2869,75870.0,1.18,-0.3,-0.076,0.0
20190626,24.911,24.692,24.692,24.692,26,0.0,0.0,-0.88,-0.219,0.0
20190627,24.911,25.225,25.225,24.911,2416,63349.0,1.27,2.16,0.533,0.0
20190628,25.501,25.863,25.863,25.501,318,8522.0,1.44,2.53,0.638,0.0
20190701,26.243,26.015,26.243,25.939,21833,597847.0,1.18,0.59,0.152,0.0
20190702,25.787,25.796,25.796,25.787,351,9512.0,0.03,-0.84,-0.219,0.0
20190703,26.11,26.205,26.205,26.11,359,9850.0,0.37,1.59,0.409,0.0
20190705,26.262,25.91,26.262,25.91,671,18480.0,1.34,-1.13,-0.295,0.0
20190708,25.663,25.568,25.663,25.425,683,18324.0,0.92,-1.32,-0.342,0.0
20190709,25.872,25.91,25.91,25.834,573,15564.0,0.3,1.34,0.342,0.0
20190710,26.139,25.891,26.139,25.891,448,12306.0,0.96,-0.07,-0.019,0.0
20190711,25.672,25.71,25.71,25.672,269,7257.0,0.15,-0.7,-0.181,0.0
20190712,25.634,25.653,25.653,25.606,801,21562.0,0.18,-0.22,-0.057,0.0
20190715,25.558,25.834,25.853,25.558,5769,156221.0,1.15,0.71,0.181,0.0
20190716,26.024,25.787,26.024,25.767,1832,49820.0,0.99,-0.18,-0.047,0.0
20190717,25.996,26.005,26.062,25.739,20123,548521.0,1.25,0.85,0.218,0.0
20190718,26.395,26.367,26.395,26.367,20171,559462.0,0.11,1.39,0.362,0.0
20190719,26.548,26.034,26.548,26.034,5594,153788.0,1.95,-1.26,-0.333,0.0
20190722,26.158,26.139,26.215,26.139,722,19866.0,0.29,0.4,0.105,0.0
20190723,26.177,26.062,26.177,26.034,5016,137474.0,0.55,-0.29,-0.077,0.0
20190724,26.062,26.262,26.262,26.262,129,0.0,0.0,0.77,0.2,0.0
20190725,26.062,25.834,26.062,25.834,247,6765.0,0.87,-1.63,-0.428,0.0
20190726,26.062,26.329,26.329,26.062,548,15049.0,1.03,1.92,0.495,0.0
20190729,26.205,26.272,26.272,26.196,1891,52081.0,0.29,-0.22,-0.057,0.0
20190730,26.253,26.348,26.348,26.158,656,18080.0,0.72,0.29,0.076,0.0
