trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,2.813,2.78,2.938,2.735,301800,0.0,0.0,0.0,0.0,0.91
20010103,2.78,3.078,3.095,2.695,368600,0.0,14.39,10.72,0.298,1.11
20010104,3.055,2.78,3.063,2.735,506400,0.0,10.66,-9.68,-0.298,1.52
20010105,2.765,2.648,2.798,2.64,618600,0.0,5.68,-4.75,-0.132,1.86
20010108,2.648,2.655,2.72,2.633,403000,0.0,3.29,0.26,0.007,1.21
20010109,2.673,2.71,2.853,2.673,234200,0.0,6.78,2.07,0.055,0.7
20010110,2.703,2.845,2.875,2.7,471000,0.0,6.46,4.98,0.135,1.42
20010111,2.813,2.83,2.915,2.798,250800,0.0,4.11,-0.53,-0.015,0.75
20010112,2.805,2.875,2.938,2.758,207400,0.0,6.36,1.59,0.045,0.62
20010116,2.905,2.978,3.078,2.808,536000,0.0,9.39,3.58,0.103,1.61
20010117,2.97,2.883,3.078,2.883,218600,0.0,6.55,-3.19,-0.095,0.66
20010118,2.885,2.96,3.008,2.828,128800,0.0,6.24,2.67,0.077,0.39
20010119,2.93,3.11,3.188,2.923,731000,0.0,8.95,5.07,0.15,2.2
20010122,3.118,3.008,3.188,3.0,260600,0.0,6.05,-3.28,-0.102,0.78
20010123,3.0,3.063,3.063,2.96,255800,0.0,3.42,1.83,0.055,0.77
20010124,3.03,2.805,3.125,2.79,581000,0.0,10.94,-8.42,-0.258,1.75
20010125,2.845,2.845,2.868,2.798,336400,0.0,2.5,1.43,0.04,1.01
20010126,2.853,2.648,2.875,2.563,1187600,0.0,10.97,-6.92,-0.197,3.57
20010129,2.703,2.72,2.75,2.548,462400,0.0,7.63,2.72,0.072,1.39
20010130,2.705,2.798,2.813,2.703,338800,0.0,4.04,2.87,0.078,1.02
20010131,2.828,2.773,2.845,2.743,349600,0.0,3.65,-0.89,-0.025,1.05
20010201,2.75,2.853,2.875,2.743,358400,0.0,4.76,2.88,0.08,1.08
20010202,2.853,2.813,2.875,2.78,451400,0.0,3.33,-1.4,-0.04,1.36
20010205,2.813,2.773,2.813,2.72,383200,0.0,3.31,-1.42,-0.04,1.15
20010206,2.798,2.758,2.82,2.72,361000,0.0,3.61,-0.54,-0.015,1.09
20010207,2.75,2.835,2.845,2.75,720800,0.0,3.44,2.79,0.077,2.17
20010208,2.828,2.853,2.868,2.813,472600,0.0,1.94,0.63,0.018,1.42
20010209,2.835,2.853,2.86,2.828,874000,0.0,1.12,0.0,0.0,2.63
20010212,2.825,2.845,2.89,2.82,279200,0.0,2.45,-0.28,-0.008,0.84
20010213,2.89,2.985,3.023,2.845,811400,0.0,6.26,4.92,0.14,2.44
20010214,2.993,2.945,2.993,2.915,492400,0.0,2.61,-1.34,-0.04,1.48
20010215,2.938,3.0,3.023,2.938,476600,0.0,2.89,1.87,0.055,1.43
20010216,2.985,2.96,2.985,2.953,348600,0.0,1.07,-1.33,-0.04,1.05
20010220,3.01,3.063,3.07,3.008,410800,0.0,2.09,3.48,0.103,1.24
20010221,3.063,2.978,3.063,2.953,509200,0.0,3.59,-2.78,-0.085,1.53
20010222,2.96,2.875,2.985,2.875,612000,0.0,3.69,-3.46,-0.103,1.84
20010223,2.86,2.905,2.945,2.813,657600,0.0,4.59,1.04,0.03,1.98
20010226,2.915,3.008,3.023,2.87,330600,0.0,5.27,3.55,0.103,0.99
20010227,3.003,2.978,3.008,2.97,228400,0.0,1.26,-1.0,-0.03,0.69
20010228,3.0,2.945,3.0,2.853,253200,0.0,4.94,-1.11,-0.033,0.76
20010301,2.905,2.99,3.0,2.758,564800,0.0,8.22,1.53,0.045,1.7
20010302,2.905,3.0,3.015,2.89,345000,0.0,4.18,0.33,0.01,1.04
20010305,3.0,2.978,3.008,2.953,267000,0.0,1.83,-0.73,-0.022,0.8
20010306,2.978,3.008,3.008,2.97,196600,0.0,1.28,1.01,0.03,0.59
20010307,3.008,3.008,3.023,2.945,175000,0.0,2.59,0.0,0.0,0.53
20010308,2.993,2.875,3.015,2.835,663000,0.0,5.98,-4.42,-0.133,2.0
20010309,2.865,2.828,2.905,2.798,85800,0.0,3.72,-1.63,-0.047,0.26
20010312,2.845,2.78,2.89,2.71,729400,0.0,6.36,-1.7,-0.048,2.19
20010313,2.773,2.78,2.82,2.765,289800,0.0,1.98,0.0,0.0,0.87
20010314,2.765,2.75,2.835,2.72,218400,0.0,4.14,-1.08,-0.03,0.66
20010315,2.73,2.72,2.86,2.705,441200,0.0,5.64,-1.09,-0.03,1.33
20010316,2.71,2.735,2.758,2.703,686400,0.0,2.02,0.55,0.015,2.07
20010319,2.72,2.665,2.758,2.585,1123400,0.0,6.33,-2.56,-0.07,3.38
20010320,2.64,2.688,2.735,2.625,498200,0.0,4.13,0.86,0.023,1.5
20010321,2.64,2.563,2.71,2.548,1070600,0.0,6.03,-4.65,-0.125,3.22
20010322,2.47,2.508,2.548,2.14,2357400,0.0,15.92,-2.15,-0.055,7.09
20010323,2.565,2.655,2.695,2.565,579800,0.0,5.18,5.86,0.147,1.74
20010326,2.668,2.758,2.853,2.665,288000,0.0,7.08,3.88,0.103,0.88
20010327,2.75,2.665,2.758,2.603,158600,0.0,5.62,-3.37,-0.093,0.48
20010328,2.655,2.5,2.655,2.485,317000,0.0,6.38,-6.19,-0.165,0.97
20010329,2.508,2.618,2.72,2.508,223400,0.0,8.48,4.72,0.118,0.68
20010330,2.64,2.743,2.78,2.53,357600,0.0,9.55,4.77,0.125,1.09
20010402,2.72,2.43,2.728,2.398,571000,0.0,12.03,-11.41,-0.313,1.74
20010403,2.42,2.39,2.493,2.39,379800,0.0,4.24,-1.65,-0.04,1.16
20010404,2.39,2.523,2.53,2.39,182000,0.0,5.86,5.56,0.133,0.55
20010405,2.53,2.695,2.703,2.515,575600,0.0,7.45,6.82,0.172,1.75
20010406,2.658,2.625,2.703,2.578,597600,0.0,4.64,-2.6,-0.07,1.82
20010409,2.618,2.65,2.663,2.618,182000,0.0,1.71,0.95,0.025,0.55
20010410,2.668,2.705,2.74,2.663,381000,0.0,2.91,2.08,0.055,1.16
20010411,2.688,2.575,2.7,2.57,334400,0.0,4.81,-4.81,-0.13,1.02
20010412,2.605,2.758,2.763,2.605,539800,0.0,6.14,7.11,0.183,1.65
20010416,2.695,2.888,2.925,2.66,1007600,0.0,9.61,4.71,0.13,3.07
20010417,2.82,3.025,3.025,2.81,1134400,0.0,7.44,4.74,0.137,3.46
20010418,3.02,3.193,3.195,3.0,1241400,0.0,6.45,5.55,0.168,3.78
20010419,3.185,3.128,3.185,3.1,561400,0.0,2.66,-2.04,-0.065,1.71
20010420,3.118,3.125,3.138,3.065,730000,0.0,2.33,-0.1,-0.003,2.23
20010423,3.09,3.113,3.113,3.07,167200,0.0,1.38,-0.38,-0.012,0.51
20010424,3.095,3.075,3.095,3.05,342200,0.0,1.45,-1.22,-0.038,1.04
20010425,3.07,3.225,3.25,3.07,676800,0.0,5.85,4.88,0.15,2.06
20010426,3.215,3.32,3.35,3.2,728400,0.0,4.65,2.95,0.095,2.22
20010427,3.32,3.358,3.395,3.3,1138000,0.0,2.86,1.14,0.038,3.47
20010430,3.373,3.388,3.468,3.373,517000,0.0,2.83,0.89,0.03,1.58
20010501,3.375,3.375,3.395,3.205,874800,0.0,5.61,-0.38,-0.013,2.67
20010502,3.355,3.405,3.413,3.278,397800,0.0,4.0,0.89,0.03,1.21
