trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190719,37.9,38.01,39.36,36.21,2540486,116491198.0,8.31,0.29,0.11,2.22
20190722,37.71,37.6,38.48,35.73,513143,23453533.0,7.23,-1.08,-0.41,0.45
20190723,37.85,36.55,37.9,36.47,190028,8598859.0,3.8,-2.79,-1.05,0.17
20190724,35.4,35.55,36.4,34.13,335589,14697318.0,6.21,-2.74,-1.0,0.29
20190725,35.05,35.65,36.35,34.8,195521,8542239.0,4.36,0.28,0.1,0.17
20190726,34.9,35.06,35.9,34.55,122657,5297707.0,3.79,-1.65,-0.59,0.11
20190729,34.89,34.5,35.16,33.51,276024,11648736.0,4.71,-1.6,-0.56,0.24
20190730,34.2,34.22,34.46,33.2,105869,4471913.0,3.65,-0.81,-0.28,0.09
20190731,33.98,34.1,34.4,33.41,119982,5051327.0,2.89,-0.35,-0.12,0.11
20190801,34.05,33.84,34.15,33.51,105902,4446655.0,1.88,-0.76,-0.26,0.09
20190802,33.8,31.87,34.18,31.75,252714,10175905.0,7.18,-5.82,-1.97,0.22
20190805,31.83,30.73,31.83,29.61,104893,4047471.0,6.97,-3.58,-1.14,0.09
20190806,30.83,30.95,31.62,30.26,142858,5567860.0,4.43,0.72,0.22,0.13
20190807,30.77,32.01,32.34,30.41,101571,4028742.0,6.24,3.42,1.06,0.09
20190808,32.15,33.39,33.77,31.95,45804,1892955.0,5.69,4.31,1.38,0.04
20190809,32.85,31.85,33.37,31.85,67492,2753940.0,4.55,-4.61,-1.54,0.06
20190812,31.45,31.34,32.28,30.51,77784,3103448.0,5.56,-1.6,-0.51,0.07
20190813,31.29,31.83,32.47,30.1,71582,2855503.0,7.56,1.56,0.49,0.06
20190814,31.61,30.88,31.96,30.46,157933,6191143.0,4.71,-2.98,-0.95,0.14
20190815,31.07,30.9,31.94,30.9,44786,1770132.0,3.37,0.06,0.02,0.04
20190816,31.08,31.65,32.1,30.91,36589,1456541.0,3.85,2.43,0.75,0.03
20190819,33.01,32.26,33.01,32.02,67911,2754236.0,3.13,1.93,0.61,0.06
20190820,32.17,31.6,33.18,31.05,25756,1024296.0,6.6,-2.05,-0.66,0.02
20190821,31.6,31.68,32.45,30.99,78280,3103139.0,4.62,0.25,0.08,0.07
20190822,31.65,31.99,31.99,30.57,36194,1431794.0,4.48,0.98,0.31,0.03
20190823,31.84,30.6,31.84,30.31,23550,918018.0,4.78,-4.35,-1.39,0.02
20190826,30.64,30.48,31.08,30.19,69292,2675017.0,2.91,-0.39,-0.12,0.06
20190827,30.28,31.45,32.66,29.99,132107,5234674.0,8.76,3.18,0.97,0.12
20190828,31.38,30.88,31.89,30.5,31508,1233003.0,4.42,-1.81,-0.57,0.03
20190829,31.16,30.9,31.16,30.31,27260,1061168.0,2.75,0.06,0.02,0.02
