trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110429,20.0,20.04,20.06,20.0,146113,0.0,0.0,0.0,0.0,0.0
20110502,20.04,20.0,20.09,20.0,129162,0.0,0.45,-0.2,-0.04,0.0
20110503,20.0,20.01,20.01,19.96,260975,0.0,0.25,0.05,0.01,0.0
20110504,20.0,20.01,20.02,19.99,109125,0.0,0.15,0.0,0.0,0.0
20110505,20.0,20.02,20.02,20.0,82850,0.0,0.1,0.05,0.01,0.0
20110506,20.04,20.03,20.13,20.02,29864,0.0,0.55,0.05,0.01,0.0
20110509,20.01,20.1,20.1,20.01,40443,0.0,0.45,0.35,0.07,0.0
20110510,20.15,20.38,20.38,20.05,100431,0.0,1.64,1.39,0.28,0.0
20110511,20.3,20.2,20.3,20.15,80043,0.0,0.74,-0.88,-0.18,0.0
20110512,20.08,20.09,20.11,20.02,10152,0.0,0.45,-0.54,-0.11,0.0
20110513,20.02,20.03,20.07,20.01,19470,0.0,0.3,-0.3,-0.06,0.0
20110516,20.03,20.06,20.1,20.03,11338,0.0,0.35,0.15,0.03,0.0
20110517,20.04,20.03,20.14,20.01,30001,0.0,0.65,-0.15,-0.03,0.0
20110518,20.05,20.02,20.05,20.0,32800,0.0,0.25,-0.05,-0.01,0.0
20110519,20.04,20.06,20.08,20.02,5213,0.0,0.3,0.2,0.04,0.0
20110520,20.05,20.0,20.05,19.97,81302,0.0,0.4,-0.3,-0.06,0.0
20110523,20.0,20.0,20.0,19.87,189007,0.0,0.65,0.0,0.0,0.0
20110524,20.0,20.0,20.0,19.82,167446,0.0,0.9,0.0,0.0,0.0
20110525,19.99,20.0,20.07,19.98,119002,0.0,0.45,0.0,0.0,0.0
20110526,20.0,20.0,20.02,19.99,18350,0.0,0.15,0.0,0.0,0.0
20110527,20.03,20.06,20.1,20.01,31389,0.0,0.45,0.3,0.06,0.0
20110531,20.08,20.02,20.08,20.0,33719,0.0,0.4,-0.2,-0.04,0.0
20110601,20.02,20.02,20.07,20.0,33817,0.0,0.35,0.0,0.0,0.0
20110602,20.0,20.0,20.0,20.0,15000,0.0,0.0,-0.1,-0.02,0.0
20110603,19.84,18.77,19.84,18.67,341080,0.0,5.85,-6.15,-1.23,0.0
20110606,19.84,18.77,19.84,18.67,341080,0.0,6.23,0.0,0.0,0.0
20110607,19.84,18.77,19.84,18.67,341080,0.0,6.23,0.0,0.0,0.0
