trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20100413,69741.0,73284.75,74418.75,69315.75,194129,0.0,6.09,-12.52,-10489.5,1.59
20100414,73993.5,70875.0,73993.5,70166.25,91315,0.0,5.22,-3.29,-2409.75,0.75
20100419,77679.0,74702.25,77820.75,73710.0,90269,0.0,5.8,5.4,3827.25,0.74
20100420,73710.0,73426.5,73710.0,70024.5,113012,0.0,4.93,-1.71,-1275.75,0.92
20100421,73426.5,72717.75,73426.5,71583.75,37362,0.0,2.51,-0.97,-708.75,0.31
20100422,71867.25,73426.5,73710.0,69599.25,66732,0.0,5.65,0.97,708.75,0.55
20100423,73001.25,73143.0,73568.25,72009.0,18177,0.0,2.12,-0.39,-283.5,0.15
20100426,73710.0,73001.25,73710.0,71300.25,41075,0.0,3.29,-0.19,-141.75,0.34
20100427,71867.25,73001.25,73568.25,71725.5,16458,0.0,2.52,0.0,0.0,0.13
20100428,72292.5,71442.0,72292.5,69882.75,60106,0.0,3.3,-2.14,-1559.25,0.49
20100429,71725.5,70875.0,71725.5,69741.0,46729,0.0,2.78,-0.79,-567.0,0.38
20100430,70591.5,72292.5,72859.5,70166.25,27323,0.0,3.8,2.0,1417.5,0.22
20100503,72150.75,71583.75,72717.75,70308.0,17897,0.0,3.33,-0.98,-708.75,0.15
20100504,70166.25,68465.25,70591.5,65063.25,71779,0.0,7.72,-4.36,-3118.5,0.59
20100505,69457.5,60243.75,69457.5,56700.0,128071,0.0,18.63,-12.01,-8221.5,1.05
20100506,60527.25,56700.0,60527.25,54999.0,322736,0.0,9.18,-5.88,-3543.75,2.64
20100507,57267.0,56416.5,60385.5,54999.0,63767,0.0,9.5,-0.5,-283.5,0.52
20100510,58259.25,55991.25,59251.5,54715.5,43516,0.0,8.04,-0.75,-425.25,0.36
20100511,54999.0,58117.5,59109.75,54999.0,39885,0.0,7.34,3.8,2126.25,0.33
20100512,59676.75,59251.5,60385.5,57408.75,43619,0.0,5.12,1.95,1134.0,0.36
20100513,59676.75,65063.25,67189.5,59535.0,117029,0.0,12.92,9.81,5811.75,0.96
20100514,64212.75,65630.25,68040.0,63220.5,45699,0.0,7.41,0.87,567.0,0.37
20100517,65346.75,61944.75,68607.0,59535.0,38906,0.0,13.82,-5.62,-3685.5,0.32
20100518,62086.5,61661.25,62370.0,57267.0,39503,0.0,8.24,-0.46,-283.5,0.32
20100519,61236.0,59535.0,63078.75,58117.5,35586,0.0,8.05,-3.45,-2126.25,0.29
20100520,57550.5,55424.25,57975.75,54573.75,28892,0.0,5.71,-6.9,-4110.75,0.24
20100521,53865.0,55566.0,56133.0,51738.75,78698,0.0,7.93,0.26,141.75,0.64
20100524,55566.0,54573.75,57834.0,52164.0,29825,0.0,10.2,-1.79,-992.25,0.24
20100525,52731.0,52164.0,54573.75,51030.0,42664,0.0,6.49,-4.42,-2409.75,0.35
20100526,53014.5,52305.75,54573.75,51030.0,27334,0.0,6.79,0.27,141.75,0.22
20100527,53156.25,52589.25,54573.75,51597.0,17582,0.0,5.69,0.54,283.5,0.14
20100528,53014.5,52447.5,53581.5,52164.0,17702,0.0,2.7,-0.27,-141.75,0.14
20100601,52589.25,51880.5,53865.0,51738.75,14710,0.0,4.05,-1.08,-567.0,0.12
20100602,54857.25,50179.5,54857.25,49329.0,43573,0.0,10.66,-3.28,-1701.0,0.36
20100603,50746.5,51171.75,52305.75,50179.5,25801,0.0,4.24,1.98,992.25,0.21
20100604,51313.5,51880.5,51880.5,50463.0,13959,0.0,2.77,1.39,708.75,0.11
20100607,51597.0,48053.25,51597.0,47202.75,19213,0.0,8.47,-7.38,-3827.25,0.16
20100608,48336.75,47202.75,48762.0,43517.25,74602,0.0,10.91,-1.77,-850.5,0.61
20100609,48195.0,46919.25,48903.75,44651.25,44405,0.0,9.01,-0.6,-283.5,0.36
20100610,48053.25,49754.25,51455.25,48053.25,29884,0.0,7.25,6.04,2835.0,0.24
20100611,49896.0,50746.5,52305.75,49896.0,37210,0.0,4.84,1.99,992.25,0.3
20100614,53439.75,48195.0,53439.75,48195.0,54809,0.0,10.34,-5.03,-2551.5,0.45
20100615,49045.5,50037.75,53439.75,48762.0,25239,0.0,9.71,3.82,1842.75,0.21
20100616,50179.5,48762.0,50604.75,48620.25,12900,0.0,3.97,-2.55,-1275.75,0.11
20100617,50037.75,48903.75,50746.5,48195.0,24685,0.0,5.23,0.29,141.75,0.2
20100618,48336.75,50463.0,51030.0,48195.0,14364,0.0,5.8,3.19,1559.25,0.12
20100621,51030.0,49612.5,51030.0,48903.75,16566,0.0,4.21,-1.69,-850.5,0.14
20100622,49612.5,48762.0,50604.75,47769.75,13250,0.0,5.71,-1.71,-850.5,0.11
20100623,48620.25,48903.75,49187.25,46777.5,9233,0.0,4.94,0.29,141.75,0.08
20100624,48762.0,46210.5,48762.0,46210.5,33412,0.0,5.22,-5.51,-2693.25,0.27
20100625,46068.75,48053.25,49470.75,46068.75,24499,0.0,7.36,3.99,1842.75,0.2
20100628,48053.25,47769.75,49754.25,46068.75,16529,0.0,7.67,-0.59,-283.5,0.14
20100629,47486.25,45360.0,47769.75,44651.25,18368,0.0,6.53,-5.04,-2409.75,0.15
20100630,46777.5,44793.0,46777.5,43233.75,12035,0.0,7.81,-1.25,-567.0,0.1
20100701,44367.75,44226.0,45218.25,40682.25,68006,0.0,10.13,-1.27,-567.0,0.55
20100702,43942.5,44226.0,44651.25,42950.25,15016,0.0,3.85,0.0,0.0,0.12
20100706,44084.25,44226.0,44934.75,42525.0,17185,0.0,5.45,0.0,0.0,0.14
20100707,44226.0,43517.25,44226.0,40540.5,11768,0.0,8.33,-1.6,-708.75,0.1
20100708,43517.25,44084.25,44934.75,41107.5,19624,0.0,8.79,1.3,567.0,0.16
20100709,44934.75,45218.25,45360.0,42525.0,16441,0.0,6.43,2.57,1134.0,0.13
20100712,45360.0,44651.25,45360.0,43517.25,1866,0.0,4.08,-1.25,-567.0,0.02
