trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250616,0.4,0.4,0.4,0.4,700225,270113.0,0.0,0.0,0.0,0.0
20250617,0.5,0.36,0.5,0.36,107425,42973.0,35.0,-10.0,-0.04,0.0
20250618,0.37,0.33,0.376,0.3,872700,281745.0,21.11,-8.33,-0.03,0.0
20250620,0.34,0.34,0.35,0.34,36200,12566.0,3.03,3.03,0.01,0.0
20250623,0.35,0.35,0.35,0.346,31853,11148.0,1.18,2.94,0.01,0.0
20250624,0.35,0.35,0.35,0.35,225000,78750.0,0.0,0.0,0.0,0.0
20250625,0.35,0.32,0.358,0.32,481067,167854.0,10.86,-8.57,-0.03,0.0
20250626,0.342,0.35,0.428,0.34,456955,159662.0,27.5,9.38,0.03,0.0
20250627,0.398,0.398,0.398,0.398,957,384.0,0.0,13.71,0.048,0.0
20250630,0.398,0.398,0.398,0.398,5,2.0,0.0,0.0,0.0,0.0
20250701,0.354,0.35,0.354,0.335,44306,15460.0,4.77,-12.06,-0.048,0.0
20250702,0.398,0.398,0.398,0.398,1000,398.0,0.0,13.71,0.048,0.0
20250703,0.398,0.398,0.398,0.398,420,170.0,0.0,0.0,0.0,0.0
20250708,0.398,0.398,0.398,0.398,77,28.0,0.0,0.0,0.0,0.0
20250710,0.398,0.398,0.398,0.398,5439,2166.0,0.0,0.0,0.0,0.0
20250711,0.398,0.398,0.398,0.398,74,29.0,0.0,0.0,0.0,0.0
20250714,0.37,0.45,0.45,0.37,796,335.0,20.1,13.07,0.052,0.0
20250715,0.398,0.36,0.398,0.36,2222,861.0,8.44,-20.0,-0.09,0.0
20250716,0.36,0.36,0.36,0.36,74,26.0,0.0,0.0,0.0,0.0
20250717,0.399,0.36,0.401,0.36,1338,505.0,11.39,0.0,0.0,0.0
20250718,0.36,0.36,0.36,0.36,74,30.0,0.0,0.0,0.0,0.0
20250721,0.4,0.4,0.4,0.392,25174,10055.0,2.22,11.11,0.04,0.0
20250722,0.36,0.36,0.363,0.36,3124,1129.0,0.75,-10.0,-0.04,0.0
20250723,0.36,0.36,0.36,0.36,3621,1304.0,0.0,0.0,0.0,0.0
20250724,0.36,0.36,0.36,0.36,74,26.0,0.0,0.0,0.0,0.0
20250725,0.36,0.36,0.36,0.36,74,28.0,0.0,0.0,0.0,0.0
20250728,0.374,0.374,0.374,0.374,224,82.0,0.0,3.89,0.014,0.0
20250729,0.37,0.359,0.37,0.359,5524,2041.0,2.94,-4.01,-0.015,0.0
20250730,0.366,0.36,0.4,0.358,31323,11820.0,11.7,0.28,0.001,0.0
20250731,0.38,0.38,0.38,0.38,238,89.0,0.0,5.56,0.02,0.0
20250801,0.38,0.38,0.38,0.38,675,256.0,0.0,0.0,0.0,0.0
20250804,0.38,0.37,0.38,0.36,114536,42343.0,5.26,-2.63,-0.01,0.0
20250805,0.388,0.39,0.39,0.388,2797,1089.0,0.54,5.41,0.02,0.0
20250806,0.39,0.375,0.41,0.375,87440,34395.0,8.97,-3.85,-0.015,0.0
20250807,0.375,0.4,0.4,0.373,6736,2593.0,7.2,6.67,0.025,0.0
20250808,0.39,0.408,0.41,0.385,33913,13383.0,6.25,2.0,0.008,0.0
20250811,0.4,0.4,0.41,0.38,95220,36928.0,7.35,-1.96,-0.008,0.0
20250812,0.4,0.39,0.4,0.368,44075,16476.0,8.0,-2.5,-0.01,0.0
20250813,0.39,0.39,0.39,0.385,1933,751.0,1.28,0.0,0.0,0.0
20250814,0.39,0.39,0.399,0.372,31545,11890.0,6.92,0.0,0.0,0.0
20250815,0.39,0.39,0.41,0.39,33537,13104.0,5.13,0.0,0.0,0.0
20250818,0.395,0.4,0.4,0.389,200129,78489.0,2.82,2.56,0.01,0.0
20250819,0.395,0.409,0.409,0.39,103359,40593.0,4.75,2.25,0.009,0.0
20250821,0.372,0.372,0.372,0.372,7000,2604.0,0.0,-9.05,-0.037,0.0
20250822,0.372,0.372,0.372,0.372,42,15.0,0.0,0.0,0.0,0.0
20250825,0.4,0.34,0.4,0.34,1401286,510799.0,16.13,-8.6,-0.032,0.0
20250826,0.35,0.35,0.35,0.33,26834,9373.0,5.88,2.94,0.01,0.0
20250827,0.35,0.35,0.38,0.35,110931,40073.0,8.57,0.0,0.0,0.0
20250828,0.38,0.37,0.38,0.37,21295,7981.0,2.86,5.71,0.02,0.0
20250829,0.38,0.38,0.38,0.378,16380,6224.0,0.54,2.7,0.01,0.0
20250902,0.38,0.36,0.38,0.33,18332,6580.0,13.16,-5.26,-0.02,0.0
20250903,0.37,0.37,0.38,0.365,8213,3030.0,4.17,2.78,0.01,0.0
