trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20171115,103.88,103.88,103.88,103.88,0,0.0,0.0,159.7,63.88,0.0
20171116,104.55,104.44,104.84,103.44,934752,97407534.0,1.35,0.54,0.56,0.44
20171117,103.73,104.46,105.54,103.73,690676,72077221.0,1.73,0.02,0.02,0.33
20171120,104.44,103.9,104.99,103.87,1126864,117501435.0,1.07,-0.54,-0.56,0.53
20171121,103.88,104.36,105.0,103.37,1210531,125995940.0,1.57,0.44,0.46,0.57
20171122,104.21,103.95,106.0,103.92,922496,96235133.0,1.99,-0.39,-0.41,0.44
20171124,103.95,104.27,105.56,103.95,483627,50571212.0,1.55,0.31,0.32,0.23
20171127,104.27,102.55,104.72,102.28,1146270,117991267.0,2.34,-1.65,-1.72,0.54
20171128,102.25,101.73,102.8,101.59,6276499,641201584.0,1.18,-0.8,-0.82,2.97
20171129,101.73,101.31,102.45,100.72,1711510,173729588.0,1.7,-0.41,-0.42,0.81
20171130,101.9,102.01,103.17,101.83,2777482,284426592.0,1.32,0.69,0.7,1.31
20171201,102.43,102.27,102.77,100.5,1668173,170094158.0,2.23,0.25,0.26,0.79
20171204,102.64,101.27,103.26,101.2,1364375,139079680.0,2.01,-0.98,-1.0,0.65
20171205,101.15,101.0,102.55,100.87,1012137,102553556.0,1.66,-0.27,-0.27,0.48
20171206,100.93,101.01,101.96,100.41,920425,92978820.0,1.53,0.01,0.01,0.44
20171207,101.1,100.92,101.5,100.83,1060606,107129669.0,0.66,-0.09,-0.09,0.5
20171208,101.06,101.35,101.86,100.65,709074,71847504.0,1.2,0.43,0.43,0.34
20171211,101.93,101.68,102.22,100.94,1020670,103690824.0,1.26,0.33,0.33,0.48
20171212,101.68,101.65,101.83,100.86,795040,80720738.0,0.95,-0.03,-0.03,0.38
20171213,101.83,102.22,103.28,101.3,1265417,129787693.0,1.95,0.56,0.57,0.6
20171214,102.51,101.47,103.14,101.46,966933,99718558.0,1.64,-0.73,-0.75,0.46
20171215,101.8,102.06,102.22,101.27,2710219,276452240.0,0.94,0.58,0.59,1.28
20171218,102.54,102.48,103.1,101.76,1073679,109917243.0,1.31,0.41,0.42,0.51
20171219,102.54,101.26,102.86,101.11,1269400,128891321.0,1.71,-1.19,-1.22,0.6
20171220,101.23,100.32,101.6,100.28,1481452,149503143.0,1.3,-0.93,-0.94,0.7
20171221,100.73,100.14,100.8,99.88,1288718,129098833.0,0.92,-0.18,-0.18,0.61
20171222,99.78,99.38,100.02,98.51,960946,95340488.0,1.51,-0.76,-0.76,0.45
20171226,99.56,98.35,99.73,98.3,722387,71190942.0,1.44,-1.04,-1.03,0.34
20171227,98.29,98.54,99.35,98.01,1305136,128626529.0,1.36,0.19,0.19,0.62
20171228,98.88,98.31,98.88,97.45,1245007,121998086.0,1.45,-0.23,-0.23,0.59
20171229,98.68,97.9,98.86,97.87,839812,82507170.0,1.01,-0.42,-0.41,0.4
20180102,98.52,99.76,100.47,97.57,1348958,134061604.0,2.96,1.9,1.86,0.64
20180103,99.76,99.52,100.16,99.08,738277,73461979.0,1.08,-0.24,-0.24,0.35
20180104,99.45,97.28,100.12,97.15,1795944,176083993.0,2.98,-2.25,-2.24,0.85
20180105,97.44,98.56,98.83,97.34,1381639,135768759.0,1.53,1.32,1.28,0.65
