trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20170512,20.93,20.78,20.98,19.95,10933618,0.0,5.23,5.59,1.1,5.76
20170515,20.69,21.7,21.98,20.69,3487278,0.0,6.21,4.43,0.92,1.84
20170516,21.87,21.78,22.09,21.73,1289339,0.0,1.66,0.37,0.08,0.68
20170517,21.83,21.78,22.19,21.35,1583699,0.0,3.86,0.0,0.0,0.83
20170518,21.87,22.18,23.31,21.66,4075173,0.0,7.58,1.84,0.4,2.15
20170519,22.24,22.4,23.17,22.0,1248618,0.0,5.28,0.99,0.22,0.66
20170522,22.48,22.57,22.77,22.2,383071,0.0,2.54,0.76,0.17,0.2
20170523,22.67,23.13,23.29,22.33,703985,0.0,4.25,2.48,0.56,0.37
20170524,23.22,23.03,23.27,22.69,408791,0.0,2.51,-0.43,-0.1,0.22
20170525,23.1,22.19,23.5,21.99,1080743,0.0,6.56,-3.65,-0.84,0.57
20170526,22.23,22.71,22.92,22.03,721073,0.0,4.01,2.34,0.52,0.38
20170530,22.68,22.63,22.97,22.27,843125,0.0,3.08,-0.35,-0.08,0.44
20170531,22.65,22.61,22.86,22.35,484429,0.0,2.25,-0.09,-0.02,0.26
20170601,22.59,22.61,23.11,22.49,486400,0.0,2.74,0.0,0.0,0.26
20170602,22.57,22.33,22.78,22.28,546591,0.0,2.21,-1.24,-0.28,0.29
20170605,22.29,22.31,22.59,21.6,422153,0.0,4.43,-0.09,-0.02,0.22
20170606,21.51,21.97,22.39,21.51,1089496,0.0,3.94,-1.52,-0.34,0.57
20170607,22.08,21.44,22.47,21.25,733543,0.0,5.55,-2.41,-0.53,0.39
20170608,21.43,21.33,21.61,21.29,432553,0.0,1.49,-0.51,-0.11,0.23
20170609,21.36,22.17,22.5,21.36,565863,0.0,5.34,3.94,0.84,0.3
20170612,22.14,22.71,23.26,21.57,826169,0.0,7.62,2.44,0.54,0.44
20170613,22.67,23.17,23.92,22.48,927265,0.0,6.34,2.03,0.46,0.49
20170614,23.25,22.93,23.39,22.23,1988480,0.0,5.01,-1.04,-0.24,1.05
20170615,22.76,22.67,24.23,22.45,1510315,0.0,7.76,-1.13,-0.26,0.8
20170616,22.68,23.6,23.68,22.68,2465627,0.0,4.41,4.1,0.93,1.3
20170619,23.74,23.6,23.89,23.22,460198,0.0,2.84,0.0,0.0,0.24
20170620,23.4,22.3,23.4,21.89,1043702,0.0,6.4,-5.51,-1.3,0.55
20170621,22.22,20.4,22.42,20.31,1275376,0.0,9.46,-8.52,-1.9,0.67
20170622,20.4,20.74,20.75,19.59,1321878,0.0,5.69,1.67,0.34,0.7
20170623,20.71,20.15,20.78,19.92,3690385,0.0,4.15,-2.84,-0.59,1.95
20170626,20.1,20.18,20.73,19.76,790772,0.0,4.81,0.15,0.03,0.42
20170627,20.24,20.97,21.31,20.1,1029076,0.0,6.0,3.91,0.79,0.54
20170628,20.96,20.95,21.32,20.82,737567,0.0,2.38,-0.1,-0.02,0.39
20170629,21.01,21.11,21.22,20.72,796170,0.0,2.39,0.76,0.16,0.42
20170630,21.22,21.29,21.42,20.92,250831,0.0,2.37,0.85,0.18,0.13
20170703,21.43,22.02,22.08,21.07,396507,0.0,4.74,3.43,0.73,0.2
20170705,22.06,21.5,22.09,21.44,765815,0.0,2.95,-2.36,-0.52,0.39
20170706,21.29,20.65,21.29,20.57,1184427,0.0,3.35,-3.95,-0.85,0.6
