trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250723,50.08,50.08,50.1,50.08,311,15579.0,0.04,0.0,0.0,0.0
20250724,50.09,50.07,50.09,50.06,1689,84560.0,0.06,-0.02,-0.01,0.0
20250725,50.11,50.1,50.16,50.1,4469,224044.0,0.12,0.06,0.03,0.0
20250728,50.1,50.184,50.184,50.1,1833,91833.0,0.17,0.17,0.084,0.0
20250729,50.09,50.09,50.09,50.09,49,2459.0,0.0,-0.19,-0.094,0.0
20250730,50.1,50.1,50.1,50.1,336,16836.0,0.0,0.02,0.01,0.0
20250731,50.05,50.06,50.06,50.05,866,43344.0,0.02,-0.08,-0.04,0.0
20250801,50.15,50.25,50.25,50.13,3094,155177.0,0.24,0.38,0.19,0.0
20250804,50.295,50.295,50.295,50.295,167,8417.0,0.0,0.09,0.045,0.0
20250805,50.323,50.325,50.325,50.323,182,9159.0,0.0,0.06,0.03,0.0
20250806,50.32,50.32,50.32,50.32,17,855.0,0.0,-0.01,-0.005,0.0
20250807,50.38,50.34,50.38,50.34,3011,151685.0,0.08,0.04,0.02,0.0
20250808,50.36,50.35,50.37,50.35,608,30619.0,0.04,0.02,0.01,0.0
20250811,50.37,50.395,50.44,50.35,796,40112.0,0.18,0.09,0.045,0.0
20250812,50.34,50.375,50.375,50.34,245,12337.0,0.07,-0.04,-0.02,0.0
20250813,50.44,50.41,50.44,50.41,1060,53465.0,0.06,0.07,0.035,0.0
20250814,50.37,50.33,50.37,50.33,115,5793.0,0.08,-0.16,-0.08,0.0
20250815,50.4,50.393,50.4,50.393,210,10584.0,0.01,0.13,0.063,0.0
20250818,50.398,50.4,50.4,50.398,203,10231.0,0.0,0.01,0.007,0.0
20250819,50.39,50.385,50.4,50.37,4695,236569.0,0.06,-0.03,-0.015,0.0
20250820,50.42,50.465,50.52,50.41,1290,65102.0,0.22,0.16,0.08,0.0
20250821,50.4,50.405,50.45,50.35,2594,130719.0,0.2,-0.12,-0.06,0.0
20250822,50.37,50.526,50.526,50.37,723,36461.0,0.31,0.24,0.121,0.0
20250825,50.55,50.49,50.55,50.4,1135,57307.0,0.3,-0.07,-0.036,0.0
20250826,50.45,50.5,50.52,50.45,309,15596.0,0.14,0.02,0.01,0.0
20250827,50.523,50.485,50.523,50.485,2080,105086.0,0.08,-0.03,-0.015,0.0
20250828,50.53,50.54,50.58,50.53,2031,102693.0,0.1,0.11,0.055,0.0
20250829,50.53,50.555,50.56,50.48,3472,175343.0,0.16,0.03,0.015,0.0
