trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20140516,27.25,24.18,28.28,23.33,15917981,0.0,0.0,0.0,0.0,11.12
20140519,24.09,23.75,24.1,23.5,1270404,0.0,2.48,-1.78,-0.43,0.89
20140520,23.99,23.69,23.99,23.35,1421518,0.0,2.69,-0.25,-0.06,0.99
20140521,23.78,24.35,24.68,23.32,729191,0.0,5.74,2.79,0.66,0.51
20140522,24.15,22.54,24.46,22.0,1946379,0.0,10.1,-7.43,-1.81,1.36
20140523,23.0,22.8,23.9,22.57,1265772,0.0,5.9,1.15,0.26,0.88
20140527,23.02,23.09,23.8,22.46,1390614,0.0,5.88,1.27,0.29,0.97
20140528,23.5,29.04,29.04,23.41,2994648,0.0,24.38,25.77,5.95,2.09
20140529,28.58,27.5,29.7,27.12,1616368,0.0,8.88,-5.3,-1.54,1.13
20140530,27.85,27.5,28.3,27.0,779910,0.0,4.73,0.0,0.0,0.54
20140602,28.58,29.62,30.7,27.8,1743430,0.0,10.55,7.71,2.12,1.22
20140603,29.06,28.88,30.48,28.51,548770,0.0,6.65,-2.5,-0.74,0.38
20140604,28.56,28.11,28.97,27.56,789826,0.0,4.88,-2.67,-0.77,0.55
20140605,28.5,28.35,30.18,28.2,1114896,0.0,7.04,0.85,0.24,0.78
20140606,28.74,29.69,31.0,28.72,935160,0.0,8.04,4.73,1.34,0.65
20140609,30.8,30.46,32.49,29.39,2161917,0.0,10.44,2.59,0.77,1.51
20140610,31.56,30.71,31.63,29.71,977565,0.0,6.3,0.82,0.25,0.68
20140611,31.01,30.52,31.5,30.08,1260192,0.0,4.62,-0.62,-0.19,0.88
20140612,30.53,26.93,30.96,26.87,2455199,0.0,13.4,-11.76,-3.59,1.72
20140613,27.61,27.69,28.75,27.01,1533390,0.0,6.46,2.82,0.76,1.07
20140616,28.39,26.49,28.4,25.87,1787658,0.0,9.14,-4.33,-1.2,1.25
20140617,26.49,26.14,26.94,25.8,1033214,0.0,4.3,-1.32,-0.35,0.72
20140618,26.67,26.41,27.6,26.16,1269932,0.0,5.51,1.03,0.27,0.89
20140619,26.61,25.3,27.05,25.2,1819219,0.0,7.0,-4.2,-1.11,1.27
20140620,25.3,23.05,25.4,22.88,4201886,0.0,9.96,-8.89,-2.25,2.94
20140623,23.07,23.37,24.5,23.05,2001641,0.0,6.29,1.39,0.32,1.4
20140624,23.53,23.93,24.89,23.53,1777990,0.0,5.82,2.4,0.56,1.24
20140625,23.96,24.41,24.67,23.36,743660,0.0,5.47,2.01,0.48,0.52
20140626,24.4,26.54,26.69,24.29,1590805,0.0,9.83,8.73,2.13,1.11
20140627,26.6,26.6,27.1,26.0,935646,0.0,4.14,0.23,0.06,0.65
20140630,27.0,27.2,27.42,26.2,1023217,0.0,4.59,2.26,0.6,0.71
20140701,27.12,27.51,28.19,26.29,1530845,0.0,6.99,1.14,0.31,1.07
20140702,28.49,28.41,28.5,27.54,1044081,0.0,3.49,3.27,0.9,0.73
20140703,28.75,28.14,29.09,27.57,679405,0.0,5.35,-0.95,-0.27,0.47
20140707,28.1,27.09,28.14,26.95,689594,0.0,4.23,-3.73,-1.05,0.48
20140708,27.22,26.05,27.49,25.26,1259570,0.0,8.23,-3.84,-1.04,0.88
20140709,26.21,28.0,28.09,26.21,672057,0.0,7.22,7.49,1.95,0.47
20140710,26.82,27.87,28.0,26.32,511309,0.0,6.0,-0.46,-0.13,0.36
20140711,27.87,28.52,28.74,27.6,870326,0.0,4.09,2.33,0.65,0.61
20140714,29.02,29.05,29.34,28.81,724272,0.0,1.86,1.86,0.53,0.51
20140715,28.27,28.1,29.15,27.8,949007,0.0,4.65,-3.27,-0.95,0.66
20140716,28.27,28.1,29.15,27.8,949207,0.0,4.8,0.0,0.0,0.66
20140717,27.8,27.41,28.21,26.91,552150,0.0,4.63,-2.46,-0.69,0.39
20140718,27.5,27.19,27.63,26.7,481092,0.0,3.39,-0.8,-0.22,0.34
20140721,26.88,27.78,27.78,26.33,737652,0.0,5.33,2.17,0.59,0.52
20140722,28.0,28.72,28.8,27.56,708651,0.0,4.46,3.38,0.94,0.5
20140723,28.95,28.02,28.97,27.86,567337,0.0,3.86,-2.44,-0.7,0.4
20140724,28.4,29.86,29.99,28.34,1520675,0.0,5.89,6.57,1.84,1.06
