trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220427,21.53,21.477,22.03,21.477,49565,1115368.0,2.57,-0.25,-0.053,0.36
20220428,21.97,21.72,22.08,21.33,10711,241463.0,3.49,1.13,0.243,0.08
20220429,21.53,22.02,22.02,21.53,736,16621.0,2.26,1.38,0.3,0.01
20220502,22.03,23.53,24.33,22.01,8483,200916.0,10.54,6.86,1.51,0.06
20220503,23.03,22.83,24.51,22.07,43002,1026042.0,10.37,-2.97,-0.7,0.31
20220504,23.2,23.23,23.88,23.03,24630,598628.0,3.72,1.75,0.4,0.18
20220505,23.23,22.86,23.9,22.86,38396,933462.0,4.48,-1.59,-0.37,0.27
20220506,23.08,23.23,23.57,22.99,57534,1394020.0,2.54,1.62,0.37,0.41
20220509,23.46,23.46,23.46,22.275,57070,1374522.0,5.1,0.99,0.23,0.41
20220510,21.03,23.62,23.63,20.26,67889,1628023.0,14.36,0.68,0.16,0.49
20220511,23.425,23.59,23.62,23.13,43226,1047694.0,2.07,-0.13,-0.03,0.31
20220512,22.89,23.63,23.63,22.84,45598,1110514.0,3.35,0.17,0.04,0.33
20220513,23.57,24.54,25.23,23.13,109264,2739049.0,8.89,3.85,0.91,0.78
20220516,24.82,24.74,24.82,24.55,56626,1441873.0,1.1,0.81,0.2,0.4
20220517,24.55,26.63,28.23,24.55,47588,1261749.0,14.87,7.64,1.89,0.34
20220518,26.61,26.73,27.165,26.58,55803,1535033.0,2.2,0.38,0.1,0.4
20220519,26.075,26.67,26.89,26.075,29225,800283.0,3.05,-0.22,-0.06,0.21
20220520,26.68,26.43,26.73,26.33,15836,431285.0,1.5,-0.9,-0.24,0.11
20220523,26.43,26.71,26.98,26.42,32312,886956.0,2.12,1.06,0.28,0.23
20220524,26.55,26.8,26.96,26.38,30947,851961.0,2.17,0.34,0.09,0.22
20220525,26.23,26.57,26.82,26.165,20529,557355.0,2.44,-0.86,-0.23,0.15
20220526,26.35,26.82,27.11,26.35,24654,677762.0,2.86,0.94,0.25,0.18
20220527,26.73,27.1,27.16,26.73,36714,1018864.0,1.6,1.04,0.28,0.26
20220531,27.2,26.9,27.2,26.9,43673,1212354.0,1.11,-0.74,-0.2,0.31
20220601,26.93,26.86,26.98,26.78,72786,2011011.0,0.74,-0.15,-0.04,0.52
20220602,26.83,26.83,26.94,26.74,60880,1682013.0,0.74,-0.11,-0.03,0.43
20220603,26.83,26.73,26.83,26.64,49257,1353893.0,0.71,-0.37,-0.1,0.35
20220606,26.88,27.75,27.88,26.08,298861,8275360.0,6.73,3.82,1.02,2.13
20220607,27.64,26.49,28.14,25.02,123848,3329066.0,11.24,-4.54,-1.26,0.88
20220608,26.63,27.23,27.48,25.47,98097,2744672.0,7.59,2.79,0.74,0.7
20220609,27.07,26.82,27.46,26.51,73811,2049969.0,3.49,-1.51,-0.41,0.53
20220610,26.56,27.16,27.455,26.56,73471,2047937.0,3.34,1.27,0.34,0.52
20220613,26.79,26.67,27.43,26.13,77230,2136646.0,4.79,-1.8,-0.49,0.55
20220614,26.91,26.84,27.09,25.885,44714,1226897.0,4.52,0.64,0.17,0.32
20220615,26.76,27.58,27.9,25.38,219952,6203162.0,9.39,2.76,0.74,1.57
20220616,27.16,28.59,28.73,27.16,245835,7187837.0,5.69,3.66,1.01,1.76
20220617,28.23,28.31,28.48,27.74,744972,21656775.0,2.59,-0.98,-0.28,5.32
20220621,28.28,26.31,28.398,25.87,195686,5331978.0,8.93,-7.06,-2.0,1.4
20220622,26.01,24.72,26.48,23.645,196396,5054649.0,10.78,-6.04,-1.59,1.4
20220623,23.46,24.91,25.61,23.46,98045,2504019.0,8.7,0.77,0.19,0.7
20220624,24.82,23.73,25.765,23.17,1261284,31025993.0,10.42,-4.74,-1.18,9.01
20220627,24.09,21.8,25.22,21.19,130006,2956577.0,16.98,-8.13,-1.93,0.93
20220628,21.33,21.53,22.125,21.33,86589,1940522.0,3.65,-1.24,-0.27,0.62
20220629,21.48,21.55,21.96,21.23,83555,1853436.0,3.39,0.09,0.02,0.6
20220630,21.13,21.77,22.1,20.84,65472,1449179.0,5.85,1.02,0.22,0.47
20220701,21.7,21.42,22.13,21.12,27202,601066.0,4.64,-1.61,-0.35,0.19
20220705,21.7,22.6,23.34,21.51,47305,1094206.0,8.54,5.51,1.18,0.34
20220706,22.22,22.78,22.93,21.61,14220,333227.0,5.84,0.8,0.18,0.1
20220707,22.78,23.11,23.2,22.29,38276,909226.0,3.99,1.45,0.33,0.27
20220708,22.93,22.95,23.13,22.55,23187,549744.0,2.51,-0.69,-0.16,0.17
20220711,23.03,22.59,23.03,22.36,23822,556383.0,2.92,-1.57,-0.36,0.17
20220712,22.88,22.85,22.93,22.305,23478,552949.0,2.77,1.15,0.26,0.17
20220713,23.0,21.81,23.0,21.53,34142,776409.0,6.43,-4.55,-1.04,0.24
20220714,21.82,21.6,22.15,21.27,24102,537612.0,4.03,-0.96,-0.21,0.17
20220715,22.13,22.19,22.702,21.39,31610,722022.0,6.07,2.73,0.59,0.23
20220718,22.88,22.56,22.88,21.77,16379,382096.0,5.0,1.67,0.37,0.12
20220719,22.95,23.43,24.02,22.47,31873,768938.0,6.87,3.86,0.87,0.23
20220720,23.38,23.86,24.64,23.38,17307,425244.0,5.38,1.84,0.43,0.12
20220721,23.43,24.2,24.2,23.43,20413,506417.0,3.23,1.42,0.34,0.15
20220722,24.23,23.49,24.23,22.95,21613,525504.0,5.29,-2.93,-0.71,0.15
20220725,24.03,24.22,24.23,22.806,34369,850570.0,6.06,3.11,0.73,0.25
20220726,24.22,25.47,26.48,23.33,35215,903490.0,13.01,5.16,1.25,0.25
20220727,25.46,25.52,25.82,24.55,20883,544456.0,4.99,0.2,0.05,0.15
20220728,25.3,25.7,26.19,25.3,12788,339151.0,3.49,0.71,0.18,0.09
20220729,25.72,25.3,25.88,24.78,26924,706610.0,4.28,-1.56,-0.4,0.19
20220801,25.04,25.61,25.73,24.8,13624,357503.0,3.68,1.23,0.31,0.1
20220802,25.72,25.81,25.91,25.7,22462,596907.0,0.82,0.78,0.2,0.16
20220803,25.85,26.18,26.23,25.17,23971,636685.0,4.11,1.43,0.37,0.17
20220804,25.34,26.18,26.32,24.89,30378,812202.0,5.46,0.0,0.0,0.22
