trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20181018,44.808,44.808,44.808,44.808,1,0.0,0.0,0.0,0.0,0.0
20181019,44.808,44.808,44.808,44.808,150,7507.0,0.0,0.0,0.0,0.0
20181022,44.808,44.808,44.808,44.808,50,0.0,0.0,0.0,0.0,0.0
20181023,44.826,44.826,44.826,44.826,499000,24984927.0,0.0,0.04,0.018,0.0
20181025,44.853,44.853,44.853,44.853,167,8366.0,0.0,0.06,0.027,0.0
20181026,44.853,44.853,44.853,44.853,268,13426.0,0.0,0.0,0.0,0.0
20181029,44.853,44.853,44.853,44.853,945,47344.0,0.0,0.0,0.0,0.0
20181031,44.835,44.844,44.844,44.835,6150,308052.0,0.02,-0.02,-0.009,0.0
20181101,44.844,44.844,44.844,44.844,2,0.0,0.0,0.0,0.0,0.0
20181102,44.844,44.844,44.844,44.844,1,0.0,0.0,0.0,0.0,0.0
20181105,44.826,44.799,44.826,44.799,4540,227277.0,0.06,-0.1,-0.045,0.0
20181106,44.835,44.835,44.835,44.835,415,20783.0,0.0,0.08,0.036,0.0
20181107,44.799,44.799,44.799,44.799,387,19365.0,0.0,-0.08,-0.036,0.0
20181109,44.835,44.862,44.862,44.835,42497,2128262.0,0.06,0.14,0.063,0.0
20181112,44.862,44.862,44.862,44.862,105,5261.0,0.0,0.0,0.0,0.0
20181113,44.862,44.862,44.862,44.862,36,0.0,0.0,0.0,0.0,0.0
20181114,44.853,44.88,44.88,44.853,1321,66179.0,0.06,0.04,0.018,0.0
20181116,44.889,44.889,44.889,44.88,1219,61111.0,0.02,0.02,0.009,0.0
20181119,44.898,44.898,44.898,44.898,1786,89567.0,0.0,0.02,0.009,0.0
20181120,44.88,44.907,44.907,44.88,8566,429640.0,0.06,0.02,0.009,0.0
20181121,44.916,44.916,44.916,44.871,6656,333814.0,0.1,0.02,0.009,0.0
20181126,44.925,44.925,44.925,44.907,7572,379905.0,0.04,0.02,0.009,0.0
20181127,44.943,44.943,44.943,44.907,4996,250770.0,0.08,0.04,0.018,0.0
20181128,44.934,44.943,44.943,44.934,4033,202446.0,0.02,0.0,0.0,0.0
20181129,44.934,44.925,44.952,44.925,2711,136080.0,0.06,-0.04,-0.018,0.0
20181130,44.898,44.898,44.898,44.889,2700,135400.0,0.02,-0.06,-0.027,0.0
20181203,44.907,44.907,44.907,44.907,29979,1503746.0,0.0,0.02,0.009,0.0
20181204,44.925,44.916,44.925,44.916,6661,334190.0,0.02,0.02,0.009,0.0
20181206,44.934,44.934,44.934,44.916,4880,244894.0,0.04,0.04,0.018,0.0
20181207,44.943,44.943,44.961,44.943,575,28873.0,0.04,0.02,0.009,0.0
20181210,44.961,44.952,44.97,44.952,14012,703702.0,0.04,0.02,0.009,0.0
20181211,44.979,44.961,44.987,44.961,19683,988818.0,0.06,0.02,0.009,0.0
20181212,44.97,44.961,44.979,44.961,48975,2459774.0,0.04,0.0,0.0,0.0
20181213,45.005,44.961,45.014,44.961,5515,276995.0,0.12,0.0,0.0,0.0
