trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180504,6.6,7.19,8.5,6.45,256203,2274314.0,36.61,28.39,1.59,2.26
20180507,7.6,8.06,8.25,7.1,362264,3273680.0,15.99,12.1,0.87,3.2
20180508,7.91,8.1,9.6,7.5,269710,2600795.0,26.05,0.5,0.04,2.38
20180509,8.3,8.6,8.6,7.81,102122,996496.0,9.75,6.17,0.5,0.9
20180510,8.6,8.3,8.95,8.17,153934,1543005.0,9.07,-3.49,-0.3,1.36
20180511,8.3,8.1,8.3,7.97,49023,464600.0,3.98,-2.41,-0.2,0.43
20180514,8.1,7.63,8.1,7.63,23137,211551.0,5.8,-5.8,-0.47,0.2
20180515,7.6,7.6,7.89,7.6,81944,738693.0,3.8,-0.39,-0.03,0.72
20180516,7.6,7.64,7.85,7.5,42731,384546.0,4.61,0.53,0.04,0.38
20180517,8.09,7.87,8.09,7.65,20877,192767.0,5.76,3.01,0.23,0.18
20180518,7.8,7.56,7.8,7.11,30460,267792.0,8.77,-3.94,-0.31,0.27
20180521,7.84,7.59,7.84,7.3,8850,78045.0,7.14,0.4,0.03,0.08
20180522,7.55,7.51,7.84,7.09,53692,473794.0,9.88,-1.05,-0.08,0.47
20180523,7.4,7.6,7.6,7.2,33058,289646.0,5.33,1.2,0.09,0.29
20180524,7.19,6.99,7.5,6.99,17965,153788.0,6.71,-8.03,-0.61,0.16
20180525,7.41,7.6,7.6,5.61,165652,1307839.0,28.47,8.73,0.61,1.46
20180529,6.7,6.85,6.88,6.62,23714,193676.0,3.42,-9.87,-0.75,0.21
20180530,6.4,6.12,6.68,5.86,44622,338504.0,11.97,-10.66,-0.73,0.39
20180531,6.3,6.22,6.79,6.22,26236,207329.0,9.31,1.63,0.1,0.23
20180601,6.25,6.25,6.6,5.75,47937,358695.0,13.67,0.48,0.03,0.42
20180604,6.2,6.18,6.53,6.15,8313,63630.0,6.08,-1.12,-0.07,0.07
20180605,6.15,6.31,6.65,6.15,13341,104599.0,8.09,2.1,0.13,0.12
20180606,6.55,6.57,6.57,6.4,820,6483.0,2.69,4.12,0.26,0.01
20180607,6.45,6.36,6.83,6.2,18490,145095.0,9.59,-3.2,-0.21,0.16
20180608,6.53,6.36,6.6,6.36,635,5027.0,3.77,0.0,0.0,0.01
20180611,6.2,6.65,7.1,6.2,12378,100746.0,14.15,4.56,0.29,0.11
20180612,7.07,6.52,7.07,6.46,16702,135786.0,9.17,-1.95,-0.13,0.15
20180613,6.6,6.86,7.09,6.6,21861,182577.0,7.52,5.21,0.34,0.19
20180614,6.92,6.4,7.8,6.4,306791,2656720.0,20.41,-6.71,-0.46,2.71
20180615,6.7,7.29,7.7,6.45,339637,2912107.0,19.53,13.91,0.89,3.0
20180618,7.24,7.61,8.99,7.1,608904,5660674.0,25.93,4.39,0.32,5.38
20180619,7.6,7.9,8.4,7.5,160942,1529525.0,11.83,3.81,0.29,1.42
20180620,8.1,7.9,8.5,7.86,232464,2230569.0,8.1,0.0,0.0,2.05
20180621,7.78,7.35,7.9,7.11,68926,610008.0,10.0,-6.96,-0.55,0.61
20180622,7.42,7.3,7.54,7.1,49070,425700.0,5.99,-0.68,-0.05,0.43
20180625,7.24,6.94,7.35,6.75,65834,552423.0,8.22,-4.93,-0.36,0.58
20180626,6.94,7.06,7.28,6.65,62608,525462.0,9.08,1.73,0.12,0.55
20180627,6.54,5.41,6.54,5.39,214423,1599252.0,16.29,-23.37,-1.65,1.89
20180628,6.1,5.92,6.2,5.7,81853,605522.0,9.24,9.43,0.51,0.72
20180629,5.96,5.98,6.07,5.9,43790,321876.0,2.87,1.01,0.06,0.39
20180702,5.81,5.53,5.86,5.41,34650,244103.0,7.53,-7.53,-0.45,0.31
20180703,5.45,5.3,5.83,5.3,14999,101585.0,9.58,-4.16,-0.23,0.13
20180705,5.24,5.34,5.49,5.2,18465,124177.0,5.47,0.75,0.04,0.16
20180706,5.38,4.51,5.38,4.43,68702,431256.0,17.79,-15.54,-0.83,0.61
20180709,4.8,5.49,5.49,4.8,23814,151451.0,15.3,21.73,0.98,0.21
20180710,5.5,5.79,6.04,5.49,71735,514616.0,10.02,5.46,0.3,0.63
20180711,5.89,5.94,6.2,5.69,55632,412920.0,8.81,2.59,0.15,0.49
20180712,5.93,5.8,5.96,5.8,10489,75973.0,2.69,-2.36,-0.14,0.09
20180713,5.76,5.71,5.9,5.71,11878,85305.0,3.28,-1.55,-0.09,0.1
20180716,5.56,5.41,5.67,5.34,11956,82752.0,5.78,-5.25,-0.3,0.11
20180717,5.21,4.66,5.4,4.52,43690,282024.0,16.27,-13.86,-0.75,0.39
20180718,4.65,4.68,5.0,4.65,15725,96190.0,7.51,0.43,0.02,0.14
20180719,4.72,4.92,5.26,4.72,11270,70517.0,11.54,5.13,0.24,0.1
20180720,4.85,4.85,4.96,4.78,22096,138528.0,3.66,-1.42,-0.07,0.2
20180723,4.62,4.75,5.1,4.59,29892,184623.0,10.52,-2.06,-0.1,0.26
20180724,4.79,4.8,4.88,4.65,18251,111358.0,4.84,1.05,0.05,0.16
20180725,4.79,4.64,4.79,4.64,6533,39838.0,3.13,-3.33,-0.16,0.06
20180726,4.65,4.75,4.75,4.6,2570,15628.0,3.23,2.37,0.11,0.02
20180727,4.73,4.61,4.74,4.6,6247,37675.0,2.95,-2.95,-0.14,0.06
20180730,4.61,4.61,4.64,4.61,2845,17120.0,0.65,0.0,0.0,0.03
20180731,4.6,4.6,4.6,4.6,1003,6018.0,0.0,-0.22,-0.01,0.01
20180801,4.69,4.6,4.69,4.58,4934,29624.0,2.39,0.0,0.0,0.04
20180802,4.65,4.72,4.73,4.63,2427,14739.0,2.17,2.61,0.12,0.02
20180803,4.61,4.83,4.95,4.6,18125,111830.0,7.42,2.33,0.11,0.16
20180806,4.68,4.85,4.95,4.68,13592,84849.0,5.59,0.41,0.02,0.12
20180807,4.82,4.89,4.95,4.82,6669,41936.0,2.68,0.82,0.04,0.06
