trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240311,10.05,10.03,10.05,10.03,351829,3529343.0,0.2,-0.2,-0.02,4.72
20240312,10.03,10.035,10.04,10.03,131591,1319898.0,0.1,0.05,0.005,1.76
20240313,10.031,10.02,10.031,10.02,28402,284853.0,0.11,-0.15,-0.015,0.38
20240314,10.03,10.04,10.04,10.02,220599,2212638.0,0.2,0.2,0.02,2.96
20240315,10.04,10.05,10.05,10.04,71852,721422.0,0.1,0.1,0.01,0.96
20240318,10.06,10.07,10.07,10.03,440250,4430552.0,0.4,0.2,0.02,5.9
20240319,10.05,10.06,10.06,10.05,2707,27231.0,0.1,-0.1,-0.01,0.04
20240320,10.06,10.06,10.07,10.06,107506,1082514.0,0.1,0.0,0.0,1.44
20240321,10.07,10.05,10.07,10.045,226625,2280974.0,0.25,-0.1,-0.01,3.04
20240322,10.06,10.06,10.06,10.06,8117,81656.0,0.0,0.1,0.01,0.11
20240325,10.06,10.06,10.06,10.05,8079,81226.0,0.1,0.0,0.0,0.11
20240326,10.06,10.05,10.06,10.05,57148,574657.0,0.1,-0.1,-0.01,0.77
20240327,10.05,10.05,10.05,10.05,3,30.0,0.0,0.0,0.0,0.0
20240328,10.05,10.05,10.05,10.05,50,502.0,0.0,0.0,0.0,0.0
20240401,10.04,10.06,10.07,10.04,142575,1435427.0,0.3,0.1,0.01,1.85
20240402,10.061,10.07,10.07,10.061,103585,1043089.0,0.09,0.1,0.01,1.35
20240404,10.07,10.069,10.07,10.06,63378,638211.0,0.1,-0.01,-0.001,0.82
20240405,10.065,10.06,10.065,10.06,23480,236210.0,0.05,-0.09,-0.009,0.31
20240408,10.07,10.07,10.07,10.07,33479,337133.0,0.0,0.1,0.01,0.44
20240409,10.065,10.06,10.065,10.06,6524,65641.0,0.05,-0.1,-0.01,0.08
20240410,10.068,10.07,10.075,10.068,146408,1474329.0,0.07,0.1,0.01,1.9
20240411,10.08,10.07,10.08,10.07,40071,403609.0,0.1,0.0,0.0,0.52
20240412,10.071,10.085,10.09,10.07,40184,405040.0,0.2,0.15,0.015,0.52
20240415,10.09,10.09,10.1,10.08,65333,659635.0,0.2,0.05,0.005,0.85
20240416,10.09,10.095,10.099,10.09,29943,302142.0,0.09,0.05,0.005,0.39
20240417,10.09,10.095,10.1,10.09,102787,1037141.0,0.1,0.0,0.0,1.34
20240418,10.095,10.095,10.095,10.095,117,1181.0,0.0,0.0,0.0,0.0
20240419,10.1,10.1,10.11,10.1,767,7748.0,0.1,0.05,0.005,0.01
20240422,10.09,10.09,10.1,10.09,3522,35538.0,0.1,-0.1,-0.01,0.05
20240423,10.09,10.09,10.09,10.09,2974,30007.0,0.0,0.0,0.0,0.04
20240424,10.1,10.1,10.1,10.1,4560,46056.0,0.0,0.1,0.01,0.06
20240425,10.09,10.09,10.095,10.09,936,9445.0,0.05,-0.1,-0.01,0.01
20240426,10.09,10.09,10.09,10.09,100,1009.0,0.0,0.0,0.0,0.0
20240429,10.1,10.11,10.11,10.095,129571,1308666.0,0.15,0.2,0.02,1.69
20240430,10.09,10.09,10.09,10.09,4984,50288.0,0.0,-0.2,-0.02,0.06
20240501,10.09,10.09,10.09,10.09,3,30.0,0.0,0.0,0.0,0.0
20240506,10.1,10.1,10.1,10.1,646,6524.0,0.0,0.1,0.01,0.01
20240507,10.11,10.094,10.11,10.09,7504,75729.0,0.2,-0.06,-0.006,0.1
20240508,10.094,10.094,10.094,10.094,27,272.0,0.0,0.0,0.0,0.0
20240509,10.108,10.11,10.11,10.108,239,2416.0,0.02,0.16,0.016,0.0
20240513,10.11,10.1,10.11,10.1,5086,51369.0,0.1,-0.1,-0.01,0.07
20240514,10.09,10.09,10.09,10.09,100001,1009010.0,0.0,-0.1,-0.01,1.3
20240515,10.09,10.09,10.09,10.09,100500,1014045.0,0.0,0.0,0.0,1.31
20240516,10.09,10.09,10.09,10.09,1629,16436.0,0.0,0.0,0.0,0.02
20240517,10.09,10.09,10.09,10.09,130,1311.0,0.0,0.0,0.0,0.0
20240520,10.09,10.09,10.09,10.09,29,292.0,0.0,0.0,0.0,0.0
20240521,10.11,10.1,10.11,10.1,10555,106709.0,0.1,0.1,0.01,0.14
20240522,10.11,10.11,10.11,10.11,10628,107449.0,0.0,0.1,0.01,0.14
20240523,10.12,10.12,10.12,10.12,73822,747078.0,0.0,0.1,0.01,0.96
20240524,10.12,10.12,10.12,10.12,3,30.0,0.0,0.0,0.0,0.0
20240528,10.12,10.12,10.12,10.12,47,475.0,0.0,0.0,0.0,0.0
20240529,10.12,10.12,10.123,10.12,176028,1781411.0,0.03,0.0,0.0,2.29
20240530,10.123,10.12,10.123,10.12,2700,27329.0,0.03,0.0,0.0,0.04
20240531,10.12,10.12,10.12,10.12,2,20.0,0.0,0.0,0.0,0.0
20240603,10.13,10.14,10.14,10.13,102284,1036145.0,0.1,0.2,0.02,1.33
20240604,10.13,10.13,10.135,10.12,12178,123353.0,0.15,-0.1,-0.01,0.16
20240605,10.13,10.12,10.13,10.12,117252,1186955.0,0.1,-0.1,-0.01,1.53
20240606,10.13,10.12,10.13,10.12,253,2561.0,0.1,0.0,0.0,0.0
