trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120725,17.54,17.69,17.72,17.46,167297,0.0,0.0,0.0,0.0,0.28
20120726,17.98,18.04,18.29,17.92,178133,0.0,2.09,1.98,0.35,0.3
20120727,18.29,18.62,18.74,18.06,99610,0.0,3.77,3.22,0.58,0.17
20120730,18.61,18.7,18.8,18.48,109013,0.0,1.72,0.43,0.08,0.18
20120731,18.6,18.65,18.87,18.58,121966,0.0,1.55,-0.27,-0.05,0.21
20120801,18.72,18.33,18.93,18.3,59951,0.0,3.38,-1.72,-0.32,0.1
20120802,18.08,18.24,18.31,17.98,89122,0.0,1.8,-0.49,-0.09,0.15
20120803,18.7,18.58,18.92,18.48,95185,0.0,2.41,1.86,0.34,0.16
20120806,18.53,18.86,18.93,18.53,124499,0.0,2.15,1.51,0.28,0.21
20120807,18.79,17.94,18.8,16.75,235826,0.0,10.87,-4.88,-0.92,0.4
20120808,17.73,17.51,17.89,17.48,63714,0.0,2.29,-2.4,-0.43,0.11
20120809,17.49,17.26,17.77,17.18,102640,0.0,3.37,-1.43,-0.25,0.17
20120810,17.07,17.1,17.2,16.78,93056,0.0,2.43,-0.93,-0.16,0.16
20120813,16.99,16.87,17.07,16.62,72058,0.0,2.63,-1.35,-0.23,0.12
20120814,17.01,16.82,17.17,16.76,52491,0.0,2.43,-0.3,-0.05,0.09
20120815,16.84,16.97,17.03,16.73,54230,0.0,1.78,0.89,0.15,0.09
20120816,16.93,16.92,17.03,16.78,49548,0.0,1.47,-0.29,-0.05,0.08
20120817,16.97,16.93,16.97,16.66,41827,0.0,1.83,0.06,0.01,0.07
20120820,16.82,16.89,16.98,16.71,66894,0.0,1.59,-0.24,-0.04,0.11
20120821,16.94,16.98,17.21,16.89,129335,0.0,1.89,0.53,0.09,0.22
20120822,16.84,16.82,17.1,16.47,79349,0.0,3.71,-0.94,-0.16,0.14
20120823,16.73,16.62,16.86,16.47,89229,0.0,2.32,-1.19,-0.2,0.15
20120824,16.6,16.9,16.96,16.53,99290,0.0,2.59,1.68,0.28,0.17
20120827,17.09,16.98,17.21,16.8,80685,0.0,2.43,0.47,0.08,0.14
20120828,16.82,16.88,17.1,16.68,84791,0.0,2.47,-0.59,-0.1,0.14
20120829,16.87,16.95,17.06,16.63,76020,0.0,2.55,0.41,0.07,0.13
20120830,16.78,16.99,17.12,16.62,73365,0.0,2.95,0.24,0.04,0.13
20120831,17.12,16.77,17.22,16.71,144206,0.0,3.0,-1.29,-0.22,0.25
20120904,16.65,17.6,17.71,16.65,131483,0.0,6.32,4.95,0.83,0.22
20120905,17.21,17.98,18.16,17.01,324448,0.0,6.53,2.16,0.38,0.55
20120906,18.02,18.1,18.2,17.9,213280,0.0,1.67,0.67,0.12,0.36
20120907,18.16,18.0,18.27,17.91,145787,0.0,1.99,-0.55,-0.1,0.25
20120910,18.04,17.84,18.11,17.75,110612,0.0,2.0,-0.89,-0.16,0.19
20120911,17.8,17.91,18.14,17.65,99223,0.0,2.75,0.39,0.07,0.17
20120912,18.04,17.98,18.17,17.67,135166,0.0,2.79,0.39,0.07,0.23
20120913,18.04,18.2,18.2,17.79,80071,0.0,2.28,1.22,0.22,0.14
20120914,18.24,18.11,18.29,17.96,106236,0.0,1.81,-0.49,-0.09,0.18
20120917,18.07,17.93,18.18,17.87,113083,0.0,1.71,-0.99,-0.18,0.19
20120918,17.67,17.62,17.93,17.5,154425,0.0,2.4,-1.73,-0.31,0.26
20120919,17.67,17.71,17.78,17.43,99505,0.0,1.99,0.51,0.09,0.17
20120920,17.5,17.64,17.69,17.38,105964,0.0,1.75,-0.4,-0.07,0.18
20120921,17.88,17.64,17.88,17.45,828490,0.0,2.44,0.0,0.0,1.41
20120924,17.51,17.6,17.79,17.51,177958,0.0,1.59,-0.23,-0.04,0.3
20120925,17.71,17.12,17.83,17.12,172769,0.0,4.03,-2.73,-0.48,0.29
20120926,17.1,16.54,17.26,16.25,292535,0.0,5.9,-3.39,-0.58,0.5
20120927,16.62,16.69,16.76,16.46,163724,0.0,1.81,0.91,0.15,0.28
20120928,16.54,16.88,16.99,16.44,148971,0.0,3.3,1.14,0.19,0.25
20121001,17.0,16.87,17.0,16.33,268045,0.0,3.97,-0.06,-0.01,0.46
20121002,16.97,17.07,17.1,16.88,112124,0.0,1.3,1.19,0.2,0.19
20121003,17.12,17.03,17.25,16.87,73846,0.0,2.23,-0.23,-0.04,0.13
20121004,17.08,17.37,17.37,17.05,97523,0.0,1.88,2.0,0.34,0.17
20121005,17.48,17.57,17.8,17.47,62112,0.0,1.9,1.15,0.2,0.11
20121008,17.41,17.48,17.65,17.29,91741,0.0,2.05,-0.51,-0.09,0.16
20121009,17.49,17.28,17.57,17.1,79169,0.0,2.69,-1.14,-0.2,0.14
20121010,17.25,17.28,17.38,17.14,114807,0.0,1.39,0.0,0.0,0.2
20121011,17.46,17.45,17.6,17.18,122203,0.0,2.43,0.98,0.17,0.21
20121012,17.46,17.17,17.47,17.02,110017,0.0,2.58,-1.6,-0.28,0.19
20121015,17.21,17.34,17.5,17.14,79786,0.0,2.1,0.99,0.17,0.14
20121016,17.34,17.44,17.47,17.26,88959,0.0,1.21,0.58,0.1,0.15
20121017,17.46,17.64,17.75,17.42,113930,0.0,1.89,1.15,0.2,0.2
20121018,17.67,17.95,18.07,17.67,165323,0.0,2.27,1.76,0.31,0.28
20121019,17.83,17.31,17.83,17.13,66381,0.0,3.9,-3.57,-0.64,0.11
20121022,17.17,17.19,17.32,17.03,44150,0.0,1.68,-0.69,-0.12,0.08
20121023,17.17,16.87,17.26,16.58,107927,0.0,3.96,-1.86,-0.32,0.18
20121024,17.04,17.03,17.15,16.72,76372,0.0,2.55,0.95,0.16,0.13
20121025,17.17,17.1,17.29,16.86,70093,0.0,2.52,0.41,0.07,0.12
20121026,17.12,16.92,17.12,16.77,90520,0.0,2.05,-1.05,-0.18,0.16
20121031,16.97,17.17,17.21,16.95,77524,0.0,1.54,1.48,0.25,0.13
20121101,17.15,17.63,18.15,17.13,202872,0.0,5.94,2.68,0.46,0.35
20121102,17.68,16.61,17.74,16.54,105400,0.0,6.81,-5.79,-1.02,0.18
20121105,16.54,16.8,16.91,16.27,78381,0.0,3.85,1.14,0.19,0.13
20121106,16.96,17.27,17.44,16.87,69635,0.0,3.39,2.8,0.47,0.12
20121107,16.89,15.91,16.89,15.88,137982,0.0,5.85,-7.87,-1.36,0.24
20121108,15.93,15.62,16.31,15.31,240424,0.0,6.29,-1.82,-0.29,0.41
20121109,15.62,16.19,16.56,15.62,127135,0.0,6.02,3.65,0.57,0.22
