trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160728,14.07,14.42,14.86,14.07,4915084,0.0,6.55,19.47,2.35,23.44
20160729,14.53,14.34,15.07,14.32,531007,0.0,5.2,-0.55,-0.08,2.53
20160801,14.33,14.48,14.54,14.07,333583,0.0,3.28,0.98,0.14,1.59
20160802,14.3,14.67,14.79,14.3,87868,0.0,3.38,1.31,0.19,0.42
20160803,14.43,14.32,14.77,14.3,125811,0.0,3.2,-2.39,-0.35,0.6
20160804,14.32,14.41,14.45,14.24,81366,0.0,1.47,0.63,0.09,0.39
20160805,14.37,14.88,14.9,14.35,50967,0.0,3.82,3.26,0.47,0.24
20160808,15.03,15.46,15.52,14.49,101021,0.0,6.92,3.9,0.58,0.48
20160809,15.42,15.68,15.77,15.35,169553,0.0,2.72,1.42,0.22,0.81
20160810,15.77,15.66,16.07,15.44,246642,0.0,4.02,-0.13,-0.02,1.18
20160811,15.65,15.72,15.8,15.33,131111,0.0,3.0,0.38,0.06,0.63
20160812,15.58,15.48,16.0,15.35,33764,0.0,4.13,-1.53,-0.24,0.16
20160815,15.94,15.89,16.96,15.7,116254,0.0,8.14,2.65,0.41,0.55
20160816,16.06,15.52,16.06,15.09,41708,0.0,6.1,-2.33,-0.37,0.2
20160817,15.63,15.68,16.04,15.33,36235,0.0,4.57,1.03,0.16,0.17
20160818,15.88,15.79,15.93,15.67,23054,0.0,1.66,0.7,0.11,0.11
20160819,15.68,16.01,16.02,15.41,26541,0.0,3.86,1.39,0.22,0.13
20160822,16.07,16.78,17.37,15.37,166791,0.0,12.49,4.81,0.77,0.8
20160823,16.91,16.51,16.92,16.27,30409,0.0,3.87,-1.61,-0.27,0.15
20160824,16.77,16.07,16.77,15.67,78167,0.0,6.66,-2.67,-0.44,0.37
20160825,16.16,16.07,16.71,15.82,41768,0.0,5.54,0.0,0.0,0.2
20160826,16.07,16.53,16.62,15.99,72196,0.0,3.92,2.86,0.46,0.34
20160829,16.18,16.5,16.74,15.09,53587,0.0,9.98,-0.18,-0.03,0.26
20160830,16.52,16.59,16.89,16.42,85537,0.0,2.85,0.55,0.09,0.41
20160831,16.55,16.87,17.07,16.08,50612,0.0,5.97,1.69,0.28,0.24
20160901,16.52,16.6,16.81,16.52,10814,0.0,1.72,-1.6,-0.27,0.05
20160902,16.79,16.46,16.79,16.36,51655,0.0,2.59,-0.84,-0.14,0.25
20160906,16.72,16.88,16.97,15.77,71692,0.0,7.29,2.55,0.42,0.34
20160907,16.72,17.22,17.24,16.55,68506,0.0,4.09,2.01,0.34,0.33
20160908,17.27,17.39,17.86,17.27,91012,0.0,3.43,0.99,0.17,0.43
20160909,17.23,17.07,17.57,16.34,72705,0.0,7.07,-1.84,-0.32,0.35
20160912,17.19,16.74,17.26,16.37,56685,0.0,5.21,-1.93,-0.33,0.27
20160913,16.9,16.24,17.02,16.13,41019,0.0,5.32,-2.99,-0.5,0.2
20160914,16.22,16.34,16.72,15.98,105393,0.0,4.56,0.62,0.1,0.5
20160915,16.52,16.59,16.84,16.15,28848,0.0,4.22,1.53,0.25,0.14
20160916,16.42,15.93,16.42,15.92,441423,0.0,3.01,-3.98,-0.66,2.11
20160919,16.13,16.38,16.69,16.02,107067,0.0,4.21,2.82,0.45,0.51
20160920,16.19,16.76,16.89,15.96,175912,0.0,5.68,2.32,0.38,0.84
20160921,16.63,16.87,17.09,16.17,68257,0.0,5.49,0.66,0.11,0.33
