trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240208,24.054,23.904,24.054,23.904,1225,30402.0,0.62,-0.62,-0.15,0.0
20240209,23.972,23.972,23.972,23.972,8,198.0,0.0,0.28,0.068,0.0
20240212,24.112,24.112,24.112,24.112,8,200.0,0.0,0.58,0.14,0.0
20240213,24.044,23.977,24.044,23.965,1137,28269.0,0.33,-0.56,-0.135,0.0
20240215,24.189,24.107,24.189,24.107,107,2683.0,0.34,0.54,0.13,0.0
20240216,24.276,24.136,24.276,24.136,409,10292.0,0.58,0.12,0.029,0.0
20240220,24.102,24.059,24.102,24.059,202,5047.0,0.18,-0.32,-0.077,0.0
20240221,24.107,24.107,24.107,24.107,1,24.0,0.0,0.2,0.048,0.0
20240222,24.165,24.165,24.165,24.165,131,3282.0,0.0,0.24,0.058,0.0
20240223,24.184,24.184,24.184,24.184,11,275.0,0.0,0.08,0.019,0.0
20240226,24.256,24.17,24.256,24.17,166,4174.0,0.36,-0.06,-0.014,0.0
20240227,24.228,24.228,24.228,24.228,2,50.0,0.0,0.24,0.058,0.0
20240228,24.218,24.112,24.218,24.112,1100,27611.0,0.44,-0.48,-0.116,0.0
20240229,24.141,24.141,24.141,24.141,2,50.0,0.0,0.12,0.029,0.0
20240305,24.049,24.049,24.049,24.049,114,2842.0,0.0,-0.38,-0.092,0.0
20240306,24.112,24.112,24.112,24.112,59,1475.0,0.0,0.26,0.063,0.0
20240308,24.276,24.126,24.276,24.126,100,2517.0,0.62,0.06,0.014,0.0
20240311,24.343,24.257,24.343,24.257,274,6915.0,0.36,0.54,0.131,0.0
20240312,24.397,24.397,24.397,24.397,20,505.0,0.0,0.58,0.14,0.0
20240314,24.391,24.339,24.391,24.339,292,7384.0,0.21,-0.24,-0.058,0.0
20240318,24.343,24.343,24.343,24.343,174,4391.0,0.0,0.02,0.004,0.0
20240322,24.377,24.377,24.377,24.377,80,2022.0,0.0,0.14,0.034,0.0
20240325,24.399,24.399,24.399,24.399,50,1264.0,0.0,0.09,0.022,0.0
20240327,24.397,24.397,24.397,24.397,2,50.0,0.0,-0.01,-0.002,0.0
20240401,24.498,24.498,24.498,24.498,73,1854.0,0.0,0.41,0.101,0.0
20240402,24.503,24.503,24.503,24.503,55,1397.0,0.0,0.02,0.005,0.0
20240405,24.462,24.462,24.462,24.462,21,532.0,0.0,-0.17,-0.041,0.0
20240408,24.462,24.462,24.462,24.462,2,50.0,0.0,0.0,0.0,0.0
20240409,24.546,24.546,24.546,24.546,5,127.0,0.0,0.34,0.084,0.0
20240412,24.362,24.362,24.362,24.362,1,25.0,0.0,-0.75,-0.184,0.0
20240415,24.353,24.353,24.353,24.353,9,227.0,0.0,-0.04,-0.009,0.0
20240417,24.295,24.295,24.295,24.295,3,75.0,0.0,-0.24,-0.058,0.0
20240418,24.319,24.319,24.319,24.319,4,100.0,0.0,0.1,0.024,0.0
20240419,24.291,24.291,24.291,24.291,1,25.0,0.0,-0.12,-0.028,0.0
20240422,24.483,24.483,24.483,24.483,2,50.0,0.0,0.79,0.192,0.0
20240423,24.628,24.628,24.628,24.628,2,51.0,0.0,0.59,0.145,0.0
20240426,24.826,24.826,24.826,24.826,4,102.0,0.0,0.8,0.198,0.0
20240502,25.091,25.091,25.091,25.091,30,780.0,0.0,1.07,0.265,0.0
20240503,25.173,25.173,25.173,25.173,32,835.0,0.0,0.33,0.082,0.0
20240506,25.226,25.226,25.226,25.226,1,26.0,0.0,0.21,0.053,0.0
20240507,25.09,25.09,25.09,25.09,1,26.0,0.0,-0.54,-0.136,0.0
20240509,25.163,25.163,25.163,25.163,10,260.0,0.0,0.29,0.073,0.0
20240513,25.301,25.301,25.301,25.301,2,52.0,0.0,0.55,0.138,0.0
20240514,25.278,25.278,25.278,25.278,2,52.0,0.0,-0.09,-0.023,0.0
20240515,25.371,25.371,25.371,25.371,2,52.0,0.0,0.37,0.093,0.0
20240517,25.511,25.511,25.511,25.511,3,79.0,0.0,0.55,0.14,0.0
20240520,25.478,25.478,25.478,25.478,10,264.0,0.0,-0.13,-0.033,0.0
20240521,25.356,25.356,25.356,25.356,4,105.0,0.0,-0.48,-0.122,0.0
20240522,25.301,25.301,25.301,25.301,1,26.0,0.0,-0.22,-0.055,0.0
20240523,25.177,25.177,25.177,25.177,2,52.0,0.0,-0.49,-0.124,0.0
20240524,25.192,25.192,25.192,25.192,11,287.0,0.0,0.06,0.015,0.0
20240530,25.202,25.202,25.202,25.202,39,1019.0,0.0,0.04,0.01,0.0
20240531,25.12,25.12,25.12,25.12,34,885.0,0.0,-0.33,-0.082,0.0
20240612,25.303,25.303,25.303,25.303,3,78.0,0.0,0.73,0.183,0.0
20240613,25.342,25.342,25.342,25.342,1,26.0,0.0,0.15,0.039,0.0
20240614,25.293,25.293,25.293,25.293,1,26.0,0.0,-0.19,-0.049,0.0
20240617,25.313,25.313,25.313,25.313,1,26.0,0.0,0.08,0.02,0.0
20240624,25.298,25.298,25.298,25.298,1,26.0,0.0,-0.06,-0.015,0.0
20240627,25.076,25.076,25.076,25.076,1,25.0,0.0,-0.88,-0.222,0.0
20240701,25.038,25.038,25.038,25.038,80,2076.0,0.0,-0.15,-0.038,0.0
20240703,25.274,25.274,25.274,25.274,77,2017.0,0.0,0.94,0.236,0.0
20240711,25.433,25.433,25.433,25.433,1,26.0,0.0,0.63,0.159,0.0
20240715,25.288,25.288,25.288,25.288,2,52.0,0.0,-0.57,-0.145,0.0
20240716,25.279,25.279,25.279,25.279,1,26.0,0.0,-0.04,-0.009,0.0
20240719,25.13,25.13,25.13,25.13,4,104.0,0.0,-0.59,-0.149,0.0
20240725,25.059,25.059,25.059,25.059,1,25.0,0.0,-0.28,-0.071,0.0
20240730,24.975,24.975,24.975,24.975,10,258.0,0.0,-0.34,-0.084,0.0
20240802,25.043,25.043,25.043,25.043,10,259.0,0.0,0.27,0.068,0.0
20240805,25.192,25.124,25.192,25.124,300,7836.0,0.27,0.32,0.081,0.0
20240807,25.086,25.096,25.096,25.086,300,7803.0,0.04,-0.11,-0.028,0.0
20240815,25.197,25.197,25.197,25.197,83,2168.0,0.0,0.4,0.101,0.0
20240819,25.395,25.395,25.395,25.395,119,3133.0,0.0,0.79,0.198,0.0
20240827,25.062,25.062,25.062,25.062,1,25.0,0.0,-1.31,-0.333,0.0
20240830,25.192,25.134,25.211,25.134,3900,101895.0,0.31,0.29,0.072,0.0
20240903,25.077,25.077,25.077,25.077,50,1300.0,0.0,-0.23,-0.057,0.0
20240904,25.106,25.106,25.106,25.106,50,1301.0,0.0,0.12,0.029,0.0
20240905,25.076,25.12,25.12,24.845,7340,190591.0,1.1,0.06,0.014,0.0
20240909,25.134,25.134,25.134,25.134,10,260.0,0.0,0.06,0.014,0.0
20240910,25.12,25.12,25.12,25.12,50,1302.0,0.0,-0.06,-0.014,0.0
20240917,25.277,25.277,25.277,25.277,2,52.0,0.0,0.63,0.157,0.0
20240918,25.253,25.253,25.253,25.253,2,52.0,0.0,-0.09,-0.024,0.0
20240920,25.515,25.515,25.515,25.515,288,7619.0,0.0,1.04,0.262,0.0
20240923,25.626,25.626,25.626,25.626,2,53.0,0.0,0.44,0.111,0.0
20240924,26.152,26.152,26.152,26.152,145,3931.0,0.0,2.05,0.526,0.0
20240925,25.987,25.987,25.987,25.987,31,835.0,0.0,-0.63,-0.165,0.0
20240926,26.696,26.359,26.696,26.359,242,6664.0,1.3,1.43,0.372,0.0
20240927,26.426,26.567,26.658,26.426,20801,574278.0,0.88,0.79,0.208,0.0
20240930,26.822,26.489,26.822,26.489,6447,178971.0,1.25,-0.29,-0.078,0.0
20241001,26.696,26.635,26.716,26.629,10500,290613.0,0.33,0.55,0.146,0.0
20241002,26.87,26.89,26.89,26.822,14001,389874.0,0.26,0.96,0.255,0.0
20241003,26.783,26.783,26.783,26.783,102,2832.0,0.0,-0.4,-0.107,0.0
20241004,26.631,26.72,26.72,26.631,112,3092.0,0.33,-0.24,-0.063,0.0
20241007,26.86,26.702,26.86,26.702,456,12685.0,0.59,-0.07,-0.018,0.0
20241008,26.475,26.475,26.475,26.475,100,2745.0,0.0,-0.85,-0.227,0.0
20241009,26.373,26.373,26.373,26.373,3,82.0,0.0,-0.39,-0.102,0.0
20241010,26.494,26.441,26.513,26.441,1302,35787.0,0.27,0.26,0.068,0.0
20241011,26.359,26.523,26.523,26.359,300,8224.0,0.62,0.31,0.082,0.0
20241015,26.185,26.185,26.185,26.185,100,2715.0,0.0,-1.27,-0.338,0.0
20241017,26.195,26.108,26.195,26.108,400,10855.0,0.33,-0.29,-0.077,0.0
20241018,26.34,26.34,26.34,26.34,207,5653.0,0.0,0.89,0.232,0.0
20241021,26.287,26.287,26.287,26.287,2,54.0,0.0,-0.2,-0.053,0.0
20241023,26.291,26.291,26.291,26.291,100,2726.0,0.0,0.02,0.004,0.0
20241024,26.243,26.243,26.243,26.243,101,2748.0,0.0,-0.18,-0.048,0.0
20241028,26.364,26.354,26.364,26.354,255,6970.0,0.04,0.42,0.111,0.0
20241029,26.561,26.331,26.561,26.331,284,7802.0,0.87,-0.09,-0.023,0.0
20241031,26.21,26.21,26.21,26.21,70,1902.0,0.0,-0.46,-0.121,0.0
20241105,26.308,26.369,26.369,26.308,115,3136.0,0.23,0.61,0.159,0.0
20241106,26.267,26.267,26.267,26.267,15,408.0,0.0,-0.39,-0.102,0.0
20241108,26.174,26.174,26.174,26.174,17,461.0,0.0,-0.35,-0.093,0.0
20241111,26.219,26.219,26.219,26.219,51,1386.0,0.0,0.17,0.045,0.0
20241112,25.981,25.981,25.981,25.981,77,2074.0,0.0,-0.91,-0.238,0.0
20241121,26.07,26.142,26.142,26.041,1900,51318.0,0.39,0.62,0.161,0.0
20241122,25.944,26.026,26.026,25.944,300,8070.0,0.31,-0.44,-0.116,0.0
20241125,26.06,26.06,26.06,26.06,7,189.0,0.0,0.13,0.034,0.0
20241126,26.075,26.075,26.075,26.075,8,216.0,0.0,0.06,0.015,0.0
20241127,26.185,26.276,26.276,26.185,1008,27367.0,0.35,0.77,0.201,0.0
20241217,26.089,26.957,26.957,26.041,38932,1064790.0,3.49,2.59,0.681,0.0
20241218,26.995,26.995,26.995,26.995,3,83.0,0.0,0.14,0.038,0.0
20241220,26.995,26.991,27.015,26.909,23754,664138.0,0.39,-0.01,-0.004,0.0
20241223,26.995,27.039,27.039,26.918,962,26870.0,0.45,0.18,0.048,0.0
20241226,27.092,27.092,27.092,27.092,5,140.0,0.0,0.2,0.053,0.0
20241227,27.102,27.02,27.102,27.02,100,2810.0,0.3,-0.27,-0.072,0.0
20241231,26.935,26.935,26.935,26.935,10,269.0,0.0,-0.31,-0.085,0.0
20250102,26.84,26.84,26.84,26.84,6,161.0,0.0,-0.35,-0.095,0.0
20250103,26.895,26.895,26.895,26.895,153,4114.0,0.0,0.2,0.055,0.0
20250106,26.79,26.79,26.79,26.79,135,3616.0,0.0,-0.39,-0.105,0.0
20250107,26.74,26.74,26.74,26.74,125,3342.0,0.0,-0.19,-0.05,0.0
20250110,26.495,26.495,26.495,26.495,117,3099.0,0.0,-0.92,-0.245,0.0
20250115,26.81,26.81,26.81,26.81,1,26.0,0.0,1.19,0.315,0.0
