trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150519,7.3,7.42,7.42,7.27,22810271,0.0,1.33,-34.28,-3.87,33.86
20150520,7.45,7.5,7.5,7.35,4097463,0.0,2.02,1.08,0.08,6.08
20150521,7.45,7.6,7.64,7.44,4022631,0.0,2.67,1.33,0.1,5.97
20150522,7.64,7.6,7.71,7.53,3040463,0.0,2.37,0.0,0.0,4.51
20150526,7.62,7.5,7.64,7.42,1422388,0.0,2.89,-1.32,-0.1,2.11
20150527,7.6,7.59,7.63,7.53,1691611,0.0,1.33,1.2,0.09,2.51
20150528,7.6,7.65,7.65,7.55,1806801,0.0,1.32,0.79,0.06,2.68
20150529,7.65,7.56,7.66,7.53,1397557,0.0,1.7,-1.18,-0.09,2.07
20150601,7.6,7.52,7.62,7.42,1319873,0.0,2.65,-0.53,-0.04,1.96
20150602,7.51,7.54,7.57,7.5,1264600,0.0,0.93,0.27,0.02,1.88
20150603,7.53,7.54,7.57,7.46,955293,0.0,1.46,0.0,0.0,1.42
20150604,7.5,7.59,7.6,7.5,1350258,0.0,1.33,0.66,0.05,2.0
20150605,7.56,7.59,7.6,7.55,1754919,0.0,0.66,0.0,0.0,2.6
20150608,7.54,7.69,7.69,7.54,2274721,0.0,1.98,1.32,0.1,3.38
20150609,7.65,7.69,7.69,7.65,1658745,0.0,0.52,0.0,0.0,2.46
20150610,7.69,7.74,7.75,7.68,1538913,0.0,0.91,0.65,0.05,2.28
20150611,7.75,7.81,7.81,7.73,841322,0.0,1.03,0.9,0.07,1.25
20150612,7.78,7.91,7.95,7.78,1273331,0.0,2.18,1.28,0.1,1.89
20150615,7.93,8.14,8.15,7.9,1918457,0.0,3.16,2.91,0.23,2.85
20150616,8.13,8.15,8.2,8.03,1778037,0.0,2.09,0.12,0.01,2.64
20150617,8.15,8.09,8.2,8.03,1249423,0.0,2.09,-0.74,-0.06,1.85
20150618,8.08,8.08,8.12,8.02,1199463,0.0,1.24,-0.12,-0.01,1.78
20150619,8.09,7.96,8.12,7.96,3678777,0.0,1.98,-1.49,-0.12,5.46
20150622,7.99,8.11,8.13,7.93,1294073,0.0,2.51,1.88,0.15,1.92
20150623,8.07,8.03,8.14,8.0,1137890,0.0,1.73,-0.99,-0.08,1.69
20150624,8.02,8.02,8.16,7.99,901861,0.0,2.12,-0.12,-0.01,1.34
20150625,8.06,8.08,8.09,7.93,1348459,0.0,2.0,0.75,0.06,2.0
20150626,8.08,8.0,8.14,7.9,5393214,0.0,2.97,-0.99,-0.08,8.0
20150629,8.0,7.79,8.02,7.75,1781590,0.0,3.38,-2.63,-0.21,2.64
20150630,7.84,7.84,7.88,7.77,1014946,0.0,1.41,0.64,0.05,1.09
20150701,7.9,8.04,8.05,7.84,1149972,0.0,2.68,2.55,0.2,1.23
20150702,8.04,8.09,8.11,7.92,1224148,0.0,2.36,0.62,0.05,1.31
20150706,7.99,8.17,8.17,7.85,1039759,0.0,3.96,0.99,0.08,1.11
20150707,8.14,8.05,8.16,7.98,702764,0.0,2.2,-1.47,-0.12,0.75
20150708,8.01,8.09,8.1,8.0,686999,0.0,1.24,0.5,0.04,0.73
20150709,8.15,8.18,8.21,8.09,1105578,0.0,1.48,1.11,0.09,1.18
20150710,8.2,8.25,8.28,8.19,799288,0.0,1.1,0.86,0.07,0.85
20150713,8.3,8.24,8.3,8.21,458166,0.0,1.09,-0.12,-0.01,0.49
20150714,8.2,8.27,8.27,8.18,410005,0.0,1.09,0.36,0.03,0.44
20150715,8.26,8.28,8.35,8.24,818598,0.0,1.33,0.12,0.01,0.88
20150716,8.35,8.3,8.38,8.24,901606,0.0,1.69,0.24,0.02,0.96
20150717,8.31,8.24,8.33,8.16,764069,0.0,2.05,-0.72,-0.06,0.82
20150720,8.24,8.34,8.37,8.21,600827,0.0,1.94,1.21,0.1,0.64
20150721,8.3,8.26,8.36,8.21,460388,0.0,1.8,-0.96,-0.08,0.49
20150722,8.23,8.33,8.37,8.23,470762,0.0,1.69,0.85,0.07,0.5
20150723,8.29,8.16,8.33,8.11,500688,0.0,2.64,-2.04,-0.17,0.54
20150724,8.12,8.03,8.22,8.02,431763,0.0,2.45,-1.59,-0.13,0.46
20150727,8.01,8.0,8.05,7.92,424188,0.0,1.62,-0.37,-0.03,0.45
20150728,8.04,8.09,8.22,7.96,702702,0.0,3.25,1.13,0.09,0.75
20150729,8.06,7.98,8.11,7.97,445038,0.0,1.73,-1.36,-0.11,0.48
20150730,7.92,7.99,8.01,7.83,453442,0.0,2.26,0.13,0.01,0.48
20150731,7.75,7.85,8.02,7.75,670894,0.0,3.38,-1.75,-0.14,0.72
20150803,7.87,7.82,7.92,7.77,650204,0.0,1.91,-0.38,-0.03,0.7
20150804,7.85,7.85,7.95,7.8,531085,0.0,1.92,0.38,0.03,0.57
20150805,7.85,8.09,8.17,7.85,609879,0.0,4.08,3.06,0.24,0.65
20150806,8.12,8.15,8.17,7.95,552713,0.0,2.72,0.74,0.06,0.59
20150807,8.1,8.12,8.2,7.98,423395,0.0,2.7,-0.37,-0.03,0.45
20150810,8.13,8.18,8.22,8.09,563962,0.0,1.6,0.74,0.06,0.6
20150811,8.18,8.28,8.28,8.11,507066,0.0,2.08,1.22,0.1,0.54
20150812,8.26,8.2,8.28,8.07,1297475,0.0,2.54,-0.97,-0.08,1.39
20150813,8.25,8.22,8.26,8.15,795499,0.0,1.34,0.24,0.02,0.85
20150814,8.17,8.25,8.26,8.17,529294,0.0,1.09,0.36,0.03,0.57
20150817,8.33,8.47,8.49,8.33,1337377,0.0,1.94,2.67,0.22,1.43
20150818,8.45,8.48,8.56,8.4,505982,0.0,1.89,0.12,0.01,0.54
20150819,8.51,8.39,8.51,8.39,303666,0.0,1.42,-1.06,-0.09,0.32
20150820,8.35,8.18,8.36,8.18,835592,0.0,2.15,-2.5,-0.21,0.89
20150821,8.05,8.16,8.27,8.04,777611,0.0,2.81,-0.24,-0.02,0.83
20150824,7.95,7.8,8.06,7.76,844256,0.0,3.68,-4.41,-0.36,0.9
20150825,7.95,7.79,7.95,7.71,872421,0.0,3.08,-0.13,-0.01,0.93
20150826,7.97,8.0,8.04,7.81,1077009,0.0,2.95,2.7,0.21,1.15
20150827,8.03,8.05,8.11,7.89,543175,0.0,2.75,0.63,0.05,0.58
20150828,8.0,8.0,8.04,7.91,470542,0.0,1.61,-0.62,-0.05,0.5
20150831,7.95,8.05,8.07,7.95,354003,0.0,1.5,0.63,0.05,0.38
20150901,7.95,7.97,8.04,7.87,776774,0.0,2.11,-0.99,-0.08,0.83
20150902,8.03,8.06,8.13,7.98,379040,0.0,1.88,1.13,0.09,0.41
20150903,8.1,8.0,8.1,7.95,273975,0.0,1.86,-0.74,-0.06,0.29
20150904,7.92,8.05,8.08,7.92,479882,0.0,2.0,0.63,0.05,0.51
20150908,8.15,8.01,8.15,7.79,1695334,0.0,4.47,-0.5,-0.04,1.81
20150909,8.01,8.1,8.12,8.01,867931,0.0,1.37,1.12,0.09,0.93
20150910,8.12,8.06,8.16,8.04,926949,0.0,1.48,-0.49,-0.04,0.99
20150911,8.02,7.93,8.08,7.87,534569,0.0,2.61,-1.61,-0.13,0.57
20150914,7.94,7.97,7.98,7.87,476253,0.0,1.39,0.5,0.04,0.51
20150915,8.0,8.02,8.03,7.91,611327,0.0,1.51,0.63,0.05,0.65
20150916,8.06,8.05,8.21,7.97,826432,0.0,2.99,0.37,0.03,0.88
20150917,8.02,8.03,8.28,7.98,1117284,0.0,3.73,-0.25,-0.02,1.19
20150918,7.95,8.57,8.62,7.91,4007614,0.0,8.84,6.72,0.54,4.28
20150921,8.37,8.42,8.44,8.25,900550,0.0,2.22,-1.75,-0.15,0.96
20150922,8.33,8.32,8.45,8.22,495635,0.0,2.73,-1.19,-0.1,0.53
20150923,8.31,8.48,8.54,8.31,778293,0.0,2.76,1.92,0.16,0.83
20150924,8.48,8.46,8.51,8.39,828234,0.0,1.42,-0.24,-0.02,0.89
20150925,8.5,8.29,8.53,8.29,665129,0.0,2.84,-2.01,-0.17,0.71
20150928,8.3,8.21,8.35,8.15,825443,0.0,2.41,-0.97,-0.08,0.88
20150929,8.27,8.2,8.31,8.14,695907,0.0,2.07,-0.12,-0.01,0.74
20150930,8.22,8.19,8.26,8.1,608522,0.0,1.95,-0.12,-0.01,0.65
20151001,8.21,8.14,8.27,8.05,619207,0.0,2.69,-0.61,-0.05,0.66
20151002,8.07,8.12,8.13,7.95,759493,0.0,2.21,-0.25,-0.02,0.81
20151005,8.17,8.21,8.29,8.16,372199,0.0,1.6,1.11,0.09,0.4
20151006,8.22,8.19,8.23,8.09,432084,0.0,1.71,-0.24,-0.02,0.46
20151007,8.22,8.5,8.52,8.17,961338,0.0,4.27,3.79,0.31,1.03
20151008,8.47,8.57,8.57,8.46,711316,0.0,1.29,0.82,0.07,0.76
20151009,8.62,8.49,8.68,8.47,500332,0.0,2.45,-0.93,-0.08,0.53
