trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20130620,9.75,9.24,9.75,9.24,9845,0.0,6.81,23.36,1.75,0.15
20130621,9.24,9.42,11.08,9.23,27009,0.0,20.02,1.95,0.18,0.41
20130624,9.44,9.47,9.93,9.29,22730,0.0,6.79,0.53,0.05,0.35
20130625,9.58,9.89,9.93,9.28,23260,0.0,6.86,4.44,0.42,0.36
20130626,10.08,9.69,10.34,9.68,19813,0.0,6.67,-2.02,-0.2,0.3
20130627,9.88,9.49,9.93,9.48,11672,0.0,4.64,-2.06,-0.2,0.18
20130628,9.59,9.86,9.97,9.59,27826,0.0,4.0,3.9,0.37,0.43
20130701,9.89,9.72,10.38,9.53,30298,0.0,8.62,-1.42,-0.14,0.46
20130702,9.73,9.48,9.73,9.18,15862,0.0,5.66,-2.47,-0.24,0.24
20130703,9.48,9.34,9.48,9.24,2288,0.0,2.53,-1.48,-0.14,0.04
20130705,9.28,9.03,9.28,8.93,23866,0.0,3.75,-3.32,-0.31,0.37
20130708,9.16,9.27,9.33,8.93,21830,0.0,4.43,2.66,0.24,0.33
20130709,9.45,9.28,9.45,8.85,27598,0.0,6.47,0.11,0.01,0.42
20130710,9.36,9.03,9.43,8.93,23161,0.0,5.39,-2.69,-0.25,0.35
20130711,9.21,8.98,9.61,8.98,22788,0.0,6.98,-0.55,-0.05,0.35
20130712,9.0,9.41,9.85,8.92,15333,0.0,10.36,4.79,0.43,0.23
20130715,9.46,9.36,9.61,9.11,53226,0.0,5.31,-0.53,-0.05,0.82
20130716,9.33,9.31,9.34,9.08,25041,0.0,2.78,-0.53,-0.05,0.38
20130717,9.45,9.3,9.49,9.15,26677,0.0,3.65,-0.11,-0.01,0.41
20130718,9.49,9.25,9.55,9.25,16954,0.0,3.23,-0.54,-0.05,0.26
20130719,9.46,9.05,9.54,9.05,14904,0.0,5.3,-2.16,-0.2,0.23
20130722,9.06,9.09,9.46,9.02,27603,0.0,4.86,0.44,0.04,0.42
20130723,9.05,9.23,9.23,8.83,28156,0.0,4.4,1.54,0.14,0.43
20130724,9.21,9.43,9.45,9.0,20002,0.0,4.88,2.17,0.2,0.31
20130725,9.27,8.92,9.27,8.87,24171,0.0,4.24,-5.41,-0.51,0.37
20130726,8.94,9.15,9.15,8.81,19697,0.0,3.81,2.58,0.23,0.3
