trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210721,45.26,41.0,45.55,40.15,4937560,212804496.0,16.88,28.13,9.0,8.76
20210722,40.5,43.33,44.78,39.945,675264,28827595.0,11.79,5.68,2.33,1.2
20210723,43.33,44.81,45.18,42.88,454531,20046659.0,5.31,3.42,1.48,0.81
20210726,44.5,41.26,44.5,40.3,353874,14863575.0,9.37,-7.92,-3.55,0.63
20210727,41.0,40.87,41.59,39.99,583647,23795681.0,3.88,-0.95,-0.39,1.04
20210728,41.34,40.5,41.49,39.55,257983,10394738.0,4.75,-0.91,-0.37,0.46
20210729,40.5,42.69,43.09,40.224,120035,4939667.0,7.08,5.41,2.19,0.21
20210730,42.1,41.33,43.25,41.0,231426,9744287.0,5.27,-3.19,-1.36,0.41
20210802,41.44,42.18,42.21,41.32,70665,2950760.0,2.15,2.06,0.85,0.13
20210803,42.3,43.16,43.32,41.57,263095,11232978.0,4.15,2.32,0.98,0.47
20210804,42.78,43.22,43.42,41.86,153819,6588489.0,3.61,0.14,0.06,0.27
20210805,43.21,45.75,47.09,43.01,289553,13074776.0,9.44,5.85,2.53,0.51
20210806,45.96,41.57,47.13,40.51,318053,13713598.0,14.47,-9.14,-4.18,0.56
20210809,42.01,45.87,47.43,41.9,459645,20669256.0,13.3,10.34,4.3,0.82
20210810,45.5,46.95,48.41,45.255,193099,9074937.0,6.88,2.35,1.08,0.34
20210811,46.87,47.86,48.3,46.495,220279,10546020.0,3.84,1.94,0.91,0.39
20210812,47.6,48.55,50.7,46.76,255991,12594369.0,8.23,1.44,0.69,0.45
20210813,48.7,51.99,52.31,48.7,131988,6747143.0,7.44,7.09,3.44,0.23
20210816,52.38,56.32,58.29,52.38,231931,12894700.0,11.37,8.33,4.33,0.41
20210817,55.53,50.33,56.78,49.02,128829,6706502.0,13.78,-10.64,-5.99,0.23
20210818,50.06,50.54,52.913,49.96,112038,5793858.0,5.87,0.42,0.21,0.2
20210819,50.34,54.16,54.88,50.025,141965,7417337.0,9.61,7.16,3.62,0.25
20210820,54.26,53.87,55.44,53.52,172713,9376778.0,3.55,-0.54,-0.29,0.31
20210823,54.14,55.1,55.33,53.16,196299,10682757.0,4.03,2.28,1.23,0.35
20210824,54.97,56.52,57.33,54.32,177537,9877500.0,5.46,2.58,1.42,0.31
20210825,55.94,53.45,55.94,52.155,129137,6942509.0,6.7,-5.43,-3.07,0.23
20210826,53.07,54.99,56.31,53.0,91014,4984882.0,6.19,2.88,1.54,0.16
20210827,55.3,54.59,55.37,53.85,83623,4579305.0,2.76,-0.73,-0.4,0.15
20210830,54.9,50.5,55.1,49.29,229173,11645558.0,10.64,-7.49,-4.09,0.4
20210831,51.96,51.75,53.97,51.11,149921,7878857.0,5.66,2.48,1.25,0.26
20210901,52.3,54.38,55.138,51.8,262821,13935729.0,6.45,5.08,2.63,0.46
20210902,54.83,58.42,60.785,54.52,558459,31644329.0,11.52,7.43,4.04,0.97
20210903,60.66,59.55,60.66,54.5,427539,24615865.0,10.54,1.93,1.13,0.74
20210907,60.5,65.8,69.41,60.0,530345,34428794.0,15.8,10.5,6.25,0.92
20210908,66.01,65.88,66.55,59.21,360404,22873097.0,11.16,0.12,0.08,0.63
20210909,65.49,64.35,66.06,64.17,153289,10031336.0,2.87,-2.32,-1.53,0.27
20210910,64.74,65.67,68.0,64.61,167608,11130836.0,5.27,2.05,1.32,0.29
20210913,62.88,57.46,62.96,52.32,864936,48426765.0,16.2,-12.5,-8.21,1.51
20210914,57.46,53.23,59.66,51.27,704795,37908995.0,14.6,-7.36,-4.23,1.23
20210915,53.38,53.9,56.363,52.25,2609672,142105522.0,7.73,1.26,0.67,4.54
20210916,53.9,54.97,56.67,53.79,829112,45896157.0,5.34,1.99,1.07,1.44
20210917,55.37,50.51,56.84,50.12,2154002,109718610.0,12.22,-8.11,-4.46,3.75
20210920,49.5,49.45,49.79,47.81,487349,23679983.0,3.92,-2.1,-1.06,0.85
20210921,50.16,49.49,50.589,48.12,806578,39915518.0,4.99,0.08,0.04,1.4
20210922,50.03,49.25,50.99,48.68,422172,20856745.0,4.67,-0.48,-0.24,0.74
20210923,49.5,51.08,51.428,49.0,277059,13907328.0,4.93,3.72,1.83,0.48
20210924,51.5,48.0,51.87,47.92,518781,25131860.0,7.73,-6.03,-3.08,0.9
20210927,47.85,49.63,49.63,46.0,395335,19067121.0,7.56,3.4,1.63,0.69
20210928,49.11,47.94,49.91,47.84,531736,25833853.0,4.17,-3.41,-1.69,0.93
20210929,47.56,48.31,49.29,47.43,261556,12682934.0,3.88,0.77,0.37,0.46
20210930,48.95,47.94,49.452,47.84,187508,9044282.0,3.34,-0.77,-0.37,0.33
20211001,47.88,48.9,49.02,46.93,318977,15343109.0,4.36,2.0,0.96,0.55
20211004,48.12,44.51,48.9,43.01,753300,33370295.0,12.04,-8.98,-4.39,1.31
20211005,44.29,45.32,46.45,44.29,329130,15053599.0,4.85,1.82,0.81,0.57
20211006,44.81,45.45,45.62,44.24,158056,7129129.0,3.05,0.29,0.13,0.27
20211007,46.06,46.86,47.26,46.06,155121,7258967.0,2.64,3.1,1.41,0.27
20211008,47.0,47.37,48.0,46.365,443614,20920521.0,3.49,1.09,0.51,0.77
20211011,47.23,46.68,47.81,46.26,484356,22757164.0,3.27,-1.46,-0.69,0.84
20211012,46.48,46.6,47.06,45.62,317323,14749872.0,3.08,-0.17,-0.08,0.55
20211013,47.24,48.8,48.91,47.0,152180,7329294.0,4.1,4.72,2.2,0.26
20211014,49.97,49.08,50.14,48.7,163116,8060678.0,2.95,0.57,0.28,0.28
20211015,49.85,48.26,50.06,48.12,189084,9288416.0,3.95,-1.67,-0.82,0.33
20211018,48.39,48.08,49.34,47.65,105912,5112892.0,3.5,-0.37,-0.18,0.18
20211019,48.47,49.31,50.122,48.29,132612,6534091.0,3.81,2.56,1.23,0.23
20211020,49.38,50.61,50.69,47.81,260494,12950750.0,5.84,2.64,1.3,0.45
20211021,50.27,48.68,50.27,47.61,197127,9624718.0,5.26,-3.81,-1.93,0.34
20211022,48.62,47.7,50.07,47.35,187427,9121368.0,5.59,-2.01,-0.98,0.33
20211025,48.66,50.3,51.32,47.79,216231,10935383.0,7.4,5.45,2.6,0.38
20211026,50.26,50.18,51.0,49.89,112354,5656976.0,2.21,-0.24,-0.12,0.2
20211027,49.47,50.52,51.2,49.47,193644,9790841.0,3.45,0.68,0.34,0.34
20211028,50.52,53.74,55.3,50.52,369318,19679848.0,9.46,6.37,3.22,0.64
20211029,53.68,57.35,57.48,53.36,277841,15470779.0,7.67,6.72,3.61,0.48
20211101,57.61,55.55,58.05,55.5,216468,12133538.0,4.45,-3.14,-1.8,0.38
20211102,55.5,55.99,56.09,54.33,143727,7942037.0,3.17,0.79,0.44,0.25
20211103,55.83,56.14,56.24,54.2,159026,8796694.0,3.64,0.27,0.15,0.28
20211104,55.8,57.47,57.8,55.63,149243,8469839.0,3.87,2.37,1.33,0.26
20211105,57.86,54.0,58.52,53.657,432853,23823885.0,8.46,-6.04,-3.47,0.75
20211108,54.48,54.07,55.53,53.3,162035,8789242.0,4.13,0.13,0.07,0.28
20211109,54.08,54.19,55.8,53.13,231024,12543181.0,4.94,0.22,0.12,0.4
20211110,52.53,50.62,52.53,46.0,465328,23142424.0,12.05,-6.59,-3.57,0.81
20211111,51.03,48.15,51.8,47.91,368007,18177529.0,7.68,-4.88,-2.47,0.64
20211112,48.25,48.77,49.545,47.09,420947,20376132.0,5.1,1.29,0.62,0.73
20211115,49.0,51.25,51.81,47.47,519103,25973626.0,8.9,5.09,2.48,0.9
20211116,51.48,52.25,52.46,49.99,417625,21589937.0,4.82,1.95,1.0,0.72
20211117,51.47,51.54,52.32,50.6,321297,16515782.0,3.29,-1.36,-0.71,0.56
20211118,51.0,47.37,52.27,47.33,401935,20160467.0,9.58,-8.09,-4.17,0.7
20211119,47.03,44.04,47.31,43.04,566013,24974768.0,9.01,-7.03,-3.33,0.98
20211122,43.9,39.97,44.23,39.83,650849,27004077.0,9.99,-9.24,-4.07,1.13
20211123,39.72,38.73,39.89,37.415,459609,17803450.0,6.19,-3.1,-1.24,0.8
20211124,38.22,39.56,39.76,37.82,241381,9435243.0,5.01,2.14,0.83,0.42
20211126,38.87,37.15,38.94,36.62,221425,8299178.0,5.86,-6.09,-2.41,0.38
20211129,38.5,37.27,38.5,37.16,241613,9122141.0,3.61,0.32,0.12,0.42
20211130,36.88,36.7,37.5,35.341,234406,8589544.0,5.79,-1.53,-0.57,0.41
20211201,36.7,34.68,36.7,34.22,497744,17344555.0,6.76,-5.5,-2.02,0.86
20211202,34.72,36.43,36.745,34.06,212463,7603511.0,7.74,5.05,1.75,0.37
20211203,36.72,35.62,37.0,33.94,275444,9749634.0,8.4,-2.22,-0.81,0.48
20211206,35.3,35.5,35.91,33.037,524470,18516759.0,8.07,-0.34,-0.12,0.91
20211207,36.58,38.07,38.9,36.25,354284,13493897.0,7.46,7.24,2.57,0.61
20211208,38.05,39.88,40.08,37.26,394728,15681298.0,7.41,4.75,1.81,0.68
20211209,39.35,38.82,40.06,38.41,376689,14597958.0,4.14,-2.66,-1.06,0.65
20211210,38.91,38.22,39.5,37.2,823810,31467760.0,5.92,-1.55,-0.6,1.43
20211213,37.87,37.51,38.27,36.27,629073,23360848.0,5.23,-1.86,-0.71,1.09
20211214,36.2,37.25,37.43,34.85,488183,17910003.0,6.88,-0.69,-0.26,0.85
20211215,37.15,36.95,37.24,35.11,1092065,39499700.0,5.72,-0.81,-0.3,1.9
20211216,36.94,34.73,37.07,33.93,537406,18920388.0,8.5,-6.01,-2.22,0.93
20211217,34.1,38.35,38.79,33.28,1305951,49317621.0,15.87,10.42,3.62,2.27
20211220,37.43,34.28,37.43,33.64,615695,21417387.0,9.88,-10.61,-4.07,1.07
20211221,34.9,35.75,36.58,34.41,434441,15468092.0,6.33,4.29,1.47,0.75
