trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250623,0.22,0.201,0.226,0.18,738420,162452.0,22.89,0.0,0.0,0.0
20250624,0.215,0.22,0.22,0.21,135000,29646.0,4.98,9.45,0.019,0.0
20250627,0.21,0.2,0.216,0.2,668699,133752.0,7.27,-9.09,-0.02,0.0
20250701,0.2,0.2,0.2,0.2,105000,21000.0,0.0,0.0,0.0,0.0
20250708,0.2,0.2,0.2,0.2,22658,4534.0,0.0,0.0,0.0,0.0
20250714,0.2,0.2,0.2,0.2,2500,500.0,0.0,0.0,0.0,0.0
20250715,0.2,0.2,0.2,0.2,14000,2801.0,0.0,0.0,0.0,0.0
20250716,0.2,0.2,0.2,0.2,20148,4032.0,0.0,0.0,0.0,0.0
20250717,0.2,0.2,0.2,0.2,196937,39387.0,0.0,0.0,0.0,0.0
20250718,0.211,0.211,0.211,0.211,148,31.0,0.0,5.5,0.011,0.0
20250721,0.225,0.218,0.225,0.209,2853,617.0,7.58,3.32,0.007,0.0
20250728,0.2,0.2,0.2,0.2,51040,10208.0,0.0,-8.26,-0.018,0.0
20250730,0.215,0.21,0.215,0.195,42800,9109.0,10.0,5.0,0.01,0.0
20250731,0.215,0.215,0.215,0.215,25000,5375.0,0.0,2.38,0.005,0.0
20250801,0.22,0.22,0.22,0.22,4000,880.0,0.0,2.33,0.005,0.0
20250804,0.438,0.24,0.438,0.23,17472,4602.0,94.55,9.09,0.02,0.0
20250805,0.2,0.21,0.21,0.195,11105,2274.0,6.25,-12.5,-0.03,0.0
20250806,0.21,0.21,0.21,0.21,39,10.0,0.0,0.0,0.0,0.0
20250808,0.2,0.23,0.23,0.2,37071,7529.0,14.29,9.52,0.02,0.0
20250811,0.22,0.22,0.22,0.22,209,46.0,0.0,-4.35,-0.01,0.0
20250818,0.23,0.23,0.23,0.23,300,69.0,0.0,4.55,0.01,0.0
20250819,0.23,0.23,0.23,0.23,400,92.0,0.0,0.0,0.0,0.0
20250820,0.22,0.22,0.22,0.22,200,44.0,0.0,-4.35,-0.01,0.0
20250822,0.22,0.22,0.22,0.22,1,0.0,0.0,0.0,0.0,0.0
20250827,0.22,0.22,0.22,0.22,3,1.0,0.0,0.0,0.0,0.0
20250903,0.22,0.2,0.22,0.2,80100,17620.0,9.09,-9.09,-0.02,0.0
