trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120725,4.33,4.36,4.36,4.33,200,0.0,0.0,0.0,0.0,0.0
20120726,4.13,4.13,4.36,4.13,10980,0.0,5.28,-5.28,-0.23,0.16
20120727,4.13,4.03,4.26,4.03,8670,0.0,5.57,-2.42,-0.1,0.13
20120730,4.12,3.98,4.12,3.88,1750,0.0,5.96,-1.24,-0.05,0.03
20120801,3.98,4.08,4.08,3.97,2650,0.0,2.76,2.51,0.1,0.04
20120803,4.08,4.08,4.08,4.08,600,0.0,0.0,0.0,0.0,0.01
20120806,3.98,3.88,3.98,3.88,621,0.0,2.45,-4.9,-0.2,0.01
20120807,3.88,3.93,3.97,3.88,800,0.0,2.32,1.29,0.05,0.01
20120808,3.92,3.92,3.92,3.92,200,0.0,0.0,-0.25,-0.01,0.0
20120809,3.93,3.92,3.93,3.92,1300,0.0,0.26,0.0,0.0,0.02
20120810,3.93,3.93,3.93,3.91,4035,0.0,0.51,0.26,0.01,0.06
20120813,3.88,3.72,3.88,3.72,837,0.0,4.07,-5.34,-0.21,0.01
20120814,3.83,3.83,3.83,3.83,400,0.0,0.0,2.96,0.11,0.01
20120815,4.05,4.13,4.13,4.05,7070,0.0,2.09,7.83,0.3,0.11
20120816,4.23,4.28,4.28,4.23,1989,0.0,1.21,3.63,0.15,0.03
20120822,4.36,4.36,4.36,4.13,3500,0.0,5.37,1.87,0.08,0.05
20120823,4.34,4.18,4.34,4.18,450,0.0,3.67,-4.13,-0.18,0.01
20120824,4.25,4.26,4.26,4.25,999,0.0,0.24,1.91,0.08,0.01
20120827,4.26,4.38,4.38,4.26,1743,0.0,2.82,2.82,0.12,0.03
20120828,4.13,4.38,4.38,4.13,1879,0.0,5.71,0.0,0.0,0.03
20120829,4.53,4.51,4.53,4.13,2631,0.0,9.13,2.97,0.13,0.04
20120831,4.32,4.13,4.32,4.13,1200,0.0,4.21,-8.43,-0.38,0.02
20120904,4.64,4.64,4.64,4.64,125,0.0,0.0,12.35,0.51,0.0
20120905,4.18,4.16,4.18,4.16,398,0.0,0.43,-10.34,-0.48,0.01
20120906,4.16,4.16,4.16,4.16,100,0.0,0.0,0.0,0.0,0.0
20120907,4.46,4.14,4.59,4.14,9920,0.0,10.82,-0.48,-0.02,0.15
20120910,4.14,4.13,4.14,4.13,800,0.0,0.24,-0.24,-0.01,0.01
20120911,4.13,4.13,4.13,4.13,150,0.0,0.0,0.0,0.0,0.0
20120912,4.31,4.31,4.33,4.31,300,0.0,0.48,4.36,0.18,0.0
20120913,4.31,4.19,4.33,4.19,1900,0.0,3.25,-2.78,-0.12,0.03
20120914,4.23,4.69,4.69,4.23,625,0.0,10.98,11.93,0.5,0.01
20120917,4.21,4.21,4.21,4.21,545,0.0,0.0,-10.23,-0.48,0.01
20120918,4.13,4.18,4.54,4.13,6698,0.0,9.74,-0.71,-0.03,0.1
20120919,4.13,4.21,4.21,4.13,418,0.0,1.91,0.72,0.03,0.01
20120920,4.22,4.34,4.34,4.2,735,0.0,3.33,3.09,0.13,0.01
20120921,4.14,4.44,4.44,4.14,2336,0.0,6.91,2.3,0.1,0.03
20120924,4.44,4.32,4.44,4.13,1684,0.0,6.98,-2.7,-0.12,0.03
20120925,4.24,4.19,4.24,4.19,604,0.0,1.16,-3.01,-0.13,0.01
20120926,4.14,4.16,4.54,4.13,1604,0.0,9.79,-0.72,-0.03,0.02
20120927,4.19,4.16,4.19,4.16,241,0.0,0.72,0.0,0.0,0.0
20120928,4.17,4.44,4.44,4.13,700,0.0,7.45,6.73,0.28,0.01
20121001,4.15,4.15,4.15,4.15,241,0.0,0.0,-6.53,-0.29,0.0
20121002,4.16,4.16,4.16,4.16,300,0.0,0.0,0.24,0.01,0.0
20121003,4.18,4.14,4.18,4.14,600,0.0,0.96,-0.48,-0.02,0.01
20121004,4.18,4.22,4.44,4.14,3750,0.0,7.25,1.93,0.08,0.06
20121005,4.44,4.14,4.44,4.14,521,0.0,7.11,-1.9,-0.08,0.01
20121008,4.14,4.14,4.14,4.14,333,0.0,0.0,0.0,0.0,0.0
20121009,4.44,4.44,4.44,4.44,600,0.0,0.0,7.25,0.3,0.01
20121010,4.24,4.54,4.6,4.23,4394,0.0,8.33,2.25,0.1,0.07
20121011,5.22,4.94,5.23,4.84,4254,0.0,8.59,8.81,0.4,0.06
20121012,4.66,4.66,4.66,4.66,200,0.0,0.0,-5.67,-0.28,0.0
20121016,4.57,4.57,4.57,4.57,138,0.0,0.0,-1.93,-0.09,0.0
20121017,5.14,5.13,5.14,5.13,1097,0.0,0.22,12.25,0.56,0.02
20121018,4.79,4.93,4.95,4.69,1718,0.0,5.07,-3.9,-0.2,0.03
20121019,4.64,4.64,4.69,4.64,4045,0.0,1.01,-5.88,-0.29,0.06
20121022,4.85,4.89,4.9,4.7,1250,0.0,4.31,5.39,0.25,0.02
20121023,4.68,4.88,4.88,4.68,1650,0.0,4.09,-0.2,-0.01,0.02
20121024,4.89,5.02,5.14,4.88,1240,0.0,5.33,2.87,0.14,0.02
20121025,4.94,5.04,5.04,4.64,5662,0.0,7.97,0.4,0.02,0.08
20121026,4.84,4.79,4.84,4.54,4300,0.0,5.95,-4.96,-0.25,0.06
20121031,4.77,4.77,4.77,4.77,100,0.0,0.0,-0.42,-0.02,0.0
20121101,4.64,4.64,4.64,4.64,340,0.0,0.0,-2.73,-0.13,0.01
20121102,4.78,4.55,4.78,4.55,1300,0.0,4.96,-1.94,-0.09,0.02
20121105,4.56,4.54,4.79,4.54,800,0.0,5.49,-0.22,-0.01,0.01
20121106,4.56,4.72,4.74,4.54,2411,0.0,4.41,3.96,0.18,0.04
20121107,4.6,4.73,4.74,4.6,655,0.0,2.97,0.21,0.01,0.01
20121109,4.72,4.74,4.74,4.72,894,0.0,0.42,0.21,0.01,0.01
20121112,4.74,4.74,4.74,4.73,2005,0.0,0.21,0.0,0.0,0.03
20121113,4.74,4.54,4.74,4.54,2615,0.0,4.22,-4.22,-0.2,0.04
20121114,4.69,4.69,4.69,4.69,3000,0.0,0.0,3.3,0.15,0.04
20121115,4.64,4.69,4.69,4.64,750,0.0,1.07,0.0,0.0,0.01
20121116,4.69,4.9,5.14,4.69,6180,0.0,9.59,4.48,0.21,0.09
20121119,5.07,5.14,5.14,4.78,5688,0.0,7.35,4.9,0.24,0.08
20121120,4.79,5.12,5.14,4.79,5504,0.0,6.81,-0.39,-0.02,0.08
20121121,5.11,5.44,5.44,5.1,1900,0.0,6.64,6.25,0.32,0.03
20121123,4.81,5.03,5.09,4.81,1800,0.0,5.15,-7.54,-0.41,0.03
20121126,5.17,5.07,5.22,5.02,723,0.0,3.98,0.8,0.04,0.01
