trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240322,15.98,16.2,18.195,15.09,67414,1107647.0,2.78,-85.51,-95.59,0.26
20240325,15.76,16.32,16.89,15.76,172383,2803197.0,6.98,0.74,0.12,0.68
20240326,16.93,16.74,17.58,16.49,106357,1797691.0,6.68,2.57,0.42,0.42
20240327,17.17,21.81,22.4,17.0,339919,6804750.0,32.26,30.29,5.07,1.33
20240328,21.15,22.33,24.045,20.33,153150,3410657.0,17.03,2.38,0.52,0.6
20240401,22.22,21.01,22.22,19.98,99330,2072051.0,10.03,-5.91,-1.32,0.39
20240402,20.73,21.01,21.6,20.73,79470,1673268.0,4.14,0.0,0.0,0.31
20240403,24.47,21.22,24.59,19.35,390800,8465860.0,24.94,1.0,0.21,1.53
20240404,21.69,20.53,21.78,20.273,80110,1666588.0,7.1,-3.25,-0.69,0.31
20240405,20.38,20.33,21.22,20.1,51490,1059009.0,5.46,-0.97,-0.2,0.2
20240408,20.2,20.42,21.145,20.2,61107,1259882.0,4.65,0.44,0.09,0.24
20240409,20.62,20.51,21.09,20.195,49586,1017008.0,4.38,0.44,0.09,0.19
20240410,20.89,21.03,21.48,20.28,90680,1906583.0,5.85,2.54,0.52,0.36
20240411,21.05,21.73,22.07,20.4,52092,1112464.0,7.94,3.33,0.7,0.2
20240412,21.5,21.89,22.035,20.799,58273,1249002.0,5.69,0.74,0.16,0.23
20240415,21.93,20.44,21.93,20.18,68338,1430107.0,7.99,-6.62,-1.45,0.27
20240416,20.36,19.92,20.89,19.51,60898,1228215.0,6.75,-2.54,-0.52,0.24
20240417,19.65,17.7,20.164,17.56,84142,1537351.0,13.07,-11.14,-2.22,0.33
20240418,17.34,17.49,18.08,16.76,85608,1484939.0,7.46,-1.19,-0.21,0.34
20240419,17.4,16.02,17.66,15.76,81559,1330782.0,10.86,-8.4,-1.47,0.32
20240422,16.04,15.89,16.24,15.5,123610,1958005.0,4.62,-0.81,-0.13,0.48
20240423,15.94,15.92,16.731,15.77,120601,1928345.0,6.05,0.19,0.03,0.47
20240424,15.9,15.86,16.14,15.26,117177,1845192.0,5.53,-0.38,-0.06,0.46
20240425,15.5,15.45,16.495,15.34,171778,2689179.0,7.28,-2.59,-0.41,0.67
20240426,15.36,15.72,16.0,15.05,200720,3139731.0,6.15,1.75,0.27,0.79
20240429,15.88,16.5,16.69,15.69,348715,5677017.0,6.36,4.96,0.78,1.37
20240430,16.25,15.87,16.715,15.49,376632,6182578.0,7.42,-3.82,-0.63,1.47
20240501,15.79,15.81,16.35,15.71,91717,1466564.0,4.03,-0.38,-0.06,0.36
20240502,16.0,16.41,16.62,15.61,188715,3059870.0,6.39,3.8,0.6,0.74
20240503,16.78,16.46,16.79,16.122,202957,3346556.0,4.07,0.3,0.05,0.79
20240506,16.74,16.18,16.745,15.97,287359,4731060.0,4.71,-1.7,-0.28,1.13
20240507,16.37,16.43,16.5,15.97,189749,3110645.0,3.28,1.55,0.25,0.74
20240508,16.3,16.18,16.35,15.68,181743,2914643.0,4.08,-1.52,-0.25,0.71
20240509,15.92,15.4,16.22,15.0,115759,1817894.0,7.54,-4.82,-0.78,0.45
20240510,15.37,15.73,16.015,15.18,160985,2537311.0,5.42,2.14,0.33,0.63
20240513,15.7,15.91,16.1,15.51,233249,3723472.0,3.75,1.14,0.18,0.91
20240514,15.88,15.72,15.99,15.48,70523,1111209.0,3.21,-1.19,-0.19,0.28
20240515,16.0,15.84,16.12,15.8,97478,1556138.0,2.04,0.76,0.12,0.38
20240516,15.92,16.53,16.72,15.715,329641,5293886.0,6.34,4.36,0.69,1.29
20240517,16.5,16.35,17.25,16.21,168855,2809061.0,6.29,-1.09,-0.18,0.66
20240520,16.55,18.59,18.85,16.5,130272,2340984.0,14.37,13.7,2.24,0.51
20240521,18.95,18.64,19.915,18.35,189530,3634941.0,8.42,0.27,0.05,0.74
20240522,18.74,18.41,19.43,18.36,116069,2177775.0,5.74,-1.23,-0.23,0.45
20240523,18.29,15.72,18.49,15.22,436875,7012716.0,17.76,-14.61,-2.69,1.71
20240524,15.09,15.7,16.26,15.09,214482,3369760.0,7.44,-0.13,-0.02,0.84
20240528,15.38,15.39,15.87,15.214,155392,2404512.0,4.18,-1.97,-0.31,0.61
20240529,15.39,15.49,15.73,15.105,252140,3878175.0,4.06,0.65,0.1,0.99
20240530,15.63,15.51,16.01,15.38,151624,2371782.0,4.07,0.13,0.02,0.59
20240531,15.49,15.29,15.79,15.13,123978,1909115.0,4.26,-1.42,-0.22,0.49
20240603,15.31,15.08,15.575,14.88,65864,995429.0,4.55,-1.37,-0.21,0.26
20240604,14.89,14.68,15.13,14.42,189975,2778917.0,4.71,-2.65,-0.4,0.74
20240605,14.94,16.13,16.28,14.49,179751,2697907.0,12.19,9.88,1.45,0.7
20240606,16.18,15.04,16.861,14.9,163048,2575794.0,12.16,-6.76,-1.09,0.64
20240607,15.28,15.58,15.63,14.92,57788,891830.0,4.72,3.59,0.54,0.23
20240610,15.71,17.79,18.83,15.71,338112,5913803.0,20.03,14.18,2.21,1.32
20240611,17.75,18.97,19.26,17.29,186379,3535609.0,11.07,6.63,1.18,0.73
20240612,18.54,18.71,19.98,18.54,114208,2198933.0,7.59,-1.37,-0.26,0.45
20240613,17.64,18.63,19.25,17.64,207541,3826977.0,8.61,-0.43,-0.08,0.81
20240614,17.89,18.54,19.48,17.89,127008,2367034.0,8.53,-0.48,-0.09,0.5
20240617,18.4,18.44,19.33,18.34,133352,2493081.0,5.34,-0.54,-0.1,0.52
20240618,18.2,18.32,18.77,18.14,224352,4112911.0,3.42,-0.65,-0.12,0.88
20240620,18.38,18.06,18.75,17.84,240161,4351484.0,4.97,-1.42,-0.26,0.94
20240621,18.16,18.41,18.54,17.44,1230112,22616036.0,6.09,1.94,0.35,4.82
20240624,19.02,18.13,19.02,17.521,257464,4647796.0,8.14,-1.52,-0.28,1.01
20240625,18.06,17.69,18.5,17.23,197636,3501487.0,7.0,-2.43,-0.44,0.77
20240626,17.36,17.04,17.5,16.28,129336,2191826.0,6.9,-3.67,-0.65,0.51
20240627,16.85,17.81,18.0,16.85,146452,2581992.0,6.75,4.52,0.77,0.57
20240628,17.96,17.29,17.96,16.49,1200778,20748020.0,8.25,-2.92,-0.52,4.7
20240701,17.47,17.69,17.825,16.96,104258,1830995.0,5.0,2.31,0.4,0.4
20240702,17.79,17.54,17.977,17.305,251969,4448745.0,3.8,-0.85,-0.15,0.97
20240703,17.48,17.66,17.72,17.09,104411,1828851.0,3.59,0.68,0.12,0.4
20240705,17.5,18.05,18.25,17.13,145856,2587487.0,6.34,2.21,0.39,0.56
20240708,18.25,18.38,19.1,17.94,233499,4344302.0,6.43,1.83,0.33,0.9
20240709,18.15,18.61,18.75,18.09,71522,1320167.0,3.59,1.25,0.23,0.28
20240710,18.65,18.66,19.15,18.42,155598,2913236.0,3.92,0.27,0.05,0.6
