trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230804,29.63,37.68,39.0,29.63,2539520,93057474.0,31.62,27.17,8.05,3.99
20230807,35.1,35.13,36.93,32.69,3280119,115625163.0,11.25,-6.77,-2.55,5.16
20230808,32.81,33.81,34.99,32.81,2558940,85879360.0,6.21,-3.76,-1.32,4.02
20230809,32.58,34.16,34.395,31.8,2191122,74057732.0,7.68,1.04,0.35,3.45
20230810,34.37,35.49,35.58,33.01,1449313,50036209.0,7.52,3.89,1.33,2.28
20230811,34.52,35.0,35.53,34.5,611043,21389126.0,2.9,-1.38,-0.49,0.96
20230814,34.91,34.2,35.02,34.0,666075,22813543.0,2.91,-2.29,-0.8,1.05
20230815,34.2,34.99,35.125,33.985,930495,32272540.0,3.33,2.31,0.79,1.46
20230816,34.55,34.3,34.55,33.77,924108,31521006.0,2.23,-1.97,-0.69,1.45
20230817,34.44,33.99,34.52,33.89,580402,19797708.0,1.84,-0.9,-0.31,0.91
20230818,34.1,33.49,34.1,33.07,579832,19392887.0,3.03,-1.47,-0.5,0.91
20230821,33.3,33.8,33.97,33.07,362278,12218637.0,2.69,0.93,0.31,0.57
20230822,33.81,33.58,33.99,33.28,582708,19558943.0,2.1,-0.65,-0.22,0.92
20230823,33.38,33.54,33.84,33.351,209175,7024220.0,1.46,-0.12,-0.04,0.33
20230824,33.24,33.27,33.634,33.055,401853,13374890.0,1.73,-0.81,-0.27,0.63
20230825,33.44,33.63,33.92,33.35,281878,9466267.0,1.71,1.08,0.36,0.44
20230828,33.68,33.99,34.06,33.4,446539,15077725.0,1.96,1.07,0.36,0.7
20230829,34.23,33.9,34.23,33.64,367046,12456180.0,1.74,-0.26,-0.09,0.58
20230830,34.32,33.67,34.32,33.39,286087,9619223.0,2.74,-0.68,-0.23,0.45
20230831,33.49,33.65,33.77,33.35,660540,22194122.0,1.25,-0.06,-0.02,1.04
20230901,33.6,34.26,34.26,33.42,292244,9940361.0,2.5,1.81,0.61,0.46
20230905,33.85,33.19,34.275,33.13,593016,19833975.0,3.34,-3.12,-1.07,0.93
20230906,32.97,32.15,33.4,32.08,563264,18364613.0,3.98,-3.13,-1.04,0.89
20230907,31.84,31.86,32.19,31.3,946246,29952850.0,2.77,-0.9,-0.29,1.49
20230908,31.58,31.8,32.23,31.45,797781,25385000.0,2.45,-0.19,-0.06,1.25
20230911,32.18,32.49,32.89,32.15,427241,13860107.0,2.33,2.17,0.69,0.67
20230912,32.08,32.1,32.57,31.91,348533,11257439.0,2.03,-1.2,-0.39,0.55
20230913,32.08,31.76,32.46,31.68,627929,20072288.0,2.43,-1.06,-0.34,0.99
20230914,32.17,32.96,33.1,31.535,224316,7300430.0,4.93,3.78,1.2,0.35
20230915,32.87,32.0,33.16,31.87,863433,27733559.0,3.91,-2.91,-0.96,1.36
20230918,31.83,31.85,32.355,31.83,242398,7767133.0,1.64,-0.47,-0.15,0.38
20230919,31.8,32.07,32.31,31.13,1048792,33686380.0,3.7,0.69,0.22,1.65
20230920,32.11,31.55,32.49,31.525,253446,8061195.0,3.01,-1.62,-0.52,0.4
20230921,31.27,31.26,31.64,31.22,235973,7404422.0,1.33,-0.92,-0.29,0.37
20230922,31.24,31.16,31.71,31.14,294380,9230698.0,1.82,-0.32,-0.1,0.46
20230925,30.48,30.98,31.275,30.32,195852,6057810.0,3.06,-0.58,-0.18,0.31
20230926,30.49,30.79,31.8,30.49,1000249,31018491.0,4.23,-0.61,-0.19,1.57
20230927,30.89,30.94,31.42,30.31,557326,17268917.0,3.61,0.49,0.15,0.88
20230928,30.88,32.15,32.49,30.88,351968,11300103.0,5.2,3.91,1.21,0.55
20230929,32.36,32.1,32.56,32.08,248060,7998512.0,1.49,-0.16,-0.05,0.39
20231002,32.02,32.84,33.12,32.02,225966,7396661.0,3.43,2.31,0.74,0.36
20231003,32.73,31.82,32.73,31.58,603559,19299081.0,3.5,-3.11,-1.02,0.95
20231004,31.82,32.02,32.07,31.56,474819,15164139.0,1.6,0.63,0.2,0.75
20231005,32.02,31.72,32.215,31.64,484295,15450213.0,1.8,-0.94,-0.3,0.76
20231006,31.61,32.0,32.17,31.33,483778,15428535.0,2.65,0.88,0.28,0.76
20231009,31.8,31.79,32.225,31.71,456479,14554749.0,1.61,-0.66,-0.21,0.72
20231010,32.16,32.19,32.37,31.9,330353,10615470.0,1.48,1.26,0.4,0.52
20231011,32.49,32.78,32.89,32.07,285372,9315745.0,2.55,1.83,0.59,0.45
20231012,32.73,32.13,32.8,31.94,283980,9166118.0,2.62,-1.98,-0.65,0.45
20231013,32.1,32.0,32.4,31.52,205775,6557579.0,2.74,-0.4,-0.13,0.32
20231016,32.01,32.6,32.72,32.01,498396,16230542.0,2.22,1.88,0.6,0.78
20231017,32.54,32.38,32.85,32.27,261815,8507961.0,1.78,-0.67,-0.22,0.41
20231018,32.18,31.87,32.34,31.74,227663,7280789.0,1.85,-1.58,-0.51,0.36
20231019,32.05,31.21,32.09,31.095,218651,6907256.0,3.12,-2.07,-0.66,0.34
20231020,31.07,31.27,31.63,30.78,233467,7302049.0,2.72,0.19,0.06,0.37
20231023,31.03,30.1,31.23,30.06,409372,12474051.0,3.74,-3.74,-1.17,0.64
20231024,30.27,30.7,30.83,30.0,664929,20169303.0,2.76,1.99,0.6,1.05
20231025,30.36,30.42,30.7,30.23,465114,14174043.0,1.53,-0.91,-0.28,0.73
20231026,30.44,30.71,31.23,30.44,274152,8457564.0,2.6,0.95,0.29,0.43
20231027,30.71,30.61,30.77,30.2,330771,10082281.0,1.86,-0.33,-0.1,0.52
20231030,30.84,31.45,31.6,30.7,187736,5867125.0,2.94,2.74,0.84,0.3
20231031,31.43,31.87,32.205,31.4,408729,13020686.0,2.56,1.34,0.42,0.64
20231101,31.87,32.02,32.35,31.71,263831,8430140.0,2.01,0.47,0.15,0.41
20231102,32.33,33.33,34.08,32.33,572192,19095187.0,5.47,4.09,1.31,0.9
20231103,33.71,34.63,35.14,33.04,344265,11798412.0,6.3,3.9,1.3,0.54
20231106,34.28,34.97,35.08,34.28,229926,7976152.0,2.31,0.98,0.34,0.36
20231107,34.86,35.27,35.425,34.64,285808,10049912.0,2.24,0.86,0.3,0.45
