trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210617,375.0,337.8,378.0,299.8,4397335,74446209.0,23.0,-0.65,-2.2,1.81
20210618,325.2,324.0,337.0,319.8,448015,7258834.0,5.09,-4.09,-13.8,0.18
20210621,322.0,333.2,337.6,302.402,698375,11412163.0,10.86,2.84,9.2,0.29
20210622,334.8,332.0,337.4,320.0,486044,8022209.0,5.22,-0.36,-1.2,0.2
20210623,327.2,331.0,337.0,320.0,2357975,38918265.0,5.12,-0.3,-1.0,0.97
20210624,331.6,320.0,332.8,310.0,383368,6115535.0,6.89,-3.32,-11.0,0.16
20210625,318.0,319.8,323.0,316.0,126360,2021009.0,2.19,-0.06,-0.2,0.05
20210628,318.106,331.2,338.8,316.4,217648,3586907.0,7.0,3.56,11.4,0.09
20210629,329.4,326.4,334.6,320.2,643376,10517424.0,4.35,-1.45,-4.8,0.26
20210630,324.0,324.8,327.932,320.0,461936,7490228.0,2.43,-0.49,-1.6,0.19
20210701,322.0,320.2,327.4,314.6,747378,11963615.0,3.94,-1.42,-4.6,0.31
20210702,319.0,320.6,323.4,302.3,330634,5242377.0,6.59,0.12,0.4,0.14
20210706,320.6,310.2,320.6,304.0,701593,10887529.0,5.18,-3.24,-10.4,0.29
20210707,309.2,307.6,311.8,300.0,332011,5033564.0,3.8,-0.84,-2.6,0.14
20210708,302.2,305.0,320.0,299.6,521813,7993803.0,6.63,-0.85,-2.6,0.22
20210709,304.2,317.6,325.8,300.4,442635,6872626.0,8.33,4.13,12.6,0.19
20210712,320.0,325.4,338.3,314.0,695948,11398182.0,7.65,2.46,7.8,0.29
20210713,320.2,324.4,336.0,317.2,439678,7165469.0,5.78,-0.31,-1.0,0.18
20210714,322.0,333.4,335.0,322.0,384975,6367534.0,4.01,2.77,9.0,0.16
20210715,332.8,321.4,339.8,316.6,714276,11623541.0,6.96,-3.6,-12.0,0.3
20210716,322.4,338.2,347.0,319.9,760402,12761196.0,8.43,5.23,16.8,0.32
20210719,334.2,329.0,345.0,328.2,123503,2052428.0,4.97,-2.72,-9.2,0.05
20210720,330.6,334.0,343.0,330.6,102962,1729978.0,3.77,1.52,5.0,0.04
20210721,336.6,314.0,338.6,307.2,331149,5235333.0,9.4,-5.99,-20.0,0.14
20210722,315.4,311.4,322.0,303.4,221159,3436029.0,5.92,-0.83,-2.6,0.09
20210723,311.4,288.6,321.0,286.0,241805,3540576.0,11.24,-7.32,-22.8,0.1
20210726,290.0,291.0,303.28,282.2,297663,4339574.0,7.3,0.83,2.4,0.12
