trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20060525,-14.148,-13.578,-13.573,-14.158,39519400,0.0,-4.1,4.9,0.7,29.28
20060526,-13.548,-13.685,-13.504,-13.767,10303400,0.0,-1.94,-0.79,-0.107,7.63
20060530,-13.681,-13.778,-13.68,-13.893,4989700,0.0,-1.56,-0.68,-0.093,3.7
20060531,-13.743,-13.684,-13.642,-13.743,2994300,0.0,-0.73,0.68,0.094,2.22
20060601,-13.685,-13.427,-13.368,-13.688,6229600,0.0,-2.34,1.88,0.257,4.62
20060602,-13.328,-13.479,-13.308,-13.499,3724900,0.0,-1.42,-0.39,-0.052,2.76
20060605,-13.473,-13.263,-13.253,-13.478,3708100,0.0,-1.67,1.6,0.216,2.75
20060606,-13.18,-13.348,-13.115,-13.398,4903600,0.0,-2.13,-0.64,-0.085,3.63
20060607,-13.345,-13.418,-13.338,-13.503,2500500,0.0,-1.24,-0.52,-0.07,1.85
20060608,-13.418,-13.406,-13.406,-13.628,3443700,0.0,-1.65,0.09,0.012,2.55
20060609,-13.298,-13.4,-13.298,-13.41,1337200,0.0,-0.84,0.04,0.006,0.99
20060612,-13.378,-13.483,-13.353,-13.548,1454600,0.0,-1.46,-0.62,-0.083,1.08
20060613,-13.558,-13.628,-13.443,-13.648,1669200,0.0,-1.52,-1.08,-0.145,1.24
20060614,-13.688,-13.666,-13.633,-13.734,1597100,0.0,-0.74,-0.28,-0.038,1.18
20060615,-13.638,-13.583,-13.566,-13.665,1650000,0.0,-0.72,0.61,0.083,1.22
20060616,-13.628,-13.676,-13.578,-13.678,1228000,0.0,-0.74,-0.68,-0.093,0.91
20060619,-13.633,-13.744,-13.633,-13.768,1143600,0.0,-0.99,-0.5,-0.068,0.85
20060620,-13.704,-13.776,-13.678,-13.831,2379200,0.0,-1.11,-0.23,-0.032,1.76
20060621,-13.776,-13.648,-13.59,-13.778,1806300,0.0,-1.36,0.93,0.128,1.34
20060622,-13.538,-13.518,-13.483,-13.59,1303000,0.0,-0.78,0.95,0.13,0.97
20060623,-13.479,-13.483,-13.385,-13.491,1161200,0.0,-0.78,0.26,0.035,0.86
20060626,-13.483,-13.428,-13.428,-13.535,856500,0.0,-0.79,0.41,0.055,0.63
20060627,-13.428,-13.447,-13.375,-13.453,982600,0.0,-0.58,-0.14,-0.019,0.73
20060628,-13.493,-13.482,-13.438,-13.528,875600,0.0,-0.67,-0.26,-0.035,0.65
20060629,-13.483,-13.378,-13.369,-13.483,1447000,0.0,-0.85,0.77,0.104,1.07
20060630,-13.413,-13.378,-13.378,-13.518,2596400,0.0,-1.05,0.0,0.0,1.92
20060703,-13.388,-13.448,-13.378,-13.497,702900,0.0,-0.89,-0.52,-0.07,0.52
20060705,-13.438,-13.418,-13.394,-13.507,1326600,0.0,-0.84,0.22,0.03,0.98
20060706,-13.453,-13.498,-13.443,-13.499,809700,0.0,-0.42,-0.6,-0.08,0.6
20060707,-13.503,-13.566,-13.493,-13.603,838000,0.0,-0.81,-0.5,-0.068,0.62
20060710,-13.558,-13.529,-13.521,-13.566,497800,0.0,-0.33,0.27,0.037,0.37
20060711,-13.529,-13.543,-13.529,-13.648,807900,0.0,-0.88,-0.1,-0.014,0.6
20060712,-13.538,-13.623,-13.538,-13.624,767200,0.0,-0.64,-0.59,-0.08,0.57
20060713,-13.66,-13.706,-13.66,-13.748,1662500,0.0,-0.65,-0.61,-0.083,1.23
20060714,-13.716,-13.783,-13.71,-13.788,966300,0.0,-0.57,-0.56,-0.077,0.72
20060717,-13.787,-13.779,-13.761,-13.803,645800,0.0,-0.3,0.03,0.004,0.48
20060718,-13.779,-13.788,-13.768,-13.811,1248300,0.0,-0.31,-0.07,-0.009,0.92
