trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250203,45.2,45.82,46.66,44.65,141702,6494708.0,0.0,0.0,0.0,0.0
20250204,46.47,47.61,47.629,46.135,102622,4836989.0,3.26,3.91,1.79,0.0
20250205,45.72,46.36,46.36,45.66,142557,6540278.0,1.47,-2.63,-1.25,0.0
20250206,46.107,46.91,46.91,46.08,82373,3823459.0,1.79,1.19,0.55,0.0
20250207,46.6,45.22,47.1,44.96,182586,8311272.0,4.56,-3.6,-1.69,0.0
20250210,45.65,45.59,46.36,45.49,78211,3590498.0,1.92,0.82,0.37,0.0
20250211,44.94,45.14,45.75,44.75,68152,3081867.0,2.19,-0.99,-0.45,0.0
20250212,44.51,45.21,45.45,44.21,79231,3561445.0,2.75,0.16,0.07,0.0
20250213,45.51,46.61,46.67,45.09,115356,5317174.0,3.49,3.1,1.4,0.0
20250214,46.8,47.21,47.228,46.37,48435,2264590.0,1.84,1.29,0.6,0.0
20250218,47.21,46.66,47.579,45.5,99260,4605725.0,4.4,-1.17,-0.55,0.0
20250219,46.05,46.6,46.71,45.76,47272,2190332.0,2.04,-0.13,-0.06,0.0
20250220,46.498,46.12,46.51,45.35,49997,2297959.0,2.49,-1.03,-0.48,0.0
20250221,46.5,43.89,46.5,43.58,104149,4652443.0,6.33,-4.84,-2.23,0.0
20250224,44.35,42.56,44.555,42.253,90087,3889092.0,5.24,-3.03,-1.33,0.0
20250225,42.05,40.69,42.225,39.5,149916,6040118.0,6.4,-4.39,-1.87,0.0
20250226,41.05,40.93,42.255,40.2,84369,3442923.0,5.05,0.59,0.24,0.0
20250227,41.39,38.46,41.54,38.21,89883,3547213.0,8.14,-6.03,-2.47,0.0
20250228,38.01,39.93,39.93,37.01,75311,2880813.0,7.59,3.82,1.47,0.0
20250303,40.69,37.36,40.69,36.6,116039,4462279.0,10.24,-6.44,-2.57,0.0
20250304,35.8,36.89,38.665,34.884,181351,6647541.0,10.12,-1.26,-0.47,0.0
20250305,37.69,38.28,38.62,36.31,85242,3185318.0,6.26,3.77,1.39,0.0
20250306,36.7,36.21,37.733,35.509,86825,3183767.0,5.81,-5.41,-2.07,0.0
20250307,36.0,36.24,36.68,34.131,100765,3588372.0,7.04,0.08,0.03,0.0
20250310,34.57,32.61,34.57,31.67,185574,6080467.0,8.0,-10.02,-3.63,0.0
20250311,32.23,32.53,33.59,31.68,122132,3995909.0,5.86,-0.25,-0.08,0.0
20250312,34.17,34.32,34.828,33.247,69671,2378382.0,4.86,5.5,1.79,0.0
20250313,34.22,32.58,34.22,32.0,61932,2037273.0,6.47,-5.07,-1.74,0.0
20250314,33.25,34.07,34.318,32.815,49491,1663063.0,4.61,4.57,1.49,0.0
20250317,34.24,33.87,34.36,32.779,87353,2943548.0,4.64,-0.59,-0.2,0.0
20250318,32.89,31.91,32.89,31.4,83208,2645956.0,4.4,-5.79,-1.96,0.0
20250319,32.49,32.94,33.51,32.2,68952,2251736.0,4.11,3.23,1.03,0.0
