trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20140416,-8.753,-9.693,-8.533,-9.753,4248741,0.0,-11.35,9.86,1.06,8.42
20140417,-9.523,-9.663,-9.523,-9.793,299225,0.0,-2.79,0.31,0.03,0.59
20140421,-9.613,-9.803,-9.493,-10.033,142303,0.0,-5.59,-1.45,-0.14,0.28
20140422,-9.753,-9.503,-9.463,-10.503,365658,0.0,-10.61,3.06,0.3,0.72
20140423,-9.663,-8.873,-8.813,-9.853,158849,0.0,-10.94,6.63,0.63,0.31
20140424,-8.753,-7.983,-7.963,-9.343,104438,0.0,-15.55,10.03,0.89,0.21
20140425,-8.053,-8.793,-7.953,-8.953,140334,0.0,-12.53,-10.15,-0.81,0.28
20140428,-8.883,-8.753,-8.323,-9.243,111460,0.0,-10.46,0.45,0.04,0.22
20140429,-8.753,-8.803,-8.753,-9.343,57609,0.0,-6.74,-0.57,-0.05,0.11
20140430,-8.853,-9.193,-8.853,-9.193,154306,0.0,-3.86,-4.43,-0.39,0.31
20140501,-9.353,-9.023,-8.963,-9.393,102444,0.0,-4.68,1.85,0.17,0.2
20140502,-9.173,-8.883,-8.543,-9.173,307217,0.0,-6.98,1.55,0.14,0.61
20140505,-8.823,-9.083,-8.823,-9.553,132375,0.0,-8.22,-2.25,-0.2,0.26
20140506,-9.283,-9.313,-9.053,-9.473,38869,0.0,-4.62,-2.53,-0.23,0.08
20140507,-9.353,-9.023,-8.723,-9.503,58176,0.0,-8.38,3.11,0.29,0.12
20140508,-8.843,-9.463,-8.803,-9.653,84447,0.0,-9.42,-4.88,-0.44,0.17
20140509,-9.553,-8.203,-7.613,-9.753,109778,0.0,-22.61,13.32,1.26,0.22
20140512,-8.093,-7.753,-7.573,-8.883,265560,0.0,-15.97,5.49,0.45,0.53
20140513,-7.393,-6.253,-6.153,-7.613,119343,0.0,-18.83,19.35,1.5,0.24
20140514,-6.243,-6.523,-6.213,-6.753,88170,0.0,-8.64,-4.32,-0.27,0.17
20140515,-6.753,-6.603,-6.023,-6.963,118556,0.0,-14.41,-1.23,-0.08,0.24
20140516,-6.603,-6.503,-6.223,-6.723,50973,0.0,-7.57,1.51,0.1,0.1
20140519,-6.673,-5.773,-5.533,-6.743,96291,0.0,-18.61,11.23,0.73,0.19
20140520,-5.753,-6.043,-5.493,-6.193,77412,0.0,-12.13,-4.68,-0.27,0.15
20140521,-6.093,-5.653,-5.553,-6.093,105563,0.0,-8.94,6.45,0.39,0.21
20140522,-5.543,-5.453,-5.243,-5.953,117032,0.0,-12.56,3.54,0.2,0.23
20140523,-5.263,-5.513,-5.083,-5.693,26234,0.0,-11.19,-1.1,-0.06,0.05
20140527,-5.493,-5.383,-5.303,-5.693,54753,0.0,-7.07,2.36,0.13,0.11
20140528,-5.353,-5.473,-5.353,-5.653,50782,0.0,-5.57,-1.67,-0.09,0.1
20140529,-5.303,-5.323,-5.303,-5.583,74598,0.0,-5.12,2.74,0.15,0.15
20140530,-5.393,-4.293,-4.023,-5.483,113496,0.0,-27.43,19.35,1.03,0.22
20140602,-4.083,-4.473,-3.753,-4.863,78902,0.0,-25.86,-4.19,-0.18,0.15
20140603,-4.573,-3.553,-2.963,-4.573,259717,0.0,-35.99,20.57,0.92,0.51
20140604,-3.633,-3.473,-3.133,-4.193,133069,0.0,-29.83,2.25,0.08,0.26
20140605,-3.573,-3.343,-2.943,-4.093,97649,0.0,-33.11,3.74,0.13,0.19
20140606,-3.343,-2.993,-2.273,-3.553,130272,0.0,-38.29,10.47,0.35,0.25
20140609,-2.943,-2.243,-1.773,-3.533,173659,0.0,-58.8,25.06,0.75,0.34
20140610,-2.253,-2.423,-1.863,-2.843,140753,0.0,-43.69,-8.02,-0.18,0.27
20140611,-2.423,-2.433,-2.103,-3.023,106481,0.0,-37.97,-0.41,-0.01,0.21
20140612,-2.283,-1.513,-0.963,-2.443,195891,0.0,-60.83,37.81,0.92,0.38
20140613,-1.583,-1.653,-1.013,-2.003,129366,0.0,-65.43,-9.25,-0.14,0.25
20140616,-1.693,-1.683,-1.073,-1.903,140334,0.0,-50.21,-1.81,-0.03,0.27
20140617,-2.293,-1.653,-1.593,-2.453,183762,0.0,-51.1,1.78,0.03,0.36
20140618,-1.443,-2.143,-1.353,-2.353,187700,0.0,-60.5,-29.64,-0.49,0.37
20140619,-2.103,-1.943,-1.843,-2.293,120484,0.0,-21.0,9.33,0.2,0.23
20140620,-1.983,-1.423,-1.293,-2.163,495360,0.0,-44.78,26.76,0.52,0.97
20140623,-1.563,-0.223,0.127,-1.723,126582,0.0,-130.01,84.33,1.2,0.25
20140624,-0.083,-0.763,0.047,-0.893,152191,0.0,-421.52,-242.15,-0.54,0.3
20140625,-1.013,-1.383,-1.013,-1.673,106907,0.0,-86.5,-81.26,-0.62,0.21
20140626,-1.203,-1.203,-0.243,-1.783,107791,0.0,-111.35,13.02,0.18,0.21
20140627,-1.263,-2.553,-0.683,-2.553,647372,0.0,-155.44,-112.22,-1.35,1.26
20140630,-2.413,-2.143,-1.953,-3.563,194004,0.0,-63.06,16.06,0.41,0.38
20140701,-2.103,-2.153,-1.753,-2.293,89640,0.0,-25.2,-0.47,-0.01,0.17
20140702,-2.133,-2.043,-1.513,-2.253,126174,0.0,-34.37,5.11,0.11,0.25
20140703,-1.883,-2.123,-1.853,-2.233,47235,0.0,-18.6,-3.92,-0.08,0.09
20140707,-2.193,-3.043,-2.063,-3.263,88604,0.0,-56.52,-43.33,-0.92,0.17
20140708,-3.093,-4.403,-2.973,-4.493,140492,0.0,-49.95,-44.69,-1.36,0.27
20140709,-4.343,-4.903,-3.893,-5.243,82661,0.0,-30.66,-11.36,-0.5,0.16
20140710,-5.053,-5.143,-5.003,-6.093,163918,0.0,-22.23,-4.89,-0.24,0.32
20140711,-5.033,-5.433,-4.723,-5.773,128028,0.0,-20.42,-5.64,-0.29,0.25
20140714,-5.203,-5.333,-5.083,-5.663,79230,0.0,-10.68,1.84,0.1,0.15
20140715,-5.413,-5.123,-4.853,-5.973,150694,0.0,-21.0,3.94,0.21,0.29
20140716,-4.883,-4.923,-4.533,-5.293,162887,0.0,-14.84,3.9,0.2,0.32
20140717,-4.983,-5.193,-4.853,-5.353,203478,0.0,-10.16,-5.48,-0.27,0.4
20140718,-5.313,-4.283,-4.083,-5.323,168337,0.0,-23.88,17.52,0.91,0.33
20140721,-4.253,-2.893,-2.513,-4.453,213127,0.0,-45.3,32.45,1.39,0.41
20140722,-2.623,-2.143,-1.693,-2.863,149178,0.0,-40.44,25.92,0.75,0.29
20140723,-2.213,-1.853,-1.763,-2.363,66643,0.0,-28.0,13.53,0.29,0.13
20140724,-1.603,-1.173,-0.753,-1.953,99677,0.0,-64.76,36.7,0.68,0.19
20140725,-1.293,-1.943,-0.763,-2.233,73723,0.0,-125.32,-65.64,-0.77,0.14
20140728,-2.373,-2.653,-1.853,-2.753,137621,0.0,-46.32,-36.54,-0.71,0.27
20140729,-2.483,-2.993,-2.263,-3.303,124738,0.0,-39.2,-12.82,-0.34,0.24
20140730,-2.743,-1.673,-1.513,-3.133,96809,0.0,-54.13,44.1,1.32,0.19
20140731,-2.043,-1.693,0.257,-2.453,131911,0.0,-161.98,-1.2,-0.02,0.26
20140801,-1.633,-1.703,-1.503,-2.073,122779,0.0,-33.67,-0.59,-0.01,0.24
20140804,-1.443,-1.593,-1.273,-2.153,80825,0.0,-51.67,6.46,0.11,0.16
20140805,-1.453,-1.833,-1.153,-2.433,127375,0.0,-80.35,-15.07,-0.24,0.25
20140806,-1.913,-1.793,-1.423,-2.193,59318,0.0,-42.01,2.18,0.04,0.12
20140807,-1.573,-1.933,-1.203,-2.423,75482,0.0,-68.04,-7.81,-0.14,0.15
20140808,-2.073,-1.743,-1.613,-2.393,34066,0.0,-40.35,9.83,0.19,0.07
20140811,-1.113,-1.673,-1.073,-2.053,42259,0.0,-56.22,4.02,0.07,0.08
20140812,-1.803,-1.513,-1.183,-1.953,45204,0.0,-46.03,9.56,0.16,0.09
20140813,-1.283,-0.693,-0.393,-1.613,263945,0.0,-80.63,54.2,0.82,0.51
20140814,-0.633,-0.893,-0.423,-1.503,103732,0.0,-155.84,-28.86,-0.2,0.2
20140815,-0.703,-0.793,-0.583,-1.353,66827,0.0,-86.23,11.2,0.1,0.13
20140818,-0.673,-0.883,0.037,-1.073,105935,0.0,-139.97,-11.35,-0.09,0.21
20140819,-0.773,-1.393,-0.693,-1.653,44806,0.0,-108.72,-57.76,-0.51,0.09
20140820,-1.433,-2.263,-1.113,-2.633,79677,0.0,-109.12,-62.46,-0.87,0.16
20140821,-2.953,-1.503,-1.123,-3.363,85049,0.0,-98.98,33.58,0.76,0.17
20140822,-1.453,-1.483,-1.113,-2.153,36831,0.0,-69.19,1.33,0.02,0.07
20140825,-1.323,-1.313,-0.693,-1.703,108319,0.0,-68.11,11.46,0.17,0.21
20140826,-1.163,-0.633,-0.373,-1.673,55109,0.0,-99.01,51.79,0.68,0.11
20140827,-0.083,-0.493,-0.083,-0.553,22107,0.0,-74.25,22.12,0.14,0.04
20140828,-0.553,-0.393,-0.133,-0.753,49187,0.0,-125.76,20.28,0.1,0.1
