trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120518,39.525,35.705,42.475,35.475,567762144,0.0,19.73,0.65,0.23,26.55
20120521,34.005,31.505,34.135,30.475,167694825,0.0,10.25,-11.76,-4.2,7.84
20120522,30.085,28.475,31.065,28.415,100935769,0.0,8.41,-9.62,-3.03,4.72
20120523,28.845,29.475,29.975,28.835,73432549,0.0,4.0,3.51,1.0,3.43
20120524,30.425,30.505,30.685,29.245,49955076,0.0,4.89,3.49,1.03,2.34
20120525,30.375,29.385,30.425,28.585,36854549,0.0,6.03,-3.67,-1.12,1.72
20120529,28.955,26.315,29.165,26.125,77193751,0.0,10.35,-10.45,-3.07,3.61
20120530,26.165,25.665,27.025,25.335,57155401,0.0,6.42,-2.47,-0.65,2.67
20120531,26.015,27.075,27.145,24.305,98727747,0.0,11.07,5.49,1.41,4.62
20120601,26.365,25.195,27.105,24.865,41477756,0.0,8.27,-6.94,-1.88,1.94
20120604,24.675,24.375,25.125,23.915,34876831,0.0,4.8,-3.25,-0.82,1.63
20120605,24.175,23.335,25.235,23.225,42241566,0.0,8.25,-4.27,-1.04,1.98
20120606,23.545,24.285,24.645,22.995,61344390,0.0,7.07,4.07,0.95,2.87
20120607,24.475,23.785,24.825,23.625,26099285,0.0,4.94,-2.06,-0.5,1.22
20120608,24.025,24.575,25.235,23.915,37897627,0.0,5.55,3.32,0.79,1.77
20120611,24.655,24.475,25.545,24.305,27947379,0.0,5.05,-0.41,-0.1,1.31
20120612,24.955,24.875,25.245,24.435,15482779,0.0,3.31,1.63,0.4,0.72
20120613,25.135,24.745,25.575,24.575,17092165,0.0,4.02,-0.52,-0.13,0.8
20120614,25.125,25.765,25.795,24.855,16753705,0.0,3.8,4.12,1.02,0.78
20120615,25.975,27.485,27.575,25.825,40559016,0.0,6.79,6.68,1.72,1.9
20120618,27.425,28.885,29.555,26.885,42908424,0.0,9.71,5.09,1.4,2.01
20120619,29.005,29.385,29.655,28.175,30730369,0.0,5.12,1.73,0.5,1.44
20120620,29.395,29.075,29.395,28.625,15476981,0.0,2.62,-1.05,-0.31,0.72
20120621,29.145,29.315,29.975,28.985,21780873,0.0,3.4,0.83,0.24,1.02
20120622,29.885,30.525,30.925,29.535,60248255,0.0,4.74,4.13,1.21,2.82
20120625,30.335,29.535,30.495,29.025,24308156,0.0,4.82,-3.24,-0.99,1.14
20120626,30.165,30.575,30.915,29.975,24706254,0.0,3.18,3.52,1.04,1.16
20120627,29.935,29.705,30.375,29.375,28410732,0.0,3.27,-2.85,-0.87,1.33
20120628,29.435,28.835,29.665,28.375,17449005,0.0,4.34,-2.93,-0.87,0.82
20120702,28.725,28.245,29.205,28.025,14081310,0.0,4.09,-2.05,-0.59,0.66
20120703,28.385,28.675,28.915,28.275,8765234,0.0,2.27,1.52,0.43,0.41
20120705,28.795,28.945,29.095,28.495,10012558,0.0,2.09,0.94,0.27,0.47
20120706,28.915,29.205,29.375,28.735,10892183,0.0,2.21,0.9,0.26,0.51
20120709,29.575,29.645,30.355,29.465,17742738,0.0,3.05,1.51,0.44,0.83
20120710,29.905,28.945,29.955,28.635,14221320,0.0,4.45,-2.36,-0.7,0.66
20120711,28.955,28.445,29.035,28.025,12977700,0.0,3.49,-1.73,-0.5,0.61
20120712,28.175,28.285,28.875,28.075,11281381,0.0,2.81,-0.56,-0.16,0.53
20120713,28.515,28.195,28.545,28.035,8092166,0.0,1.8,-0.32,-0.09,0.38
20120716,27.975,25.715,27.975,25.685,24253615,0.0,8.12,-8.8,-2.48,1.13
20120717,25.955,25.565,26.065,24.625,30254424,0.0,5.6,-0.58,-0.15,1.41
20120718,25.785,26.585,26.765,25.625,16755457,0.0,4.46,3.99,1.02,0.78
20120719,26.885,26.475,26.975,26.105,13614493,0.0,3.27,-0.41,-0.11,0.64
20120720,26.475,26.235,26.945,26.195,11670744,0.0,2.83,-0.91,-0.24,0.55
20120723,25.595,26.225,26.475,25.485,12378858,0.0,3.77,-0.04,-0.01,0.58
20120724,26.295,25.925,26.925,25.575,11393603,0.0,5.15,-1.14,-0.3,0.53
20120725,25.865,26.815,26.965,25.555,14483987,0.0,5.44,3.43,0.89,0.68
20120726,25.225,24.315,25.705,24.205,49122232,0.0,5.59,-9.32,-2.5,2.3
20120727,20.665,21.175,22.015,19.755,122824177,0.0,9.29,-12.91,-3.14,5.74
20120730,21.465,20.625,21.515,20.505,29159631,0.0,4.77,-2.6,-0.55,1.36
20120731,20.845,19.185,20.845,19.085,55863088,0.0,8.53,-6.98,-1.44,2.61
20120801,18.975,18.355,19.055,18.315,44317501,0.0,3.86,-4.33,-0.83,2.07
20120802,18.245,17.515,18.315,17.295,56060369,0.0,5.56,-4.58,-0.84,2.62
20120803,17.835,18.565,19.635,17.375,80060484,0.0,12.9,5.99,1.05,3.74
20120806,18.865,19.395,19.625,18.775,27709889,0.0,4.58,4.47,0.83,1.3
20120807,19.675,18.195,19.925,17.975,35613007,0.0,10.05,-6.19,-1.2,1.66
20120808,18.185,18.195,18.625,17.695,29090130,0.0,5.11,0.0,0.0,1.36
20120809,18.225,18.485,18.645,18.085,15593290,0.0,3.08,1.59,0.29,0.73
20120810,18.885,19.275,19.295,18.605,25512296,0.0,3.73,4.27,0.79,1.19
20120813,19.625,19.075,19.925,18.875,24753246,0.0,5.45,-1.04,-0.2,1.16
20120814,18.885,17.855,19.075,17.725,38050000,0.0,7.08,-6.4,-1.22,1.78
20120815,18.115,18.675,18.885,17.875,46324488,0.0,5.66,4.59,0.82,2.17
20120816,17.915,17.345,17.955,17.165,156758364,0.0,4.23,-7.12,-1.33,7.33
20120817,17.475,16.525,17.555,16.475,129293342,0.0,6.23,-4.73,-0.82,6.04
20120820,16.525,17.485,17.605,16.225,101186524,0.0,8.35,5.81,0.96,4.73
20120821,17.055,16.635,17.455,16.565,70640462,0.0,5.09,-4.86,-0.85,3.3
20120822,16.835,16.915,17.005,16.435,49725975,0.0,3.43,1.68,0.28,2.32
20120823,16.975,16.915,17.205,16.835,32689041,0.0,2.19,0.0,0.0,1.53
20120824,16.995,16.885,17.155,16.725,29483251,0.0,2.54,-0.18,-0.03,1.38
20120827,16.965,16.625,17.005,16.575,20592539,0.0,2.55,-1.54,-0.26,0.96
20120828,16.575,16.815,16.855,16.425,25207840,0.0,2.59,1.14,0.19,1.18
20120829,16.795,16.575,16.855,16.545,16017807,0.0,1.84,-1.43,-0.24,0.75
20120830,16.745,16.565,16.925,16.535,30400669,0.0,2.35,-0.06,-0.01,1.42
20120831,16.155,15.525,16.175,15.505,58476961,0.0,4.04,-6.28,-1.04,2.73
20120904,15.555,15.205,15.745,15.025,45203300,0.0,4.64,-2.06,-0.32,2.11
20120905,15.745,16.055,16.225,15.655,60411693,0.0,3.75,5.59,0.85,2.82
20120906,16.215,16.435,16.735,16.195,45889145,0.0,3.36,2.37,0.38,2.14
20120907,16.575,16.455,16.895,16.255,36274899,0.0,3.89,0.12,0.02,1.7
20120910,16.535,16.285,16.675,16.025,24557430,0.0,3.95,-1.03,-0.17,1.15
20120911,16.395,16.905,17.055,16.325,45214405,0.0,4.48,3.81,0.62,2.11
20120912,18.235,18.405,18.635,17.755,121314768,0.0,5.21,8.87,1.5,5.67
20120913,18.425,18.185,18.955,18.085,64782160,0.0,4.73,-1.2,-0.22,3.03
20120914,18.605,19.475,19.555,18.375,72515040,0.0,6.49,7.09,1.29,3.39
20120917,20.145,18.995,20.225,18.975,50508595,0.0,6.42,-2.46,-0.48,2.36
20120918,19.075,19.345,19.455,18.845,36660855,0.0,3.21,1.84,0.35,1.71
20120919,19.465,20.765,20.845,19.245,78350454,0.0,8.27,7.34,1.42,3.66
20120920,20.495,20.065,20.715,20.015,56933204,0.0,3.37,-3.37,-0.7,2.66
20120921,20.445,20.335,20.715,20.075,49864009,0.0,3.19,1.35,0.27,2.33
20120924,19.255,18.265,19.455,17.835,78869371,0.0,7.97,-10.18,-2.07,3.69
20120925,18.675,17.755,18.685,17.695,46105392,0.0,5.42,-2.79,-0.51,2.16
20120926,17.615,18.095,18.255,17.275,37663702,0.0,5.52,1.91,0.34,1.76
20120927,18.465,17.795,18.475,17.635,29565178,0.0,4.64,-1.66,-0.3,1.38
20120928,18.045,19.135,19.425,17.975,65266517,0.0,8.15,7.53,1.34,3.05
20121001,19.555,19.465,20.065,19.205,51156240,0.0,4.49,1.72,0.33,2.38
20121002,19.555,19.745,19.965,19.295,29229717,0.0,3.44,1.44,0.28,1.36
20121003,19.765,19.305,19.965,19.275,31875578,0.0,3.49,-2.23,-0.44,1.48
20121004,19.795,19.415,19.875,18.885,46139227,0.0,5.13,0.57,0.11,2.14
20121005,18.965,18.385,19.105,18.355,40418165,0.0,3.86,-5.31,-1.03,1.88
20121008,17.875,17.875,18.225,17.625,32123082,0.0,3.26,-2.77,-0.51,1.49
20121009,17.865,17.695,18.025,17.445,27101042,0.0,3.24,-1.01,-0.18,1.26
20121010,17.405,17.115,17.415,16.925,39264618,0.0,2.77,-3.28,-0.58,1.82
20121011,17.355,17.225,17.435,17.085,21779855,0.0,2.04,0.64,0.11,1.01
20121012,17.225,16.985,17.275,16.955,18709631,0.0,1.86,-1.39,-0.24,0.87
20121015,17.155,16.995,17.355,16.965,20123602,0.0,2.3,0.06,0.01,0.94
20121016,17.155,16.955,17.165,16.775,21735085,0.0,2.29,-0.24,-0.04,1.01
