trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-52.53,-52.53,-52.25,-52.77,6100,0.0,0.0,0.0,0.0,0.07
20010103,-52.01,-52.25,-51.49,-52.53,24100,0.0,-1.98,0.53,0.28,0.28
20010104,-52.01,-52.01,-51.49,-52.53,7800,0.0,-1.99,0.46,0.24,0.09
20010105,-52.01,-52.53,-52.01,-53.01,14000,0.0,-1.92,-1.0,-0.52,0.16
20010108,-52.53,-51.49,-51.49,-52.77,37400,0.0,-2.44,1.98,1.04,0.43
20010109,-51.77,-51.49,-51.25,-51.77,11400,0.0,-1.01,0.0,0.0,0.13
20010110,-51.39,-50.87,-50.63,-51.39,34800,0.0,-1.48,1.2,0.62,0.4
20010111,-50.87,-50.87,-50.87,-51.39,34000,0.0,-1.02,0.0,0.0,0.39
20010112,-50.87,-51.39,-50.87,-51.91,2200,0.0,-2.04,-1.02,-0.52,0.03
20010116,-50.87,-51.15,-50.63,-51.39,22300,0.0,-1.48,0.47,0.24,0.26
20010117,-51.39,-50.39,-50.39,-51.39,16800,0.0,-1.96,1.49,0.76,0.19
20010118,-50.39,-50.87,-50.39,-51.39,15200,0.0,-1.98,-0.95,-0.48,0.17
20010119,-51.15,-50.87,-50.63,-51.15,4300,0.0,-1.02,0.0,0.0,0.05
20010122,-50.39,-51.39,-50.39,-51.39,7900,0.0,-1.97,-1.02,-0.52,0.09
20010123,-51.15,-50.87,-50.87,-51.39,22800,0.0,-1.01,1.01,0.52,0.26
20010124,-51.15,-51.39,-50.87,-51.39,17400,0.0,-1.02,-1.02,-0.52,0.2
20010125,-51.15,-51.15,-51.15,-51.15,300,0.0,0.0,0.47,0.24,0.0
20010126,-50.63,-50.87,-50.63,-51.15,13600,0.0,-1.02,0.55,0.28,0.16
20010129,-50.71,-49.99,-49.99,-51.39,23800,0.0,-2.75,1.73,0.88,0.27
20010130,-49.59,-49.19,-49.19,-49.79,21500,0.0,-1.2,1.6,0.8,0.25
20010131,-47.99,-47.99,-47.99,-48.39,20900,0.0,-0.81,2.44,1.2,0.24
20010201,-47.99,-48.19,-47.99,-48.23,9700,0.0,-0.5,-0.42,-0.2,0.11
20010202,-47.95,-48.19,-47.95,-48.23,19300,0.0,-0.58,0.0,0.0,0.22
20010205,-48.11,-47.39,-46.39,-48.11,11600,0.0,-3.57,1.66,0.8,0.13
20010206,-47.39,-47.39,-46.51,-47.39,19600,0.0,-1.86,0.0,0.0,0.23
20010207,-47.59,-47.99,-47.59,-47.99,4500,0.0,-0.84,-1.27,-0.6,0.05
20010208,-47.79,-47.39,-47.27,-47.91,4400,0.0,-1.33,1.25,0.6,0.05
20010209,-47.39,-48.19,-47.39,-48.79,16300,0.0,-2.95,-1.69,-0.8,0.19
20010212,-48.59,-48.35,-47.59,-48.99,5000,0.0,-2.91,-0.33,-0.16,0.06
20010213,-47.63,-47.63,-47.59,-47.79,7800,0.0,-0.41,1.49,0.72,0.09
20010214,-47.59,-46.39,-46.39,-47.59,19700,0.0,-2.52,2.6,1.24,0.23
20010215,-46.39,-44.39,-43.59,-47.19,23900,0.0,-7.76,4.31,2.0,0.27
20010216,-44.79,-45.03,-44.59,-45.39,15100,0.0,-1.8,-1.44,-0.64,0.17
20010220,-44.79,-44.39,-43.99,-45.27,20000,0.0,-2.84,1.42,0.64,0.23
20010221,-44.39,-44.79,-44.39,-44.79,13600,0.0,-0.9,-0.9,-0.4,0.16
20010222,-44.79,-45.19,-44.79,-45.39,4600,0.0,-1.34,-0.89,-0.4,0.05
20010223,-44.79,-45.99,-44.79,-45.99,13600,0.0,-2.66,-1.77,-0.8,0.16
20010226,-45.79,-46.47,-45.39,-46.47,15700,0.0,-2.35,-1.04,-0.48,0.18
20010227,-46.07,-46.79,-46.07,-47.79,15200,0.0,-3.7,-0.69,-0.32,0.17
20010228,-46.99,-45.11,-44.99,-46.99,10600,0.0,-4.27,3.59,1.68,0.12
20010301,-45.19,-44.79,-44.79,-45.19,7700,0.0,-0.89,0.71,0.32,0.09
20010302,-44.79,-45.19,-44.79,-45.39,6000,0.0,-1.34,-0.89,-0.4,0.07
20010305,-45.03,-46.39,-44.79,-46.39,9400,0.0,-3.54,-2.66,-1.2,0.11
20010306,-46.39,-46.59,-45.99,-46.59,4500,0.0,-1.29,-0.43,-0.2,0.05
20010307,-46.39,-45.43,-45.43,-46.39,8900,0.0,-2.06,2.49,1.16,0.1
20010308,-45.59,-45.39,-45.39,-45.59,4500,0.0,-0.44,0.09,0.04,0.05
