trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160511,6.26,5.95,6.26,5.71,133759,0.0,0.0,0.0,0.0,0.55
20160512,6.18,6.15,6.2,5.91,215565,0.0,4.87,3.36,0.2,0.89
20160513,6.13,5.9,6.13,5.88,119237,0.0,4.07,-4.07,-0.25,0.49
20160516,6.16,6.08,6.16,5.98,129109,0.0,3.05,3.05,0.18,0.53
20160517,5.99,6.14,6.28,5.99,94246,0.0,4.77,0.99,0.06,0.39
20160518,6.13,5.9,6.17,5.84,84387,0.0,5.37,-3.91,-0.24,0.35
20160519,6.15,5.82,6.15,5.78,66551,0.0,6.27,-1.36,-0.08,0.27
20160520,6.04,5.9,6.1,5.83,108053,0.0,4.64,1.37,0.08,0.44
20160523,5.96,6.28,6.47,5.96,168147,0.0,8.64,6.44,0.38,0.69
20160524,6.43,6.25,6.43,6.12,67089,0.0,4.94,-0.48,-0.03,0.28
20160525,6.36,6.45,6.46,6.28,121680,0.0,2.88,3.2,0.2,0.5
20160526,6.58,6.52,6.61,6.36,104952,0.0,3.88,1.09,0.07,0.43
20160527,6.44,6.6,6.61,6.44,92081,0.0,2.61,1.23,0.08,0.38
20160531,6.58,6.18,6.58,6.13,175927,0.0,6.82,-6.36,-0.42,0.72
20160601,5.98,5.99,6.27,5.98,123167,0.0,4.69,-3.07,-0.19,0.51
20160602,6.08,6.05,6.08,5.98,57516,0.0,1.67,1.0,0.06,0.24
20160603,6.06,6.0,6.07,5.94,52824,0.0,2.15,-0.83,-0.05,0.22
20160606,6.01,6.06,6.08,5.97,57331,0.0,1.83,1.0,0.06,0.24
20160607,6.05,5.97,6.08,5.93,60792,0.0,2.48,-1.49,-0.09,0.25
20160608,5.98,6.05,6.08,5.93,70371,0.0,2.51,1.34,0.08,0.29
20160609,5.98,5.89,6.05,5.88,90270,0.0,2.81,-2.64,-0.16,0.37
20160610,5.88,5.81,5.97,5.79,75976,0.0,3.06,-1.36,-0.08,0.31
20160613,5.81,5.54,5.87,5.5,150155,0.0,6.37,-4.65,-0.27,0.62
20160614,5.58,5.57,5.61,5.49,104653,0.0,2.17,0.54,0.03,0.43
