trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,15.12,15.11,15.2,15.03,69771,0.0,1.36,20.88,2.61,0.26
20110127,15.12,15.05,15.38,14.1,121254,0.0,8.47,-0.4,-0.06,0.45
20110128,15.01,14.71,15.29,14.64,89555,0.0,4.32,-2.26,-0.34,0.34
20110131,14.83,14.29,14.86,14.28,88974,0.0,3.94,-2.86,-0.42,0.33
20110201,14.45,14.6,14.66,14.29,43343,0.0,2.59,2.17,0.31,0.16
20110202,14.51,14.57,14.65,14.46,15552,0.0,1.3,-0.21,-0.03,0.06
20110203,14.6,14.7,14.7,14.3,32989,0.0,2.75,0.89,0.13,0.12
20110204,14.66,14.75,14.78,14.64,43893,0.0,0.95,0.34,0.05,0.16
20110207,14.76,15.0,15.19,14.69,101639,0.0,3.39,1.69,0.25,0.38
20110208,15.0,15.04,15.04,14.87,85774,0.0,1.13,0.27,0.04,0.32
20110209,14.97,15.0,15.1,14.91,24381,0.0,1.26,-0.27,-0.04,0.09
20110210,14.88,14.99,15.07,14.88,17840,0.0,1.27,-0.07,-0.01,0.07
20110211,14.84,15.13,15.19,14.84,271877,0.0,2.33,0.93,0.14,1.02
20110214,15.17,15.1,15.24,15.04,107072,0.0,1.32,-0.2,-0.03,0.4
20110228,15.12,15.09,15.19,14.9,64710,0.0,1.92,-0.07,-0.01,0.24
20110301,15.15,14.79,15.23,14.75,32669,0.0,3.18,-1.99,-0.3,0.12
20110302,14.76,15.0,15.02,14.76,109027,0.0,1.76,1.42,0.21,0.41
20110303,15.15,15.28,15.3,15.02,113280,0.0,1.87,1.87,0.28,0.42
20110304,15.33,15.46,15.62,15.31,51644,0.0,2.03,1.18,0.18,0.19
20110307,15.45,15.17,15.45,14.93,107407,0.0,3.36,-1.88,-0.29,0.4
20110308,15.17,15.47,15.73,15.17,59591,0.0,3.69,1.98,0.3,0.22
20110325,17.1,17.11,17.23,16.96,78130,0.0,1.75,10.6,1.64,0.29
20110328,17.08,17.11,17.19,16.98,72175,0.0,1.23,0.0,0.0,0.27
20110329,17.03,17.14,17.19,17.03,162156,0.0,0.94,0.18,0.03,0.61
20110330,17.2,17.2,17.29,17.06,130023,0.0,1.34,0.35,0.06,0.49
20110331,17.2,17.21,17.33,17.13,148943,0.0,1.16,0.06,0.01,0.56
20110401,17.2,17.1,17.25,17.06,106504,0.0,1.1,-0.64,-0.11,0.4
20110404,17.08,16.85,17.08,16.73,134562,0.0,2.05,-1.46,-0.25,0.5
20110405,16.88,16.88,16.99,16.66,110858,0.0,1.96,0.18,0.03,0.42
20110406,16.85,16.79,16.95,16.71,95575,0.0,1.42,-0.53,-0.09,0.36
20110407,16.82,16.65,16.83,16.6,73989,0.0,1.37,-0.83,-0.14,0.28
20110408,16.73,16.44,16.73,16.21,148520,0.0,3.12,-1.26,-0.21,0.56
20110411,16.48,16.59,16.71,16.43,197440,0.0,1.7,0.91,0.15,0.74
20110412,16.49,16.5,16.54,16.17,224822,0.0,2.23,-0.54,-0.09,0.84
20110413,16.98,17.08,17.24,16.5,188419,0.0,4.48,3.52,0.58,0.71
20110414,17.73,17.74,18.22,17.48,187846,0.0,4.33,3.86,0.66,0.7
20110415,17.69,17.88,17.9,17.5,185322,0.0,2.25,0.79,0.14,0.7
20110418,17.74,17.9,18.0,17.73,97806,0.0,1.51,0.11,0.02,0.37
20110419,18.04,17.9,18.25,17.86,127433,0.0,2.18,0.0,0.0,0.48
20110420,18.1,17.95,18.11,17.79,66956,0.0,1.79,0.28,0.05,0.25
20110421,17.9,18.25,18.25,17.86,259976,0.0,2.17,1.67,0.3,0.97
20110425,18.29,18.35,18.4,18.2,60804,0.0,1.1,0.55,0.1,0.23
20110426,18.44,18.31,18.46,18.28,76347,0.0,0.98,-0.22,-0.04,0.29
20110427,18.37,18.25,18.37,18.08,90485,0.0,1.58,-0.33,-0.06,0.34
20110428,18.22,18.26,18.3,18.17,45732,0.0,0.71,0.05,0.01,0.17
20110429,18.32,18.32,18.38,18.14,71730,0.0,1.31,0.33,0.06,0.27
