trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20101008,34.18,35.16,35.45,34.1,197736,0.0,9.64,151.14,21.16,0.58
20101011,35.75,37.44,38.38,35.5,361331,0.0,8.19,6.48,2.28,1.06
20101012,37.84,37.11,37.9,35.6,151883,0.0,6.14,-0.88,-0.33,0.44
20101013,37.89,37.61,38.43,37.31,115206,0.0,3.02,1.35,0.5,0.34
20101014,37.75,36.86,37.75,36.0,128512,0.0,4.65,-1.99,-0.75,0.38
20101015,38.25,37.61,38.8,37.33,174278,0.0,3.99,2.03,0.75,0.51
20101018,38.0,37.17,38.0,37.0,83972,0.0,2.66,-1.17,-0.44,0.25
20101019,36.88,35.9,37.08,35.64,151198,0.0,3.87,-3.42,-1.27,0.44
20101020,35.89,37.16,37.5,35.73,78020,0.0,4.93,3.51,1.26,0.23
20101021,37.5,37.76,40.36,37.15,581551,0.0,8.64,1.61,0.6,1.7
20101022,38.61,38.87,39.6,37.0,162841,0.0,6.89,2.94,1.11,0.48
20101025,39.49,37.25,40.15,37.05,381389,0.0,7.98,-4.17,-1.62,1.12
20101026,37.35,38.28,38.75,37.03,217665,0.0,4.62,2.77,1.03,0.64
20101027,38.62,37.88,38.9,36.1,491161,0.0,7.31,-1.04,-0.4,1.44
20101028,38.25,36.88,39.37,36.75,324530,0.0,6.92,-2.64,-1.0,0.95
20101029,37.0,36.17,37.5,36.06,190469,0.0,3.9,-1.93,-0.71,0.56
20101101,36.89,35.89,37.04,35.65,132293,0.0,3.84,-0.77,-0.28,0.39
20101102,35.96,33.59,36.0,33.3,474271,0.0,7.52,-6.41,-2.3,1.39
20101103,34.32,33.96,34.8,33.7,201313,0.0,3.27,1.1,0.37,0.59
20101104,34.43,33.37,34.78,33.35,196645,0.0,4.21,-1.74,-0.59,0.58
20101105,33.25,32.09,33.76,31.75,321544,0.0,6.02,-3.84,-1.28,0.94
20101108,31.88,32.0,32.01,30.6,504416,0.0,4.39,-0.28,-0.09,1.48
20101109,33.32,33.3,34.0,32.56,506686,0.0,4.5,4.06,1.3,1.48
20101110,33.0,34.42,34.93,32.85,380486,0.0,6.25,3.36,1.12,1.11
20101111,34.5,38.76,38.9,33.7,1078666,0.0,15.11,12.61,4.34,3.16
20101112,38.25,38.15,39.6,37.09,591383,0.0,6.48,-1.57,-0.61,1.73
20101115,32.45,28.02,33.44,28.0,2875582,0.0,14.26,-26.55,-10.13,8.42
20101116,27.55,27.94,28.74,26.22,1102574,0.0,8.99,-0.29,-0.08,3.23
20101117,28.03,27.51,28.5,27.01,282846,0.0,5.33,-1.54,-0.43,0.83
20101118,27.56,27.33,28.25,27.25,308293,0.0,3.64,-0.65,-0.18,0.9
20101119,27.08,27.06,27.58,26.88,372917,0.0,2.56,-0.99,-0.27,1.09
20101122,26.84,29.92,30.3,26.3,676445,0.0,14.78,10.57,2.86,1.98
20101123,29.41,28.68,29.57,28.14,245031,0.0,4.78,-4.14,-1.24,0.72
20101124,28.32,28.96,29.3,28.0,153655,0.0,4.53,0.98,0.28,0.45
20101126,28.62,28.99,29.25,28.56,41007,0.0,2.38,0.1,0.03,0.12
20101129,28.61,28.54,28.84,28.0,95988,0.0,2.9,-1.55,-0.45,0.28
20101130,28.33,28.51,29.3,28.0,233807,0.0,4.56,-0.11,-0.03,0.68
20101201,28.54,28.43,29.1,27.2,486942,0.0,6.66,-0.28,-0.08,1.43
20101202,28.25,28.36,29.03,28.08,229731,0.0,3.34,-0.25,-0.07,0.67
20101203,28.25,27.99,28.48,27.49,175886,0.0,3.49,-1.3,-0.37,0.52
20101206,27.75,27.37,27.98,27.16,118397,0.0,2.93,-2.22,-0.62,0.35
20101207,27.25,26.62,27.25,26.62,19817,0.0,2.3,-2.74,-0.75,0.06
20101208,27.25,25.77,27.25,25.52,214374,0.0,6.5,-3.19,-0.85,0.63
20101209,25.71,24.22,25.86,23.91,495572,0.0,7.57,-6.01,-1.55,1.45
20101210,24.22,24.95,25.14,23.81,445458,0.0,5.49,3.01,0.73,1.31
20101213,25.1,25.39,26.14,24.68,268605,0.0,5.85,1.76,0.44,0.79
20101214,25.5,25.98,26.18,25.41,188982,0.0,3.03,2.32,0.59,0.55
20101215,26.31,26.54,26.88,25.95,140752,0.0,3.58,2.16,0.56,0.41
20101216,26.93,26.94,27.1,25.89,147676,0.0,4.56,1.51,0.4,0.43
20101217,27.09,28.95,28.99,26.52,435559,0.0,9.17,7.46,2.01,1.28
20101220,28.7,28.68,28.93,27.64,234501,0.0,4.46,-0.93,-0.27,0.69
20101221,28.48,27.96,28.6,27.66,191119,0.0,3.28,-2.51,-0.72,0.56
20101222,28.0,27.95,28.19,27.51,72733,0.0,2.43,-0.04,-0.01,0.21
20101223,27.82,27.9,28.05,27.78,71280,0.0,0.97,-0.18,-0.05,0.21
20101227,28.43,27.52,28.43,27.52,152202,0.0,3.26,-1.36,-0.38,0.45
20101228,27.3,28.07,28.14,27.0,223737,0.0,4.14,2.0,0.55,0.66
20101229,27.85,27.85,28.11,27.8,53730,0.0,1.1,-0.78,-0.22,0.16
20101230,27.35,27.85,28.55,27.23,158309,0.0,4.74,0.0,0.0,0.46
20101231,28.12,27.03,28.12,26.75,106134,0.0,4.92,-2.94,-0.82,0.31
20110103,27.35,27.16,28.14,27.12,93471,0.0,3.77,0.48,0.13,0.27
20110104,27.01,27.54,27.7,27.0,114099,0.0,2.58,1.4,0.38,0.33
20110105,27.46,30.76,31.3,27.45,438694,0.0,13.98,11.69,3.22,1.29
20110106,30.92,31.19,32.41,30.35,250368,0.0,6.7,1.4,0.43,0.73
20110107,31.45,30.83,31.72,30.37,76501,0.0,4.33,-1.15,-0.36,0.22
20110110,30.83,30.45,31.55,30.34,86640,0.0,3.92,-1.23,-0.38,0.25
20110111,30.25,30.02,30.62,29.79,107123,0.0,2.73,-1.41,-0.43,0.31
20110112,31.3,30.18,31.31,30.0,71559,0.0,4.36,0.53,0.16,0.21
20110113,30.02,30.02,30.6,29.77,68672,0.0,2.75,-0.53,-0.16,0.2
20110114,29.9,30.64,31.73,29.34,140634,0.0,7.96,2.07,0.62,0.41
20110118,30.92,28.98,30.92,28.97,140984,0.0,6.36,-5.42,-1.66,0.41
20110119,29.51,29.88,30.43,29.15,171685,0.0,4.42,3.11,0.9,0.5
20110120,30.62,29.25,30.81,28.6,117281,0.0,7.4,-2.11,-0.63,0.34
20110121,29.57,29.98,30.0,28.88,77040,0.0,3.83,2.5,0.73,0.23
20110124,30.0,29.61,30.0,29.41,34027,0.0,1.97,-1.23,-0.37,0.1
20110125,29.51,28.5,29.84,28.44,144501,0.0,4.73,-3.75,-1.11,0.42
20110126,28.91,28.85,29.25,28.61,81043,0.0,2.25,1.23,0.35,0.24
20110127,29.3,28.63,29.32,28.29,83755,0.0,3.57,-0.76,-0.22,0.25
20110128,29.03,28.73,29.15,28.19,81874,0.0,3.35,0.35,0.1,0.24
20110131,29.06,28.75,29.06,28.03,85250,0.0,3.59,0.07,0.02,0.24
20110201,28.82,28.48,29.05,28.15,146527,0.0,3.13,-0.94,-0.27,0.42
20110202,28.83,27.0,28.83,26.91,192773,0.0,6.74,-5.2,-1.48,0.55
20110203,26.82,26.34,26.82,25.86,276018,0.0,3.56,-2.44,-0.66,0.79
20110204,26.71,26.17,27.28,25.67,407139,0.0,6.11,-0.65,-0.17,1.17
20110207,26.05,26.15,26.95,25.95,194301,0.0,3.82,-0.08,-0.02,0.56
20110208,26.01,25.99,26.59,25.84,219939,0.0,2.87,-0.61,-0.16,0.63
20110209,27.0,26.8,27.89,26.52,504992,0.0,5.27,3.12,0.81,1.45
20110210,28.2,29.7,30.0,27.31,599533,0.0,10.04,10.82,2.9,1.72
20110211,28.97,29.01,30.16,28.06,229030,0.0,7.07,-2.32,-0.69,0.66
20110214,29.8,29.58,30.0,28.97,135609,0.0,3.55,1.96,0.57,0.39
20110215,29.87,29.22,30.0,29.0,100304,0.0,3.38,-1.22,-0.36,0.29
20110216,29.43,28.63,29.43,27.9,211021,0.0,5.24,-2.02,-0.59,0.6
20110217,28.42,28.23,28.87,27.99,87326,0.0,3.07,-1.4,-0.4,0.25
20110218,28.07,27.55,28.36,27.25,94435,0.0,3.93,-2.41,-0.68,0.27
20110222,27.24,25.59,27.24,25.21,251402,0.0,7.37,-7.11,-1.96,0.72
20110223,25.75,24.77,25.75,24.03,183973,0.0,6.72,-3.2,-0.82,0.53
20110224,25.59,25.75,26.19,25.0,288392,0.0,4.8,3.96,0.98,0.83
20110225,26.21,26.33,26.33,25.69,115214,0.0,2.49,2.25,0.58,0.33
20110228,27.0,26.45,27.0,26.3,174070,0.0,2.66,0.46,0.12,0.5
20110301,26.51,26.87,27.24,26.26,194857,0.0,3.71,1.59,0.42,0.56
20110302,26.8,27.27,27.54,26.32,105849,0.0,4.54,1.49,0.4,0.3
20110303,26.2,26.56,26.96,26.0,136075,0.0,3.52,-2.6,-0.71,0.39
20110304,26.39,26.94,27.23,26.2,62630,0.0,3.88,1.43,0.38,0.18
20110307,26.92,26.27,27.4,26.05,175886,0.0,5.01,-2.49,-0.67,0.5
20110308,26.46,26.03,26.46,25.71,103823,0.0,2.85,-0.91,-0.24,0.3
20110309,25.86,26.12,26.44,25.51,80129,0.0,3.57,0.35,0.09,0.23
20110310,25.89,25.55,26.32,25.34,163174,0.0,3.75,-2.18,-0.57,0.47
20110311,25.37,26.56,26.75,25.3,134239,0.0,5.68,3.95,1.01,0.38
20110314,26.35,25.81,27.0,25.53,132614,0.0,5.53,-2.82,-0.75,0.38
20110315,25.25,25.45,25.82,25.01,40118,0.0,3.14,-1.39,-0.36,0.11
20110316,25.07,24.81,25.31,24.8,167887,0.0,2.0,-2.51,-0.64,0.48
