trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20231025,14.13,13.47,14.33,13.15,2128341,39964341.0,8.35,-4.67,-0.66,2.24
20231026,13.3,13.82,13.82,13.19,178645,3294926.0,4.68,2.6,0.35,0.19
20231027,13.99,13.93,14.04,13.834,140164,2641131.0,1.49,0.8,0.11,0.15
20231030,14.08,13.87,14.08,13.36,141470,2609409.0,5.17,-0.43,-0.06,0.15
20231031,14.04,13.56,14.04,13.56,63016,1170884.0,3.46,-2.24,-0.31,0.07
20231101,13.61,13.43,13.92,13.21,131336,2439582.0,5.24,-0.96,-0.13,0.14
20231102,13.78,13.51,14.04,13.25,127429,2350400.0,5.88,0.6,0.08,0.13
20231103,13.65,13.5,13.727,13.34,84040,1549678.0,2.86,-0.07,-0.01,0.09
20231106,13.74,13.28,13.74,13.16,26984,491763.0,4.3,-1.63,-0.22,0.03
20231107,13.0,13.15,13.43,12.62,103477,1869744.0,6.1,-0.98,-0.13,0.11
20231108,13.39,13.08,13.39,13.03,109991,1985572.0,2.74,-0.53,-0.07,0.12
20231109,13.13,12.55,13.41,12.16,188761,3328518.0,9.56,-4.05,-0.53,0.2
20231110,12.82,12.62,13.55,11.24,222412,3873098.0,18.41,0.56,0.07,0.23
20231113,12.88,13.0,13.32,12.63,164339,2935460.0,5.47,3.01,0.38,0.17
20231114,13.13,13.28,13.42,13.05,129286,2335327.0,2.85,2.15,0.28,0.14
20231115,13.28,13.23,13.28,12.84,93927,1689672.0,3.31,-0.38,-0.05,0.1
20231116,13.23,13.23,13.23,12.61,137368,2461186.0,4.69,0.0,0.0,0.14
20231117,13.29,13.38,13.43,13.17,174574,3160948.0,1.97,1.13,0.15,0.18
20231120,13.43,13.38,13.688,13.31,274731,5040013.0,2.83,0.0,0.0,0.29
20231121,13.43,13.33,13.701,12.275,200612,3629325.0,10.66,-0.37,-0.05,0.21
20231122,13.33,12.99,13.43,12.955,187433,3379016.0,3.56,-2.55,-0.34,0.2
20231124,13.16,13.34,13.44,12.915,28634,516593.0,4.04,2.69,0.35,0.03
20231127,13.4,12.81,13.51,12.64,58935,1052016.0,6.52,-3.97,-0.53,0.06
20231128,12.9,12.62,13.13,12.56,53229,936378.0,4.45,-1.48,-0.19,0.06
20231129,12.88,12.98,13.35,12.69,123811,2201322.0,5.23,2.85,0.36,0.13
20231130,13.13,12.85,13.19,12.81,53196,952704.0,2.93,-1.0,-0.13,0.06
20231201,12.97,12.92,13.14,12.86,61697,1101642.0,2.18,0.54,0.07,0.06
20231204,12.88,12.99,13.53,12.74,68494,1229409.0,6.11,0.54,0.07,0.07
20231205,13.0,13.02,13.19,12.88,5090,90760.0,2.39,0.23,0.03,0.01
20231206,13.08,12.4,13.16,11.65,67678,1183673.0,11.6,-4.76,-0.62,0.07
20231207,12.15,12.12,12.63,11.81,73216,1255127.0,6.61,-2.26,-0.28,0.08
20231208,12.8,12.13,13.27,12.08,63118,1102274.0,9.82,0.08,0.01,0.07
20231211,11.91,11.82,12.327,11.72,125393,2115099.0,5.0,-2.56,-0.31,0.13
20231212,12.588,11.77,12.588,11.73,31175,526505.0,7.26,-0.42,-0.05,0.03
20231213,11.915,11.78,11.915,11.43,49949,825507.0,4.12,0.08,0.01,0.05
20231214,11.76,10.94,12.22,10.69,241288,3952171.0,12.99,-7.13,-0.84,0.25
20231215,11.02,10.09,11.28,10.09,103449,1603626.0,10.88,-7.77,-0.85,0.11
20231218,10.18,10.34,10.66,9.92,176528,2661089.0,7.33,2.48,0.25,0.19
20231219,10.47,10.44,10.76,9.93,211681,3227551.0,8.03,0.97,0.1,0.22
20231220,10.64,9.97,10.779,9.73,215663,3217517.0,10.05,-4.5,-0.47,0.23
20231221,10.13,9.86,10.36,9.53,237495,3493132.0,8.32,-1.1,-0.11,0.25
20231222,10.0,10.72,11.078,9.74,302769,4706418.0,13.57,8.72,0.86,0.32
20231226,10.88,11.44,11.56,10.82,197778,3224754.0,6.9,6.72,0.72,0.21
20231227,11.47,11.11,11.47,10.93,131383,2098799.0,4.72,-2.88,-0.33,0.14
20231228,10.98,11.42,11.42,10.98,232996,3747685.0,3.96,2.79,0.31,0.25
20231229,11.19,11.62,11.77,10.73,280042,4534836.0,9.11,1.75,0.2,0.29
20240102,11.62,11.03,11.73,11.03,246194,3951096.0,6.02,-5.08,-0.59,0.26
20240103,11.03,10.89,11.17,10.45,113993,1789194.0,6.53,-1.27,-0.14,0.12
20240104,10.96,11.37,11.55,10.75,144130,2324430.0,7.35,4.41,0.48,0.15
20240105,11.14,11.44,11.51,11.14,71216,1158179.0,3.25,0.62,0.07,0.07
20240108,11.61,11.42,11.61,11.245,54626,889089.0,3.19,-0.17,-0.02,0.06
20240109,11.38,11.5,11.55,11.274,47348,773130.0,2.42,0.7,0.08,0.05
20240110,11.65,11.81,11.95,11.46,158015,2609140.0,4.26,2.7,0.31,0.17
20240111,11.63,11.9,12.243,11.63,48089,812004.0,5.19,0.76,0.09,0.05
20240112,12.1,12.12,12.46,12.033,66314,1129734.0,3.59,1.85,0.22,0.07
20240116,12.37,12.04,12.37,11.97,32726,556025.0,3.3,-0.66,-0.08,0.03
20240117,11.88,12.13,12.27,11.84,40424,687106.0,3.57,0.75,0.09,0.04
20240118,11.884,12.37,12.61,11.884,81125,1400608.0,5.99,1.98,0.24,0.09
20240119,12.31,12.49,12.74,12.21,172384,3006788.0,4.28,0.97,0.12,0.18
20240122,12.62,12.73,13.17,12.533,111993,1979851.0,5.1,1.92,0.24,0.12
20240123,12.7,12.98,13.05,12.7,44817,795898.0,2.75,1.96,0.25,0.05
20240124,13.15,13.04,13.15,12.58,45052,799734.0,4.39,0.46,0.06,0.05
20240125,13.22,13.19,13.22,13.02,81617,1468624.0,1.53,1.15,0.15,0.09
20240126,13.35,13.23,13.35,13.05,31613,571018.0,2.27,0.3,0.04,0.03
20240129,13.46,13.17,13.46,13.16,93350,1690742.0,2.27,-0.45,-0.06,0.1
20240130,13.5,12.95,13.58,12.82,136024,2471447.0,5.77,-1.67,-0.22,0.14
20240131,13.1,13.02,13.198,12.88,30198,540856.0,2.46,0.54,0.07,0.03
20240201,13.17,12.4,13.17,12.39,36318,641128.0,5.99,-4.76,-0.62,0.04
20240202,12.38,12.69,12.69,12.06,44112,763581.0,5.08,2.34,0.29,0.05
20240205,12.76,12.49,12.837,12.325,95274,1641308.0,4.03,-1.58,-0.2,0.1
20240206,12.449,12.13,12.58,12.07,107911,1859388.0,4.08,-2.88,-0.36,0.11
20240207,12.38,12.16,12.38,11.57,199001,3368497.0,6.68,0.25,0.03,0.21
20240208,12.284,12.83,12.9,12.063,77817,1350119.0,6.88,5.51,0.67,0.08
20240209,13.02,12.68,13.02,12.55,16319,287340.0,3.66,-1.17,-0.15,0.02
20240212,12.78,12.72,13.02,12.69,33103,586861.0,2.6,0.32,0.04,0.03
20240213,12.8,12.4,12.82,12.39,22779,398248.0,3.38,-2.52,-0.32,0.02
20240214,12.62,12.27,12.62,12.13,65730,1125643.0,3.95,-1.05,-0.13,0.07
20240215,12.229,12.38,12.68,12.229,80496,1392681.0,3.68,0.9,0.11,0.08
20240216,13.13,13.42,13.72,12.78,300553,5513642.0,7.59,8.4,1.04,0.32
20240220,14.66,13.74,14.71,13.53,473011,9109468.0,8.79,2.38,0.32,0.5
20240221,13.96,14.48,14.58,13.96,268522,5159742.0,4.51,5.39,0.74,0.28
20240222,14.8,14.63,14.91,14.285,262288,5098514.0,4.32,1.04,0.15,0.28
20240223,15.2,14.67,15.2,14.13,232045,4491107.0,7.31,0.27,0.04,0.24
20240226,15.11,14.5,15.11,14.14,326283,6338791.0,6.61,-1.16,-0.17,0.34
20240227,14.39,14.71,14.72,14.225,274371,5331073.0,3.41,1.45,0.21,0.29
