trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20181206,144.0,168.0,170.28,138.96,3401089,42996623.0,18.64,0.0,0.0,3.18
20181207,166.08,161.76,170.52,156.0,647211,8781858.0,8.64,-3.71,-6.24,0.61
20181210,160.56,150.24,168.0,141.6,795444,10440525.0,16.32,-7.12,-11.52,0.74
20181211,151.32,168.24,173.64,150.84,1406769,19543614.0,15.18,11.98,18.0,1.32
20181212,160.32,174.0,191.76,158.76,584933,8380663.0,19.61,3.42,5.76,0.55
20181213,171.36,198.0,205.68,169.68,537744,8605617.0,20.69,13.79,24.0,0.5
20181214,190.56,243.96,263.64,190.56,655920,12912681.0,36.91,23.21,45.96,0.61
20181217,245.16,202.44,246.0,193.32,531644,9196586.0,21.59,-17.02,-41.52,0.5
20181218,204.0,217.08,223.08,197.64,527514,9239756.0,12.57,7.23,14.64,0.49
20181219,216.12,222.72,233.64,212.52,169036,3170033.0,9.73,2.6,5.64,0.16
20181220,218.52,227.76,234.24,210.6,173975,3219665.0,10.61,2.26,5.04,0.16
20181221,216.12,216.48,230.4,203.52,213309,3857307.0,11.8,-4.95,-11.28,0.2
20181224,209.28,217.2,228.0,205.44,121855,2215249.0,10.42,0.33,0.72,0.11
20181226,216.36,223.08,224.16,212.52,149774,2751610.0,5.36,2.71,5.88,0.14
20181227,221.16,288.84,288.84,221.16,290779,6230059.0,30.34,29.48,65.76,0.27
20181228,284.76,256.68,308.28,255.6,386417,9132694.0,18.24,-11.13,-32.16,0.36
20181231,256.8,245.88,274.56,241.92,126265,2744600.0,12.72,-4.21,-10.8,0.12
20190102,248.88,240.0,260.4,240.0,46456,972698.0,8.3,-2.39,-5.88,0.04
20190103,252.0,272.4,285.48,234.0,257839,5659351.0,21.45,13.5,32.4,0.24
20190104,275.88,254.16,298.08,249.0,495900,11325931.0,18.02,-6.7,-18.24,0.46
20190107,250.68,223.92,271.2,211.92,437655,8921988.0,23.32,-11.9,-30.24,0.41
20190108,222.72,217.2,222.72,204.72,108387,1922619.0,8.04,-3.0,-6.72,0.1
20190109,217.8,194.4,217.8,194.4,185243,3136084.0,10.77,-10.5,-22.8,0.17
20190110,191.88,203.4,208.2,191.88,45440,769734.0,8.4,4.63,9.0,0.04
20190111,203.4,191.4,203.52,190.56,90421,1462497.0,6.37,-5.9,-12.0,0.08
20190114,190.56,180.0,191.28,172.2,147842,2263092.0,9.97,-5.96,-11.4,0.14
20190115,180.6,180.84,184.92,174.84,51899,783782.0,5.6,0.47,0.84,0.05
20190116,180.84,175.56,183.6,174.0,33357,495644.0,5.31,-2.92,-5.28,0.03
20190117,182.4,174.12,182.4,167.04,33413,479487.0,8.75,-0.82,-1.44,0.03
20190118,180.48,191.4,191.4,168.12,448024,6664910.0,13.37,9.92,17.28,0.42
20190122,189.36,198.0,213.0,179.28,168428,2694668.0,17.62,3.45,6.6,0.16
20190123,199.2,204.0,207.0,193.56,58383,982490.0,6.79,3.03,6.0,0.05
20190124,212.16,201.72,212.16,195.24,49579,832484.0,8.29,-1.12,-2.28,0.05
20190125,203.04,194.28,204.0,192.0,40865,664836.0,5.95,-3.69,-7.44,0.04
20190128,186.72,186.6,191.28,181.8,774845,12074494.0,4.88,-3.95,-7.68,0.72
20190129,191.4,185.16,198.24,176.28,683746,10744297.0,11.77,-0.77,-1.44,0.64
20190130,192.48,192.6,194.04,185.52,47282,756355.0,4.6,4.02,7.44,0.04
